"","name","prop95","diffGT0","N","prop95.prop","diffGT0.prop"
"2","WithinRes_FirstSegments.csv",172,1,226,0.761061946902655,0.00442477876106195
"3","WithinRes_unanalyzable_FirstSegments.csv",17,2,34,0.5,0.0588235294117647
