,X,N1,WALS,IDS,Glotto,iso,glotto,area,langFam,subFam,InterrogativePosition,IDS2,Comments,Source
1,1,Aché,Aché,Aché [Phonemic],Ach�,guq,ache1246,South America,Tupian,Tupi-Guarani Subgroup I,,Ach�_Phonemic,,IDS
2,3,Aguaruna,Aguaruna,Aguaruna [Phonemic],Aguaruna,agr,agua1253,South America,Jivaroan,Jivaroan,,Aguaruna_Phonemic,,IDS
3,6,"Albanian, Tosk",Albanian,"Albanian, Tosk [Phonemic]",Gheg Albanian,aln,gheg1238,Eurasia,Indo-European,Albanian,,Albanian._Tosk_Phonemic,not clear whether Tosk or Gheg Albanian ??,IDS
4,10,Aramaic (Ancient),,Aramaic (Ancient) [Phonemic],Old Armaic,oar,olda1245,Eurasia,Afro-Asiatic,Aramaic,NA,Aramaic_Ancient_Phonemic,not on WALS,IDS
5,11,Araona,Araona,Araona [Phonemic],Araona,aro,arao1248,South America,Tacanan,Araona-Toromono,,Araona_Phonemic,,IDS
6,14,Armenian,Armenian (Eastern),"Armenian, Eastern [Phonemic]",Modern Armenian,hye,nucl1235,Eurasia,Indo-European,Armenian,2 Not initial interrogative phrase,Armenian._Eastern_Phonemic,on WALS both versions (Eastern and Western),IDS
7,15,Armenian,Armenian (Western),"Armenian, Western [Phonemic]",,hye,nucl1235,Eurasia,Indo-European,Armenian,2 Not initial interrogative phrase,Armenian._Western_Phonemic,,IDS
8,24,Avestan,,Avestan [Phonemic],Avestan,ave,aves1237,Eurasia,Indo-European,Northeastern Iranian,NA,Avestan_Phonemic,not on WALS,IDS
9,25,"Aymara, Central",Aymara,Aymara [Phonemic], Southern Aymara,ayc,sout2996,South America,Aymara,Nuclear Aymara,2 Not initial interrogative phrase,Aymara_Phonemic,,IDS
10,26,Ayoreo,Ayoreo,Ayoreo [Phonemic],Ayoreo,ayo,ayor1240,South America,Zamucoan,Zamuco-Ayoreo,,Ayoreo_Phonemic,,IDS
11,30,Barí,Motilón (Chibchan),Barí [Phonemic],Bari (Chibchan),mot,bari1297,South America,Chibchan,Southern Magdalenic,,Bar�_Phonemic,,IDS
12,31,Basque,Basque,Basque [Phonemic],Basque,eus,basq1248,Eurasia,Basque,Basque,,Basque_Phonemic,,IDS
13,32,Baure,Baure,Baure [Phonemic],Baure,brg,baur1253,South America,Arawakan,Baure-Carmelito-Joaquiniano,1 Initial interrogative phrase,Baure_Phonemic,,IDS
14,33,Bella Coola,Bella Coola,Bella Coola [Phonemic],Bella Coola,blc,bell1243,North America,Salishan,Salishan,,Bella_Coola_Phonemic,,IDS
15,37,Breton,Breton,Breton [Phonemic],Breton,bre,bret1244,Eurasia,Indo-European,Southwestern Brythonic,1 Initial interrogative phrase,Breton_Phonemic,,IDS
16,39,Bulgarian,Bulgarian,Bulgarian [Phonemic],Bulgarian,bul,bulg1262,Eurasia,Indo-European,Macedo-Bulgarian,1 Initial interrogative phrase,Bulgarian_Phonemic,,IDS
17,40,Canela,Canela,Canela [Phonemic],Canela,ram,cane1242,South America,Nuclear-Macro-Je,Timbira,1 Initial interrogative phrase,Canela_Phonemic,,IDS
18,41,Maquiritari,Carib (De\'kwana),Carib (De'kwana) [Phonemic],Maquiritari,mch,maqu1238,South America,Cariban,Guianan,1 Initial interrogative phrase,Carib_De.kwana_Phonemic,,IDS
19,42,Cashibo-Cacataibo,Cashibo,Cashibo [Phonemic],Cashibo-Cacataibo,cbr,cash1251,South America,Panoan,Kashibo,,Cashibo_Phonemic,,IDS
20,44,"Katukína, Panoan",,Catuquina [Phonemic],Panoan Katuk�na,knt,pano1254,South America,Panoan,Marubo Subgroup,NA,Catuquina_Phonemic,not on WALS,IDS
21,45,Cavineña,Cavineña,Cavineña [Phonemic],Cavine�a,cav,cavi1250,South America,Tacanan,Tacanan,,Cavine�a_Phonemic,,IDS
22,46,Chachi,Cayapa,Cayapa [Phonemic],Chachi,cbi,chac1249,South America,Barbacoan,Cayapa-Colorado,1 Initial interrogative phrase,Cayapa_Phonemic,,IDS
23,47,Cayubaba,Cayuvava,Cayuvava [Phonemic],Cayubaba,cyb,cayu1262,South America,Cayuvava,Cayuvava,,Cayuvava_Phonemic,,IDS
24,48,Central-Thai,,Central-Thai [Phonemic],Thai,tha,thai1261,Eurasia,Tai-Kadai,Lao-Thai,2 Not initial interrogative phrase,Central.Thai_Phonemic,,IDS
25,49,Chácobo,Chácobo,Chácobo [Phonemic],Ch�cobo,cao,chac1251,South America,Panoan,Bolivian Nawa,1 Initial interrogative phrase,Ch�cobo_Phonemic,,IDS
26,50,Chadong,,Chadong [Phonemic],Chadong,cdy,chad1240,Eurasia,Tai-Kadai,Maonan-Chadong,NA,Chadong_Phonemic,not on WALS,IDS
27,52,"Chatino, Zacatepec",,"Chatino, Zacatepec [Phonemic]",Zacatepec Chatino,ctz,zaca1242,North America,Otomanguean,Eastern Chatino,NA,Chatino._Zacatepec_Phonemic,not on WALS,IDS
