"","X.1","X","N1","WALS","IDS","Glotto","iso","glotto","area","langFam","subFam","InterrogativePosition","IDS2","Comments","Source","continent","latitude","longitude"
"1",1,1,"Aché","Aché","Aché [Phonemic]","Ach�","guq","ache1246","SE South America","Tupian","Tupi-Guarani Subgroup I","","Ach�_Phonemic","","IDS","South America","-25.5865","-56.4697"
"2",2,3,"Aguaruna","Aguaruna","Aguaruna [Phonemic]","Aguaruna","agr","agua1253","Andean","Jivaroan","Jivaroan","","Aguaruna_Phonemic","","IDS","South America","-5.30044","-77.9218"
"3",3,6,"Albanian, Tosk","Albanian","Albanian, Tosk [Phonemic]","Gheg Albanian","aln","gheg1238","Europe","Indo-European","Albanian","","Albanian._Tosk_Phonemic","not clear whether Tosk or Gheg Albanian ??","IDS","Eurasia","42.317","21.3837"
"4",4,10,"Aramaic (Ancient)","","Aramaic (Ancient) [Phonemic]","Old Armaic","oar","olda1245","Greater Mesopotamia","Afro-Asiatic","Aramaic",NA,"Aramaic_Ancient_Phonemic","not on WALS","IDS","Eurasia","42.14","37.11"
"5",5,11,"Araona","Araona","Araona [Phonemic]","Araona","aro","arao1248","NE South America","Tacanan","Araona-Toromono","","Araona_Phonemic","","IDS","South America","-12.4242","-67.7293"
"6",6,14,"Armenian","Armenian (Eastern)","Armenian, Eastern [Phonemic]","Modern Armenian","hye","nucl1235","Greater Mesopotamia","Indo-European","Armenian","2 Not initial interrogative phrase","Armenian._Eastern_Phonemic","on WALS both versions (Eastern and Western)","IDS","Eurasia","40","45"
"7",7,15,"Armenian","Armenian (Western)","Armenian, Western [Phonemic]","","hye","nucl1235","Greater Mesopotamia","Indo-European","Armenian","2 Not initial interrogative phrase","Armenian._Western_Phonemic","","IDS","Eurasia","40","45"
"8",8,24,"Avestan","","Avestan [Phonemic]","Avestan","ave","aves1237","Inner Asia","Indo-European","Northeastern Iranian",NA,"Avestan_Phonemic","not on WALS","IDS","Eurasia","31.541","53.633"
"9",9,25,"Aymara, Central","Aymara","Aymara [Phonemic]"," Southern Aymara","ayc","sout2996","Andean","Aymara","Nuclear Aymara","2 Not initial interrogative phrase","Aymara_Phonemic","","IDS","South America","-17.1417","-70.3442"
"10",10,26,"Ayoreo","Ayoreo","Ayoreo [Phonemic]","Ayoreo","ayo","ayor1240","SE South America","Zamucoan","Zamuco-Ayoreo","","Ayoreo_Phonemic","","IDS","South America","-19.2201","-60.2175"
