ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-189-1,midd1317,Middle English,1852,oft-e,StandardOrth,often,buck1949;med1952,,,
14-320-189-3,midd1317,Middle English,1852,often,StandardOrth,often,buck1949;med1952,,,
14-310-189-1,midd1317,Middle English,1676,ever,StandardOrth,always,buck1949;med1952,,,
14-310-189-3,midd1317,Middle English,1676,al-wei,StandardOrth,always,buck1949;med1952,,,
14-310-189-5,midd1317,Middle English,1676,al-wei(e)s,StandardOrth,always,buck1949;med1952,,,
14-290-189-1,midd1317,Middle English,790,redi,StandardOrth,ready,buck1949;med1952,First form is MED (3).,,
14-290-189-3,midd1317,Middle English,790,yare,StandardOrth,ready,buck1949;med1952,First form is MED (3).,,
14-280-189-1,midd1317,Middle English,1928,cesen,StandardOrth,"cease, stop",buck1949;med1952,,,
14-270-189-1,midd1317,Middle English,1766,ful-enden,StandardOrth,finish,buck1949;med1952,,,
14-270-189-3,midd1317,Middle English,1766,enden,StandardOrth,finish,buck1949;med1952,,,
14-270-189-5,midd1317,Middle English,1766,finishen,StandardOrth,finish,buck1949;med1952,,,
14-270-189-7,midd1317,Middle English,1766,ful-fremed,StandardOrth,finish,buck1949;med1952,,,
14-260-189-1,midd1317,Middle English,743,ende,StandardOrth,end (temporal),buck1949;med1952,MED (1).,,
14-252-189-1,midd1317,Middle English,1186,lasten,StandardOrth,"last, endure",buck1949;med1952,First term is MED (1).,,
14-252-189-3,midd1317,Middle English,1186,enduren,StandardOrth,"last, endure",buck1949;med1952,First term is MED (1).,,
14-252-189-5,midd1317,Middle English,1186,duren,StandardOrth,"last, endure",buck1949;med1952,First term is MED (1).,,
14-250-189-1,midd1317,Middle English,1806,aginnen,StandardOrth,"begin, beginning",buck1949;med1952,,,
14-250-189-3,midd1317,Middle English,1806,beginnen,StandardOrth,"begin, beginning",buck1949;med1952,,,
14-250-189-5,midd1317,Middle English,1806,commencen,StandardOrth,"begin, beginning",buck1949;med1952,,,
14-250-189-7,midd1317,Middle English,1806,beginning-e,StandardOrth,"begin, beginning",buck1949;med1952,,,
14-250-189-9,midd1317,Middle English,1806,commencement,StandardOrth,"begin, beginning",buck1949;med1952,,,
14-240-189-1,midd1317,Middle English,425,tarien,StandardOrth,"retard, delay",buck1949;med1952,MED (1).,,
14-230-189-1,midd1317,Middle English,754,hien,StandardOrth,"hasten, hurry",buck1949;med1952,,,
14-230-189-3,midd1317,Middle English,754,hasten,StandardOrth,"hasten, hurry",buck1949;med1952,,,
14-220-189-1,midd1317,Middle English,701,slou,StandardOrth,slow,buck1949;med1952,,,
14-220-189-3,midd1317,Middle English,701,lat-e,StandardOrth,slow,buck1949;med1952,,,
14-210-189-1,midd1317,Middle English,1631,swift-e,StandardOrth,"swift, fast, quick",buck1949;med1952,Second term is MED (1).,,
14-210-189-3,midd1317,Middle English,1631,rad-e,StandardOrth,"swift, fast, quick",buck1949;med1952,Second term is MED (1).,,
14-210-189-5,midd1317,Middle English,1631,snel,StandardOrth,"swift, fast, quick",buck1949;med1952,Second term is MED (1).,,
14-210-189-7,midd1317,Middle English,1631,spedi,StandardOrth,"swift, fast, quick",buck1949;med1952,Second term is MED (1).,,
14-190-189-1,midd1317,Middle English,1963,sone,StandardOrth,immediately,buck1949;med1952,,,
14-180-189-1,midd1317,Middle English,1376,nou,StandardOrth,now,buck1949;med1952,,,
14-170-189-1,midd1317,Middle English,477,lat-e,StandardOrth,late,buck1949;med1952,,,
14-160-189-1,midd1317,Middle English,672,er,StandardOrth,early,buck1949;med1952,,,
14-160-189-3,midd1317,Middle English,672,erli,StandardOrth,early,buck1949;med1952,,,
14-150-189-1,midd1317,Middle English,1229,old-e,StandardOrth,old,buck1949;med1952,,,
14-140-189-1,midd1317,Middle English,1207,yong,StandardOrth,young,buck1949;med1952,,,
14-120-189-1,midd1317,Middle English,1789,age,StandardOrth,age,buck1949;med1952,,,
14-120-189-3,midd1317,Middle English,1789,elde,StandardOrth,age,buck1949;med1952,,,
14-130-189-1,midd1317,Middle English,1231,neue,StandardOrth,new,buck1949;med1952,,,
14-110-189-1,midd1317,Middle English,892,time,StandardOrth,time,buck1949;med1952,First term is MED (2).,,
14-110-189-3,midd1317,Middle English,892,tid-e,StandardOrth,time,buck1949;med1952,First term is MED (2).,,
14-110-189-5,midd1317,Middle English,892,while,StandardOrth,time,buck1949;med1952,First term is MED (2).,,
14-110-189-7,midd1317,Middle English,892,stound-e,StandardOrth,time,buck1949;med1952,First term is MED (2).,,
13-440-189-1,midd1317,Middle English,417,thrice,StandardOrth,three times,buck1949;med1952,"Last two terms are filed under MED thre, num.",,
13-440-189-3,midd1317,Middle English,417,thre sithes,StandardOrth,three times,buck1949;med1952,"Last two terms are filed under MED thre, num.",,
