ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-167-1,anci1242,Ancient Greek ,1852,pol'lakis,LatinTrans,often,buck1949;liddell1996;magnien1985,,,
14-320-167-3,anci1242,Ancient Greek ,1852,su'kʰna,LatinTrans,often,buck1949;liddell1996;magnien1985,,,
14-320-167-5,anci1242,Ancient Greek ,1852,pu'kna,LatinTrans,often,buck1949;liddell1996;magnien1985,,,
14-310-167-1,anci1242,Ancient Greek ,1676,a'ei,LatinTrans,always,buck1949;liddell1996;magnien1985,,,
14-310-167-3,anci1242,Ancient Greek ,1676,'pantote,LatinTrans,always,buck1949;liddell1996;magnien1985,,,
14-290-167-1,anci1242,Ancient Greek ,790,he'toimos,LatinTrans,ready,buck1949;liddell1996;magnien1985,,,
14-280-167-1,anci1242,Ancient Greek ,1928,'pauomai,LatinTrans,"cease, stop",buck1949;liddell1996;magnien1985,,,
14-270-167-1,anci1242,Ancient Greek ,1766,te'leō,LatinTrans,finish,buck1949;liddell1996;magnien1985,,,
14-270-167-3,anci1242,Ancient Greek ,1766,teleu'taō,LatinTrans,finish,buck1949;liddell1996;magnien1985,,,
14-260-167-1,anci1242,Ancient Greek ,743,'telos,LatinTrans,end (temporal),buck1949;liddell1996;magnien1985,,,
14-260-167-3,anci1242,Ancient Greek ,743,teleu'tē,LatinTrans,end (temporal),buck1949;liddell1996;magnien1985,,,
14-252-167-1,anci1242,Ancient Greek ,1186,diar'keō,LatinTrans,"last, endure",buck1949;liddell1996;magnien1985,,,
14-250-167-1,anci1242,Ancient Greek ,1806,'arkʰomai,LatinTrans,"begin, beginning",buck1949;liddell1996;magnien1985,,,
14-250-167-3,anci1242,Ancient Greek ,1806,ar'kʰē,LatinTrans,"begin, beginning",buck1949;liddell1996;magnien1985,,,
14-240-167-1,anci1242,Ancient Greek ,425,'mellō,LatinTrans,"retard, delay",buck1949;liddell1996;magnien1985,,,
14-240-167-3,anci1242,Ancient Greek ,425,kʰro'nizō,LatinTrans,"retard, delay",buck1949;liddell1996;magnien1985,,,
14-240-167-5,anci1242,Ancient Greek ,425,bra'dūnō,LatinTrans,"retard, delay",buck1949;liddell1996;magnien1985,,,
14-230-167-1,anci1242,Ancient Greek ,754,'speudō,LatinTrans,"hasten, hurry",buck1949;liddell1996;magnien1985,,,
14-220-167-1,anci1242,Ancient Greek ,701,bra'dus,LatinTrans,slow,buck1949;liddell1996;magnien1985,,,
14-210-167-1,anci1242,Ancient Greek ,1631,ta'kʰus,LatinTrans,"swift, fast, quick",buck1949;liddell1996;magnien1985,,,
14-210-167-3,anci1242,Ancient Greek ,1631,ō'kus,LatinTrans,"swift, fast, quick",buck1949;liddell1996;magnien1985,,,
14-210-167-5,anci1242,Ancient Greek ,1631,tʰo'os,LatinTrans,"swift, fast, quick",buck1949;liddell1996;magnien1985,,,
14-210-167-7,anci1242,Ancient Greek ,1631,o'ksus,LatinTrans,"swift, fast, quick",buck1949;liddell1996;magnien1985,,,
14-190-167-1,anci1242,Ancient Greek ,1963,'takʰa,LatinTrans,immediately,buck1949;liddell1996;magnien1985,,,
14-190-167-3,anci1242,Ancient Greek ,1963,au'tika,LatinTrans,immediately,buck1949;liddell1996;magnien1985,,,
14-190-167-5,anci1242,Ancient Greek ,1963,eu'tʰeōs,LatinTrans,immediately,buck1949;liddell1996;magnien1985,,,
14-180-167-1,anci1242,Ancient Greek ,1376,nūn,LatinTrans,now,buck1949;liddell1996;magnien1985,,,
14-170-167-1,anci1242,Ancient Greek ,477,o'pse,LatinTrans,late,buck1949;liddell1996;magnien1985,,,
14-160-167-1,anci1242,Ancient Greek ,672,prō'i,LatinTrans,early,buck1949;liddell1996;magnien1985,,,
14-150-167-1,anci1242,Ancient Greek ,1229,palai'os,LatinTrans,old,buck1949;liddell1996;magnien1985,,,
14-150-167-3,anci1242,Ancient Greek ,1229,ar'kʰaios,LatinTrans,old,buck1949;liddell1996;magnien1985,,,
14-150-167-5,anci1242,Ancient Greek ,1229,'gerōn,LatinTrans,old,buck1949;liddell1996;magnien1985,,,
14-150-167-7,anci1242,Ancient Greek ,1229,gerai'os,LatinTrans,old,buck1949;liddell1996;magnien1985,,,
14-140-167-1,anci1242,Ancient Greek ,1207,'neos,LatinTrans,young,buck1949;liddell1996;magnien1985,,,
14-120-167-1,anci1242,Ancient Greek ,1789,hēli'kiā,LatinTrans,age,buck1949;liddell1996;magnien1985,,,
14-130-167-1,anci1242,Ancient Greek ,1231,kai'nos,LatinTrans,new,buck1949;liddell1996;magnien1985,,,
14-130-167-3,anci1242,Ancient Greek ,1231,'neos,LatinTrans,new,buck1949;liddell1996;magnien1985,,,
14-110-167-1,anci1242,Ancient Greek ,892,'kʰronos,LatinTrans,time,buck1949;liddell1996;magnien1985,,,
13-440-167-1,anci1242,Ancient Greek ,417,tris,LatinTrans,three times,buck1949;liddell1996;magnien1985,,,
13-420-167-1,anci1242,Ancient Greek ,1859,'tritos,LatinTrans,third,buck1949;liddell1996;magnien1985,,,
13-380-167-1,anci1242,Ancient Greek ,1546,dis,LatinTrans,two times,buck1949;liddell1996;magnien1985,,,
13-370-167-1,anci1242,Ancient Greek ,1888,'zeugos,LatinTrans,pair,buck1949;liddell1996;magnien1985,,,
13-360-167-1,anci1242,Ancient Greek ,1384,'deuteros,LatinTrans,second,buck1949;liddell1996;magnien1985,,,
13-350-167-1,anci1242,Ancient Greek ,1529,teleu'taios,LatinTrans,last,buck1949;liddell1996;magnien1985,,,
13-350-167-3,anci1242,Ancient Greek ,1529,'hustatos,LatinTrans,last,buck1949;liddell1996;magnien1985,,,
13-350-167-5,anci1242,Ancient Greek ,1529,'eskʰatos,LatinTrans,last,buck1949;liddell1996;magnien1985,,,
13-340-167-1,anci1242,Ancient Greek ,728,'prōtos,LatinTrans,first,buck1949;liddell1996;magnien1985,,,
13-330-167-1,anci1242,Ancient Greek ,1580,'monos,LatinTrans,"alone, only",buck1949;liddell1996;magnien1985,,,
13-330-167-3,anci1242,Ancient Greek ,1580,'monon,LatinTrans,"alone, only",buck1949;liddell1996;magnien1985,,,
13-240-167-1,anci1242,Ancient Greek ,816,'hēmisus,LatinTrans,half,buck1949;liddell1996;magnien1985,,,
13-240-167-3,anci1242,Ancient Greek ,816,hēmi-,LatinTrans,half,buck1949;liddell1996;magnien1985,,,
13-230-167-1,anci1242,Ancient Greek ,779,'meros,LatinTrans,"part, piece",buck1949;liddell1996;magnien1985,,,
13-220-167-1,anci1242,Ancient Greek ,1624,ke'nos,LatinTrans,empty,buck1949;liddell1996;magnien1985,,,
13-210-167-1,anci1242,Ancient Greek ,1429,'plērēs,LatinTrans,full,buck1949;liddell1996;magnien1985,,,
13-210-167-3,anci1242,Ancient Greek ,1429,me'stos,LatinTrans,full,buck1949;liddell1996;magnien1985,,,
13-190-167-1,anci1242,Ancient Greek ,2023,'plētʰos,LatinTrans,"multitude, crowd",buck1949;liddell1996;magnien1985,,,
13-190-167-3,anci1242,Ancient Greek ,2023,'okʰlos,LatinTrans,"multitude, crowd",buck1949;liddell1996;magnien1985,,,
13-181-167-1,anci1242,Ancient Greek ,1241,o'ligon,LatinTrans,some,buck1949;liddell1996;magnien1985,,,
13-181-167-3,anci1242,Ancient Greek ,1241,mī'kron,LatinTrans,some,buck1949;liddell1996;magnien1985,,,
13-170-167-1,anci1242,Ancient Greek ,1242,o'ligos,LatinTrans,"little (quantity), few",buck1949;liddell1996;magnien1985,,,
13-170-167-3,anci1242,Ancient Greek ,1242,'pauros,LatinTrans,"little (quantity), few",buck1949;liddell1996;magnien1985,,,
13-180-167-1,anci1242,Ancient Greek ,1881,hika'nos,LatinTrans,enough,buck1949;liddell1996;magnien1985,,,
13-180-167-3,anci1242,Ancient Greek ,1881,ar'kōn,LatinTrans,enough,buck1949;liddell1996;magnien1985,,,
13-160-167-1,anci1242,Ancient Greek ,1992,'pleiōn,LatinTrans,more,buck1949;liddell1996;magnien1985,,,
13-160-167-3,anci1242,Ancient Greek ,1992,'pleōn,LatinTrans,more,buck1949;liddell1996;magnien1985,,,
13-150-167-1,anci1242,Ancient Greek ,1198,po'lus,LatinTrans,"much, many",buck1949;liddell1996;magnien1985,,,
13-140-167-1,anci1242,Ancient Greek ,98,pās,LatinTrans,"every, all",buck1949;liddell1996;magnien1985,Latter form is plural.,,
13-140-167-3,anci1242,Ancient Greek ,98,'pantes,LatinTrans,"every, all",buck1949;liddell1996;magnien1985,Latter form is plural.,,
13-107-167-1,anci1242,Ancient Greek ,1420,lo'gizomai,LatinTrans,count,buck1949;liddell1996;magnien1985,,,
13-106-167-1,anci1242,Ancient Greek ,1843,'kʰilioi,LatinTrans,thousand,buck1949;liddell1996;magnien1985,,,
