ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-192-1,oldh1241,Old High German,1852,oft(o),StandardOrth,often,buck1949;schuetzeichel1989,,,
14-320-192-3,oldh1241,Old High German,1852,oft-līhho,StandardOrth,often,buck1949;schuetzeichel1989,,,
14-320-192-5,oldh1241,Old High German,1852,follūn,StandardOrth,often,buck1949;schuetzeichel1989,,,
14-320-192-7,oldh1241,Old High German,1852,dicko,StandardOrth,often,buck1949;schuetzeichel1989,,,
14-310-192-1,oldh1241,Old High German,1676,io(ana),StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-3,oldh1241,Old High German,1676,simble(s),StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-5,oldh1241,Old High German,1676,simblum,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-7,oldh1241,Old High German,1676,io-mēr,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-9,oldh1241,Old High German,1676,emizēn,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-11,oldh1241,Old High German,1676,emizes,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-13,oldh1241,Old High German,1676,emizigēn,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-15,oldh1241,Old High German,1676,emizigo,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-17,oldh1241,Old High German,1676,emmizigōn,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-19,oldh1241,Old High German,1676,io(gi)līhho,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-310-192-21,oldh1241,Old High German,1676,io(gi)wanna,StandardOrth,always,buck1949;schuetzeichel1989,,,
14-290-192-1,oldh1241,Old High German,790,garo,StandardOrth,ready,buck1949;schuetzeichel1989,The inflected form of garo is gar(a)wēr.,,
14-290-192-3,oldh1241,Old High German,790,funs,StandardOrth,ready,buck1949;schuetzeichel1989,The inflected form of garo is gar(a)wēr.,,
14-290-192-5,oldh1241,Old High German,790,redi,StandardOrth,ready,buck1949;schuetzeichel1989,The inflected form of garo is gar(a)wēr.,,
14-290-192-7,oldh1241,Old High German,790,gi-reh,StandardOrth,ready,buck1949;schuetzeichel1989,The inflected form of garo is gar(a)wēr.,,
14-280-192-1,oldh1241,Old High German,1928,aba-gān,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-3,oldh1241,Old High German,1928,ūz-gān,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-5,oldh1241,Old High German,1928,zi-gān,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-7,oldh1241,Old High German,1928,aba-gangan,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-9,oldh1241,Old High German,1928,zi-gangan,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-11,oldh1241,Old High German,1928,gi-swīhhan,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-13,oldh1241,Old High German,1928,stal geban,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-15,oldh1241,Old High German,1928,gi-stillēn,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-17,oldh1241,Old High German,1928,fir-stullen,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-19,oldh1241,Old High German,1928,entōn,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-21,oldh1241,Old High German,1928,hōren,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-23,oldh1241,Old High German,1928,widar-o(r)t wintan,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-25,oldh1241,Old High German,1928,selkenēn,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-280-192-27,oldh1241,Old High German,1928,ūz-lāz(z)an,StandardOrth,"cease, stop",buck1949;schuetzeichel1989,,,
14-270-192-1,oldh1241,Old High German,1766,bi-tuon,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-3,oldh1241,Old High German,1766,gi-tuon,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-5,oldh1241,Old High German,1766,folle-tuon,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-7,oldh1241,Old High German,1766,festinōn,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-9,oldh1241,Old High German,1766,ir-follōn,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-11,oldh1241,Old High German,1766,frum(m)en,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-13,oldh1241,Old High German,1766,(gi)entōn,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-15,oldh1241,Old High German,1766,folle-ziohan,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-17,oldh1241,Old High German,1766,ūz-lāz(z)an,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-270-192-19,oldh1241,Old High German,1766,(duruh)fullen,StandardOrth,finish,buck1949;schuetzeichel1989,,,
14-260-192-1,oldh1241,Old High German,743,enti,StandardOrth,end (temporal),buck1949;schuetzeichel1989,,,
14-260-192-3,oldh1241,Old High German,743,marca,StandardOrth,end (temporal),buck1949;schuetzeichel1989,,,
14-260-192-5,oldh1241,Old High German,743,entunga,StandardOrth,end (temporal),buck1949;schuetzeichel1989,,,
14-260-192-7,oldh1241,Old High German,743,ūz-lāz,StandardOrth,end (temporal),buck1949;schuetzeichel1989,,,
14-260-192-9,oldh1241,Old High German,743,ūz-gang,StandardOrth,end (temporal),buck1949;schuetzeichel1989,,,
14-252-192-1,oldh1241,Old High German,1186,werēn,StandardOrth,"last, endure",buck1949;schuetzeichel1989,,,
14-252-192-3,oldh1241,Old High German,1186,wesan,StandardOrth,"last, endure",buck1949;schuetzeichel1989,,,
14-252-192-5,oldh1241,Old High German,1186,haltan,StandardOrth,"last, endure",buck1949;schuetzeichel1989,,,
14-250-192-1,oldh1241,Old High German,1806,bi-ginnan,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-3,oldh1241,Old High German,1806,in-ginnan,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-5,oldh1241,Old High German,1806,ana-gān,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-7,oldh1241,Old High German,1806,(ana)fāhan,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-9,oldh1241,Old High German,1806,ir-heven,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-11,oldh1241,Old High German,1806,(gi)stān,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-13,oldh1241,Old High German,1806,(gi)stantan,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-15,oldh1241,Old High German,1806,in-dīhan,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-17,oldh1241,Old High German,1806,houbit,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-19,oldh1241,Old High German,1806,bi-gin,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-21,oldh1241,Old High German,1806,ana-gin,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-23,oldh1241,Old High German,1806,ana-genne,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-25,oldh1241,Old High German,1806,ana-gengi,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-27,oldh1241,Old High German,1806,ana-fang,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-250-192-29,oldh1241,Old High German,1806,ēristo,StandardOrth,"begin, beginning",buck1949;schuetzeichel1989,,,
14-240-192-1,oldh1241,Old High German,425,fristen,StandardOrth,"retard, delay",buck1949;schuetzeichel1989,,,
14-240-192-3,oldh1241,Old High German,425,lez(z)en,StandardOrth,"retard, delay",buck1949;schuetzeichel1989,,,
14-240-192-5,oldh1241,Old High German,425,(gi)twel(l)en,StandardOrth,"retard, delay",buck1949;schuetzeichel1989,,,
14-240-192-7,oldh1241,Old High German,425,(gi)habēn,StandardOrth,"retard, delay",buck1949;schuetzeichel1989,,,
14-240-192-9,oldh1241,Old High German,425,bi-habēn,StandardOrth,"retard, delay",buck1949;schuetzeichel1989,,,
14-240-192-11,oldh1241,Old High German,425,stāten,StandardOrth,"retard, delay",buck1949;schuetzeichel1989,,,
14-230-192-1,oldh1241,Old High German,754,(gi)īlen,StandardOrth,"hasten, hurry",buck1949;schuetzeichel1989,,,
14-230-192-3,oldh1241,Old High German,754,(gi)gāhen,StandardOrth,"hasten, hurry",buck1949;schuetzeichel1989,,,
14-230-192-5,oldh1241,Old High German,754,gahōn~gāhōn,StandardOrth,"hasten, hurry",buck1949;schuetzeichel1989,,,
14-230-192-7,oldh1241,Old High German,754,gi-gāhōn,StandardOrth,"hasten, hurry",buck1949;schuetzeichel1989,,,
14-220-192-1,oldh1241,Old High German,701,un-spuotīg,StandardOrth,slow,buck1949;schuetzeichel1989,,,
14-220-192-3,oldh1241,Old High German,701,lang-seimo,StandardOrth,slow,buck1949;schuetzeichel1989,,,
14-220-192-5,oldh1241,Old High German,701,trāgi,StandardOrth,slow,buck1949;schuetzeichel1989,,,
14-220-192-7,oldh1241,Old High German,701,līso,StandardOrth,slow,buck1949;schuetzeichel1989,,,
14-220-192-9,oldh1241,Old High German,701,siti-līhho,StandardOrth,slow,buck1949;schuetzeichel1989,,,
14-220-192-11,oldh1241,Old High German,701,untar-ziohanto,StandardOrth,slow,buck1949;schuetzeichel1989,,,
14-210-192-1,oldh1241,Old High German,1631,snel,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-3,oldh1241,Old High German,1631,slium(o),StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-5,oldh1241,Old High German,1631,sniumo,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-7,oldh1241,Old High German,1631,spuotīg,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-9,oldh1241,Old High German,1631,rado,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-11,oldh1241,Old High German,1631,drāti,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-13,oldh1241,Old High German,1631,sār,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-15,oldh1241,Old High German,1631,fruo,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-17,oldh1241,Old High German,1631,gi-zal,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-19,oldh1241,Old High German,1631,redi,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-21,oldh1241,Old High German,1631,gāhi,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-23,oldh1241,Old High German,1631,in gāhe,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-25,oldh1241,Old High German,1631,in gahī~in gāhī,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
14-210-192-27,oldh1241,Old High German,1631,bī gāhīn,StandardOrth,"swift, fast, quick",buck1949;schuetzeichel1989,,,
