ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
9-342-237-1,sout2866,Marquesan,1913,piíí,Phonemic,press,dordillon1932;dordillon1931,,,
9-342-237-3,sout2866,Marquesan,1913,e toko,Phonemic,press,dordillon1932;dordillon1931,,,
9-342-237-5,sout2866,Marquesan,1913,e haá mau,Phonemic,press,dordillon1932;dordillon1931,,,
9-342-237-7,sout2866,Marquesan,1913,e toko í te pa,Phonemic,press,dordillon1932;dordillon1931,,,
9-341-237-1,sout2866,Marquesan,357,haáéva,Phonemic,hang up,dordillon1932;dordillon1931,,,
9-310-237-1,sout2866,Marquesan,1449,hoói,Phonemic,"rub, wipe",dordillon1932;dordillon1931,,,
9-290-237-1,sout2866,Marquesan,291,taki te kií,Phonemic,"flay, skin",dordillon1932;dordillon1931,,,
9-260-237-1,sout2866,Marquesan,680,e motu,Phonemic,break,dordillon1932;dordillon1931,,,
9-260-237-3,sout2866,Marquesan,680,e fati,Phonemic,break,dordillon1932;dordillon1931,,,
9-260-237-5,sout2866,Marquesan,680,fefati,Phonemic,break,dordillon1932;dordillon1931,,,
9-260-237-7,sout2866,Marquesan,680,e mamape,Phonemic,break,dordillon1932;dordillon1931,,,
9-260-237-9,sout2866,Marquesan,680,e momope,Phonemic,break,dordillon1932;dordillon1931,,,
9-260-237-11,sout2866,Marquesan,680,e haátiati,Phonemic,break,dordillon1932;dordillon1931,,,
9-260-237-13,sout2866,Marquesan,680,e haáfati,Phonemic,break,dordillon1932;dordillon1931,,,
9-250-237-1,sout2866,Marquesan,677,toí,Phonemic,ax,dordillon1932;dordillon1931,,,
9-250-237-3,sout2866,Marquesan,677,toki,Phonemic,ax,dordillon1932;dordillon1931,,,
9-251-237-1,sout2866,Marquesan,290,toki peheu,Phonemic,adze,dordillon1932;dordillon1931,,,
9-230-237-1,sout2866,Marquesan,1352,kohe,Phonemic,knife,dordillon1932;dordillon1931,,,
9-223-237-1,sout2866,Marquesan,1434,oka me te oka,Phonemic,stab,dordillon1932;dordillon1931,,,
9-221-237-1,sout2866,Marquesan,355,e tua,Phonemic,cut down,dordillon1932;dordillon1931,,,
9-192-237-1,sout2866,Marquesan,760,pona,Phonemic,knot (noun),dordillon1932;dordillon1931,,,
9-192-237-3,sout2866,Marquesan,760,pona huhu,Phonemic,knot (noun),dordillon1932;dordillon1931,,,
9-190-237-1,sout2866,Marquesan,1218,touá,Phonemic,"rope, cord",dordillon1932;dordillon1931,,,
9-180-237-1,sout2866,Marquesan,1627,tuítuí kioé,Phonemic,chain,dordillon1932;dordillon1931,,,
9-160-237-1,sout2866,Marquesan,1917,e haá mau,Phonemic,"tie, bind",dordillon1932;dordillon1931,,,
9-160-237-3,sout2866,Marquesan,1917,e humu,Phonemic,"tie, bind",dordillon1932;dordillon1931,,,
9-150-237-1,sout2866,Marquesan,1470,pokai,Phonemic,fold,dordillon1932;dordillon1931,,,
9-150-237-3,sout2866,Marquesan,1470,pokao,Phonemic,fold,dordillon1932;dordillon1931,,,
9-140-237-1,sout2866,Marquesan,2004,pikao,Phonemic,bend,dordillon1932;dordillon1931,,,
8-980-237-1,sout2866,Marquesan,641,puaina veine hae (e puaika veinehae),Phonemic,mushroom,dordillon1932;dordillon1931,,,
8-980-237-3,sout2866,Marquesan,641,haápaupau,Phonemic,mushroom,dordillon1932;dordillon1931,,,
8-970-237-1,sout2866,Marquesan,33,onaona,Phonemic,nettle,dordillon1932;dordillon1931,,,
8-970-237-3,sout2866,Marquesan,33,okaoka,Phonemic,nettle,dordillon1932;dordillon1931,,,
8-940-237-1,sout2866,Marquesan,1927,kohe,Phonemic,bamboo,dordillon1932;dordillon1931,,,
8-940-237-3,sout2866,Marquesan,1927,kohe maoí,Phonemic,bamboo,dordillon1932;dordillon1931,,,
8-931-237-1,sout2866,Marquesan,864,hue kai,Phonemic,"pumpkin, squash",dordillon1932;dordillon1931,,,
8-930-237-1,sout2866,Marquesan,411,e hue maoí,Phonemic,gourd,dordillon1932;dordillon1931,,,
8-920-237-1,sout2866,Marquesan,925,aihuka,Phonemic,"tapioca, manioc, cassava",dordillon1932;dordillon1931,,,
8-920-237-3,sout2866,Marquesan,925,manioka,Phonemic,"tapioca, manioc, cassava",dordillon1932;dordillon1931,,,
8-912-237-1,sout2866,Marquesan,410,puauhi,Phonemic,yam,dordillon1932;dordillon1931,,,
8-910-237-1,sout2866,Marquesan,159,úmaá,Phonemic,sweet potato,dordillon1932;dordillon1931,,,
8-910-237-3,sout2866,Marquesan,159,kumaá,Phonemic,sweet potato,dordillon1932;dordillon1931,,,
8-850-237-1,sout2866,Marquesan,346,e aoa,Phonemic,banyan,dordillon1932;dordillon1931,,,
8-840-237-1,sout2866,Marquesan,868,tumu meika,Phonemic,banana tree,dordillon1932;dordillon1931,,,
8-840-237-3,sout2866,Marquesan,868,meiá,Phonemic,banana tree,dordillon1932;dordillon1931,,,
