ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
12-20-237-1,sout2866,Marquesan,1816,kaokao,Phonemic,beside,dordillon1932;dordillon1931,,,
12-11-237-1,sout2866,Marquesan,1686,e hope,Phonemic,behind,dordillon1932;dordillon1931,,,
12-11-237-3,sout2866,Marquesan,1686,tua,Phonemic,behind,dordillon1932;dordillon1931,,,
12-10-237-1,sout2866,Marquesan,1685,í mui,Phonemic,after,dordillon1932;dordillon1931,,,
12-10-237-3,sout2866,Marquesan,1685,í muí ho,Phonemic,after,dordillon1932;dordillon1931,,,
12-10-237-5,sout2866,Marquesan,1685,í muí mai,Phonemic,after,dordillon1932;dordillon1931,,,
11-880-237-1,sout2866,Marquesan,1426,kaié a,Phonemic,"dear (costly, expensive)",dordillon1932;dordillon1931,,,
11-860-237-1,sout2866,Marquesan,752,faé puéna taetae,Phonemic,"store, shop",dordillon1932;dordillon1931,,,
11-860-237-3,sout2866,Marquesan,752,e faé avaina taetae,Phonemic,"store, shop",dordillon1932;dordillon1931,,,
11-860-237-5,sout2866,Marquesan,752,e faé hoko,Phonemic,"store, shop",dordillon1932;dordillon1931,,,
11-840-237-1,sout2866,Marquesan,1082,e énata áko,Phonemic,merchant,dordillon1932;dordillon1931,,,
11-810-237-1,sout2866,Marquesan,1869,hoko,Phonemic,buy,dordillon1932;dordillon1931,,,
11-810-237-3,sout2866,Marquesan,1869,e hoko pupa,Phonemic,buy,dordillon1932;dordillon1931,,,
11-210-237-1,sout2866,Marquesan,1447,tuú,Phonemic,give,dordillon1932;dordillon1931,,,
11-180-237-1,sout2866,Marquesan,738,mea,Phonemic,thing,dordillon1932;dordillon1931,,,
11-170-237-1,sout2866,Marquesan,1477,taí,Phonemic,"keep, retain",dordillon1932;dordillon1931,,,
11-140-237-1,sout2866,Marquesan,2021,haátikoe,Phonemic,"seize, grasp",dordillon1932;dordillon1931,,,
11-140-237-3,sout2866,Marquesan,2021,haátipaí,Phonemic,"seize, grasp",dordillon1932;dordillon1931,,,
11-130-237-1,sout2866,Marquesan,1749,toó,Phonemic,take,dordillon1932;dordillon1931,,,
11-110-237-1,sout2866,Marquesan,773,aína,Phonemic,have,dordillon1932;dordillon1931,,,
11-110-237-3,sout2866,Marquesan,773,haina,Phonemic,have,dordillon1932;dordillon1931,,,
11-110-237-5,sout2866,Marquesan,773,e taetae,Phonemic,have,dordillon1932;dordillon1931,,,
10-890-237-1,sout2866,Marquesan,1870,e katau,Phonemic,anchor,dordillon1932;dordillon1931,,,
10-880-237-1,sout2866,Marquesan,786,á (ka),Phonemic,sail (noun),dordillon1932;dordillon1931,,,
10-870-237-1,sout2866,Marquesan,184,tiá,Phonemic,mast,dordillon1932;dordillon1931,,,
10-852-237-1,sout2866,Marquesan,1849,toko me te kaáu,Phonemic,row (vb),dordillon1932;dordillon1931,,,
10-851-237-1,sout2866,Marquesan,234,hoe,Phonemic,paddle (noun),dordillon1932;dordillon1931,,,
10-850-237-1,sout2866,Marquesan,108,mea haámau,Phonemic,oar,dordillon1932;dordillon1931,,,
10-840-237-1,sout2866,Marquesan,1664,hataá (fataá),Phonemic,raft,dordillon1932;dordillon1931,,,
10-832-237-1,sout2866,Marquesan,416,pakeka,Phonemic,outrigger,dordillon1932;dordillon1931,,,
10-832-237-3,sout2866,Marquesan,416,e pateka,Phonemic,outrigger,dordillon1932;dordillon1931,,,
10-832-237-5,sout2866,Marquesan,416,e paápaá avai pu,Phonemic,outrigger,dordillon1932;dordillon1931,,,
10-831-237-1,sout2866,Marquesan,1970,vaá,Phonemic,canoe,dordillon1932;dordillon1931,,,
10-830-237-1,sout2866,Marquesan,1844,vaka,Phonemic,boat,dordillon1932;dordillon1931,,,
10-830-237-3,sout2866,Marquesan,1844,vaá,Phonemic,boat,dordillon1932;dordillon1931,,,
10-830-237-5,sout2866,Marquesan,1844,poti,Phonemic,boat,dordillon1932;dordillon1931,,,
10-830-237-7,sout2866,Marquesan,1844,poti iti,Phonemic,boat,dordillon1932;dordillon1931,,,
10-810-237-1,sout2866,Marquesan,740,vaka,Phonemic,ship,dordillon1932;dordillon1931,,,
10-810-237-3,sout2866,Marquesan,740,vaá,Phonemic,ship,dordillon1932;dordillon1931,,,
10-810-237-5,sout2866,Marquesan,740,poti,Phonemic,ship,dordillon1932;dordillon1931,,,
10-760-237-1,sout2866,Marquesan,710,pipi,Phonemic,wheel,dordillon1932;dordillon1931,,,
