Orig	Replacement
N,	n
m,	m
n,	n
l,	l
N	ŋ
T	θ
D	δ
S	ʃ
Z	ʒ
E	e
&	a
V	ʌ
O	o
U	ʊ
@	ǝ
i:	i
A:	a
O:	o
u:	u
3:	e
E	e
I	i
~	
:	
Q	o
1	ei
2	ai
3	ǝ
4	oi
5	ou
6	au
7	i
8	e
9	uǝ
#	a
J	tʃ
R	r
P	l
_	dʒ
K	ai
L	ou
G	x
A	a
B	aʊ
W	ei
=	ts
X	au
/	o
Y	u
M	aʊ
H	n
