entry_id	trans_english	Limonese_Creole_Phonemic
1.1	world	ʊɔ(r)l ~ ʊərl
1.21	earth, land	ɛrt; lan
1.212	earth=ground, soil	ɛrt; grɔŋ ~ groŋ; saɩl
1.213	dust	das
1.214	mud	mɔd
1.215	sand	san
1.22	mountain, hill	mɔu(n)tɩn; ɩl
1.222	cliff, precipice	klɩf
1.23	plain, field	fil
1.24	valley	valɩ
1.25	island	aɩlan
1.26	mainland	mɛɩn lan; kantɩnɛnt
1.27	shore	baŋk; bič; šʊɔr
1.28	cave	kɛɩv
1.31	water	wāta
1.32	sea	si
1.322	calm (of sea)	kʸām
1.323	rough (of sea)	rɔf
1.324	foam	fʊɔm
1.329	ocean	ʊɔšan
1.33	lake	lɛɩk
1.34	gulf, bay	gɔlf; bɛɩ
1.341	lagoon	lagun
1.342	reef	
1.343	headland, point	paɩnt
1.35	wave	wɛɩv
1.352	tide	taɩd
1.353	lowtide	lʊɔ taɩd
1.354	hightide	aɩ taɩd
1.36	river, stream, brook	riva ~ riba; strim; bruk
1.362	whirlpool	wilɩn ʊɔl
1.37	spring, well	sprɩŋ; wɛl
1.38	swamp	swɔmp ~ swamp
1.39	waterfall	wāta-fal
1.41	woods, forest	wudz; farɩs; buš
1.42	tree (cf 08.600)	tri
1.43	wood	(w)ud; bʊɔd
1.44	stone, rock	rak-stʊn; stʊɔn; rak
1.45	earthquake	ɛrt-kwɛɩk
1.51	sky	skaɩ
1.52	sun	sɔn
1.53	moon	mun
1.54	star	stār
1.55	lightning	laɩtnɩn ~ laɩtnɩŋ
1.56	thunder	tɔnda
1.57	lightning (as striking)	tɔnda-bal
1.58	storm	stām
1.59	rainbow	rɛɩn-bʊɔ
1.61	light (noun)	laɩt
1.62	darkness	dāk-nɩs
1.63	shade, shadow	šɛɩd; šadɔ
1.64	dew	ǰu
1.71	air	ɛɩr
1.72	wind	wɩn
1.73	cloud	klod
1.74	fog	fag
1.75	rain (noun)	rɛɩn
1.76	snow (noun)	snʊɔ
1.77	ice	aɩs
1.78	weather	wɛda
1.81	fire	faya
1.82	flame (noun)	flɛɩm
1.83	smoke (noun)	smʊɔk
1.84	ashes	ašɩz; sɩnda
1.841	embers	faya-kʊɔl; kʊɔl
1.851	burn (vb trans)	bɔn ~ bərn
1.852	burn (vb intrans)	bɔn ~ bərn
1.86	light, kindle, ignite	laɩt; kɩŋgl
1.861	extinguish	ot
1.87	match (noun)	mačɩz
1.88	firewood	faya-(w)ud
1.89	charcoal	(čā-)kʊɔl
2.1	person, human being	pɛrsn; yuman; yuman bin
2.21	man (vs. woman)	man
2.22	woman	uman
2.23	male	hi-; man-; mɛɩl
2.24	female	fɩmɛɩl
2.25	boy	bʷaɩ
2.251	young man (adolescent)	yɔŋ man; man tibi
2.26	girl	gʸərl ~ gʸal
2.261	young woman (adolescent)	yɔŋ ʊman
