entry_id	trans_english	Langja_Buyang_Phonemic
1.1	world	puŋ.54 juŋ.11 ʔbun.54
1.21	earth, land	puŋ.54 jun.11 ɔt.11
1.212	earth=ground, soil	ɔt.11
1.213	dust	la.0 muk.11
1.214	mud	ɔŋ.11 a:k.11
1.215	sand	ɔt.11 śj.11 a:i.31
1.22	mountain, hill	po.11
1.222	cliff, precipice	tɔŋ.54 mut
1.23	plain, field	pu:ŋ.11 qa.11
1.24	valley	ta.0 phj:ŋ.24; lu:ŋ.312 phj:ŋ.24
1.25	island	luŋ.312
1.26	mainland	ŋa:p.11 ta.312
1.27	shore	puŋ.54 po.11; hɛ.0 tham.24
1.28	cave	ɔŋ.24
1.31	water	ha:i.24
1.32	sea	qa.0 phu:p.11
1.322	calm (of sea)	ha:i.24
1.323	rough (of sea)	ɔŋ.24 tam.11
1.324	foam	ɔŋ.24 tam.11
1.329	ocean	qa.0 ʔdja.11 ta.312
1.33	lake	ɔŋ.24 phoŋ.54 han.24
1.34	gulf, bay	ɔŋ.24 ta.312; ɔŋ.24 δɔŋ.312
1.341	lagoon	ɔŋ.24 pan.54 vɛn.11
1.342	reef	ɔŋ.24 ʔbuə.11; ɔŋ.24 tjŋ.312
1.343	headland, point	hɛ.0 qaŋ.24
1.35	wave	qa.0 tui.54
1.352	tide	hɛ.0 qa.0 ʔdu.11
1.353	lowtide	luə.11 pja.312
1.354	hightide	pja.312 va:i.54
1.36	river, stream, brook	ʔbun.54 ca:k.31
1.362	whirlpool	ʔbun.54
1.37	spring, well	ta.54 van.54
1.38	swamp	luŋ.11 tɛn.11
1.39	waterfall	la:ŋ.11 loŋ.312
1.41	woods, forest	ʔbun.54 lɛŋ.11
1.42	tree (cf 08.600)	pja.312
1.43	wood	pja.312 qa.0 ʔdaŋ.54
1.44	stone, rock	ʔbun.54 lɛŋ.312
1.45	earthquake	ju:t.11 pja.312
1.51	sky	mjə.31 δj.33
1.52	sun	qa:ŋ.54
1.53	moon	qa.0 nɛŋ.11
1.54	star	qa.0 laŋ.24; la.0 va:i.312
1.55	lightning	ɔŋ.24 ma:i.312
1.56	thunder	pan.11 ja:i.24
1.57	lightning (as striking)	la.0 van.312
1.58	storm	la.0 muk.11 ʔbun.54
