entry_id	trans_english	Hungarian_Phonemic
1.1	world	wilaag
1.21	earth, land	föld
1.212	earth=ground, soil	föld; talay
1.213	dust	por
1.214	mud	šaar
1.215	sand	homok
1.22	mountain, hill	hedʸ
1.222	cliff, precipice	sikla; sirt
1.23	plain, field	šikšaag; mezöö
1.24	valley	wöldʸ
1.25	island	siget
1.26	mainland	saarazföld; [kontinenš]
1.27	shore	part
1.28	cave	barlang
1.31	water	wiiz
1.32	sea	tenger
1.322	calm (of sea)	ɲugodt; čendeš
1.323	rough (of sea)	wiharoš
1.324	foam	hab; tayteek
1.329	ocean	ooc̷eaan
1.33	lake	too
1.34	gulf, bay	öböl
1.341	lagoon	laguuna
1.342	reef	sirt; zaatoɲ
1.343	headland, point	hedʸfok; földnelw
1.35	wave	hullaam
1.352	tide	aarapaalʸ
1.353	lowtide	apaalʸ
1.354	hightide	dagaalʸ
1.36	river, stream, brook	folʸo ~ folʸam; aar; patak
1.362	whirlpool	forgatag
1.37	spring, well	forraaš; kuut
1.38	swamp	močaar; laap; ingowaaɲ
1.39	waterfall	wiizešeeš
1.41	woods, forest	erdöö
1.42	tree (cf 08.600)	fa
1.43	wood	faaɲag; tüüzifa
1.44	stone, rock	köö; sikla; sirt
1.45	earthquake	földrengeeš
1.51	sky	eeg
1.52	sun	nap
1.53	moon	hold
1.54	star	čillag
1.55	lightning	willaam
1.56	thunder	menɲdörgeeš
1.57	lightning (as striking)	ziwatar
1.58	storm	wihar
1.59	rainbow	siwaarwaaɲ
1.61	light (noun)	feeɲ; wilaagoššaag
1.62	darkness	šöteegšeeg
1.63	shade, shadow	aarɲeek ~ aarɲ
1.64	dew	harmat
1.71	air	lewegöö
1.72	wind	seel
1.73	cloud	felhöö
1.74	fog	köd
1.75	rain (noun)	ešöö
1.76	snow (noun)	hoo
1.77	ice	yeeg
1.78	weather	idöö(yaaraaš)
1.81	fire	tüüz
1.82	flame (noun)	laang
1.83	smoke (noun)	füšt
1.84	ashes	hamu
1.841	embers	paraaž
1.851	burn (vb trans)	(el)eeget
1.852	burn (vb intrans)	eeg
1.86	light, kindle, ignite	megdʸuuyt; eltüzel
1.861	extinguish	elolt
1.87	match (noun)	dʸufa
1.88	firewood	tüüzifa
1.89	charcoal	faseen ~ seen
2.1	person, human being	edʸeen; ember
2.21	man (vs. woman)	feerfi
2.22	woman	assoɲ; nöö
2.23	male	hiim
2.24	female	nöönemü
2.25	boy	fiuu
2.251	young man (adolescent)	ifyuu; fiatalember
2.26	girl	l(e)aaɲ
2.261	young woman (adolescent)	kišassoɲ
2.27	child	dʸer(m)ek
2.28	infant, baby	čečemöö; (kiš)baba
2.31	husband	feery
2.32	wife	felešeeg
2.33	marry	meghaazašodik
2.34	marriage, wedding	haazaššaag
2.341	divorce	waalaaš
2.35	father	apa
2.36	mother	aɲa
2.37	parents	sülöök
2.38	married man	haazašember
2.39	married woman	felešeeg; hitweš
2.41	son	fiuu
2.42	daughter	l(e)aaɲ
2.43	offspring (son or daughter)	utood
2.44	brother	fiweer ~ fiuuteštweer
2.444	older brother	baatʸa
2.445	younger brother	öč
2.45	sister	nööweer
2.454	older sister	nööweer
2.455	younger sister	huug
2.456	sibling	teštweer
2.458	twins	ikrek
2.46	grandfather	nadʸapa
2.461	old man	öregember
2.47	grandmother	nadʸaɲa
2.471	old woman	öregassoɲ
2.48	grandson	(fiuu)unoka
2.49	granddaughter	(leaaɲ)unoka
2.51	uncle	nadʸbaači
2.511	mother's brother	aɲai nadʸbaači
2.512	father's brother	apai nadʸbaači
2.52	aunt	nadʸneeni
2.521	mother's sister	nadʸneeni (aɲai)
2.522	father's sister	nadʸneeni (apai)
2.53	nephew	unokaöč
2.54	niece	unokahuug
2.55	cousin	unokateštweer
2.56	ancestors	ööšök; elöödök
2.57	descendants	lesaarmazottak
2.61	father-in-law (of a man)	apooš
2.611	father-in-law (of a woman)	apooš
2.62	mother-in-law (of a man)	aɲooš
2.621	mother-in-law (of a woman)	aɲooš
2.63	son-in-law (of a man)	wöö
2.631	son-in-law (of a woman)	wöö
2.64	daughter-in-law (of a man)	meɲ
2.641	daughter-in-law (of a woman)	meɲ
2.71	stepfather	moštohaapa
2.72	stepmother	moštohaaɲa
2.73	stepson	moštohafiuu
2.74	stepdaughter	moštohal(e)aaɲ
2.75	orphan	aarwa
2.76	widow	özwedʸ
2.77	widower	özwedʸember
2.81	relatives, kinsmen	rokon
2.82	family	čalaad
2.91	I	een
2.92	you (singular)	te
2.93	he/she/it	öö; az
2.94	we	mi
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	ti
2.96	they	öök
3.11	animal	aallat
3.12	male (adj)	hiim
3.13	female (adj)	nööšteeɲ
3.15	livestock	aallataallomaaɲ
3.16	pasture	legelöö
3.18	herdsman	paastor
3.19	stable, stall	ištaalloo
3.2	cattle (bovine)	marha
3.21	bull	bika
3.22	ox	ökör
3.23	cow	teheen
3.24	calf	boryuu
3.25	sheep	yuh; birka
3.26	ram	koš; ürü; yuh
3.28	ewe	nööšteeɲyuh
3.29	lamb	kišbaaraaɲ
3.32	boar	waddisnoo
3.34	sow	disnoo; šerteeš
3.35	pig	malac̷
3.36	goat	kečke
3.37	he-goat	bakkečke
3.38	kid	kečkegida
3.41	horse (equine)	loo (meen)
3.42	stallion	čöödör; meen
3.44	mare	kanc̷a
3.45	foal, colt	čikoo
3.46	ass, donkey	samaar
3.47	mule	ösweer
3.5	fowl	haazisaarɲaš; baromfi
3.52	cock, rooster	kakaš
3.54	hen	tʸuuk
3.55	chicken	čibe ~ čirke
3.56	goose	liba
3.57	duck	kača
3.58	nest	feesek
3.581	bird	madaar
3.582	seagull	širaalʸ
3.583	heron	koočag
3.584	eagle	šaš
3.585	hawk	šoolʸom
3.586	vulture	dögewöö
3.591	bat	deneweer
3.592	parrot	papagaay
3.593	crow	waryuu
3.594	dove	galamb
3.596	owl	bagolʸ
3.61	dog	kutʸa; eb
3.614	rabbit	ɲuul
3.62	cat	mačka
3.622	opossum	opossum(egeer)
3.63	mouse, rat	egeer; patkaaɲ
3.65	fish	hal
3.652	fin (dorsal)	usoɲ
3.653	fishscale	pikkelʸ
3.654	gill	kopoltʸuu
3.655	shell	kadʸuloo
3.661	shark	c̷aapa
3.662	porpoise, dolphin	delfin
3.663	whale	baalna; c̷et
3.664	stingray	raaya
3.665	freshwater eel	eedešwiizi angolna
3.71	wolf	farkaš
3.72	lion	oroslaan
3.73	bear	medwe
3.74	fox	rooka
3.75	deer	sarwaš
3.76	monkey	mayom
3.77	elephant	elefaant
3.78	camel	tewe
3.81	insect	rowar
3.811	louse	tetüü
3.812	nit (louse egg)	tetüüpete
3.813	flea	bolha
3.814	centipede	saazlaabuu
3.815	scorpion	škorpioo
3.816	cockroach	poros
3.817	ant	handʸa
3.818	spider	pook
3.819	spider web	pookhaaloo
3.82	bee	meeh
3.821	beeswax	meehwias
3.822	beehive	meehkaš; kaptaar
3.823	wasp	daraaž
3.83	fly	leedʸ
3.831	sandfly (midge), gnat	suuɲog
3.832	mosquito	moskitoo
3.84	worm	kukac̷; feereg
3.85	snake	kiidʸoo
3.91	firefly	sentyaanošbogaar
3.92	butterfly	lepke; pillangoo
3.93	grasshopper	söčke
3.94	snail	čiga
3.95	frog	beeka
3.96	lizard	dʸiik
3.97	crocodile, alligator	krokodil; alligaator
3.98	turtle	teknööšbeeka
4.11	body	tešt
4.12	skin, hide	böör
4.13	flesh	huuš
4.14	hair (head)	haysaal ~ hay
4.142	beard	sakaall
4.144	body hair	söör(zet)
4.145	pubic hair	nemi söörzet
4.146	dandruff	(hay)korpa
4.15	blood	weer
4.151	vein, artery	weena; ütööeer
4.16	bone	čont
4.162	rib	borda
4.17	horn	sarw
4.18	tail	farok
4.19	back	haat
4.191	spine	gerinc̷oslop; haatgerinc̷
4.2	head	fey
4.201	side of head, temple	halaanteek
4.202	skull	kopoɲa
4.203	brain	adʸ
4.204	face	arc̷
4.205	forehead	homlok
4.207	jaw	aallkapoč
4.208	cheek	orc̷a
4.209	chin	aall
4.21	eye	sem
4.212	eyebrow	semöldök
4.213	eyelid	semheey
4.214	eyelash	sempilla
4.215	blink	huɲorgat; pišlog
4.22	ear	fül
4.221	earlobe	fülc̷impa
4.222	earwax	fülžiir
4.23	nose	orr
4.231	nostril	orrlʸuk
4.232	mucus (nasal)	takoɲ
4.24	mouth	saay
4.241	beak	(madaar)čöör
4.25	lip	ayak
4.26	tongue	ɲelw
4.27	tooth	fog
4.271	gums	iiɲ
4.272	molartooth	zaapfog
4.28	neck	ɲak
4.281	nape of neck	ɲaksirt
4.29	throat	torok
4.3	shoulder	waall
4.301	shoulderblade	lapoc̷ka
4.302	collarbone	kulččont
4.31	arm	kar
4.312	armpit	hoonaly
4.32	elbow	köɲök
4.321	wrist	čukloo
4.33	hand	keez
4.331	palm of hand	teɲeer
4.34	finger	uyy
4.342	thumb	hüwelʸkuyy
4.344	fingernail	köröm
4.345	claw	karom
4.35	leg	laab
4.351	thigh	c̷omb(čont)
4.352	calf of leg	laabikra
4.36	knee	teerd
4.37	foot	laab
4.371	ankle	boka
4.372	heel	šarok
4.374	footprint	laabɲom
4.38	toe	laabuyy
4.392	wing	saarɲ
4.393	feather	toll ~ madaartoll
4.4	chest	mell
4.41	breast (of woman)	mell ~ emlöö
4.412	nipple, teat	mellbimboo
4.42	udder	töödʸ
4.43	navel	köldök
4.44	heart	siiw
4.441	lung	tüdöö
4.45	liver	maay
4.451	kidney	weše
4.452	spleen	leep
4.46	stomach	dʸomor
4.461	intestines, guts	belek
4.462	waist	ɲak; tarkoo
4.463	hip	čiipöö
4.464	buttocks	feneek; far
4.47	womb	aɲameeh
4.49	testicle	here
4.492	penis	peenis
4.51	breathe, breath	leegelzik; leegezeeš
4.52	yawn, gape	c̷iišiit
4.521	hiccough	čuklik
4.53	cough	köhög
4.54	sneeze	tüssent
4.55	perspire	izzad
4.56	spit	köp
4.57	vomit	(ki)haaɲ; okaadik
4.58	bite	harap
4.59	lick	ɲal ~ ɲalogat
4.591	dribble	čöpög
4.61	sleep	alsik
4.612	snore	horkol
4.62	dream	aalmodik
4.63	wake up	eebred
4.64	break wind	sellent
4.65	urinate	wizel
4.66	defecate	beelšaar ~ ürüleek
4.67	have sexual intercourse	közöšül
4.68	shiver	remeg; resket
4.69	bathe	fürdik
4.71	beget (of father)	sületik
4.72	born (to be)	sül
4.73	pregnant	terheš; aallapotoš
4.732	conceive	teherbe ešik
4.74	live, living, life	eel; eelöö; eelet
4.75	die, dead	meghal; halott
4.751	drowned	wiizbefuult
4.76	kill	megöl
4.77	corpse	hulla; tetem
4.78	bury (the dead)	eltemet
4.79	grave, tomb	šiir
4.81	strong, mighty, powerful	erööš; hatalmaš
4.82	weak	dʸenge
4.83	well, health	egeesšeegeš; egeesšeeg
4.84	sick, sickness	beteg; betegšeeg
4.841	fever	laaz
4.842	goiter	golʸwa
4.843	cold (catarrh)	meghüüleeš
4.85	wound, sore	šeb
4.852	bruise	keek folt; weeralaafutaaš
4.853	swelling	feldagad ~ felpuffad
4.854	itch	wisketeeš
4.855	blister	(wiiz)hoolʸag
4.856	boil (noun)	keleeš; taalʸog
4.857	pus	genɲ
4.858	scar	heg; forradaaš
4.86	cure, heal	aapol; kezel
4.87	physician	orwoš
4.88	medicine, drug	orwoššaag
4.89	poison	meereg
4.91	tired, weary	faaradt; kimerült
4.912	rest	pihen
4.92	lazy	lušta
4.93	bald	kopas
4.94	lame	šaanta
4.95	deaf	šüket
4.96	mute	neema
4.97	blind	wak
4.98	intoxicated	reeseg
4.99	naked, bare	meztelen; puc̷eer
5.11	eat	esik
5.12	food	eetel
5.121	cooked	föött; šült
5.122	raw	ɲerš
5.123	ripe	eerett
5.124	green, unripe	zöld; ɲerš
5.125	rotten	rothadt
5.13	drink	isik
5.14	hunger	eehšeeg
5.141	famine	eehšeeg
5.15	thirst	somy(uušaag)
5.16	suck	siiw
5.18	chew	(meg)raag
5.181	swallow	(le)ɲel
5.19	choke	fuldoklik; megfoyt
5.21	cook	fööz
5.22	boil (vb)	forral
5.23	roast, fry	šüt
5.24	bake	šüt
5.25	oven	tüüzhelʸ; kaalʸha
5.26	pot, cooking vessel	edeeɲ; fazeek
5.27	kettle	üšt
5.28	pan	šerpeɲöö
5.31	dish	edeeɲ
5.32	plate	taaɲeer
5.33	bowl	taal
5.34	pitcher, jug	köčög; koršoo ~ kančoo
5.35	cup, drinking vessel	čeese
5.36	saucer	čeesealy
5.37	spoon	kanaal
5.38	knife	keeš
5.39	fork	willa
5.391	tongs	(harapoo)fogoo
5.41	meal (a)	eetkezeeš ~ eetel
5.42	breakfast	reggeli; tiizoorai
5.43	lunch	[lönč]; eetkezeeš
5.44	dinner	ebeed
5.45	supper	wačora
5.46	peel	haamoz
5.47	sieve, strain	süür; aatsüür
5.48	scrape	lewakar
5.49	stir, mix	kewer; wedʸiit
5.51	bread	keɲeer
