entry_id	trans_english	Mocoví_Phonemic
1.1	world	ʔlawa
1.21	earth, land	ʔlawa
1.212	earth=ground, soil	ʔlawa
1.213	dust	n-amoʁo-yaʁa
1.214	mud	n-šaaʁa
1.215	sand	l-oʔwaʁan-aʁa
1.22	mountain, hill	soʁonaʁa
1.222	cliff, precipice	tokot
1.23	plain, field	noʔweenaʁa
1.24	valley	n-kaʔme-ge
1.25	island	delek
1.26	mainland	
1.27	shore	lemanaʁa
1.28	cave	l-awak
1.31	water	waʁayaḳ
1.32	sea	waaʁai
1.322	calm (of sea)	n-aǰaari-či-giɲi
1.323	rough (of sea)	
1.324	foam	roʔi
1.329	ocean	waaʁai
1.33	lake	latogot lateʔogeʔ
1.34	gulf, bay	
1.341	lagoon	latogot
1.342	reef	
1.343	headland, point	
1.35	wave	loʔpaʁa
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	lačiwge
1.362	whirlpool	
1.37	spring, well	li-ʔlʸiwi-oʁoki
1.38	swamp	ḳaiʔim
1.39	waterfall	
1.41	woods, forest	ʔooči
1.42	tree (cf 08.600)	ḳoʔpaḳ
1.43	wood	ḳoʔpaḳ
1.44	stone, rock	ḳaʔ
1.45	earthquake	i-ʔloʁol na ʔlawa
1.51	sky	pigim
1.52	sun	raʔaasa
1.53	moon	širaigo
1.54	star	waḳahɲi
1.55	lightning	n-ḳaiʔleg-aʁa
1.56	thunder	n-alat-aʁa
1.57	lightning (as striking)	n-ḳaiʔleg-aʁa
1.58	storm	nonot lodegaʁat
1.59	rainbow	ḳoɲiʔge
1.61	light (noun)	reʔoḳ-oh-lek
1.62	darkness	n-apal-aʁa
1.63	shade, shadow	n-aʔal
1.64	dew	ʔyaʔ
1.71	air	nonot
1.72	wind	nonot
1.73	cloud	n-awege-lek
1.74	fog	neweʔ
1.75	rain (noun)	yaʁat
1.76	snow (noun)	loɲi
1.77	ice	loɲi
1.78	weather	
1.81	fire	norek
1.82	flame (noun)	l-awaḳ
1.83	smoke (noun)	ne-salaʁaʔ
1.84	ashes	lo
1.841	embers	poḳo
1.851	burn (vb trans)	y-awig-aʁat
1.852	burn (vb intrans)	y-awik
1.86	light, kindle, ignite	n-awig-aʁat-ek
1.861	extinguish	y-oʔmat
1.87	match (noun)	n-owook-a-lek
1.88	firewood	ḳoʔpaḳ
1.89	charcoal	poḳo
2.1	person, human being	ḳom le-ʔek
2.21	man (vs. woman)	yale
2.22	woman	ʔaalo
2.23	male	yale
2.24	female	ʔaalo
2.25	boy	nokt-okiʔ
2.251	young man (adolescent)	neʔnek
2.26	girl	nokt-oʔlʸiʔ
2.261	young woman (adolescent)	neketegaʁai
2.27	child	nokt-okiʔ
2.28	infant, baby	nokt-okiʔ
2.31	husband	l-owa
2.32	wife	l-owa
2.33	marry	ʔon
2.34	marriage, wedding	l-oʔn-aʁak
2.341	divorce	
2.35	father	le-taʔa
2.36	mother	l-ateʔe
2.37	parents	le-taʔa-l
2.38	married man	
2.39	married woman	
2.41	son	lʸ-aale-k
