entry_id	trans_english	Slavonic_Old_Church_Phonemic
14.63	Monday	ponedělŭkŭ
14.64	Tuesday	vŭtornikŭ
14.65	Wednesday	tretĭjĭnikŭ; srěda
14.66	Thursday	četurĭtŭkŭ
14.67	Friday	pętŭkŭ; pętĭnica
14.68	Saturday	sobota; sąbota
14.71	month	měsęcĭ
14.73	year	lěto
14.74	winter	zima
14.75	spring	vesna
14.76	summer	žętva; lěto
14.77	autumn	jesenĭ
14.78	season	
15.21	smell (vb intrans)	obonjati; ąchati
15.212	sniff	
15.22	smell (vb trans)	vonjati
15.25	fragrant, good smelling	blagovonĭnŭ
15.26	stinking, bad smelling	smrŭděti; smradŭ
15.31	taste	vŭkusiti; vŭkusŭ
15.35	sweet	sladŭkŭ
15.36	salty	slanŭ
15.37	bitter	gorĭkŭ
15.38	acid, sour	kyslŭ
15.39	brackish	
15.41	hear	slyšati
15.42	listen	slušati
15.44	sound, noise	zvękŭ; zvąkŭ
15.45	loud	velĭjĭ
15.46	quiet, silence	tichŭ
15.51	see	viděti; zĭrěti
15.52	look, look at	žĭrěti; ględati; sŭmotriti
15.55	show	pokazati; (j)aviti
15.56	shine	světiti; blĭštati; sijati; lĭštati sę
15.57	bright	světĭlŭ
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	tĭmĭnŭ
15.64	white	bělŭ
15.65	black	črŭnŭ
15.66	red	črŭmĭnŭ; črĭvenŭ; rŭdrŭ
15.67	blue	sinĭ
15.68	green	zelenŭ
15.69	yellow	žlĭtŭ
15.71	touch	kosnąti; prikasati; prisęšti; osęzanĭje
15.712	pinch	
15.72	feel	osęgnąti; osęzati
15.74	hard	žestokŭ; tvrŭdŭ
15.75	soft	mękŭkŭ
15.76	rough	srŭchŭkŭ
15.77	smooth	gladŭkŭ
15.78	sharp	ostrŭ
15.79	blunt, dull	tąpŭ
15.81	heavy	tęžĭkŭ
15.82	light (in weight)	lĭgŭkŭ
15.83	wet, damp	mokrŭ
15.84	dry	suchŭ
15.85	hot	toplŭ
15.851	warm	
15.86	cold	studenŭ
15.87	clean	čistŭ
15.88	dirty, soiled	nečistŭ
15.89	wrinkled	
16.11	soul, spirit	duša; duchŭ
16.15	surprised, astonished	užasŭ
16.18	good fortune, luck	kobĭ
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	radŭ; veselŭ; radostĭ; blaženŭ
16.25	laugh	smějati sę
16.251	smile	
16.26	play	igrati
16.27	love	ljuby; ljubiti
16.29	kiss	lobŭzati; cělovati
16.3	embrace	
16.31	pain	bolěznĭ; strastĭ
16.32	grief, sorrow, sadness	pečalĭ; skrŭbĭ; priskrŭbĭnŭ
16.33	anxiety, worry	pečalĭ
16.34	regret, be sorry	(ras)kajati sę
16.35	pity	milostĭ; milosrŭdĭje
16.37	cry, weep	plakati (sę)
16.38	tear (noun)	slĭza
16.39	groan	stenati
16.41	hate	nenavistĭ
16.42	anger	gněvŭ; jarostì
16.44	envy, jealousy	zavistĭ; rĭvĭnĭje
16.45	shame (noun)	studŭ; sramŭ
16.48	proud	grŭdŭ
16.51	dare	sŭměti; drŭzati
16.52	brave	drŭzŭ; chrabŭrŭ
16.53	fear, fright	strachŭ; bojaznĭ
16.54	danger	běda
16.62	desire, want	želěti
16.622	choose	
16.63	hope	upŭvanĭje; nadežda
16.65	faithful	věrĭnŭ
16.66	true	istina
16.67	lie, tell lies	lŭža
16.68	deceit	lĭstĭ; ląka
16.69	forgive	otŭpustiti; prostiti
16.71	good	dobrŭ; blagŭ
16.72	bad	zŭlŭ
16.73	right, correct	pravĭdĭnŭ
16.74	wrong	
16.76	fault	vina
16.77	mistake, error	lĭstĭ
16.78	blame	zazĭrěti
16.79	praise	chvala
16.81	beautiful	krasĭnŭ
16.82	ugly	rąžĭnŭ
16.83	greedy	
16.84	clever	
17.11	mind	umŭ
17.13	think (= reflect)	mysliti
17.14	think (= be of the opinion)	mĭněti; měniti
17.15	believe	věrą jęti; věrovati
17.16	understand	razuměti
17.17	know	věděti; razuměti; znati
17.171	guess	
17.172	imitate	
17.18	seem	(j)aviti sę
17.19	idea, notion	
17.21	wise	mądrŭ; prěmądrŭ
17.22	foolish, stupid	bezumĭnŭ; bujĭ
17.23	insane, crazy	neistovŭ
17.24	learn	učiti sę
17.242	study	
17.25	teach	učiti
17.26	pupil	učenikŭ
17.27	teacher	učitelĭ
17.28	school	
17.31	remember	poměnąti; pomęnąti; pomĭněti
17.32	forget	zabyti
17.34	clear, plain	(j)avě; jasno
17.35	obscure	
17.36	secret	tajĭnŭ
17.37	sure, certain	
17.38	explain	sŭkazati
17.41	intention, purpose	pomyšlenĭje
17.42	cause	vina
17.43	doubt	sąmĭnenĭje
17.44	suspect	
17.441	betray	
17.45	need, necessity	potrěba; nąžda; nevolja
17.46	easy	udobĭ
17.47	difficult	ne udobĭ
17.48	try, attempt	iskati; iskusiti
17.49	way, manner	obrazŭ
17.51	and	
17.52	because	
17.53	if	
17.54	or	
17.55	yes, affirmative	
17.56	no, negative	
17.61	how?	
17.62	how many?	
17.63	how much?	
17.64	what?	
17.65	when?	
17.66	where?	
17.67	which?	
17.68	who?	
17.69	why?	
18.11	voice	glasŭ
18.12	sing	pěti
18.13	shout, cry out	vŭpiti; vŭzŭpiti; kričati
18.15	whisper	
18.16	mumble	
18.17	whistle	
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	glagolati; věštati
18.211	stutter, stammer	
18.22	say	rešti; pověděti
18.221	tell story	
18.222	speech (make a)	
18.23	silent (be)	mlŭčati
18.24	language	językŭ
18.26	word	glagolŭ; slovo
18.28	name	imę
18.31	ask (question, inquire)	vŭprositi
18.32	answer	otŭvěštati
18.33	admit, confess	ispovědati
18.34	deny	otŭvrěšti sę; otŭmetati sę
18.35	ask, request	prositi; moliti
18.36	promise	oběštati
18.37	refuse	otŭrešti
18.38	forbid	(vŭz)braniti
18.39	rebuke, scold	
18.41	call (=summon)	(pri)zŭvati
18.42	call (=name)	narešti
18.43	announce	vŭzvěstiti; pověděti
18.44	threaten	(za-)prětiti; groziti
18.45	boast	chvaliti sę
18.51	write	pĭsati
18.52	read	čisti
18.56	paper	chartija
18.57	pen	trŭstĭ
18.61	book	kŭnigy
18.67	poet	
18.71	flute	
18.72	drum	
18.73	horn, trumpet	
18.74	rattle	
19.11	country	strana; zemlja
19.12	one's native country	otĭčĭstvĭje
19.15	city, town	gradŭ
19.16	village	vĭsĭ
19.17	boundary	prědělŭ
19.21	people (populace)	ljudĭje; narodŭ
19.23	tribe, clan	kolěno; rodŭ; plemę
19.24	chief, chieftain	
19.25	staff, walking stick	
19.31	rule, govern	vlasti
19.32	king, ruler	cěsar'ĭ; kral'ĭ
19.33	queen	cěsarica
19.36	noble, nobleman	boljarinŭ
19.37	citizen, subject	graždaninŭ; žiteljĭ
19.41	master	gospodĭ
19.42	slave	rabŭ
19.43	servant	sluga
19.44	freeman	svobodĭ
19.45	command, order	(po)velěti; zapověděti
19.46	obey	poslušati
19.47	let, permit	povelěti; ostaviti
19.51	friend, companion	drugŭ; prijateljĭ; obĭštĭnikŭ
19.52	enemy	vragŭ; neprijateljĭ
19.54	neighbor	sąsědŭ
19.55	stranger	stranĭnŭ
19.56	guest	gostĭ
19.57	host	gostinĭnikŭ
19.58	help, aid	pomošti
19.59	hinder, prevent	(vŭz)braniti
19.61	custom	obyčaj; nravŭ
19.62	strife, quarrel	pĭrja; sŭvada
19.63	conspiracy, plot	
19.65	meet	sŭrěsti
19.72	prostitute	ljubodějica; blądĭnica
20.11	fight (vb)	pĭrěti sę; brati
20.13	war, battle	branĭ; ratĭ; kotora
20.14	peace	mirŭ
20.15	army	vojĭ
20.17	soldier	vojinŭ
20.21	weapons, arms	orąžĭja
20.22	club	drŭkolĭ
20.222	battle-ax	
20.23	sling	prašta
20.24	bow	ląkŭ
20.25	arrow	strěla
20.26	spear	kopĭje; sulica
20.27	sword	mečĭ; kor(ŭ)da
20.28	gun, cannon	
20.31	armor (defensive)	orąžĭja
20.33	helmet	šlěmŭ
20.34	shield	štitŭ
20.35	fortress	gradište
20.36	tower	stlŭpŭ; synŭ
20.41	victory	poběda
20.42	defeat	
20.43	attack	napadenĭje
20.44	defend	
20.45	retreat	běstvo
20.46	surrender	prědati
20.47	captive, prisoner	plěnĭnikŭ
20.471	guard, sentinel	
20.48	booty, spoils	koristĭ; plěnŭ
20.49	ambush	zasada
20.51	fisherman	
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	
20.56	bait	
20.61	hunt	loviti
20.62	shoot	
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	zakonŭ
21.15	court	sądŭ
21.16	judge (vb)	sąditi
21.17	judgment	sądŭ
21.18	judge (noun)	sądĭji
21.21	plaintiff	
21.22	defendant	
21.23	witness	sŭvědětelĭ
21.24	swear	klęti sę
21.25	oath	klętva; prisęga
21.31	accuse	(vŭz)glagolati (na); vaditi (na)
21.32	condemn	osąditi
21.33	convict (vb)	obličiti
21.34	acquit	pustiti
21.35	guilty	(po)vinĭnŭ
21.36	innocent	ne povinĭnŭ
21.37	penalty, punishment	(po)kaznĭ
21.38	fine	
21.39	prison, jail	temĭnica
21.42	murder	ubijĭstvo; ubojĭ
21.43	adultery	prěljubodějanĭje
21.44	rape	
21.46	arson	
21.47	perjury	lŭžesŭvěděnĭje
21.51	steal	krasti; tatĭva; kradĭba
21.52	thief	tatĭ
22.11	religion	věra
22.12	God	bogŭ
22.13	temple, church	crŭky; chramŭ
22.14	altar	ol(ŭ)tarĭ
22.15	sacrifice, offering	žrŭtva
22.16	worship	klaněti sę; pokloniti sę; čisti
22.17	pray	moliti sę
22.18	priest	ierejĭ; čistitel'ĭ; žĭrĭcĭ; svęštenikŭ; popŭ
22.19	holy, sacred	svętŭ
22.22	preach	propovědati
22.23	bless	blagosloviti
22.24	curse	(pro)klęti
22.26	fast (vb)	postiti
22.31	heaven	nebo
22.32	hell	adŭ; pekle
22.35	demon (evil spirit)	běsŭ
22.37	idol	kumirŭ
22.42	magic, witchcraft, sorcery	čari; vlŭšiba
22.43	sorcerer, witch	věštica; vědĭma
22.44	fairy, elf	
22.45	ghost, phantom	prizrakŭ
22.47	omen, portent	znamenĭje
