entry_id	trans_english	Slavonic_Old_Church_Phonemic
3.823	wasp	
3.83	fly	mucha
3.831	sandfly (midge), gnat	
3.832	mosquito	
3.84	worm	črŭvĭ
3.85	snake	zmija
3.91	firefly	
3.92	butterfly	
3.93	grasshopper	
3.94	snail	
3.95	frog	
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	tělo
4.12	skin, hide	koža
4.13	flesh	plŭtĭ; męso
4.14	hair (head)	vlasŭ
4.142	beard	brada
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	
4.15	blood	krŭvĭ
4.151	vein, artery	
4.16	bone	kostĭ
4.162	rib	rebro
4.17	horn	rogŭ
4.18	tail	opašĭ; očesŭ; ošibŭ
4.19	back	chribŭtŭ
4.191	spine	
4.2	head	glava
4.201	side of head, temple	
4.202	skull	kranijevŭ; lŭbŭ
4.203	brain	mozgŭ
4.204	face	lice
4.205	forehead	čelo
4.207	jaw	čeljustĭ
4.208	cheek	lanita
4.209	chin	
4.21	eye	oko
4.212	eyebrow	brŭvĭ
4.213	eyelid	
4.214	eyelash	
4.215	blink	
4.22	ear	ucho
4.221	earlobe	
4.222	earwax	
4.23	nose	nosŭ
4.231	nostril	
4.232	mucus (nasal)	
4.24	mouth	usta
4.241	beak	
4.25	lip	ustĭna
4.26	tongue	językŭ
4.27	tooth	ząbŭ
4.271	gums	
4.272	molartooth	
4.28	neck	vyja; šija
4.281	nape of neck	
4.29	throat	grŭlo
4.3	shoulder	ramo; plešte
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	myšĭca
4.312	armpit	
4.32	elbow	lakŭlĭ
4.321	wrist	
4.33	hand	rąka
4.331	palm of hand	
4.34	finger	prŭstŭ; prĭstŭ
4.342	thumb	palĭcĭ
4.344	fingernail	nogŭtĭ
4.345	claw	
4.35	leg	golěnĭ
4.351	thigh	
4.352	calf of leg	
4.36	knee	kolěno
4.37	foot	noga
4.371	ankle	
4.372	heel	
4.374	footprint	
4.38	toe	prŭstŭ (?)
4.392	wing	krilo
4.393	feather	pero
4.4	chest	prŭsi; grudĭ
4.41	breast (of woman)	sŭsŭ; sŭsĭcĭ
4.412	nipple, teat	
4.42	udder	
4.43	navel	pąpŭkŭ; pąpŭ
4.44	heart	srŭdĭce
4.441	lung	
4.45	liver	jętro
4.451	kidney	
4.452	spleen	
4.46	stomach	črěvo; ątroba
4.461	intestines, guts	
4.462	waist	
4.463	hip	
4.464	buttocks	
4.47	womb	črěvo; ątroba
4.49	testicle	isto; *mądo; lono
4.492	penis	
4.51	breathe, breath	dychati; dychanĭje; duchŭ
4.52	yawn, gape	zinąti; zijati
4.521	hiccough	
4.53	cough	kašĭljati
4.54	sneeze	
4.55	perspire	potŭ
4.56	spit	pljĭvati
4.57	vomit	bljĭvati
4.58	bite	grysti; kusati
4.59	lick	lizati
4.591	dribble	
4.61	sleep	sŭpati; sŭnŭ
4.612	snore	
4.62	dream	sŭnŭ
4.63	wake up	buditi; bŭděti
4.64	break wind	
4.65	urinate	sĭcati; sĭčĭ
4.66	defecate	gnojĭ; govno; lajĭno
4.67	have sexual intercourse	
4.68	shiver	
4.69	bathe	
4.71	beget (of father)	roditi
4.72	born (to be)	roditi
4.73	pregnant	neprazdĭna
4.732	conceive	
4.74	live, living, life	žiti; živŭ; životŭ; žiznć
4.75	die, dead	(u)mrěti; mrŭtvŭ; sŭmrŭtĭ
4.751	drowned	
4.76	kill	ubiti; umoriti
4.77	corpse	tělo; trupŭ; navĭ
4.78	bury (the dead)	pogreti
4.79	grave, tomb	grobŭ
4.81	strong, mighty, powerful	krěpŭkŭ; silĭnŭ
4.82	weak	slabŭ
4.83	well, health	sŭdravŭ; cělŭ; sŭdravĭje
4.84	sick, sickness	bolĭnŭ; bolěznĭ; nedągŭ; jędza
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	strupŭ; jazva; rana
4.852	bruise	
