entry_id	trans_english	Tuamotuan_Phonemic
1.1	world	ao; aopoto; hei.ao
1.21	earth, land	ao.nei; vavau; henūa; henua nei
1.212	earth=ground, soil	ŋā.ere; ŋā.ere.henūa
1.213	dust	rehu; kōnui
1.214	mud	
1.215	sand	ŋā.ere
1.22	mountain, hill	
1.222	cliff, precipice	
1.23	plain, field	ma.hora
1.24	valley	
1.25	island	motu; ŋahu; papāŋahu; tahuna
1.26	mainland	
1.27	shore	ahāria; ta.hora; hui.rere; tari-henua
1.28	cave	ana
1.31	water	kami; komo; komo.vai; vai; mi; kūvai; mahūi
1.32	sea	fatu.moāna
1.322	calm (of sea)	kō.ari; ŋare
1.323	rough (of sea)	
1.324	foam	ma.hina; huka.huka.ŋaru
1.329	ocean	tō.aha.ŋa
1.33	lake	
1.34	gulf, bay	kāpoho; kō̈kōŋa; hā.korō.ŋa
1.341	lagoon	hōpaki; hopū.a
1.342	reef	
1.343	headland, point	
1.35	wave	ŋaru; kare; ŋaru.ae
1.352	tide	
1.353	lowtide	ŋōe; ŋōne; ŋōē.ŋa; hu.hu
1.354	hightide	pī kahu; perehue
1.36	river, stream, brook	’anavai; komo.tahe
1.362	whirlpool	
1.37	spring, well	ka heru-vai; kū.keri.komo; komo.hī; komo-tumu
1.38	swamp	ka.hora.kōpara; kōmeri
1.39	waterfall	
1.41	woods, forest	aru, taru; ārakau, uru-rākau
1.42	tree (cf 08.600)	
1.43	wood	
1.44	stone, rock	pō.fatu, pōhatu; hua.kiri; kiri.kiri
1.45	earthquake	
1.51	sky	ahātea; raŋi
1.52	sun	rā
1.53	moon	ma.hina; hina; kahēa; kāvake; poŋi; marama
1.54	star	heko; hētīka; hetū; kavei
1.55	lightning	ahi.ahi; kānapā
1.56	thunder	ŋātoro; hoa; hoā.raŋi; ma.hoa
1.57	lightning (as striking)	kō.hiko; kemo
1.58	storm	heinaŋana; pā.hu; hu.ŋa
1.59	rainbow	ahe.ahe, ahē.ŋa; anua
1.61	light (noun)	aho; auīna (ao)ɍworld; hēraka; rako; huru
1.62	darkness	hiva; kere.kere; kehu
1.63	shade, shadow	
1.64	dew	ŋari; toŋahaumi; hāumi; hupe-no-hono
1.71	air	
1.72	wind	fane-fane
1.73	cloud	ata; ā.pehu
1.74	fog	au; ko.hu; ko.hū.a
1.75	rain (noun)	hu
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	ahi; kama; kāniŋa; kanīŋa; kōniŋa; totopi
1.82	flame (noun)	kā; kama; kaniŋa
1.83	smoke (noun)	au; kahora
1.84	ashes	
1.841	embers	ŋārahu; karahu; ŋārahu.kama; ŋarahu.kāūra; kama.ra
1.851	burn (vb trans)	kā; kā.kā
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	hāruku; haka.kama
1.861	extinguish	tū.hiŋa
1.87	match (noun)	
1.88	firewood	kareire; karīre
1.89	charcoal	
2.1	person, human being	ta.ŋata
2.21	man (vs. woman)	ŋata; kāefa; kakahu
2.22	woman	hine; mohīne; ruā-hīne; tamahīne; tūahīne; vahīne
2.23	male	hākoi
2.24	female	
2.25	boy	
2.251	young man (adolescent)	karioi
2.26	girl	
2.261	young woman (adolescent)	ta.pa.iru; kura; kura-tīa
2.27	child	kipakipa
2.28	infant, baby	
2.31	husband	kāefa; tāne; tāefa
2.32	wife	kahu.hume
2.33	marry	haka.ipo.ipo
2.34	marriage, wedding	
2.341	divorce	
2.35	father	
2.36	mother	
2.37	parents	huauri; koro.metūa
2.38	married man	ahana
2.39	married woman	ahana
2.41	son	
2.42	daughter	
2.43	offspring (son or daughter)	huā.ŋa
2.44	brother	
2.444	older brother	
2.445	younger brother	
2.45	sister	
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	tupuna
2.461	old man	itu; kara; kau.mātua; koro; korōu.a
2.47	grandmother	
2.471	old woman	ŋāŋata; ŋoi
2.48	grandson	hina; kohuri
2.49	granddaughter	
2.51	uncle	
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
