entry_id	trans_english	Colorado_Phonemic
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	mu; seʰ'ka
3.812	nit (louse egg)	
3.813	flea	c̷iʰ'pĩ
3.814	centipede	man'ma pi'ni
3.815	scorpion	te'pĩ
3.816	cockroach	ˀbẽc̷e'le; ku'rũ
3.817	ant	ˀdĩ; 'c̷eri
3.818	spider	ka'rã
3.819	spider web	ka'rã ˀda'ˀda
3.82	bee	c̷i'na
3.821	beeswax	c̷ina-pe
3.822	beehive	
3.823	wasp	ha'la
3.83	fly	c̷iri-'pemãka
3.831	sandfly (midge), gnat	
3.832	mosquito	te'lĩ
3.84	worm	ʔoh'tõ-koro
3.85	snake	pi'ni
3.91	firefly	mololo
3.92	butterfly	'pũpu
3.93	grasshopper	ʔi'su
3.94	snail	tõ'ki
3.95	frog	koʰ'tan
3.96	lizard	'lãpalo
3.97	crocodile, alligator	'maʰte
3.98	turtle	ʔonpi
4.11	body	'c̷aʰc̷i puʰ-'ka
4.12	skin, hide	'kiˀdo
4.13	flesh	'c̷aʰc̷i-ka
4.14	hair (head)	ʔa; haʰpi'su; a Φu
4.142	beard	teʰ'sẽ
4.144	body hair	Φu
4.145	pubic hair	ʔa
4.146	dandruff	
4.15	blood	ʔaʰ'sã
4.151	vein, artery	ʔaʰ'sã si'li
4.16	bone	c̷i'ˀde
4.162	rib	kilĩ'c̷i c̷i'ˀde
4.17	horn	kaʰ'c̷i
4.18	tail	me
4.19	back	ˀbeʰ'tẽˀde
4.191	spine	ˀbeʰ'tẽˀde c̷i'ˀde
4.2	head	mi'su
4.201	side of head, temple	
4.202	skull	mi'su c̷i'ˀde
4.203	brain	Φupe
4.204	face	ka-ʰΦo'ro
4.205	forehead	'lesu
4.207	jaw	teʰ'Φũ c̷i'ˀde
4.208	cheek	kaʰ-Φo'ro ʔ'apuʰka
4.209	chin	te'yoˀde; ki'yoˀde
4.21	eye	kaʰ'ka
4.212	eyebrow	kaʰ'ka Φu
4.213	eyelid	kaʰ'ka kiˀdo
4.214	eyelash	kaʰ'ka Φu
4.215	blink	'kuni ki-
4.22	ear	'pũki
4.221	earlobe	
4.222	earwax	
4.23	nose	'kĩΦu
4.231	nostril	'kĩΦu Φo'ro
4.232	mucus (nasal)	sĩ
4.24	mouth	Φiʰ'ki Φo'ro
4.241	beak	'kĩΦu
4.25	lip	ˀdo'ni
4.26	tongue	niʰ'ka-ka
4.27	tooth	teʰ'Φũ
4.271	gums	te'Φũ c̷i'ˀde
4.272	molartooth	'ˀbaʰkaka
4.28	neck	ku'ˀdã
4.281	nape of neck	
4.29	throat	ku'ˀdã
4.3	shoulder	'pãc̷i
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	'teˀde
4.312	armpit	si'ˀdã
4.32	elbow	teˀde ˀbũ-ka
4.321	wrist	teˀde ˀbũka
4.33	hand	teˀde
4.331	palm of hand	te-paʰ'pa
4.34	finger	te-mi'su
4.342	thumb	wa te-mi'su
4.344	fingernail	tewewe
4.345	claw	newewe
4.35	leg	'neˀde
4.351	thigh	ˀboʰ'te
4.352	calf of leg	'neˀde ʔi'yuka
4.36	knee	ne-ˀbolõ
4.37	foot	'neˀde
4.371	ankle	ne-ˀbũka; 'neˀde 'ˀbũ
4.372	heel	netaʰ'ka
4.374	footprint	'neˀde
4.38	toe	ne-mi'sux
4.392	wing	'pã-pe
4.393	feather	Φu
4.4	chest	tẽ-ka
4.41	breast (of woman)	ku
4.412	nipple, teat	
4.42	udder	ku
4.43	navel	'ˀbõteˀde-ka
4.44	heart	'tẽ-ka; tẽ-ka ni
4.441	lung	keʰ'Φo
4.45	liver	haʰ'ke
4.451	kidney	c̷ĩc̷ika
4.452	spleen	taʰ'ki
4.46	stomach	pe-ko'lo
4.461	intestines, guts	'pe-sili
4.462	waist	
4.463	hip	
4.464	buttocks	ˀboʰ'te
4.47	womb	pi-ʔayã
4.49	testicle	piʰ'po-ka
4.492	penis	nu'mi
4.51	breathe, breath	haʰ'sa ka-no; haʰ'sa ke-no
4.52	yawn, gape	'haˀda ke-no
4.521	hiccough	heʔu; heko
4.53	cough	ʔoʰ'Φo-ke-no
4.54	sneeze	ʔaʰ'c̷ĩ-ke-no
4.55	perspire	c̷iʰ'pi; c̷iʰ'pi lari-no
4.56	spit	tuʰ'Φa-ke-no; tuʰ'pa-ke-no
4.57	vomit	kaʰ'c̷a-ke-no
4.58	bite	ha'li-no
4.59	lick	mi'lã-no
4.591	dribble	
4.61	sleep	kaʰ'c̷o-no
4.612	snore	ko'rõ pa-no
4.62	dream	kiʰ'pi ke-no
4.63	wake up	'sõ-kari-no
4.64	break wind	
4.65	urinate	si'ra pi ke-no
4.66	defecate	pe ke-no; kã'to ke-no
4.67	have sexual intercourse	so ke-no
4.68	shiver	ho'wĩ po-no
4.69	bathe	pi-piya-no
4.71	beget (of father)	na po-no
4.72	born (to be)	'na-ʔi-no
4.73	pregnant	na pũ
4.732	conceive	na wi-no
4.74	live, living, life	'sõna-no
4.75	die, dead	piya-no
4.751	drowned	haˀdi-no
4.76	kill	toʰ'te-no
4.77	corpse	piya'ka
4.78	bury (the dead)	me'na-; mena-no
4.79	grave, tomb	me'na; me'na Φo'ro
4.81	strong, mighty, powerful	'sõ-ˀbã
4.82	weak	koma'na
4.83	well, health	sẽ; sẽ-nã
4.84	sick, sickness	ki'yã; ki'yã-pũ
4.841	fever	kuʰpara
4.842	goiter	
4.843	cold (catarrh)	ʔoʰ'Φo
4.85	wound, sore	Φu'ˀda
4.852	bruise	Φu'ˀda
4.853	swelling	tuwa-no
4.854	itch	piʰ'ta
4.855	blister	te'pĩ
4.856	boil (noun)	lu'rĩ
4.857	pus	ke'le
4.858	scar	pe'ra
4.86	cure, heal	hãpe-no
4.87	physician	
4.88	medicine, drug	hã'pe
4.89	poison	hã'pe
4.91	tired, weary	peʰ'pa
4.912	rest	haʰ'sa-ʔi-no
4.92	lazy	lã-
4.93	bald	
4.94	lame	hã'kã
4.95	deaf	me'ra-tumĩ
4.96	mute	paʰtumĩ; eʰpe'la
4.97	blind	ki'ra-no [po'ˀde]-iʰ-to-n
4.98	intoxicated	wi'nã
4.99	naked, bare	'Φu-puʰ-ka
5.11	eat	'Φi-
5.12	food	ʔa'no
5.121	cooked	'ʔa-'ka; ˀda'ka
5.122	raw	sa'na
5.123	ripe	lũ
5.124	green, unripe	paʰ'pi; 'c̷oc̷o; 'c̷oc̷oˀde-n
5.125	rotten	peʰ'tẽ-ka; peʰtẽ-no
5.13	drink	kuʰ'c̷i-no
5.14	hunger	ʔa'no muʰke-no; ʔa'no ya-no
5.141	famine	
5.15	thirst	pi muʰke-no
5.16	suck	c̷u-no
5.18	chew	hali-no
5.181	swallow	lu'we-no
5.19	choke	ha'ˀdi-no
5.21	cook	'ʔa-; ˀda-'no; 'a-suwa-no
5.22	boil (vb)	wara-no
5.23	roast, fry	'ʔa-suwa-no; piʰta-no; piʰte-no
5.24	bake	piʰ'ta-no
5.25	oven	
5.26	pot, cooking vessel	ni'ˀda
5.27	kettle	ni'ˀda
5.28	pan	ni'ˀda
5.31	dish	ni'ˀda
5.32	plate	ni'ˀda; mi'lã
5.33	bowl	ni'ˀda
5.34	pitcher, jug	
5.35	cup, drinking vessel	
5.36	saucer	ni'ˀda
5.37	spoon	'wisila
5.38	knife	[kuʰc̷ilu]
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	ʔano Φi-
5.43	lunch	ʔano Φi-
5.44	dinner	ʔano Φi-
5.45	supper	
5.46	peel	laʰc̷i-no; wili-no
5.47	sieve, strain	si'ya-no
5.48	scrape	wiri'si-no
5.49	stir, mix	yẽ'te-no; pala-no
5.51	bread	ˀbi'ˀbu
5.53	dough	
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	ʔili-no
5.57	mill	ʔili-no
5.58	mortar	--
5.59	pestle	--
5.61	meat	'c̷aʰc̷i-ka
5.63	sausage	
5.64	soup, broth	tũ-pi
5.65	vegetables	--
5.66	bean	mo'lo
5.7	potato	pu'lu; c̷ãpu
5.71	fruit	puʰ'ka; ka; ni
5.712	bunch	ta'rã
5.75	fig	--
5.76	grape	laʰ'ti
5.77	nut	puʰ'ka
5.78	olive	--
5.79	oil	
5.791	grease, fat	mu'lu
5.81	salt	'pĩˀba
5.82	pepper	--
5.821	chili pepper	'tũ
5.84	honey	c̷i'na pi
5.85	sugar	[asuka]
5.86	milk (noun)	ku-pi
5.87	milk (vb)	ku-pi lari-
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	kuʰ'c̷i-nũ
5.91	mead	--
5.92	wine	
5.93	beer	
5.94	fermented drink	ma'la
5.97	egg	piʰ'poka
5.971	egg yolk	
6.11	put on (clothes)	po-no
6.12	clothing, clothes	c̷ã'pa; panu
6.13	tailor	--
6.21	cloth	c̷ã'pa
6.22	wool	[ʔo'pisa] Φu
6.23	linen, flax	--
6.24	cotton	ku'wa
6.25	silk	--
6.27	felt	--
6.28	fur	Φu
6.29	leather	'kiˀdo
6.31	spin	ku'wa ke-no
6.32	spindle	
6.33	weave	siʰ'ta ke-no
6.34	loom	siʰ'ta
