entry_id	trans_english	Colorado_Phonemic
12.37	middle, center	kiʰ'c̷a-
12.41	right (side)	c̷a nã-c̷i
12.42	left (side)	ha'la nãc̷i
12.43	near (adv)	ke'lo; ke'lo-le
12.44	far (adv)	nu'wiri; 'haˀbi; ˀba're
12.45	east	Φe-c̷i
12.46	west	pele-c̷i
12.47	north	
12.48	south	
12.53	grow	ʔu'wã-ʔi-no
12.54	measure	'mi-no; 'mi-ke-no
12.541	span, fathom	teˀde
12.55	large, big	wa; ʔuwã; wã
12.56	small, little	'nakã; naʰ'ka; 'na-naʰka
12.57	long	ˀba'rẽ-
12.58	tall	ʔuwã
12.59	short	'napuʰkã; nakã
12.61	wide, broad	hele'lẽ; ʔa'yãn-kã
12.62	narrow	na-ˀdẽ; na-kã
12.63	thick (in dimension)	'ˀbẽˀbe
12.65	thin (in dimension)	'naˀdẽ-kã; na-pẽ
12.67	deep	wapũ
12.68	shallow	'wapũ ʔiʰtõ
12.71	flat	ʔo'rã
12.73	straight	tuka; tu
12.74	crooked	ʔẽ'ko
12.75	hook	ˀbe'rũ; ˀberũ-ka
12.76	corner	
12.77	cross	[ko'rosi]
12.78	square	--
12.81	round	torĩ-'kã
12.82	circle	torĩ-'kã
12.83	sphere, ball	[peloto]
12.84	line	si'li
12.85	hole	Φo'ro
12.92	like, similar	ku'wẽta
12.93	change	wa'laˀda-no
13.0	zero, nothing	ʔiʰto-no; 'natiya
13.1	one	mã; mã-ka
13.2	two	pa'lu; palu-'ka
13.3	three	pe'mã; pe'mã-'ka
13.4	four	hũ-palu; hũ-palu-'ka
13.5	five	'mã-te; 'mã-te-ka
13.6	six	[soʰ'ta]; [soʰta]-ka
13.7	seven	[si'yete]-ka
13.8	eight	[ʔoc̷u]-ka; [ʔoc̷u]
13.9	nine	[nu'we-ka]; [nu'we]
13.10	ten	[c̷ũ'ka]
13.101	eleven	c̷ũ'ka 'mã-ka
13.102	twelve	c̷ũ'ka palu-'ka
13.103	fifteen	c̷ũ'ka 'mã-te-ka
13.104	twenty	pa'lu c̷ũ-'ka
13.105	hundred	[pac̷a]
13.106	thousand	['mili]
13.107	count	'mi-no
13.14	every, all	ku'ra; piyã'le; hira'le
13.15	much, many	'ˀduke
13.16	more	Φe; nani Φe; nãtanã
13.17	little (quantity), few	na-si; na-ri
13.18	enough	'miʰc̷i
13.181	some	'ti-tiya; 'nasi
13.19	multitude, crowd	
13.21	full	tu'wã; tuwã-'le
13.22	empty	Φu
13.23	part, piece	piʰ'ti
13.24	half	kiʰ'c̷a
13.33	alone, only	mã-ka-si-ri; 'mã-ka-ri
13.34	first	kaʰ'ke
13.35	last	ˀde'ˀbi
13.36	second	--
13.37	pair	pa'lu; palu-'ka
13.38	two times	'palu ne
13.42	third	--
13.44	three times	pemã ne
14.11	time	
14.12	age	
14.13	new	kaʰ'sã
14.14	young	na
14.15	old	ʔu'ni-ka; si'nuka
14.16	early	
14.17	late	
14.18	now	'c̷aʔina; ʔamana
14.19	immediately	'c̷aʔina
14.21	swift, fast, quick	wewe; we; 'sõ-ˀbã
14.22	slow	hami'mĩ
14.23	hasten, hurry	
14.24	retard, delay	'wã-ʔi-no
14.25	begin, beginning	kasa'le
14.252	last, endure	de'bi
14.26	end (temporal)	hi'ra-ʔi-no; he'ra-ʔi-no
14.27	finish	hi'ra-ʔi-no; he'ra-ʔi-no
14.28	cease, stop	'ˀde-ʔi-no
14.29	ready	'miʰc̷i
14.31	always	numa'totiya; numa-sitiya
14.32	often	'ˀduke ne
14.33	sometimes	we'yã ne
14.331	soon	'moʔora; ʔina
14.332	long-time (for a)	nu'mari
14.34	never	numa'totiya; nu'manã
14.35	again	mã-nã
14.41	day	ma
14.42	night	keʰ'pẽ
14.43	dawn	'c̷eʔi-no
14.44	morning	'keʰpenã
14.45	noon, midday	yo-'tu
14.451	afternoon	'keˀbi 'ʔi-na-sa
14.46	evening	keˀbi
14.47	today	ʔa'mana
14.48	tomorrow	ʔa'yu'na
14.481	day-after-tomorrow	'hũ-ʔa'yuna
14.49	yesterday	kiʰ'sĩ
14.491	day-before-yesterday	'mã-kiʰ'sĩ
14.51	hour	
14.53	clock, timepiece	--
14.61	week	['tominko]
14.62	Sunday	['tominko] ma
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	pe
14.73	year	waʰ'ta
14.74	winter	pi'lu
14.75	spring	--
14.76	summer	Φu-te; Φu ma
14.77	autumn	--
14.78	season	ma
15.21	smell (vb intrans)	'puˀba-ke-no; 'puˀba ere-
15.212	sniff	
15.22	smell (vb trans)	'puˀba-ʔi-no
15.25	fragrant, good smelling	sẽ puˀbã
15.26	stinking, bad smelling	'se-ʔihtõ pu-ˀbã
15.31	taste	Φi-ʰ'to ki'ra-no
15.35	sweet	pĩ-ˀbã
15.36	salty	'pĩˀba pũ; saru-'bã
15.37	bitter	c̷ãˀbã
15.38	acid, sour	'c̷aˀbã
15.39	brackish	
15.41	hear	me'ra-no
15.42	listen	me'ra-no
15.44	sound, noise	
15.45	loud	sõ-ˀbã
15.46	quiet, silence	noh'sa; ʔowo'wo
15.51	see	ki'ra-no
15.52	look, look at	ki'ra-no
15.55	show	mi kuwa-no; ki'ra-wo-no
15.56	shine	c̷e-no
15.57	bright	c̷ẽ
15.61	color	
15.62	light (in color)	Φi-ˀba-'kã
15.63	dark (in color)	pa-ˀba-'kã
15.64	white	Φi-ʰ'ˀbã
15.65	black	pa-; pa-ˀba-'kã
15.66	red	'lu-ˀbã; 'luˀba-kã
15.67	blue	loʰsĩ-ˀbã
15.68	green	loʰsĩ-ˀbã
15.69	yellow	laʰ'ke-ˀbã
15.71	touch	ta'la-no; ta-ki'ra-no
15.712	pinch	'pĩtu-no
15.72	feel	'tẽʔi-no
15.74	hard	po'lõ
15.75	soft	ʔoʰ'tõ
15.76	rough	
15.77	smooth	la'yũ
15.78	sharp	te'yũ; teya-'ka
15.79	blunt, dull	te'ya ʔiʰtõ
15.81	heavy	ha'ˀdõ
15.82	light (in weight)	keʰ'Φũ
15.83	wet, damp	ʔaʰ'tã
15.84	dry	Φũ
15.85	hot	'c̷iˀbã
15.851	warm	lo-'ˀbã
15.86	cold	hi'ˀda; ʔiʰ'sã
15.87	clean	kaʰsi-'ka
15.88	dirty, soiled	to miˀdi'ka; to pũ
15.89	wrinkled	
16.11	soul, spirit	tẽka
16.15	surprised, astonished	'we-pana-no
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	sõ; pã'si
16.25	laugh	ka'kari-no
16.251	smile	ka'kari-no
16.26	play	'tẽsaʔa-no
16.27	love	muna-; laʰ'ki-
16.29	kiss	'mo-ti-no
16.3	embrace	ʔamãʔi-
16.31	pain	Φu'ˀda; ki'ya-no
16.32	grief, sorrow, sadness	laʰ'ki
16.33	anxiety, worry	'wepana
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	ware-no
16.38	tear (noun)	kaʰ'ka pi
16.39	groan	ʔa ti-no
16.41	hate	
16.42	anger	pa; 'pa-ʔi-no
16.44	envy, jealousy	
16.45	shame (noun)	lu
16.48	proud	
16.51	dare	
16.52	brave	po'lõ tẽka
16.53	fear, fright	he'le-
16.54	danger	
16.62	desire, want	mu'na-ʔi-no; muʰke-no; mu'na-ra-no
16.622	choose	wẽ'te-no
16.63	hope	
16.65	faithful	
16.66	true	c̷a
16.67	lie, tell lies	ne'ne; ne'ne pa-no
16.68	deceit	ne'ne
16.69	forgive	
16.71	good	'ʔora; sẽ; c̷arã
16.72	bad	'se-ʔiʰto
16.73	right, correct	sẽ; c̷a
16.74	wrong	'se-ʔiʰto
16.76	fault	
16.77	mistake, error	palaka; walaˀda
16.78	blame	
16.79	praise	se ti-'no
16.81	beautiful	ʔo'rã; ʔora'rã
16.82	ugly	
16.83	greedy	ʔi'sa pũ
16.84	clever	tẽka pũ; tẽka tã
17.11	mind	'tẽka
17.13	think (= reflect)	tẽka ka-no; 'tẽ-ha-no
17.14	think (= be of the opinion)	tẽka ka-no; tẽha-no
17.15	believe	c̷aˀbi ka-no
17.16	understand	mera-no; 'mi-ra-no
17.17	know	'mi-ra-no
17.171	guess	
17.172	imitate	
17.18	seem	
17.19	idea, notion	
17.21	wise	'mĩ
17.22	foolish, stupid	mi-ʔiʰ'tõ; tẽka ʔiʰ'tõ
17.23	insane, crazy	
17.24	learn	'mi-ʔi-no; 'mi-ka-no
17.242	study	
17.25	teach	'mi-kari-no
17.26	pupil	'mi-ʔi-mĩ
17.27	teacher	mi-'kari-mĩ
17.28	school	
17.31	remember	mã-'tẽ-ʔi-no
17.32	forget	pã'si-no
17.34	clear, plain	
17.35	obscure	ne'mẽ
17.36	secret	no'sa pa-no
17.37	sure, certain	c̷a
17.38	explain	
17.41	intention, purpose	
17.42	cause	'kari-no; su'wa-no + (...)
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	mu'na-ra-no
17.46	easy	tẽ'Φe ʔiʰ'tõ
17.47	difficult	tẽ'Φe
17.48	try, attempt	
17.49	way, manner	'mi-te
17.51	and	'hunsi
17.52	because	
17.53	if	
17.54	or	
17.55	yes, affirmative	hã'ʔã
17.56	no, negative	te; -tu; -ti
17.61	how?	ni'yã; ni-yã
17.62	how many?	ni'yã-ka
17.63	how much?	ni'si
17.64	what?	ti
17.65	when?	numa'si
17.66	where?	nu'wi; tile; nũc̷i
17.67	which?	nũ
17.68	who?	mo
17.69	why?	ni'ya-ʔiʰto; ti kiʰc̷ũ
18.11	voice	pa-no
18.12	sing	[kan'ta] ke-no
18.13	shout, cry out	'ʔoti-no; 'ʔati-no
18.15	whisper	no'sa pa-no
18.16	mumble	
18.17	whistle	'suˀda-ke-no; ΦiΦi-ke-no
18.18	shriek, screech	'('A')-ti-no
18.19	howl	wo ti-no; ʔa ti-no
18.21	speak, talk	pa-no
18.211	stutter, stammer	
18.22	say	'ti; ti-no
18.221	tell story	[kwenta] ke-no
18.222	speech (make a)	[kwenta] ke-no
18.23	silent (be)	noh'sa
18.24	language	Φiʰ'ki
18.26	word	Φiʰ'ki
18.28	name	mu'mũ
18.31	ask (question, inquire)	'pãʔa-no
18.32	answer	tulã-no; tu'lã-ke-no
18.33	admit, confess	
18.34	deny	
18.35	ask, request	'pãʔa-no; Φari-no
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	'ʔole-no
18.41	call (=summon)	ʔoti'ka-no
18.42	call (=name)	ti-
18.43	announce	pa-
18.44	threaten	
18.45	boast	
18.51	write	pi'la ke-no; pi'la c̷uʰte-no
18.52	read	pi'la kira-no
18.56	paper	pi'la ki'ˀdo
18.57	pen	--
18.61	book	pi'la
18.67	poet	
18.71	flute	[Φo'lota]
18.72	drum	ˀbãˀbuʰ'tu; ˀbãˀbuʰtuka
18.73	horn, trumpet	tuʰ'tu
18.74	rattle	
19.11	country	to
19.12	one's native country	
19.15	city, town	
19.16	village	
19.17	boundary	
19.21	people (populace)	'c̷aʰc̷i-la
19.23	tribe, clan	
19.24	chief, chieftain	mi'ya
19.25	staff, walking stick	to'la
19.31	rule, govern	[man'ta]-no
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	
19.41	master	
19.42	slave	--
19.43	servant	
19.44	freeman	
19.45	command, order	[man'ta]-no
19.46	obey	me'ra-no
19.47	let, permit	'kari-no
19.51	friend, companion	siʰ'ti
19.52	enemy	'pata-ʔa-no; pa hũ-la
19.54	neighbor	
19.55	stranger	
19.56	guest	
19.57	host	
19.58	help, aid	[ʔayu'ˀda-]ʔi-no
19.59	hinder, prevent	
19.61	custom	mi
19.62	strife, quarrel	'pa-ka-ʔa-no
19.63	conspiracy, plot	
19.65	meet	tu'la-ʔi-no
19.72	prostitute	
20.11	fight (vb)	ki'kaʔa-no
20.13	war, battle	
20.14	peace	
20.15	army	[soldado]-la
20.17	soldier	
20.21	weapons, arms	
20.22	club	c̷iˀde
20.222	battle-ax	
20.23	sling	
20.24	bow	
20.25	arrow	
20.26	spear	
20.27	sword	
20.28	gun, cannon	[ʔilaʰ'pa]
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	Φe ʔi-no; Φe lo-no
20.42	defeat	pele suwa-no
20.43	attack	
20.44	defend	ʔiʰ'sa-ʔi-no; ʔiʰ'sa-ti-no
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	ˀbe'rũ
20.53	fishing line	si'li
20.54	fishnet	si'yã; ˀda'ˀda
20.55	fish trap	
20.56	bait	
20.61	hunt	he'lẽ-c̷i hi-no
20.62	shoot	ke-no; ki-no
20.63	miss (target)	po'la-ri-no
20.64	trap (noun)	ˀdi'la; la
20.65	trap (vb)	ˀdi'la-po-no; la-po-no
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	ˀdo-nũ ya
21.42	murder	
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	ta'rĩ-no
21.52	thief	ta'rĩ-mĩ; ta'rĩ-no
22.11	religion	
22.12	God	[di'yosi]
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	
22.18	priest	[pate'le]
22.19	holy, sacred	diosi-c̷i
22.22	preach	mi-kari-no
22.23	bless	[ˀbenˀde'siki-]
22.24	curse	yuʰ'ka-ke-no
22.26	fast (vb)	ʔa'no-Φi-ʰtũ-'kaʔi-
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	'se-itõ ʔoh'ko; yuʰ'kã
22.37	idol	
22.42	magic, witchcraft, sorcery	po'ne ke-no
22.43	sorcerer, witch	po'ne
22.44	fairy, elf	
22.45	ghost, phantom	ʔoʰ'ko
22.47	omen, portent	
