entry_id	trans_english	Ayoreo_Phonemic
1.1	world	e'ram-oneʔ
1.21	earth, land	p-ačami-'ni
1.212	earth=ground, soil	n̥u'mi
1.213	dust	u'ru-i
1.214	mud	pakataari-'ŋeei
1.215	sand	u'n̥a
1.22	mountain, hill	oro'ko-daa'te
1.222	cliff, precipice	parari-'ŋeke-daa'tei
1.23	plain, field	ga'ray
1.24	valley	pari-'ŋee-oneʔ
1.25	island	abu'e
1.26	mainland	--
1.27	shore	e'do-gaay
1.28	cave	kuka'rat-edo
1.31	water	yoo'di
1.32	sea	yoote ke'de-n̥ai
1.322	calm (of sea)	--
1.323	rough (of sea)	--
1.324	foam	i'karara
1.329	ocean	--
1.33	lake	gaa'ɲ̥oo
1.34	gulf, bay	--
1.341	lagoon	gaa'ɲ̥oo
1.342	reef	--
1.343	headland, point	--
1.35	wave	yote ke'de-n̥ai eebi'e
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	tii'e
1.362	whirlpool	
1.37	spring, well	si'mii
1.38	swamp	'gaare
1.39	waterfall	
1.41	woods, forest	e'rami
1.42	tree (cf 08.600)	poo'ria
1.43	wood	eero-'godeʔ
1.44	stone, rock	kukara'ne
1.45	earthquake	n̥u'mi taaraa'čui
1.51	sky	gaa'teei
1.52	sun	gee-'deʔ
1.53	moon	geedo'si-deʔ
1.54	star	'geedo
1.55	lightning	a'n̥oraa-pie
1.56	thunder	'gee-ode uruu-'odeʔ
1.57	lightning (as striking)	
1.58	storm	geeya-'ke-n̥ai
1.59	rainbow	ake'sua
1.61	light (noun)	'diire-kari-ŋeei
1.62	darkness	i'n̥aŋunuua
1.63	shade, shadow	oo're
1.64	dew	poka'di
1.71	air	ibo'di
1.72	wind	ee'mi
1.73	cloud	geei
1.74	fog	hee'si
1.75	rain (noun)	geei
1.76	snow (noun)	--
1.77	ice	'eebee-dieʔ
1.78	weather	de're-n̥ai
1.81	fire	pii'o-i
1.82	flame (noun)	oka'rai-dieʔ
1.83	smoke (noun)	ii'oti
1.84	ashes	'uučuk-u'ru-i
1.841	embers	ge'geraa-deʔ
1.851	burn (vb trans)	ã'ru
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	i'potaa; ike'taʔ
1.861	extinguish	aa'n̥iʔ
1.87	match (noun)	piio-'gabi
1.88	firewood	eero-'godeʔ
1.89	charcoal	ge'geraa-i
2.1	person, human being	ayo'r-e
2.21	man (vs. woman)	ayo're-i
2.22	woman	ayo're
2.23	male	čo'ki; n̥ãka'ri; n̥ãã'ni
2.24	female	čee'ke
2.25	boy	dii'si
