entry_id	trans_english	Nung-Fengshan_Phonemic
1.1	world	la.3 ʔbɨn.1
1.21	earth, land	na:m.6
1.212	earth=ground, soil	na:m.6
1.213	dust	mo:n.1
1.214	mud	pɔŋ.2
1.215	sand	ša:.1
1.22	mountain, hill	po.1
1.222	cliff, precipice	ło:ŋ.2 mot.2
1.23	plain, field	la:n.5; ta:t.5
1.24	valley	tɔŋ.6
1.25	island	ho:ŋ.3
1.26	mainland	lɛn.5
1.27	shore	paŋ.4 ta.6
1.28	cave	šo:ŋ.6
1.31	water	lam.4
1.32	sea	ha:i.3
1.322	calm (of sea)	fuk.2 fa:o.2
1.323	rough (of sea)	ha:i.3
1.324	foam	niɛ.1
1.329	ocean	tam.2
1.33	lake	hin.1 la.3 lam.4
1.34	gulf, bay	fo:ŋ.2
1.341	lagoon	ta.6 (river); vi.3 (brook)
1.342	reef	lam.4 pan.5
1.343	headland, point	ʔbo.6
1.35	wave	ʔbɨt.5
1.352	tide	lam.4 cieŋ.6 ta:t.5
1.353	lowtide	ʔdɔŋ.1
1.354	hightide	fai.4
1.36	river, stream, brook	fai.4
1.362	whirlpool	hin.1
1.37	spring, well	hin.1 le.5
1.38	swamp	na:m.6 sɨan.2
1.39	waterfall	ʔbɨn.1
1.41	woods, forest	ta.1 ŋɔn.2
1.42	tree (cf 08.600)	lo:ŋ.6 ʔdɨan.1
1.43	wood	ʔda:o.1 ʔdi.6
1.44	stone, rock	ʔjap.5 pja.3
1.45	earthquake	pja.3
1.51	sky	pja.3 lai.2
1.52	sun	ʔjap.5 pja.3
1.53	moon	hun.1 ka:p.5 pja.3
1.54	star	tuŋ.2
1.55	lightning	ʔdit.5
1.56	thunder	lap.5
1.57	lightning (as striking)	lam.6 (shade); ŋau.2 (shadow)
1.58	storm	lam.4 la:i.2
1.59	rainbow	hi.5
1.61	light (noun)	lum.2
1.62	darkness	vɨa.3
1.63	shade, shadow	lam.4 mo:k.5
1.64	dew	hun.1
1.71	air	nai.1
1.72	wind	nai.1 co:ŋ.3
1.73	cloud	lit.5; pa:k.6
1.74	fog	bɨn.1
1.75	rain (noun)	fi.2
1.76	snow (noun)	luan.2 fi.2
1.77	ice	hɔn.2
1.78	weather	tau.6
1.81	fire	lɨk.2 fi.2
1.82	flame (noun)	šɔm.6; šut.5
1.83	smoke (noun)	le:m.3
1.84	ashes	ša:u.4 fi.2; tem.3 fi.2
1.841	embers	ʔdap.5 fi.2
1.851	burn (vb trans)	hɔn.1 fi.2
1.852	burn (vb intrans)	fɨn.2
1.86	light, kindle, ignite	ta:n.5
1.861	extinguish	hun.2
1.87	match (noun)	(pu.4) sa:i.1
1.88	firewood	(me.6) ʔbɨk.5
1.89	charcoal	sa:i.1 (person); tak.2 (animal)
2.1	person, human being	ʔbɨk.5 (person); me.6 (animal)
2.21	man (vs. woman)	lɨk.2 sa:i.1; lɨk.2 ʔba:u.6
2.22	woman	lɨk.2 ʔba:u.6
2.23	male	lɨk.2 sa:u.1
2.24	female	lɨk.2 sa:u.1
2.25	boy	lɨk.2 ńe.2
2.251	young man (adolescent)	lɨk.2 ʔdiŋ.1
2.26	girl	kəi.2; kuan.1
2.261	young woman (adolescent)	mai.4; ja.6
2.27	child	pan.2 la:n.2; šau.4 la:n.2
2.28	infant, baby	ša:u.4 la:n.2
2.31	husband	tiŋ.5 kua:n.1 (of a lady); tiŋ.5ya.6 (of a man)
2.32	wife	po.6
2.33	marry	me.6
2.34	marriage, wedding	po.6 m.6
2.341	divorce	pu.4 sa:i.1
2.35	father	me.6 ʔbɨk.5; ša:u.4 ja.6
2.36	mother	lɨk.2 sa:i.1
2.37	parents	lɨk.2 ʔbɨk.5
2.38	married man	lɨk.5
2.39	married woman	pi.4 nuaŋ.4
2.41	son	pi.4; kɔ.1; pi.4 sa:i.1
2.42	daughter	nuaŋ.4 sa:i.1
2.43	offspring (son or daughter)	pi.4 nuaŋ.4 ʔbɨk.5
2.44	brother	se.5
2.444	older brother	nuaŋ.4 ʔbɨk.5
2.445	younger brother	pi.4 nuaŋ.4
2.45	sister	lɨk.2 va.1
2.454	older sister	kuŋ.1
2.455	younger sister	pu.1 ce.5
2.456	sibling	na:i.1
2.458	twins	ja.6 ce.5
2.46	grandfather	la:n.1
2.461	old man	la:n.1
2.47	grandmother	luŋ.2; a:u.1; na.4
2.471	old woman	luŋ.2; na.4 luŋ.2
2.48	grandson	luŋ.2
2.49	granddaughter	šin.5; na.4 sa:u.1; ńiaŋ.3
2.51	uncle	pa.3; na.4 sa:u.1
2.511	mother's brother	pa.3 (elder) ńiaŋ.3 (younger)
2.512	father's brother	la:n.1 sa:i.1
2.52	aunt	la:n ʔbɨk.5
2.521	mother's sister	la:u.4 piau.5
2.522	father's sister	šo.3 šɔŋ.1; šiao.6 ko:n.5
2.53	nephew	lɨk.2 la:n.1; šiao.6 laŋ.1
2.54	niece	pau.5 ta.1
2.55	cousin	kuŋ.1
2.56	ancestors	ta:i.5
2.57	descendants	na:i.1
2.61	father-in-law (of a man)	lɨk.2 kə:i.2
2.611	father-in-law (of a woman)	lɨk.2 kə:i.2
2.62	mother-in-law (of a man)	lɨk.2 paɨ.4
2.621	mother-in-law (of a woman)	lɨk.2 paɨ.4
2.63	son-in-law (of a man)	po.6 laŋ.1
2.631	son-in-law (of a woman)	me.6 laŋ.1
2.64	daughter-in-law (of a man)	lɨk.2 šieŋ.4
2.641	daughter-in-law (of a woman)	lɨk.3 ʔbɨk.5 šieŋ.4
2.71	stepfather	lɨk.2 ca.4
2.72	stepmother	ja.6 ma:i.5
2.73	stepson	pau.5 kuan.3
2.74	stepdaughter	pi.4nuaŋ.4; šin.1 šik.5
2.75	orphan	la:n.2
2.76	widow	ku.1
2.77	widower	mɨŋ.2
2.81	relatives, kinsmen	te.1
2.82	family	lau.2
2.91	I	tu.1
2.92	you (singular)	soŋ.1 pu.4 lau.2
2.93	he/she/it	su.1
2.94	we	soŋ.1 pu.4 su.1
2.941	we (inclusive)	cuŋ.5 te.1; pɔ.2 te.1
2.942	we (exclusive)	tua.2 pa.5
2.95	you (plural)	tak.2; pu.4 (bird)
2.96	they	me.6; lwa:u.6
3.11	animal	šie.2 va:i.2; tua.2
3.12	male (adj)	pa.5
3.13	female (adj)	pu.4 taɨ.2 tua.2
3.15	livestock	lɨaŋ.6 ma.4
3.16	pasture	šie.2 va:i.2
3.18	herdsman	va:i.2 tak.2
3.19	stable, stall	tua.2 šie.2
3.2	cattle (bovine)	va:i.2 me.6
3.21	bull	va:i.2 lɨk.2
3.22	ox	va:i.2
3.23	cow	juaŋ.2
3.24	calf	juaŋ.2 tak.2
3.25	sheep	juaŋ.2 me.6
3.26	ram	juaŋ.2 pɨn.1
3.28	ewe	mu.1 tak.2
3.29	lamb	mu.1 me.6
3.32	boar	mu.1
3.34	sow	juaŋ.2 pa.5
3.35	pig	juaŋ.2 pa.5 tak.2
3.36	goat	juaŋ.2 pa.5 lɨk.2
3.37	he-goat	ma.4
3.38	kid	ma.4 tak.2
3.41	horse (equine)	ma.4 me.6
3.42	stallion	ma.4 tak.2 lɨk.2; ma.4 me.6 lɨk.2
3.44	mare	lɔ:.2
3.45	foal, colt	ma.4 lɔ.2
3.46	ass, donkey	pit.5 kai.5
3.47	mule	kai.5 pu.4
3.5	fowl	kai.5 me.6
3.52	cock, rooster	kai.5
3.54	hen	ha:n.5
3.55	chicken	pit.5
3.56	goose	lo:ŋ.2
3.57	duck	lɔk.2
3.58	nest	pit.5 ha:i.3
3.581	bird	lɔm.6; jiao.6
3.582	seagull	lɔm.6
3.583	heron	jiao.6
3.584	eagle	va:u.2
3.585	hawk	lɔk.2 jin.6 kɔ.6
3.586	vulture	tua.2 ʔa.1
3.591	bat	lɔk.2 lau.1
3.592	parrot	lɔk.2
3.593	crow	lɔk.2 cau.3 ńɛn.1
3.594	dove	lɔk.2 kai.5 ha.2
3.596	owl	lɔk.2 ʔe:n.6
3.61	dog	lɔk.2 juŋ.2
3.614	rabbit	lɔk.2 kai.5
3.62	cat	ma.1
3.622	opossum	tua.2 tu.3
3.63	mouse, rat	tua.2 li:n.6
3.65	fish	kuk.5 ʔdiaŋ.1
3.652	fin (dorsal)	kuk.5
3.653	fishscale	mɛ:u.1
3.654	gill	ńɛŋ.́
3.655	shell	nu.1
3.661	shark	pja.1
3.662	porpoise, dolphin	ci.2 pja.1
3.663	whale	cɛt.5 pja.1
3.664	stingray	hɨk.2 pja.1
3.665	freshwater eel	cua:m.5
3.71	wolf	pau.1
3.72	lion	ńa:u.6
3.73	bear	pja.1 še:n.4
3.74	fox	nai.2
3.75	deer	mo:i.1
3.76	monkey	tua.2 ńɛn.1
3.77	elephant	nu.1 fai.4
3.78	camel	ʔba:ŋ.6
3.81	insect	še:n.6
3.811	louse	na:k.6
3.812	nit (louse egg)	fa:n.2
3.813	flea	fa:n.2
3.814	centipede	va:i.2 pɨaŋ.5
3.815	scorpion	liŋ.2
3.816	cockroach	ša:ŋ.4
3.817	ant	ŋa.2 ša:ŋ.4
3.818	spider	lɔ.4 tɔ.4
3.819	spider web	no:n.1; ne:ŋ.2
3.82	bee	nɛn.2; lau.1
3.821	beeswax	cai.5 nɛn.2
3.822	beehive	mat.5
3.823	wasp	tua.2 si:p.5
3.83	fly	sua:p.5
3.831	sandfly (midge), gnat	mɔt.2
3.832	mosquito	cwa:u.1
3.84	worm	loŋ.2 cwa:u.1
3.85	snake	tua.2 tɨaŋ.2
3.91	firefly	lɨak.6
3.92	butterfly	loŋ.2 tɨaŋ.2
3.93	grasshopper	to.5; tin.2
3.94	snail	mɔt.2 ha:u.1; mɔt.2 šuk.5
3.95	frog	neŋ.2 ńɛn.1
3.96	lizard	tua.2 lɨak.6
3.97	crocodile, alligator	ńuŋ.2
3.98	turtle	mo:t.6
4.11	body	no:n.1 nua:i.5
4.12	skin, hide	no:n.1
4.13	flesh	no:n.1 šiŋ.3 hai.4
4.14	hair (head)	pit.2
4.142	beard	tak.5 tai.5
4.144	body hair	piŋ.1
4.145	pubic hair	ta:k.5
4.146	dandruff	ŋɨa.2
4.15	blood	ŋɨa.2
4.151	vein, artery	lo:ŋ.6 lip.2
4.16	bone	tua.2 ʔba.4
4.162	rib	tak.5 lua.4
4.17	horn	sai.1
4.18	tail	kɔ:p.5 (big) kwɛ.3 (small)
4.19	back	ŋɨa.2 si.5 ka.1
4.191	spine	ŋɨa.2 si.5 ka.1
4.2	head	mɛŋ.2 cə:.4 hən.2
4.201	side of head, temple	ŋɨak.6
4.202	skull	kui.1
4.203	brain	ʔda:ŋ.1
4.204	face	naŋ.1
4.205	forehead	no.6
4.207	jaw	pjɔm.1; ṗɨn.1 can.3
4.208	cheek	mum.6
4.209	chin	han.3 mau.4
4.21	eye	mi.1
4.212	eyebrow	hi.2
4.213	eyelid	ha:n.6
4.214	eyelash	lɨat.6
4.215	blink	mak.2
4.22	ear	ńin.2
4.221	earlobe	ʔdo:k.6
4.222	earwax	ŋui.2
4.23	nose	ʔdok.6 se:ŋ.4
4.231	nostril	kau.1
4.232	mucus (nasal)	lɨaŋ.1
4.24	mouth	laŋ.1
4.241	beak	ʔdok.6 laŋ.1
4.25	lip	cau.3
4.26	tongue	neŋ.2 mɔp.5
4.27	tooth	ʔdok cau.3
4.271	gums	ʔuk.5
4.272	molartooth	na.3
4.28	neck	na.3 ńja:k.5
