entry_id	trans_english	Chipaya_Phonemic
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	xanči
4.12	skin, hide	šḳiši
4.13	flesh	čʰišwi
4.14	hair (head)	čara
4.142	beard	šip ~ šipš
4.144	body hair	šakra
4.145	pubic hair	šara
4.146	dandruff	ḳʰixrpa
4.15	blood	lxok
4.151	vein, artery	č̣ˀiwu
4.16	bone	c̷ʰix
4.162	rib	paki
4.17	horn	irke irke
4.18	tail	kʰurš
4.19	back	tax
4.191	spine	tax
4.2	head	ača
4.201	side of head, temple	
4.202	skull	ač c̷ʰix
4.203	brain	šḳʰex̣pla
4.204	face	yuxk
4.205	forehead	aya
4.207	jaw	
4.208	cheek	yuxk latu
4.209	chin	
4.21	eye	č̣ʰuxki
4.212	eyebrow	
4.213	eyelid	č̣ʰuxk ata
4.214	eyelash	č̣ʰuxkc̷ems
4.215	blink	čˀipinš
4.22	ear	kʰuɲi
4.221	earlobe	kʰuɲ-lapʰi
4.222	earwax	
4.23	nose	oša
4.231	nostril	oš-pʰeta
4.232	mucus (nasal)	oša
4.24	mouth	ata
4.241	beak	oša
4.25	lip	atpulu
4.26	tongue	las
4.27	tooth	iṣ̌-ḳe
4.271	gums	
4.272	molartooth	iṣ̌ḳe
4.28	neck	ḳaši
4.281	nape of neck	tota
4.29	throat	x̣ora
4.3	shoulder	ɲiɲi
4.301	shoulderblade	asḳara
4.302	collarbone	
4.31	arm	ḳx̣ar wičˀu
4.312	armpit	
4.32	elbow	kʰuxc̷
4.321	wrist	ḳx̣ar-moko
4.33	hand	ḳxara
4.331	palm of hand	ḳx̣arkota
4.34	finger	lokˀana
4.342	thumb	čaxʷkšmari
4.344	fingernail	is-ɲi
4.345	claw	
4.35	leg	lis
4.351	thigh	č̣oḳ ḳome
4.352	calf of leg	tˀušu
4.36	knee	owa
4.37	foot	ḳx̣oxča
4.371	ankle	
4.372	heel	
4.374	footprint	
4.38	toe	lokˀana
4.392	wing	ḳx̣ara
4.393	feather	pʰaši
4.4	chest	keka
4.41	breast (of woman)	piš
4.412	nipple, teat	piš
4.42	udder	
4.43	navel	toɲi
4.44	heart	ḳuš; tuši
4.441	lung	č̣ʰoxri
4.45	liver	pʰaaxtš
4.451	kidney	škoši
4.452	spleen	
4.46	stomach	pʰuč
4.461	intestines, guts	walu
4.462	waist	
4.463	hip	tarš
4.464	buttocks	wiri
4.47	womb	ikš
4.49	testicle	šiɲi
4.492	penis	ḳʰixški
4.51	breathe, breath	xex-; xexa
4.52	yawn, gape	
4.521	hiccough	xikˀi-š
4.53	cough	tʰapi
4.54	sneeze	xačˀi-š
4.55	perspire	pʰalanš; pʰat-s
4.56	spit	tʰuxt-š; lomi; tʰaxr-ki-
4.57	vomit	x̣otš
4.58	bite	tʰup-; č̣ˀat-š
4.59	lick	is
4.591	dribble	
4.61	sleep	tx̣ax̣-
4.612	snore	x̣oran-š
4.62	dream	wiy-a
4.63	wake up	waxt-
4.64	break wind	č̣ʰixc̷
4.65	urinate	šawx-š; šaxwi ~ šawxwi
4.66	defecate	ṣ̌ḳon-š
4.67	have sexual intercourse	ɲek-š; iš
4.68	shiver	čeḳʰinš
4.69	bathe	awxs
4.71	beget (of father)	expč̣a
4.72	born (to be)	maxt-š; tor-š
4.73	pregnant	ik-
4.732	conceive	
4.74	live, living, life	ṣ̌et-š; ṣ̌eti
4.75	die, dead	tik-š; tik-č̣a
4.751	drowned	šḳexḳš
4.76	kill	kon-
4.77	corpse	šerwi
4.78	bury (the dead)	
4.79	grave, tomb	[sipultura]
4.81	strong, mighty, powerful	aši; tʰupi
4.82	weak	šwxax̣li; šwxax̣lu
4.83	well, health	ṣ̌etči; ṣ̌eti ṣ̌exl-
4.84	sick, sickness	kona; laa; laači
4.841	fever	č̣ˀuxlɲi
4.842	goiter	
4.843	cold (catarrh)	pišti ~ pišti kona
4.85	wound, sore	čʰoxritš; lʸaxa
4.852	bruise	
4.853	swelling	tʰuu-š; -tʰuuči
4.854	itch	kʰixsinš
4.855	blister	pokulʸči
4.856	boil (noun)	
4.857	pus	
4.858	scar	tˀiri
4.86	cure, heal	ṣ̌etḳat-
4.87	physician	
4.88	medicine, drug	ḳulʸa
4.89	poison	
4.91	tired, weary	otš; tx̣it-š
4.912	rest	xex-s; xex-š
4.92	lazy	xayra
4.93	bald	saxplu
4.94	lame	šuču
4.95	deaf	oɲi
4.96	mute	upa
4.97	blind	šura
4.98	intoxicated	likči
4.99	naked, bare	ḳˀalapača; ḳˀala
5.11	eat	luxl-; luxl-š
5.12	food	č̣ʰeri
5.121	cooked	wexlči
5.122	raw	ḳaata
5.123	ripe	wexlši
5.124	green, unripe	
5.125	rotten	moxkči
5.13	drink	lik-š
5.14	hunger	eek-š
5.141	famine	
5.15	thirst	eek-š
5.16	suck	itš
5.18	chew	muk-
5.181	swallow	tʰat-č̣a; tx̣at-š
5.19	choke	šḳexḳš
5.21	cook	taḳ-; wexl-š
5.22	boil (vb)	
5.23	roast, fry	san-š; wel-
5.24	bake	tˀanta paa-
5.25	oven	
5.26	pot, cooking vessel	ḳʰuč̣a
5.27	kettle	
5.28	pan	
5.31	dish	čuwa
5.32	plate	kˀoru; čuwa
5.33	bowl	kˀoru
5.34	pitcher, jug	luuš; kewi
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	xʷixṣ̌lʸa
5.38	knife	
5.39	fork	
5.391	tongs	
5.41	meal (a)	č̣ʰeri
5.42	breakfast	
5.43	lunch	šima
5.44	dinner	šima
5.45	supper	
5.46	peel	
5.47	sieve, strain	
