entry_id	trans_english	Chipaya_Phonemic
15.78	sharp	ari; xat-
15.79	blunt, dull	ana puntučiš
15.81	heavy	liksi
15.82	light (in weight)	kʰeši; waṣ̌a
15.83	wet, damp	awči; awi
15.84	dry	ḳʰoɲi
15.85	hot	ḳʰaḳi
15.851	warm	ḳˀoɲi
15.86	cold	saki; laawš
15.87	clean	lʸumpaḳa
15.88	dirty, soiled	loč; lop-; ṣ̌oxr-
15.89	wrinkled	spola
16.11	soul, spirit	kuš-; [alma]
16.15	surprised, astonished	c̷uk-; [ispanti-]
16.18	good fortune, luck	
16.19	misfortune, bad luck	ḳulʸu
16.23	joyful, glad, happy	čip-š
16.25	laugh	tx̣as; x̣ar-x̣ar-š
16.251	smile	
16.26	play	uṣ̌in-š
16.27	love	muna-ši
16.29	kiss	čʰul-š
16.3	embrace	ṣ̌koxr-š
16.31	pain	lʸaki; ay-in-š
16.32	grief, sorrow, sadness	lʸakita
16.33	anxiety, worry	lʸaki
16.34	regret, be sorry	lʸakta-š
16.35	pity	oḳs
16.37	cry, weep	ḳaa-šša
16.38	tear (noun)	kʰirma
16.39	groan	čiyan-š
16.41	hate	mokˀo; čʰaawxḳat-
16.42	anger	suri; ṣ̌awx-
16.44	envy, jealousy	iɲiši-š
16.45	shame (noun)	aš-; aššakanaka
16.48	proud	mita
16.51	dare	
16.52	brave	tʰupkuš
16.53	fear, fright	c̷ukči; eḳš; isḳs
16.54	danger	
16.62	desire, want	pek-š
16.622	choose	ilʸ-
16.63	hope	tʰew-
16.65	faithful	
16.66	true	werara
16.67	lie, tell lies	toskara; ḳˀot-š
16.68	deceit	inkalʸ-š; iš
16.69	forgive	[pertun]-š
16.71	good	šuma; wali
16.72	bad	ana šuma
16.73	right, correct	werara
16.74	wrong	ana šuma
16.76	fault	ux
16.77	mistake, error	aḳš; ḳiwḳ-š
16.78	blame	ux tʰoxtan-š
16.79	praise	honora wayti-š
16.81	beautiful	anča šuma
16.82	ugly	pʰiru
16.83	greedy	lxaxri
16.84	clever	kˀuɲčxi
17.11	mind	kuš
17.13	think (= reflect)	lapˀiṣ̌iš
17.14	think (= be of the opinion)	pinsi-š
17.15	believe	[krii-]
17.16	understand	[intinti-]
17.17	know	paxš; šiš
17.171	guess	
17.172	imitate	čʰiš; irata paa-
17.18	seem	
17.19	idea, notion	tantiita
17.21	wise	šišɲi
17.22	foolish, stupid	čʰira
17.23	insane, crazy	[luku]rata
17.24	learn	[intinta]š; katoḳ-š
17.242	study	[istutii-]
17.25	teach	tʰaaxin-š
17.26	pupil	[istutii]-ɲi
17.27	teacher	tʰaaxiɲi
17.28	school	[iskʷela]
17.31	remember	kʰuɲ-š
17.32	forget	tʰat-š ~ tx̣at-š ~ tʰwat-š
17.34	clear, plain	sīɲi
17.35	obscure	
17.36	secret	ana šišta
17.37	sure, certain	kuntˀiš; ilʸu
17.38	explain	[intinti]sḳat
17.41	intention, purpose	-xapa
17.42	cause	-ḳat
17.43	doubt	paysnak-
17.44	suspect	
17.441	betray	tarašun-
17.45	need, necessity	pekta
17.46	easy	pʰasila
17.47	difficult	čˀama
17.48	try, attempt	yans
17.49	way, manner	
17.51	and	
17.52	because	kʰen
17.53	if	niki
17.54	or	
17.55	yes, affirmative	xeeš; xesalʸa
17.56	no, negative	ana
17.61	how?	xaknuš
17.62	how many?	ḳʰaṣ̌ut
17.63	how much?	ḳʰaṣ̌u
17.64	what?	č̣ʰulut
17.65	when?	č̣ʰulora
17.66	where?	xaḳsi; xaḳsi-kin
17.67	which?	xakšilta
17.68	who?	xekt; xekmi
17.69	why?	č̣ʰulx̣apa
18.11	voice	x̣ora
18.12	sing	it-s
18.13	shout, cry out	ḳʰaw-s
18.15	whisper	pʰixšpiš
18.16	mumble	
18.17	whistle	smew-š
18.18	shriek, screech	
18.19	howl	xaḳš; xʷaḳš
18.21	speak, talk	kʰi-
18.211	stutter, stammer	
18.22	say	kʰi-
18.221	tell story	[kintˀa-]
18.222	speech (make a)	čii-
18.23	silent (be)	čuxu ṣ̌exl-
18.24	language	taḳu
18.26	word	taḳu
18.28	name	tʰuu
18.31	ask (question, inquire)	pewk-; pekun-š
18.32	answer	ḳʰaaš
18.33	admit, confess	pax-
18.34	deny	irakip-š; sirašiṣ̌
18.35	ask, request	may-; ḳax
18.36	promise	taḳu tʰaa-
18.37	refuse	
18.38	forbid	atax-
18.39	rebuke, scold	čiiṣ̌in-; ux-š; čˀaa-
18.41	call (=summon)	ḳʰaw-š
18.42	call (=name)	tʰuuskat-š
18.43	announce	maššin-
18.44	threaten	[kintra] čˀaa-š
18.45	boast	xaktat-
18.51	write	kʰixrš
18.52	read	[lii-]
18.56	paper	[papila]
18.57	pen	
18.61	book	[liwru]
18.67	poet	kʰixrɲi
18.71	flute	pirkalʸu
18.72	drum	kaxa
18.73	horn, trumpet	
18.74	rattle	
19.11	country	waxta
19.12	one's native country	wext waxta
19.15	city, town	waxta
19.16	village	waxta
19.17	boundary	
19.21	people (populace)	ṣ̌oɲi
19.23	tribe, clan	čipay ṣ̌oɲi
19.24	chief, chieftain	xiliri
19.25	staff, walking stick	axc̷
19.31	rule, govern	[manti-]
19.32	king, ruler	čawk xiliri
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	[patruna]
19.42	slave	[mantita] ṣ̌oɲi
19.43	servant	piyuna
19.44	freeman	
19.45	command, order	[mantita]
19.46	obey	kaš
19.47	let, permit	[pirmiso] tʰaa-
19.51	friend, companion	[amiku]
19.52	enemy	[kintra] ṣ̌oɲi
19.54	neighbor	ṣ̌kati ḳamɲi ṣ̌oɲi
19.55	stranger	nakʰuɲta ṣ̌oɲi
19.56	guest	[inpita] ṣ̌oɲi
19.57	host	
19.58	help, aid	yanap
19.59	hinder, prevent	atax-
19.61	custom	-ɲi-
19.62	strife, quarrel	axaraš; čiyaš; axš
19.63	conspiracy, plot	[kinta] tantita
19.65	meet	šal-
19.72	prostitute	[puti]wii ṣ̌oɲ
20.11	fight (vb)	kʰat-š; ḳičaš
20.13	war, battle	
20.14	peace	
20.15	army	
20.17	soldier	
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	ḳˀorawa
20.24	bow	
20.25	arrow	
20.26	spear	
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	atip-win
20.42	defeat	
20.43	attack	
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	čˀiš tanɲi ṣ̌oɲi
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	kakuna
20.56	bait	
20.61	hunt	parina xwaxti oxḳ
20.62	shoot	tʰak-
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	[lii]
21.15	court	pʰals pwestu
21.16	judge (vb)	[xustisia] paa-
21.17	judgment	
21.18	judge (noun)	[xʷes]
21.21	plaintiff	ux tʰoxtɲi
21.22	defendant	uxčiš kʰita
21.23	witness	[tistiku]
21.24	swear	[xuramintu] paa-
21.25	oath	[xuramintu]
21.31	accuse	tʰoxtuns
21.32	condemn	[kastik]ta tʰaa-
21.33	convict (vb)	ux tʰee-
21.34	acquit	ana uxčiš waxt-
21.35	guilty	uxčiš
21.36	innocent	ana uxčiš
21.37	penalty, punishment	[kastiku]
21.38	fine	
21.39	prison, jail	
21.42	murder	ṣ̌oɲi kon-
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	toskara čiiɲi-
21.51	steal	txaŋ-š
21.52	thief	tx̣aɲi
22.11	religion	usa
22.12	God	[yooš]
22.13	temple, church	[timlu]; [ikliša]
22.14	altar	
22.15	sacrifice, offering	tir-š
22.16	worship	[honora] tʰaa-
22.17	pray	[yooš]-kin
22.18	priest	
22.19	holy, sacred	
22.22	preach	taḳu pal-xay-š
22.23	bless	winti-
22.24	curse	[yooš] [kastik]taṣ̌ kʰee-
22.26	fast (vb)	[ayuna]-š
22.31	heaven	araxpača
22.32	hell	
22.35	demon (evil spirit)	saxra
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	yatiri; waytˀiri
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
