entry_id	trans_english	Elamite_Phonemic
3.63	mouse, rat	
3.65	fish	
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	duma: AchE du-ma
3.72	lion	
3.73	bear	
3.74	fox	
3.75	deer	
3.76	monkey	
3.77	elephant	
3.78	camel	zibbaru: AchE zib-ba-ru
3.81	insect	
3.811	louse	
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	
3.815	scorpion	lahi: NE la-hi (?)
3.816	cockroach	
3.817	ant	
3.818	spider	
3.819	spider web	
3.82	bee	
3.821	beeswax	
3.822	beehive	
3.823	wasp	
3.83	fly	
3.831	sandfly (midge), gnat	
3.832	mosquito	
3.84	worm	ME za-na-bu-na
3.85	snake	šin: OE ši-in-pi; OE šim-bi
3.91	firefly	
3.92	butterfly	
3.93	grasshopper	
3.94	snail	
3.95	frog	
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	
4.12	skin, hide	NE ha-te-en
4.13	flesh	NE i-iš-ti
4.14	hair (head)	*ku-na; NE še-e
4.142	beard	
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	
4.15	blood	san: NE sa-an
4.151	vein, artery	
4.16	bone	
4.162	rib	
4.17	horn	kassu: ME, NE qa-as-su; NE kás-su
4.18	tail	
4.19	back	
4.191	spine	
4.2	head	ukku: ME uk-ku; NE, AchE uk-gi = ukku.e
4.201	side of head, temple	
4.202	skull	
4.203	brain	
4.204	face	
4.205	forehead	
4.207	jaw	
4.208	cheek	
4.209	chin	
4.21	eye	el(t): ME el-ti; NE, AchE el
4.212	eyebrow	
4.213	eyelid	
4.214	eyelash	
4.215	blink	
4.22	ear	siri: NE, AchE si-ri
4.221	earlobe	
4.222	earwax	
4.23	nose	AchE ši-um-me = šim.e
4.231	nostril	
4.232	mucus (nasal)	
4.24	mouth	
4.241	beak	
4.25	lip	
4.26	tongue	tit(-me): AchE ti-ut(-me)
4.27	tooth	sihha[n]: ME si-h-ha
4.271	gums	
4.272	molartooth	
4.28	neck	NE ti-pi (?)
4.281	nape of neck	
4.29	throat	
4.3	shoulder	
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	
4.312	armpit	
4.32	elbow	
4.321	wrist	
4.33	hand	kir-/ kur-: ME ki-ir-pi; AchE kur-pi
4.331	palm of hand	
4.34	finger	
4.342	thumb	
4.344	fingernail	pur: NE pu-ur
4.345	claw	
4.35	leg	
4.351	thigh	
4.352	calf of leg	
4.36	knee	
4.37	foot	pat: ME, NE ba-at; ME pa-at
4.371	ankle	
4.372	heel	
4.374	footprint	
4.38	toe	
4.392	wing	
4.393	feather	putmaš: NE pu-ut-ma-áš
4.4	chest	
4.41	breast (of woman)	
4.412	nipple, teat	
4.42	udder	
4.43	navel	
4.44	heart	buni: OE (?); ME bu-ni
4.441	lung	
4.45	liver	NE ru-el-pa-mín
4.451	kidney	
4.452	spleen	
4.46	stomach	
4.461	intestines, guts	
4.462	waist	
4.463	hip	
4.464	buttocks	
4.47	womb	
4.49	testicle	ruku: NE ru-ku
4.492	penis	
4.51	breathe, breath	
4.52	yawn, gape	
4.521	hiccough	
4.53	cough	
4.54	sneeze	
4.55	perspire	
4.56	spit	
4.57	vomit	
4.58	bite	
4.59	lick	
4.591	dribble	
4.61	sleep	
4.612	snore	
4.62	dream	
4.63	wake up	
4.64	break wind	
4.65	urinate	
4.66	defecate	
4.67	have sexual intercourse	
4.68	shiver	
4.69	bathe	
4.71	beget (of father)	
4.72	born (to be)	kuši-: ME ku-ši-in; AchE ku-ši-iš
4.73	pregnant	
4.732	conceive	du-: OE, ME, NE du-h; NE, AchE du-iš; OE duk
4.74	live, living, life	OE, ME ta-ak-me; ME, NE da-ak-ki-me; ME ta-ak-ki-me
4.75	die, dead	halpi-: NE, AchE hal-pi-ik; AchE hal-pi-ip; NE la-ha-an
