entry_id	trans_english	Tuyuca_Phonemic
11.89	cheap	wapa-bã'dĩ
11.91	share (distribute)	ba'to
11.92	weigh	dɨ̃'kɨ̃
12.1	after	'siro
12.11	behind	-siro
12.2	beside	we'sa
12.3	down, below	do'ka
12.4	before	sɨ'gero
12.41	front	'diabãkɨ̃
12.5	inside, in	po'pea
12.6	outside	
12.7	under	do'ka
12.8	up, above	soto'a
12.11	place	-ro
12.12	put	'peo
12.13	sit	du'i
12.14	lie down	kõ'ã
12.15	stand	dũ'kũ
12.16	remain, stay	pɨ'tɨa
12.17	remains, left overs	dɨsa-'re
12.21	collect, gather	se'e
12.212	pick up	'dẽẽ
12.213	pile up	see-'dẽ-õ-kũ
12.22	join, unite	do'o
12.23	separate	
12.232	divide	dɨkaba'to
12.24	open	'põõ
12.25	shut, close	bi'a
12.26	cover	'bɨato
12.27	hide, conceal	yayi'o
12.31	high	ɨ̃bɨ̃'ã
12.32	low	do'ka
12.33	top	soto'a
12.34	bottom	ku'ti-ro
12.35	end	ya'pa
12.352	pointed	-wiro
12.353	edge	ya'pa
12.36	side	we'sa
12.37	middle, center	de'ko
12.41	right (side)	diabã'kɨ̃
12.42	left (side)	a'kudĩyã
12.43	near (adv)	pɨ'to-gã
12.44	far (adv)	yo'a-ro
12.45	east	bũ'ĩpũ bɨ̃'ã-ati-ro
12.46	west	bũ'ĩpũ sã'ã-wa-ro
12.47	north	--
12.48	south	--
12.53	grow	pai-'ro 'waa; bɨkɨ'a; dũũ
12.54	measure	ke'o
12.541	span, fathom	--
12.55	large, big	pai-
12.56	small, little	'pee-gã
12.57	long	yo'a
12.58	tall	ɨ̃bɨ̃'ã
12.59	short	ɨ̃bɨ̃-'ẽ
12.61	wide, broad	e'sa
12.62	narrow	e'sa-e
12.63	thick (in dimension)	esebe'ti
12.65	thin (in dimension)	esebẽ'dĩ
12.67	deep	ɨ̃kɨ̃'ã-
12.68	shallow	ɨ̃kɨ̃'ã-ẽ-
12.71	flat	-bapa
12.73	straight	diabã'kɨ̃
12.74	crooked	-kõbẽ-rõ
12.75	hook	dõ'õ-pĩ
12.76	corner	pu'kua
12.77	cross	-tẽrõ
12.78	square	
12.81	round	
12.82	circle	be'to
12.83	sphere, ball	-ga
12.84	line	-da
12.85	hole	ko'pe
12.92	like, similar	bi'i
12.93	change	wa'so
13.0	zero, nothing	--
13.1	one	si'ka-
13.2	two	pɨa-
13.3	three	iti'a-
13.4	four	ba'pari
13.5	five	si'ka-bõ-hẽ-yẽ- ~ si'ka-bõ-kẽ-yẽ-
13.6	six	sika-'bõ-peti ape-'bõ-pẽdĩ-pea-re sika-'ga
13.7	seven	sika -'bõ-peti ape-'bõ-pẽdĩ-pea-re pɨa-'ga
13.8	eight	sika-'bõ-peti ape-'bõ-pẽdĩ-pea-re iti'a-ga
13.9	nine	sika-'bõ-peti ape-'bõ-pẽdĩ-pea-re ba'pari-pa
13.10	ten	pɨa-'bõ-peti
13.101	eleven	pɨa-'bõ-peti dɨ'po sika-'ga-pẽdĩ-pea-re
13.102	twelve	pɨa-'bõ-peti dɨ'po pɨa-'ga-pẽdĩ-pea-re
13.103	fifteen	pɨa-'bõ-peti dɨ'po si'ka-dɨpo-peti-re
13.104	twenty	pɨa-'bõ-peti pɨa-dɨ'po-peti-re
13.105	hundred	--
13.106	thousand	--
13.107	count	ke'o
13.14	every, all	dĩ'ĩ-peti-re
13.15	much, many	pa'ɨ; pe'e; pai-'ro
13.16	more	dẽbõ-'rõ
13.17	little (quantity), few	'peero
13.18	enough	'pee
13.181	some	sĩ'kẽ ~ sĩ'kãyẽ
13.19	multitude, crowd	pa'ɨ
13.21	full	da'da
13.22	empty	pose-bã'dĩ
13.23	part, piece	
13.24	half	de'ko
13.33	alone, only	-'dikɨ ~ -'dikɨ̃ ~ -'digɨ
13.34	first	sɨ'ge-
13.35	last	dĩ'ĩ-tu-
13.36	second	
13.37	pair	-ba
13.38	two times	pɨa-'rĩ
13.42	third	--
13.44	three times	ĩtĩ'ãrĩ
14.11	time	--
14.12	age	kɨ̃'bã
14.13	new	bã'bã
14.14	young	bãbɨ̃
14.15	old	bɨ'kɨ
14.16	early	
14.17	late	'siro-pɨ
14.18	now	bẽkã'ti-gã
14.19	immediately	'bããta
14.21	swift, fast, quick	bo'yero
14.22	slow	pea-'re-bẽdã
14.23	hasten, hurry	poto 'kõ-rõ
14.24	retard, delay	pe'a
14.25	begin, beginning	dɨ̃'kã
14.252	last, endure	
14.26	end (temporal)	dĩ'ĩ-tu-re
14.27	finish	peo-'ti
14.28	cease, stop	du'u
14.29	ready	
14.31	always	'tee-ro-dikɨ
14.32	often	dã'ĩ-rõ
14.33	sometimes	ape-'to
14.331	soon	bẽkã'ti-gã
14.332	long-time (for a)	yo'a-ri
14.34	never	-do-
14.35	again	-sũkã
14.41	day	'bɨreko ~ 'bɨrɨko ~ 'bɨriko
14.42	night	yã'bĩ
14.43	dawn	'boe-bɨ̃ã-ti-ri
14.44	morning	'boe-ri
14.45	noon, midday	koe-ri-'to
14.451	afternoon	koe-ri-'to-siro
14.46	evening	yã'bĩ
14.47	today	bẽ'kɨ̃ã
14.48	tomorrow	yã'bĩ-gã
14.481	day-after-tomorrow	yã'bĩ-gã-boe-ri-bɨreko
14.49	yesterday	yã'bĩ-ka
14.491	day-before-yesterday	yã'bĩ-ka-boe-ri-bɨreko
14.51	hour	['ora]
14.53	clock, timepiece	'bɨreko keo-'ri-ga
14.61	week	[sa'bãdã]
14.62	Sunday	ye'erisã-ri-bɨreko
14.63	Monday	pa'de-dɨ̃kã-ri-bɨreko
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	pa'de-tu-ri-bɨreko
14.71	month	bũ'ĩpũ
14.73	year	kɨ̃'bã
14.74	winter	'puu-ri-ro
14.75	spring	--
14.76	summer	kɨ̃'bã
14.77	autumn	--
14.78	season	-to
15.21	smell (vb intrans)	su'su
15.212	sniff	wĩdĩ-'ãbã
15.22	smell (vb trans)	wĩ'dĩ
15.25	fragrant, good smelling	sitia-ã'yũ
15.26	stinking, bad smelling	ɨ̃'dĩ
15.31	taste	po'a
15.35	sweet	i'piti
15.36	salty	o'ka
15.37	bitter	sɨ̃'gẽ
15.38	acid, sour	pi'ya
15.39	brackish	'yia
15.41	hear	tɨ'o
15.42	listen	tɨ'o
15.44	sound, noise	bɨ'sɨ
15.45	loud	dita-kɨ'ti
15.46	quiet, silence	dita-bã'dĩ
15.51	see	ĩ'yã
15.52	look, look at	ĩ'yã
15.55	show	ẽ'yõ
15.56	shine	asi'ya
15.57	bright	asi'ya-re
15.61	color	--
15.62	light (in color)	bu'ti
15.63	dark (in color)	yĩ'ĩ
15.64	white	bu'ti
15.65	black	yĩ'ĩ
15.66	red	sõ'ã
15.67	blue	sɨ̃'bẽ
15.68	green	sɨ̃'bẽ
15.69	yellow	sõ'ã
15.71	touch	pade'yã
15.712	pinch	pɨ'a
15.72	feel	tɨ'geyã
15.74	hard	ba'yi
15.75	soft	a'ba
15.76	rough	-bubiro
15.77	smooth	si'pi
15.78	sharp	asi'yoa
15.79	blunt, dull	u'du
15.81	heavy	dɨ̃'kɨ̃
15.82	light (in weight)	dɨ̃-'kɨ̃-ẽ-
15.83	wet, damp	oko-kɨ'ti
15.84	dry	bo'po
15.85	hot	a'si
15.851	warm	asi-bu'su
15.86	cold	yɨsɨ'a
15.87	clean	hũĩrĩ-bã-'dĩ
15.88	dirty, soiled	hũĩrĩ-'pi
15.89	wrinkled	-sɨ̃sɨ̃rõ
16.11	soul, spirit	ye'eripũdã
16.15	surprised, astonished	ɨkɨ'a
16.18	good fortune, luck	di'ka
16.19	misfortune, bad luck	di'ka-e-
16.23	joyful, glad, happy	ɨ'sedĩ
16.25	laugh	bu'i
16.251	smile	bu'i
16.26	play	a'pe
16.27	love	bã'ĩ
16.29	kiss	ũ'pũ
16.3	embrace	'paa-bɨa
16.31	pain	pũ'dĩ
16.32	grief, sorrow, sadness	'boadẽõ
16.33	anxiety, worry	wã'kũ-re-kɨti
16.34	regret, be sorry	wã'kũ-re-kɨti
16.35	pity	'boadẽõ-yã
16.37	cry, weep	u'ti
16.38	tear (noun)	yako-o'ko
16.39	groan	pũdĩ-wi'si
16.41	hate	ĩ'yã-tuti
16.42	anger	'kua
16.44	envy, jealousy	do'e
16.45	shame (noun)	bo'bo
16.48	proud	
16.51	dare	ku'i-re bãdĩ-'re
16.52	brave	
16.53	fear, fright	ku'i
16.54	danger	ki'o
16.62	desire, want	bo'o
16.622	choose	be'se
16.63	hope	
16.65	faithful	
16.66	true	dĩĩ-'rõ-bãkẽ
16.67	lie, tell lies	hĩ'ĩ-dito
16.68	deceit	tii-di'to
16.69	forgive	aka'bo
16.71	good	ã'yũ
16.72	bad	yã'yã
16.73	right, correct	diabã'kɨ̃
16.74	wrong	diabã'kɨ̃ dĩ'ĩ-ẽ-re
16.76	fault	
16.77	mistake, error	wi'si
16.78	blame	
16.79	praise	
16.81	beautiful	ã'yũ
16.82	ugly	do'ko
16.83	greedy	wã'dĩ
16.84	clever	bẽ'dĩ
17.11	mind	
17.13	think (= reflect)	wã'kũ
17.14	think (= be of the opinion)	wã'kũ
17.15	believe	pade'o
17.16	understand	tɨo-bã'sĩ
17.17	know	bã'sĩ
17.171	guess	hĩ'ĩ-bɨa
17.172	imitate	ke'o
17.18	seem	bi'i
17.19	idea, notion	wãkũ-'re
17.21	wise	bãsĩ-'gɨ̃
17.22	foolish, stupid	wede-'re tɨo-'e-gɨ
17.23	insane, crazy	po'sariwi
17.24	learn	bu'e
17.242	study	bu'e
17.25	teach	bu'e
17.26	pupil	bue-'gɨ
17.27	teacher	bue-'gɨ
17.28	school	bue-'ri-wi
17.31	remember	wã'kũ
17.32	forget	aka'bo
17.34	clear, plain	tɨo-bã'sĩ-re
17.35	obscure	tɨo-bã'sĩ-yã-bãdĩ-re
17.36	secret	yayi'o-re
17.37	sure, certain	dĩĩ-'rõ-rã
17.38	explain	we'de
17.41	intention, purpose	tii-dɨ'ga-re
17.42	cause	-o-
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	bo'o
17.46	easy	wisi'o-e
17.47	difficult	wisi'o
17.48	try, attempt	-yã-
17.49	way, manner	bi'i-ro
17.51	and	
17.52	because	
17.53	if	
17.54	or	[o]
17.55	yes, affirmative	
17.56	no, negative	
17.61	how?	de'e-ro
17.62	how many?	dõ'kẽ
17.63	how much?	dõ'kẽ
17.64	what?	yẽ'ẽ
17.65	when?	de'e-bi-ri
17.66	where?	dõ'õ
17.67	which?	dĩ'ĩ
17.68	who?	dõ'ã
17.69	why?	de'e-ro ti'i
18.11	voice	we'dese-re
18.12	sing	ba'sa
18.13	shout, cry out	akari'bi
18.15	whisper	'pee-ro-gã we'dese
18.16	mumble	ũ'dũdĩ
18.17	whistle	wĩ'bõ
18.18	shriek, screech	akari'bi
18.19	howl	
18.21	speak, talk	we'dese
18.211	stutter, stammer	ku'ku
18.22	say	hĩ'ĩ
18.221	tell story	keti-we'de
18.222	speech (make a)	we'de
18.23	silent (be)	dita-bã'dĩ
18.24	language	-ye
18.26	word	
18.28	name	wã'bẽ
18.31	ask (question, inquire)	sãĩ'yã
18.32	answer	yɨ'ɨ
18.33	admit, confess	
18.34	deny	
18.35	ask, request	sã'ĩ
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	tu'ti
18.41	call (=summon)	pi'su
18.42	call (=name)	wã'bẽ-kɨti
18.43	announce	we'de
18.44	threaten	'paa-keo
18.45	boast	
18.51	write	'hoa
18.52	read	[pa'pera] ĩ'yã
18.56	paper	[pa'pera]
18.57	pen	'hoa-ri-gɨ
18.61	book	[pa'pera]-tuti
18.67	poet	--
18.71	flute	tõõ-rõ-ri-wɨ
18.72	drum	yu'kɨ-tuti
18.73	horn, trumpet	
18.74	rattle	yã'sã-gã
19.11	country	di'ta
19.12	one's native country	
19.15	city, town	bã'kã
19.16	village	bã'kã
19.17	boundary	di'ta-'taa-ri-ro
19.21	people (populace)	baso'ka
19.23	tribe, clan	-bu
19.24	chief, chieftain	sɨo-'dĩ-gɨ̃
19.25	staff, walking stick	tuu-'ri-tua-ri-gɨ
19.31	rule, govern	du'ti
19.32	king, ruler	õ'pɨ̃
19.33	queen	õ'põ
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	pe'ka-sɨ̃
19.42	slave	
19.43	servant	pa'de-kote-gɨ
19.44	freeman	--
19.45	command, order	du'ti
19.46	obey	yɨ'ɨ
19.47	let, permit	
19.51	friend, companion	-bẽdã bã'kɨ̃
19.52	enemy	wã'pã-gɨ̃
19.54	neighbor	bã'rĩ-pɨto-bãkɨ̃
19.55	stranger	ape-dita-bã'kɨ̃
19.56	guest	hea-'gɨ
19.57	host	wii-õ'pɨ̃
19.58	help, aid	tii-'apu
19.59	hinder, prevent	kãbõ'ta
19.61	custom	tii-'re-kɨti-re
19.62	strife, quarrel	kãbẽ-'ri-tuti-re
19.63	conspiracy, plot	
19.65	meet	bo'ka
19.72	prostitute	
20.11	fight (vb)	kãbẽ-'rĩ-kẽ
20.13	war, battle	kãbẽ-'rĩ-sĩã
20.14	peace	ã'yũ-rõ dĩĩ-'re
20.15	army	[su'rara]
20.17	soldier	[su'rara]
20.21	weapons, arms	be'su
20.22	club	yu'kɨ-dɨka
20.222	battle-ax	
20.23	sling	
20.24	bow	bɨ'e-ri-pĩ
20.25	arrow	kã'dɨ̃-gɨ̃
20.26	spear	[sa'kaya]
20.27	sword	--
20.28	gun, cannon	pe'ka-wɨ
20.31	armor (defensive)	--
20.33	helmet	--
20.34	shield	--
20.35	fortress	--
20.36	tower	--
20.41	victory	
20.42	defeat	do'ka-kũbũ
20.43	attack	
20.44	defend	kãbõ'ta
20.45	retreat	'duu-di
20.46	surrender	
20.47	captive, prisoner	[pe'resu] dĩĩ-'gɨ̃
20.471	guard, sentinel	kote-'gɨ
20.48	booty, spoils	--
20.49	ambush	
20.51	fisherman	wa'i sĩã-'gɨ̃
20.52	fishhook	we'e-ri-ge
20.53	fishing line	we'e-ri-kãdõ
20.54	fishnet	ba'pi
20.55	fish trap	a'ruka
20.56	bait	wa'i wee-'re
20.61	hunt	'waikɨ-ra sĩã
20.62	shoot	pe'ka-sã
20.63	miss (target)	ape-ro-'pɨ pe'ka-sã
20.64	trap (noun)	'yoo-re
20.65	trap (vb)	'yoo
21.11	law	--
21.15	court	--
21.16	judge (vb)	ĩ'yã-bese
21.17	judgment	
21.18	judge (noun)	ke'ti bese'gɨ
21.21	plaintiff	we'de-sã-gɨ̃
21.22	defendant	--
21.23	witness	ĩ'yã-ri-gɨ
21.24	swear	dĩĩ-'rõ-rã hĩ'ĩ
21.25	oath	dĩĩ-'rõ-rã hĩĩ-'re
21.31	accuse	we'de-sã
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	wa'pa kɨo-'gɨ
21.36	innocent	wa'pa kɨo-'e-gɨ
21.37	penalty, punishment	yã'yã-ro tii-'re
21.38	fine	--
21.39	prison, jail	[pe'resu]-wi
21.42	murder	sĩ'ã
21.43	adultery	
21.44	rape	
21.46	arson	'soe
21.47	perjury	hĩ'ĩ-dito
21.51	steal	ya'a
21.52	thief	yaa-'ri-basokɨ
22.11	religion	
22.12	God	kõ'ãbãkɨ̃
22.13	temple, church	kõ'ãbãkɨ̃-wi
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	'suu-buse
22.18	priest	[pa'i]
22.19	holy, sacred	
22.22	preach	--
22.23	bless	--
22.24	curse	do'a
22.26	fast (vb)	be'ti
22.31	heaven	kõ'ãbãkɨ̃-pɨto
22.32	hell	pe'ka-bẽ-pɨ
22.35	demon (evil spirit)	wã'tĩ
22.37	idol	--
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	'yai
22.44	fairy, elf	--
22.45	ghost, phantom	wã'tĩ
22.47	omen, portent	
