entry_id	trans_english	Tuyuca_Phonemic
2.33	marry	wãbõ-'sia
2.34	marriage, wedding	--
2.341	divorce	dɨ̃'bõ kõã-'re
2.35	father	pa'kɨ
2.36	mother	pa'ko
2.37	parents	pa'kɨ-sɨ̃bɨ̃ã
2.38	married man	dɨ̃'bõ-kɨti-gɨ
2.39	married woman	bã'dɨ̃-kɨti-go
2.41	son	bã'kɨ̃
2.42	daughter	bã'kõ
2.43	offspring (son or daughter)	põ'dã
2.44	brother	--
2.444	older brother	sõ'wɨ̃
2.445	younger brother	ba'i
2.45	sister	--
2.454	older sister	sõ'wõ
2.455	younger sister	bayi'o
2.456	sibling	sĩ'kɨ̃-põdã
2.458	twins	sɨdɨ'a-ri-ra
2.46	grandfather	yẽ'kɨ̃
2.461	old man	bɨ'kɨ
2.47	grandmother	yẽ'kõ
2.471	old woman	bɨkɨ'o
2.48	grandson	'pãrãbĩ
2.49	granddaughter	'pãrãbẽõ
2.51	uncle	--
2.511	mother's brother	bẽ'kɨ̃
2.512	father's brother	bɨ'gɨ
2.52	aunt	--
2.521	mother's sister	bɨ'go
2.522	father's sister	bẽ'kõ
2.53	nephew	sõwɨ̃-bã'kɨ̃; sõwõ-bã'kɨ̃
2.54	niece	sõwɨ̃-bã'kõ; sõwõ-bã'kõ
2.55	cousin	tẽ'yɨ̃; tẽ'yõ
2.56	ancestors	yẽ'kɨ̃-sɨ̃bɨ̃ã
2.57	descendants	dĩ'ĩ-dɨ̃dɨ̃se-ra
2.61	father-in-law (of a man)	bãyẽ'kɨ̃
2.611	father-in-law (of a woman)	bãyẽ'kɨ̃
2.62	mother-in-law (of a man)	bãyẽ'kõ
2.621	mother-in-law (of a woman)	bãyẽ'kõ
2.63	son-in-law (of a man)	-'bui
2.631	son-in-law (of a woman)	-'bui
2.64	daughter-in-law (of a man)	bã'kɨ̃-dɨ̃bõ
2.641	daughter-in-law (of a woman)	bã'kɨ̃-dɨ̃bõ
2.71	stepfather	pako-bã'dɨ̃
2.72	stepmother	pakɨ-dɨ̃bõ
2.73	stepson	bã'dɨ̃-bãkɨ̃; dɨ̃bõ-bã'kɨ̃
2.74	stepdaughter	bã'dɨ̃-bãkõ; dɨ̃bõ-bã'kõ
2.75	orphan	pa'kɨ̃-bãdĩ-gɨ̃; pa'ko-bãdĩ-gɨ̃
2.76	widow	wa'pewi-o
2.77	widower	wa'pewi
2.81	relatives, kinsmen	(yɨ'ɨ)-pakɨ-sɨ̃bɨ̃ã
2.82	family	('yaa)-wede-ra
2.91	I	yɨ'ɨ
2.92	you (singular)	bɨ̃'ɨ̃
2.93	he/she/it	kɨ̃'ɨ̃ / ko'o / --
2.94	we	--
2.941	we (inclusive)	bã'rĩ
2.942	we (exclusive)	ɨ̃'sã
2.95	you (plural)	'bɨ̃ã
2.96	they	'kɨ̃ã
3.11	animal	'waikɨ
3.12	male (adj)	ɨ̃'bɨ̃
3.13	female (adj)	dũbĩ'õ
3.15	livestock	--
3.16	pasture	['kãpũ]
3.18	herdsman	--
3.19	stable, stall	--
3.2	cattle (bovine)	we'kɨ
3.21	bull	we'kɨ
3.22	ox	--
3.23	cow	--
3.24	calf	--
3.25	sheep	--
3.26	ram	--
3.28	ewe	--
3.29	lamb	--
3.32	boar	ye'se
3.34	sow	ye'se-go
3.35	pig	ye'se
3.36	goat	--
3.37	he-goat	--
3.38	kid	--
3.41	horse (equine)	[ka'bayu]
3.42	stallion	--
3.44	mare	--
3.45	foal, colt	--
3.46	ass, donkey	--
3.47	mule	--
3.5	fowl	bĩdĩ-bã'kɨ̃
3.52	cock, rooster	kã'rẽkẽ
3.54	hen	kã'rẽkẽ
3.55	chicken	kã'rẽkẽ
3.56	goose	--
3.57	duck	['patu]
3.58	nest	bĩdĩ-bã'kɨ̃-suti-ro
3.581	bird	bĩdĩ-bã'kɨ̃
3.582	seagull	--
3.583	heron	ye'e
3.584	eagle	'kaa
3.585	hawk	'kaa
3.586	vulture	yu'ka
3.591	bat	o'so
3.592	parrot	we'ko
3.593	crow	--
3.594	dove	bu'a
3.596	owl	bɨ'pɨ-pako
3.61	dog	'diayi
3.614	rabbit	--
3.62	cat	[pi'sadã]
3.622	opossum	o'a
3.63	mouse, rat	wĩ'ĩpɨtɨ
3.65	fish	wa'i-wɨ̃; wa'i
3.652	fin (dorsal)	wa'i waa're
3.653	fishscale	dɨ̃tɨ̃'rõ
3.654	gill	wã'bɨ̃ãtõkõrõ
3.655	shell	-koro
3.661	shark	--
3.662	porpoise, dolphin	o'ko-puti-bate-gɨ
3.663	whale	--
3.664	stingray	ã'yã-kase-ro
3.665	freshwater eel	sã'ã
3.71	wolf	--
3.72	lion	--
3.73	bear	--
3.74	fox	--
3.75	deer	yã'bã
3.76	monkey	a'ke
3.77	elephant	--
3.78	camel	--
3.81	insect	--
