entry_id	trans_english	Persian_Phonemic
3.25	sheep	gusfænd
3.26	ram	quč
3.28	ewe	miš
3.29	lamb	bærre
3.32	boar	gorɑz
3.34	sow	
3.35	pig	xuk
3.36	goat	boz
3.37	he-goat	
3.38	kid	bozqɑle
3.41	horse (equine)	æsp; yɑbu
3.42	stallion	
3.44	mare	mɑdyɑn
3.45	foal, colt	korre
3.46	ass, donkey	xær; olɑq
3.47	mule	qɑter
3.5	fowl	
3.52	cock, rooster	xorus
3.54	hen	morq
3.55	chicken	ǰuǰe
3.56	goose	qɑz
3.57	duck	ordæk; morq-ɑbi
3.58	nest	ɑšeyɑne
3.581	bird	pærænde
3.582	seagull	
3.583	heron	
3.584	eagle	oqɑb
3.585	hawk	šɑhin
3.586	vulture	kærkæs; lɑšxur
3.591	bat	šæppære
3.592	parrot	tuti
3.593	crow	kælɑq
3.594	dove	kæbutær
3.596	owl	buf; bum
3.61	dog	sæg
3.614	rabbit	xærguš
3.62	cat	gorbe
3.622	opossum	
3.63	mouse, rat	muš
3.65	fish	mahi
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	[sædæf]
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	gorg
3.72	lion	šir; šēr
3.73	bear	xers
3.74	fox	robɑh ~ rubah
3.75	deer	gævæzn
3.76	monkey	meymun
3.77	elephant	pil ~ fil
3.78	camel	šotor
3.81	insect	[hæšærɑt]
3.811	louse	šepeš
3.812	nit (louse egg)	
3.813	flea	keyk; kæk
3.814	centipede	hezɑr-pɑ
3.815	scorpion	kæždom
3.816	cockroach	
3.817	ant	mur; murče
3.818	spider	kɑrtæng; kɑrtæne; [ænkæbut]; ǰula
3.819	spider web	tɑr-e ænkæbut
3.82	bee	zæmbur(-e æsæl)
3.821	beeswax	
3.822	beehive	
3.823	wasp	zæmbur
3.83	fly	mægæs
3.831	sandfly (midge), gnat	pæše
3.832	mosquito	pæše
3.84	worm	kerm
3.85	snake	mɑr
3.91	firefly	
3.92	butterfly	pærvɑne
3.93	grasshopper	[mælæx]
3.94	snail	
3.95	frog	qurbɑqe
3.96	lizard	bozmæǰe
3.97	crocodile, alligator	
3.98	turtle	lɑk-pošt; sang-baqa
4.11	body	tæn
4.12	skin, hide	pust
4.13	flesh	gušt
4.14	hair (head)	mu
4.142	beard	riš
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	
4.15	blood	xun
4.151	vein, artery	ræg
4.16	bone	ostoxɑn
4.162	rib	dænde
4.17	horn	šɑx
4.18	tail	dom
4.19	back	pošt
4.191	spine	
4.2	head	sær
4.201	side of head, temple	
4.202	skull	kælle
4.203	brain	mæqz
4.204	face	ru
4.205	forehead	pišɑni
4.207	jaw	ɑrvɑre
4.208	cheek	rox
4.209	chin	čɑne
4.21	eye	čæšm
4.212	eyebrow	æbru
4.213	eyelid	pelk
4.214	eyelash	može ~ meže
4.215	blink	čæšmæk; -zædæn
4.22	ear	guš
4.221	earlobe	
4.222	earwax	
4.23	nose	bini
4.231	nostril	
4.232	mucus (nasal)	
4.24	mouth	dæhɑn ~ dæhæn
4.241	beak	nuk
4.25	lip	læb
4.26	tongue	zæbɑn
4.27	tooth	dændɑn
4.271	gums	
4.272	molartooth	
4.28	neck	gærdæn
4.281	nape of neck	[qæfɑ]
4.29	throat	gælu ~ golu
4.3	shoulder	duš
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	bɑzu
4.312	armpit	bæqæl
4.32	elbow	ɑrænǰ
4.321	wrist	moč
4.33	hand	dæst; kæf(-e dæst)
4.331	palm of hand	kæf
4.34	finger	ængošt
4.342	thumb	šæst
4.344	fingernail	nɑxon
4.345	claw	čæng
4.35	leg	pɑ
4.351	thigh	rɑn
4.352	calf of leg	
4.36	knee	zɑnu
4.37	foot	pɑ
4.371	ankle	moč-e-pɑ
4.372	heel	pɑšæne
4.374	footprint	
4.38	toe	ængošt-e-pɑ
4.392	wing	bɑl
4.393	feather	pær
4.4	chest	sine
4.41	breast (of woman)	pestɑn
4.412	nipple, teat	sær-pestɑn
4.42	udder	pestɑn
4.43	navel	nɑf
4.44	heart	del
4.441	lung	
4.45	liver	ǰegær
4.451	kidney	gorde
4.452	spleen	osporz
4.46	stomach	šekæm
4.461	intestines, guts	rude
4.462	waist	kæmær
4.463	hip	gorde
4.464	buttocks	kun
4.47	womb	šekæm
4.49	testicle	xɑye
4.492	penis	kir
4.51	breathe, breath	næfæs kæšidæn; [næfæs] dæm -zædæn; dæm
4.52	yawn, gape	
4.521	hiccough	sæksæke; hoq hoq -zædæn
4.53	cough	sorfe
4.54	sneeze	ætse
4.55	perspire	[æræq]; xu -kærdæn
4.56	spit	tof-kærdæn
4.57	vomit	[estefrɑq]-kærdæn
4.58	bite	gæzidæn
4.59	lick	lisidæn
4.591	dribble	
4.61	sleep	xɑbidæn; xɑb
4.612	snore	xor-xor kærdæn
4.62	dream	xab -didæn
4.63	wake up	bidɑr-šodæn
4.64	break wind	guz; tiz; guzidæn
4.65	urinate	šɑšidæn
4.66	defecate	goh; ridæn/ rin-
4.67	have sexual intercourse	gɑhidæn
4.68	shiver	lærzidæn
4.69	bathe	šostušu kærdæn
4.71	beget (of father)	
4.72	born (to be)	zɑʔidæn
4.73	pregnant	ɑbestæn; [hɑmele]
4.732	conceive	
4.74	live, living, life	zende, zendegi; zistæn/ zi-
4.75	die, dead	mordæn, morde
4.751	drowned	
4.76	kill	koštæn
4.77	corpse	[ǰæsæd]
4.78	bury (the dead)	[dæfn]-kærdæn
4.79	grave, tomb	[qæbr]; gur
4.81	strong, mighty, powerful	[qævi]; zurmænd; tævɑnɑ
4.82	weak	[zæʔif]; sost
4.83	well, health	[sɑlem]; tændorosti
4.84	sick, sickness	bimɑr, bimɑri
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	særmɑ; rizeš
4.85	wound, sore	zæxm
4.852	bruise	
4.853	swelling	
4.854	itch	xɑreš
4.855	blister	
4.856	boil (noun)	ǰuš
4.857	pus	rim
4.858	scar	dɑq
