entry_id	trans_english	Chorote_Phonemic
1.1	world	
1.21	earth, land	axnat (f.)
1.212	earth=ground, soil	axnat (f.)
1.213	dust	lamak (m.)
1.214	mud	isat
1.215	sand	isye
1.22	mountain, hill	takixnakiʔ
1.222	cliff, precipice	takina (m.)
1.23	plain, field	fʷex (f.)
1.24	valley	--
1.25	island	
1.26	mainland	--
1.27	shore	tewk takinaʔ
1.28	cave	ixwo (f.)
1.31	water	anat
1.32	sea	--
1.322	calm (of sea)	--
1.323	rough (of sea)	--
1.324	foam	-satyuʔ
1.329	ocean	--
1.33	lake	
1.34	gulf, bay	--
1.341	lagoon	anat-let (f.)
1.342	reef	--
1.343	headland, point	takina-ki-laseʔ
1.35	wave	anat-isawompe
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	tewak (m.)
1.362	whirlpool	ofʷatakiʔ
1.37	spring, well	tokkiʔ
1.38	swamp	naxe
1.39	waterfall	anat-aleteyin
1.41	woods, forest	linaʔ
1.42	tree (cf 08.600)	alaʔ
1.43	wood	alaʔ
1.44	stone, rock	-poy (f.)
1.45	earthquake	axnat-tiwesi
1.51	sky	poleʔ
1.52	sun	kilay
1.53	moon	weʔla
1.54	star	kates (f.)
1.55	lightning	yexey (?); tˀakayi
1.56	thunder	-syulteni
1.57	lightning (as striking)	yexey (?)
1.58	storm	afʷesyeyi
1.59	rainbow	sapalkat
1.61	light (noun)	lal; xloma
1.62	darkness	axna
1.63	shade, shadow	-peluk ~ -piluk (m.)
1.64	dew	yista (m.)
1.71	air	-yel (f.)
1.72	wind	laxwu
1.73	cloud	poleʔ (m.)
1.74	fog	toxsa-ta; inyexkay
1.75	rain (noun)	pexla
1.76	snow (noun)	fʷiyit inyuneʔ
1.77	ice	fʷiyit (m.)
1.78	weather	lomaʔ
1.81	fire	etyeʔ (f.)
1.82	flame (noun)	lal (m.)
1.83	smoke (noun)	toxsa
1.84	ashes	taxlat (m.)
1.841	embers	eytifʷuk
1.851	burn (vb trans)	-wun
1.852	burn (vb intrans)	etye otam
1.86	light, kindle, ignite	-tofʷaniti ~ -tyufʷaniti; -xlanee
1.861	extinguish	omateʔ ~ -tomateʔ
1.87	match (noun)	etye-kas
1.88	firewood	-xoxpat ~ -oxpat
1.89	charcoal	fʷayokiʔ (f.)
2.1	person, human being	inyoʔ
2.21	man (vs. woman)	ayinye
2.22	woman	axwuʔ
2.23	male	ayinye (m.)
2.24	female	axwuʔ
2.25	boy	inye-was
2.251	young man (adolescent)	yek
2.26	girl	inye-weseʔ
2.261	young woman (adolescent)	xloxsa
2.27	child	kyale; kyale-ki
2.28	infant, baby	
2.31	husband	-kilwaʔ ~ -c̷ilwaʔ ~ -ilwaʔ
2.32	wife	-kilfʷaʔ ~ -c̷ilfʷaʔ ~ -ilfʷaʔ
2.33	marry	-fʷayi
2.34	marriage, wedding	ti-fʷayi-c̷in
2.341	divorce	-lewe ~ -liwe
2.35	father	-naʔ ~ -nye (m.)
2.36	mother	et; meme
2.37	parents	-nawot ~ -nyewot
2.38	married man	inyoʔ ti-fʷayi
2.39	married woman	axwuʔ ti-fʷayi
2.41	son	-as
2.42	daughter	-axseʔ
2.43	offspring (son or daughter)	-les
2.44	brother	
2.444	older brother	-kilyeʔ ~ -silyeʔ
2.445	younger brother	-kini ~ -c̷ini ~ -ini
2.45	sister	
2.454	older sister	-kyaaxuʔ
2.455	younger sister	-kixnyeʔ
2.456	sibling	
2.458	twins	-ntakkiʔ
2.46	grandfather	-tʔek; totyuʔ
2.461	old man	kixil
2.47	grandmother	-eyi
2.471	old woman	kixil-akiʔ
2.48	grandson	-kiyes ~ siyes
2.49	granddaughter	-kiyeʔ ~ -siyeʔ
2.51	uncle	lieʔ
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	-tieʔ
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	-tyelas
2.56	ancestors	i-nyeyin epi -c̷oyeʔ
2.57	descendants	-les ~ -lis
2.61	father-in-law (of a man)	-kante-k
2.611	father-in-law (of a woman)	-kante-k ~ -kyante-k (m.)
2.62	mother-in-law (of a man)	-kanteʔ ~ -kyanteʔ
2.621	mother-in-law (of a woman)	-kanteʔ
2.63	son-in-law (of a man)	-fʷeluʔ ~ -fʷiluʔ
2.631	son-in-law (of a woman)	-fʷeluʔ
2.64	daughter-in-law (of a man)	-fʷeles
2.641	daughter-in-law (of a woman)	-fʷeles
2.71	stepfather	-wo-nawa ~ -yo-nawa
2.72	stepmother	-wo-eta ~ -wo-ita ~ -yo-eta
2.73	stepson	-asenek ~ -esenek ~ -axsenek
2.74	stepdaughter	-axsenkiʔ ~ -exsenkiʔ
2.75	orphan	kimpena (m.)
2.76	widow	asyela-kiʔ
2.77	widower	asyela
2.81	relatives, kinsmen	exekyeʔ
2.82	family	-xyeʔ (f.)
2.91	I	y-em
2.92	you (singular)	am
2.93	he/she/it	l-am
2.94	we	s-am
2.941	we (inclusive)	y-em-el ~ s-am-el
2.942	we (exclusive)	s-am
2.95	you (plural)	am-el
2.96	they	l-am-is
3.11	animal	-lafʷa ~ lyefʷa
3.12	male (adj)	l-ayinye
3.13	female (adj)	axwuʔ
3.15	livestock	--
3.16	pasture	xupaykyet
3.18	herdsman	sontas-i-woʔ
3.19	stable, stall	alenta-xi-wet
3.2	cattle (bovine)	[wakye]s
3.21	bull	[tolo]
3.22	ox	[tolo] inkixmayexiwoʔ
3.23	cow	[wakye]
3.24	calf	[wakye]laxseʔ
3.25	sheep	sonta
3.26	ram	sonta-yinye
3.28	ewe	wole-poʔ (f.)
3.29	lamb	sonta-las
3.32	boar	kixniye
3.34	sow	ixnixsa
3.35	pig	ixnisa-tok
3.36	goat	sonta-tok
3.37	he-goat	sonta yinye (m.)
3.38	kid	sonta-tok-las
3.41	horse (equine)	alenta
3.42	stallion	
3.44	mare	alenta
3.45	foal, colt	alenta-las (m.)
3.46	ass, donkey	malekye-tok (m.)
3.47	mule	malekyeʔ (m.)
3.5	fowl	afʷena (f.)
3.52	cock, rooster	wota-ayinye
3.54	hen	wota-xa
3.55	chicken	wota-las
3.56	goose	
3.57	duck	kaye; ixnyeni
3.58	nest	xlup (m.)
3.581	bird	afʷena (m.)
3.582	seagull	--
3.583	heron	akatax (f.)
3.584	eagle	iston (m.)
3.585	hawk	afʷenas-ikyeʔ
3.586	vulture	
3.591	bat	exeyeʔ (f.)
3.592	parrot	eleʔ
3.593	crow	wikis (f.)
3.594	dove	ofʷoʔ; sipop; olaxa
3.596	owl	kyustax (m.)
3.61	dog	noʔo (m.)
3.614	rabbit	nateʔ
3.62	cat	tinuk
3.622	opossum	
3.63	mouse, rat	amaa (f.)
3.65	fish	siyus
3.652	fin (dorsal)	-fʷesimpe (f.)
3.653	fishscale	lotis (f.)
3.654	gill	
3.655	shell	tax
3.661	shark	--
3.662	porpoise, dolphin	--
3.663	whale	--
3.664	stingray	siyixsyenatakiʔ
3.665	freshwater eel	
3.71	wolf	
3.72	lion	iwaxla (m.)
3.73	bear	--
3.74	fox	woykiʔ
3.75	deer	kilyeni
3.76	monkey	alexyenakiʔ
3.77	elephant	--
3.78	camel	--
3.81	insect	fʷelekiʔ
3.811	louse	ixlyeʔ
3.812	nit (louse egg)	inla-leʔkyuʔ (f.)
3.813	flea	lataʔ (f.)
3.814	centipede	isek waso
3.815	scorpion	axlupastana
3.816	cockroach	tʔatosey (f.)
3.817	ant	tokis (m.)
3.818	spider	siwalak (f.)
3.819	spider web	siwalak-ixlek
3.82	bee	telena
3.821	beeswax	iyus (m.)
3.822	beehive	iwos kac̷itun
3.823	wasp	wonaʔ; akyot
3.83	fly	katakiʔ (f.)
3.831	sandfly (midge), gnat	
3.832	mosquito	maleweʔ (m.); eyeʔ; fʷayoy
3.84	worm	wesisitok (f.)
3.85	snake	xuppa
3.91	firefly	noyu (f.)
3.92	butterfly	kopiyeʔ (f.)
3.93	grasshopper	kyol
3.94	snail	laʔpix (m.)
3.95	frog	-les
3.96	lizard	kyeʔla
3.97	crocodile, alligator	aluta (m.)
3.98	turtle	axnat-ic̷empe; kityeneʔ
4.11	body	-fʷes (m.)
4.12	skin, hide	-ax ~ -ex
4.13	flesh	-syen (m.)
4.14	hair (head)	-woleʔ (m.)
4.142	beard	-poxsiʔ (f.) ~ -pyuxsiʔ
4.144	body hair	-woleʔ ~ -yoleʔ (f.)
4.145	pubic hair	-woleʔ
4.146	dandruff	-xetek-lamak (f.)
4.15	blood	-woyis ~ -yoyis
4.151	vein, artery	-satayek ~ -syatayek (f.)
4.16	bone	-weʔlak ~ -wilak (m.)
4.162	rib	-xles ~ -xlis (m.)
4.17	horn	-kyuʔ (f.)
4.18	tail	-kyes; -kyes-kiʔ; -kyes-kina
4.19	back	-kyeyi ~ -syeyi
4.191	spine	-kyey-xi-weʔlak
4.2	head	-xetek ~ -xitek (f.)
4.201	side of head, temple	
4.202	skull	-xetek-xi-weʔlak
4.203	brain	-tekixli ~ -tikixli (f.)
4.204	face	-tokyoʔ ~ -tyokyoʔ (m.)
4.205	forehead	-tokyo-c̷eʔ (m.)
4.207	jaw	-kyalomkiʔ (f.)
4.208	cheek	-kyaloʔ ~ -c̷yaloʔ (m.)
4.209	chin	-ek ~ -ik (f.)
4.21	eye	-tateʔ (f.)
4.212	eyebrow	-tokyo-seʔ ~ -tyokyo-seʔ
4.213	eyelid	-tate-tax (f.)
4.214	eyelash	-taseʔ ~ -tyeseʔ
4.215	blink	-c̷em-c̷emiyeen
4.22	ear	-kyoteʔ ~ -c̷yoteʔ ~ -yoteʔ (f.)
4.221	earlobe	-kyote-xic̷eʔ (f.)
4.222	earwax	leʔc̷i
4.23	nose	-xnatowo ~ -xnyetowo
4.231	nostril	-xnatowo-tyowe
4.232	mucus (nasal)	-xnatiyey ~ -xnyetiyey
4.24	mouth	ay ~ -ey (f.)
4.241	beak	-paxsat (m.)
4.25	lip	-paxsat ~ -pyesat (m.)
