entry_id	trans_english	Nung-Lazhai_Phonemic
3.62	cat	zok.8 kai.1
3.622	opossum	ma.1
3.63	mouse, rat	tu.5
3.65	fish	lin.6; tu.2 lin.6
3.652	fin (dorsal)	pe:u.5; tu.2 pe:u.5
3.653	fishscale	kuk.7
3.654	gill	me:u.5
3.655	shell	ńan.1 me:u.5
3.661	shark	nu.1
3.662	porpoise, dolphin	pja.1
3.663	whale	kjip.1 pja.1
3.664	stingray	hɨk.7 pja.1
3.665	freshwater eel	kjip
3.71	wolf	pau.1
3.72	lion	ńa:u.6; ńa:u.6 kuŋ.5
3.73	bear	sa.5 jwi.6
3.74	fox	kjin.5 jwi.6
3.75	deer	ta:ŋ.6 lwai.1
3.76	monkey	ma.1 nwai.2
3.77	elephant	sɨ.5 sɨ.3
3.78	camel	mu:i.1
3.81	insect	ńan.1 ma.1
3.811	louse	nu.1 coŋ.1
3.812	nit (louse egg)	tu.2 ba:ŋ.5
3.813	flea	tu.2 cwe:n.6
3.814	centipede	na:k.8
3.815	scorpion	ma.4 lok.8
3.816	cockroach	liŋ.2; tu.2 liŋ.2
3.817	ant	tu.2 ci:ŋ.5; ta.4 cja:ŋ.4
3.818	spider	he:u.3 ta.4 cja:ŋ.4
3.819	spider web	lo.6 to.6
3.82	bee	no:n.1
3.821	beeswax	tu.2 sip.7; zau.1; tu.2 zau.1
3.822	beehive	kjai.5 zau.1
3.823	wasp	mat.7
3.83	fly	sip.7 fɨ.2
3.831	sandfly (midge), gnat	tu.2 si:t.7
3.832	mosquito	swa:p.7
3.84	worm	mot.8
3.85	snake	tu.2 kjwa:u.1
3.91	firefly	zuŋ.5 kjwa:u.1
3.92	butterfly	tu.2 tɨ:ŋ.2
3.93	grasshopper	tu.2 to.5; tu.2 tin.2 la:p.8
3.94	snail	mot.8 pjuk.7
3.95	frog	me.6 ńan.1
3.96	lizard	ńuŋ.2
3.97	crocodile, alligator	mo:t.8 fai.4
3.98	turtle	no:n.1 ńwa:i.5
4.11	body	no:n.1 no:t.8
4.12	skin, hide	non.1
4.13	flesh	tu.2 pit.8
