entry_id	trans_english	Cayapa_Phonemic
4.202	skull	'uhkun 'mišu; 'uh-mu 'mišu
4.203	brain	'miš-pe
4.204	face	'ka-'huru
4.205	forehead	'leš-'kapa
4.207	jaw	'teh'mači
4.208	cheek	'ka-'huu-'alʸa
4.209	chin	'teh'maš'mutu
4.21	eye	'ka-'puka
4.212	eyebrow	'ka-'pu-ʔ-'pi-hu
4.213	eyelid	'ka-'pu-ʔ-'kika
4.214	eyelash	'ka-'pu-ʔ-'pi-hu
4.215	blink	'wahču-'wahču-'ke-nu
4.22	ear	pungi
4.221	earlobe	'pun'diri
4.222	earwax	'pun-pe
4.23	nose	'kih-'kapa
4.231	nostril	'ki-'huru ~ 'kih-ʔ-'huru
4.232	mucus (nasal)	'kih-pe
4.24	mouth	'Φi-ʔ-'pa-ki
4.241	beak	'Φi-ʔ-'pa-pa
4.25	lip	'Φi-ʔ-'pa-ʔ-'kika
4.26	tongue	'ɲihka
4.27	tooth	'tehku
4.271	gums	'tehʔ-'alʸa
4.272	molartooth	'bun-'dehku
4.28	neck	'kutu
4.281	nape of neck	'kutu-'tʸulʸa
4.29	throat	'pan'gun-'duru
4.3	shoulder	'pala
4.301	shoulderblade	'pala ['ku'čara]
4.302	collarbone	'ten'ba-ʔ-'čaali
4.31	arm	'tʸaapa; 'pehpe
4.312	armpit	'šin'bala
4.32	elbow	'tʸaka'šušu
4.321	wrist	'tʸakun-'bele
4.33	hand	'tʸaapa
4.331	palm of hand	'tʸa-ʔ-'ahka
4.34	finger	'tʸa-'mišu
4.342	thumb	'aa-tʸa-'mišu
4.344	fingernail	'tʸa-ki
4.345	claw	'tʸa-ki
4.35	leg	'neepa
4.351	thigh	'enbu
4.352	calf of leg	'ne-čan-'buka
4.36	knee	'ne-n'bulu
4.37	foot	'neepa
4.371	ankle	-'ne-'mii-'pih-'puka
4.372	heel	'ne-nbuh'kuwa
4.374	footprint	'ne-'huru
4.38	toe	'ne-'mišu
4.392	wing	'haʔči
4.393	feather	hu; 'haʔči
4.4	chest	'ten'ba-pu
4.41	breast (of woman)	'ču-ču
4.412	nipple, teat	'ču-ʔ-'mihku
4.42	udder	'ču-ču
4.43	navel	'ah-'bundʸu
4.44	heart	'ten-'buka
4.441	lung	'he'nana
4.45	liver	'ahpa; ['basu]
4.451	kidney	['re'ɲuɲu]
4.452	spleen	['basu]
4.46	stomach	'pešu; 'ahka
4.461	intestines, guts	'pe-'šilʸi
4.462	waist	'ah-'pele
4.463	hip	'pe'haʔči
4.464	buttocks	'pe-'hu-ʔ-'alʸa; 'pe-'huu 'alʸa
4.47	womb	'na-ʔ-'ama
4.49	testicle	'lah-'puka
4.492	penis	lʸu
4.51	breathe, breath	'iš-nu
4.52	yawn, gape	'ka'saʔ-'ke-nu
4.521	hiccough	'pi'čaʔ-'ke-nu
4.53	cough	'uhku-'ke-nu; 'uhku
4.54	sneeze	'haš-'ke-nu
4.55	perspire	'čipi-'laa-nu
4.56	spit	'inbi-'ke-nu
4.57	vomit	'kača-'ke-nu ~ 'kaš-'ke-nu
4.58	bite	'hai-nu; 'Φi-nu
4.59	lick	'ween-'ge-nu ~ 'ween-'gi-nu
4.591	dribble	'pi-'ku'lili
4.61	sleep	'kas-nu; 'ka'su-nu
4.612	snore	'ka'c̷uʔ-'buu-ke-'kaa-nu
4.62	dream	'ki'pi-nu
4.63	wake up	'ten-'ga-nu
4.64	break wind	
4.65	urinate	'šiipi-'ke-nu
4.66	defecate	'pe-'ke-nu
4.67	have sexual intercourse	'su-'ke-nu; 'c̷ai-nu
4.68	shiver	'hui-'ke-nu
4.69	bathe	'pi-'pe-nu
4.71	beget (of father)	'na-'ke-nu
4.72	born (to be)	'na-ka-'ya-nu
4.73	pregnant	'na-'pu(-we)
4.732	conceive	'na-'wi-nu
4.74	live, living, life	'ču-nu; 'ču-ndu; 'ču-mi
4.75	die, dead	'pe-mu; 'pe-nu
4.751	drowned	'ču'ka-ʔ-'pe-nu; 'ču'ka-mu
4.76	kill	'tuʔ-nu; 'tu'te-nu
4.77	corpse	'uh-mu
4.78	bury (the dead)	'men-nu
