entry_id	trans_english	Tongan_Phonemic
1.1	world	māmani
1.21	earth, land	māmani; fonua; kelekele
1.212	earth=ground, soil	kelekele; ʔuli
1.213	dust	efu
1.214	mud	pelepela
1.215	sand	ʔoneʔone
1.22	mountain, hill	moʔuŋa; ʔotu moʔuŋa; tumutumu
1.222	cliff, precipice	lilifa
1.23	plain, field	malaʔe; toafa
1.24	valley	teleʔa
1.25	island	motu
1.26	mainland	fonua lahi; [konitinēniti]
1.27	shore	veʔe vai-tafe; matā-tahi; matā-fonua
1.28	cave	ʔana
1.31	water	vai; vai-melie
1.32	sea	tahi; tuʔa; vaha; moana
1.322	calm (of sea)	malū; tofu
1.323	rough (of sea)	peaua; hou
1.324	foam	koa; faka-molū; lapa pe pelesitiki
1.329	ocean	[ʔoseni]
1.33	lake	ano vai
1.34	gulf, bay	faŋa; faŋa fāsiʔi lōloa
1.341	lagoon	faŋaʔuta; ano vai; vai kaukauʔaŋa
1.342	reef	hakau
1.343	headland, point	mui-fonua
1.35	wave	peau; ake
1.352	tide	tahi
1.353	lowtide	mamaha e tahi
1.354	hightide	tau/ huʔa ʔa e tahi
1.36	river, stream, brook	kiʔi vai-tafe; vai-tafe
1.362	whirlpool	
1.37	spring, well	maʔuʔaŋa vai; mata-vai
1.38	swamp	ano
1.39	waterfall	vai-tō
1.41	woods, forest	vaotā; vaotā matolu; vao fihifihi
1.42	tree (cf 08.600)	fuʔu ʔakau
1.43	wood	vaʔakau; ʔaka; papa
1.44	stone, rock	maka; maka afi
1.45	earthquake	mofuike
1.51	sky	laŋi
1.52	sun	laʔā
1.53	moon	
1.54	star	fetuʔu
1.55	lightning	ʔuhila
1.56	thunder	mana; ha mana
1.57	lightning (as striking)	
1.58	storm	afā; lolotoŋa afā; mataŋi afā
1.59	rainbow	ʔumata
1.61	light (noun)	taimi ʔaho; faka-maama
1.62	darkness	kaupoʔuli; faka-poʔuli; poʔuli
1.63	shade, shadow	malumalu; ʔata; maluʔaki ʔo e pō
1.64	dew	hahau
1.71	air	ʔea
1.72	wind	havilivili
1.73	cloud	ʔao; ʔaoʔaofia; lokiloki ʔuha; loki ke ʔuha
1.74	fog	kakapu; mosimosi; afuafu
1.75	rain (noun)	ʔuha; mosimosi; taumosi
1.76	snow (noun)	
1.77	ice	ʔaisi; tuku ʔaisi; hahau kuo ʔaisi
1.78	weather	ʔalomālie
1.81	fire	afi; afi lahi; puho
1.82	flame (noun)	ko e ulo ʔa e afi
1.83	smoke (noun)	ʔahu
1.84	ashes	efuefu
1.841	embers	
1.851	burn (vb trans)	tutu; pe ke malala
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	tutu; tafu; hono tutu
1.861	extinguish	tamateʔi
1.87	match (noun)	puha masi
1.88	firewood	fefie; papa tafu afi
1.89	charcoal	malala
2.1	person, human being	taŋata; tokotaha
2.21	man (vs. woman)	taŋata (lahi); matāpule
2.22	woman	fefine
2.23	male	kakai taŋata
2.24	female	fefine
2.25	boy	tamasiʔi
2.251	young man (adolescent)	talavou
2.26	girl	taʔahine; ʔofaʔaŋa
2.261	young woman (adolescent)	taʔahine; fine-mui
2.27	child	tamasiʔi/ taʔahine
2.28	infant, baby	pēpē; pēpē valevale
2.31	husband	mali; [husepāniti]
2.32	wife	mali
2.33	marry	
2.34	marriage, wedding	faka-maʔu; mali
2.341	divorce	vete mali
2.35	father	tamai; taŋataʔeiki
2.36	mother	faʔē
2.37	parents	ʔoŋo mātuʔa
2.38	married man	taŋata mali
2.39	married woman	fefine mali
2.41	son	foha; tama
2.42	daughter	ʔofefine; tama
2.43	offspring (son or daughter)	fānau
2.44	brother	tokoua; tuoŋaʔane
2.444	older brother	taʔokete; tokoua lahi
2.445	younger brother	
2.45	sister	tuofefine; tokoua
2.454	older sister	taʔokete
2.455	younger sister	
2.456	sibling	
2.458	twins	māhaŋa; ua
2.46	grandfather	kui taŋata
2.461	old man	taŋataʔeiki; motuʔa
2.47	grandmother	kui fefine
2.471	old woman	fineʔeiki; finemotuʔa
2.48	grandson	mokopuna
2.49	granddaughter	
2.51	uncle	faʔetaŋata; tuʔasina; tamai
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	mehikitaŋa; faʔē
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	ʔilamutu; faka-fotu
2.54	niece	ʔilamutu; tama; faka-fotu
2.55	cousin	tokouaʔaki; kāiŋa
2.56	ancestors	faŋa kui
2.57	descendants	hako
2.61	father-in-law (of a man)	tamai
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	faʔē ʔa hoto mali
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	taha ʔoku mate ʔene tamai mo e faʔē
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	kāiŋa
2.82	family	[fāmili]
2.91	I	ou; ku; u; kau; au; ko au
2.92	you (singular)	koe
2.93	he/she/it	ai; ia
2.94	we	ma
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	kimou-tolu
2.96	they	nau; kinautolu
3.11	animal	manu
3.12	male (adj)	manu taŋata; faka-ētaŋata
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	tauhi[sipi]
3.19	stable, stall	
3.2	cattle (bovine)	faŋa pulu
3.21	bull	pulutau
3.22	ox	pulu tau
3.23	cow	pulu fefine
3.24	calf	uhikiʔi pulu
3.25	sheep	[sipi]
3.26	ram	[sipi] taŋata
3.28	ewe	[sipi] fefine lahi
3.29	lamb	[lami]
3.32	boar	puaka tau
3.34	sow	sināmanu
3.35	pig	puaka
3.36	goat	[kosi]
3.37	he-goat	
3.38	kid	kiʔi kosi
3.41	horse (equine)	[hoosi]
3.42	stallion	[hoosi] tau
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	[ʔasi]
3.47	mule	
3.5	fowl	moa
3.52	cock, rooster	moa taʔane; faka-taŋata
3.54	hen	moa fefine; motuʔamoa
3.55	chicken	moa
3.56	goose	faŋa kuusi
3.57	duck	[pato]
3.58	nest	punuŋa
3.581	bird	manupuna
3.582	seagull	
3.583	heron	
3.584	eagle	ʔikale
3.585	hawk	faʔahiŋa manupuna fekai
3.586	vulture	manupuna lahi ʔoku ne keina ʔa e kakano
3.591	bat	peka
3.592	parrot	kakā
3.593	crow	ʔuʔua; manu-puna
3.594	dove	lupe
3.596	owl	lulu
3.61	dog	kulī
3.614	rabbit	lāpisi
3.62	cat	[pusi]; kiʔi [pusi]
3.622	opossum	
3.63	mouse, rat	kumā; faŋa kumā
3.65	fish	ika
3.652	fin (dorsal)	kapoŋa
3.653	fishscale	ʔuno
3.654	gill	laumea
3.655	shell	keleʔa; pule; ŋeʔesi
3.661	shark	ʔaŋa
3.662	porpoise, dolphin	tolofini
3.663	whale	
3.664	stingray	fai (faʔahiŋa ika)
3.665	freshwater eel	toke
3.71	wolf	ulofi
3.72	lion	[laione]
3.73	bear	pea
3.74	fox	fōkisi
3.75	deer	tia
3.76	monkey	ŋeli
3.77	elephant	[ʔelefānite]
3.78	camel	[kāmeli]
3.81	insect	ʔinisēkite
3.811	louse	kutu
3.812	nit (louse egg)	liha
3.813	flea	kutufisi
3.814	centipede	molokau
3.815	scorpion	[sikopio]
3.816	cockroach	moŋomoŋa
3.817	ant	lō
3.818	spider	hina
3.819	spider web	matakupesi; matamata-kupeŋa
3.82	bee	hone
3.821	beeswax	
3.822	beehive	tauŋa [hone]
3.823	wasp	pī
3.83	fly	faŋa laŋo; laŋo
3.831	sandfly (midge), gnat	namu
3.832	mosquito	namu
3.84	worm	ʔunufe
3.85	snake	ŋata; manu totolo
3.91	firefly	
3.92	butterfly	pepe
3.93	grasshopper	heʔe
3.94	snail	[sineili]
3.95	frog	poto
3.96	lizard	moko
