entry_id	trans_english	Chadong_Phonemic
1.1	world	sai.3 ća:i.6
1.21	earth, land	ti.6
1.212	earth=ground, soil	khəm.5
1.213	dust	phuŋ.5
1.214	mud	khəm.5 jak.7
1.215	sand	khiŋ.3
1.22	mountain, hill	ća:i.6
1.222	cliff, precipice	ni.4 mət.8 khəm.5
1.23	plain, field	śin.3
1.24	valley	pɛŋ.2 ti.6
1.25	island	la:u.4 ləŋ.1
1.26	mainland	ta:u.1
1.27	shore	lu.2 ti.6
1.28	cave	kuŋ.4 ni.1
1.31	water	ŋa:m.3
1.32	sea	nham.3
1.322	calm (of sea)	hai.3
1.323	rough (of sea)	pok.8
1.324	foam	hai.4 (3) ji:ŋ.2
1.329	ocean	hu.2
1.33	lake	toŋ.2
1.34	gulf, bay	hai.4(3) wa:ŋ.1
1.341	lagoon	sa.4 cu.1
1.342	reef	sü.4 ńuan.3
1.343	headland, point	po.2 loŋ.6
1.35	wave	ni.1; lak.8 ni.1
1.352	tide	sü.4 shu:n.6
1.353	lowtide	pan.5; cəŋ.2
1.354	hightide	lam.1
1.36	river, stream, brook	sü.4(3) choŋ.6
1.362	whirlpool	mi.2(4) luŋ.2
1.37	spring, well	mi.4
1.38	swamp	mok.8 tau.2
1.39	waterfall	tü.2
1.41	woods, forest	tü.2 ćai.5
1.42	tree (cf 08.600)	ti.6(2) ji:p.8
1.43	wood	pən.1
1.44	stone, rock	ni.4 fai.5
1.45	earthquake	njeŋ.2 ka:ŋ.1
1.51	sky	zən.4 shai.3
1.52	sun	ni.4 la:p.8 njaŋ.3
1.53	moon	fa.3 kəm.4
1.54	star	tuŋ.4(6) fa.3 kəm.4
1.55	lightning	lö.4 la:p.8 njaŋ.3
1.56	thunder	fən.1 lək.8
1.57	lightning (as striking)	ljeŋ.4 kaŋ.4 tuŋ.1
1.58	storm	ni.4 fai.5 ka:ŋ.1
1.59	rainbow	lhap.7
1.61	light (noun)	jam.1; ɨŋ.4(3) shai.3
1.62	darkness	lu.4(6) sü.3
1.63	shade, shadow	khuŋ.4(1) khi.6
1.64	dew	ləm.1
1.71	air	fa.3; hwa.3
1.72	wind	muŋ.3 lu.2 ji:n.1
1.73	cloud	fən.1; hwon.1
1.74	fog	ću.5
1.75	rain (noun)	sü.3 po.2 lja:ŋ.6
1.76	snow (noun)	pin.4 pa:u.6
1.77	ice	tjan.4 khi.6
1.78	weather	wi.1
1.81	fire	wi.1 phe.1
1.82	flame (noun)	kwan.2; wi.1 kwan.2
1.83	smoke (noun)	fuk.7
1.84	ashes	wi.4(1) niŋ.3
1.841	embers	ta:u.3
1.851	burn (vb trans)	ta:u.4(3) fən.1
