entry_id	trans_english	Lappish_North_Saami_Phonemic
1.1	world	mailbmi
1.21	earth, land	eɑnɑ
1.212	earth=ground, soil	eɑnɑ
1.213	dust	gɑvyɑ
1.214	mud	moðði
1.215	sand	sattu
1.22	mountain, hill	var̃r̃i
1.222	cliff, precipice	bakti
1.23	plain, field	beɑldu
1.24	valley	leɑhki
1.25	island	suolu
1.26	mainland	nɑnnan
1.27	shore	gaddi
1.28	cave	r̃oggi
1.31	water	čahc̷i
1.32	sea	meɑr̃r̃ɑ
1.322	calm (of sea)	goɑlki
1.323	rough (of sea)	r̃iððui
1.324	foam	soɑr̃pi
1.329	ocean	valdomeɑr̃r̃ɑ
1.33	lake	yavr̃i
1.34	gulf, bay	luoktɑ
1.341	lagoon	- -
1.342	reef	boɑððu
1.343	headland, point	ɲar̃gɑ
1.35	wave	bar̃r̃u
1.352	tide	vuor̃r̃očahc̷i
1.353	lowtide	fier̃va
1.354	hightide	ulli
1.36	river, stream, brook	yohkɑ; ayɑ
1.362	whirlpool	čahc̷ečuolbmɑ
1.37	spring, well	ayɑ
1.38	swamp	yeɑggi
1.39	waterfall	guoikɑ
1.41	woods, forest	vuovdi
1.42	tree (cf 08.600)	muor̃r̃ɑ
1.43	wood	muor̃r̃ɑ
1.44	stone, rock	geɑðgi; bakti
1.45	earthquake	eɑtnɑndoɑr̃ggastus
1.51	sky	ɑlbmi
1.52	sun	beɑivvaš ~ beɑivi
1.53	moon	mannu
1.54	star	nasti
1.55	lightning	alddɑgɑs
1.56	thunder	bɑyan
1.57	lightning (as striking)	bɑyan
1.58	storm	r̃iððu
1.59	rainbow	ɑr̃vedavgi
1.61	light (noun)	čuovgɑ
1.62	darkness	seɑvdɲɑt
1.63	shade, shadow	suoivɑ
1.64	dew	lɑksi
1.71	air	aibmu
1.72	wind	bieggɑ
1.73	cloud	bɑlvɑ
1.74	fog	mier̃ka
1.75	rain (noun)	ɑr̃vi
1.76	snow (noun)	muohtɑ
1.77	ice	yiekŋɑ
1.78	weather	dalki
1.81	fire	dollɑ
1.82	flame (noun)	
1.83	smoke (noun)	suovvɑ
1.84	ashes	gutnɑ
1.841	embers	hilɑt
1.851	burn (vb trans)	boɑldit
1.852	burn (vb intrans)	buollit
1.86	light, kindle, ignite	buollahit
1.861	extinguish	časkɑdit
1.87	match (noun)	r̃iššɑsaggi
1.88	firewood	boɑldenmuor̃r̃ɑ
1.89	charcoal	čitnɑ
2.1	person, human being	olmmoš
2.21	man (vs. woman)	olmmai
2.22	woman	nisu
2.23	male	olmmai-
2.24	female	nisson-
2.25	boy	luntɑ
2.251	young man (adolescent)	bar̃dneolmmai
2.26	girl	nieidɑ
2.261	young woman (adolescent)	nieidɑ
2.27	child	manna
2.28	infant, baby	ɲuor̃ɑtmanna
2.31	husband	boɑdɲi
2.32	wife	ahkka
2.33	marry	naitɑlit
2.34	marriage, wedding	naittusvuohtɑ ~ heɑyɑt
2.341	divorce	naittoseɑr̃r̃u
2.35	father	ahčči
2.36	mother	eɑdni
2.37	parents	vanhemɑt
2.38	married man	boɑdɲi
2.39	married woman	ahkka
2.41	son	bar̃dni
2.42	daughter	nieidɑ
2.43	offspring (son or daughter)	mɑŋisboɑhtti
2.44	brother	viellyɑ
2.444	older brother	vahnen viellyɑ
2.445	younger brother	nuor̃ɑt viellyɑ
2.45	sister	oɑbba
2.454	older sister	vahnen oɑbba
2.455	younger sister	nuor̃ɑt oɑbba
2.456	sibling	oɑr̃binɑččɑt
2.458	twins	c̷ur̃r̃eǰɑt
2.46	grandfather	addya
2.461	old man	addya ~ vuor̃ɑs
2.47	grandmother	ahkku
2.471	old woman	ahkka ~ ahkku
2.48	grandson	addyut; ahkkut
2.49	granddaughter	addyut; ahkkut
2.51	uncle	eɑnu; čeɑhc̷i; eɑhki
2.511	mother's brother	eɑnu
2.512	father's brother	čeɑhc̷i; eɑhki
2.52	aunt	siessa ~ goɑski ~ muoθθa
2.521	mother's sister	goɑski; muoθθa
2.522	father's sister	siessa
2.53	nephew	vielyɑbar̃dni; oɑppabar̃dni
2.54	niece	vielyɑnieidɑ; oɑppanieidɑ
2.55	cousin	oɑmbeɑlli; vilbeɑlle; čeɑhc̷i; eɑhki; siessa; muoθθa; goɑski; eɑnu
2.56	ancestors	maddɑr̃ɑt
2.57	descendants	mɑŋisboɑhttit
2.61	father-in-law (of a man)	vuohppɑ
2.611	father-in-law (of a woman)	vuohppɑ
2.62	mother-in-law (of a man)	vuoni
2.621	mother-in-law (of a woman)	vuoni
2.63	son-in-law (of a man)	vivvɑ
2.631	son-in-law (of a woman)	vivvɑ
2.64	daughter-in-law (of a man)	mɑnɲi
2.641	daughter-in-law (of a woman)	mɑnɲi
2.71	stepfather	biebmoahčči
2.72	stepmother	biebmoeɑdni
2.73	stepson	biebmobar̃dni
2.74	stepdaughter	biebmonieidɑ
2.75	orphan	oɑr̃bbis
2.76	widow	leɑskɑ
2.77	widower	leɑskɑ
2.81	relatives, kinsmen	fulkkeǰɑt
2.82	family	beɑr̃ɑš
2.91	I	mun
2.92	you (singular)	don
2.93	he/she/it	son; dɑt
2.94	we	moɑi; mii
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	doɑi; dii
2.96	they	soɑi; sii
3.11	animal	eɑlli
3.12	male (adj)	vɑr̃is
3.13	female (adj)	ɲiŋŋelɑs
3.15	livestock	gussɑeɑlli
3.16	pasture	guohtun
3.18	herdsman	guoðoheɑddyi
3.19	stable, stall	navet
3.2	cattle (bovine)	gussɑeɑlli
3.21	bull	bur̃r̃u
3.22	ox	vuoksa
3.23	cow	gussɑ
3.24	calf	galbi; miessi
3.25	sheep	savd͜zɑ
3.26	ram	vier̃c̷ɑ
3.28	ewe	- -
3.29	lamb	lappis
3.32	boar	vɑr̃isspiidni
3.34	sow	eɑdnespiidni
3.35	pig	spiidni
3.36	goat	gaic̷ɑ
3.37	he-goat	bohkka
3.38	kid	gihc̷c̷i
3.41	horse (equine)	heɑstɑ
3.42	stallion	or̃e
3.44	mare	damma
3.45	foal, colt	var̃sa
3.46	ass, donkey	ase(n)
3.47	mule	mulasen
3.5	fowl	suoyalɑččɑt
3.52	cock, rooster	vuonc̷avɑr̃is
3.54	hen	vuonc̷c̷is
3.55	chicken	vuonc̷ačivgɑ
3.56	goose	čuoɲɑ
3.57	duck	suor̃sa
3.58	nest	beɑssi
3.581	bird	loddi
3.582	seagull	(stuorrɑ)gair̃u
3.583	heron	haigir̃
3.584	eagle	goɑskin
3.585	hawk	falli
3.586	vulture	r̃ahtogoɑskin
3.591	bat	gir̃disahpan
3.592	parrot	pahpegoiya
3.593	crow	vuor̃ččis
3.594	dove	duvva
3.596	owl	skuolfi
3.61	dog	beɑnɑ
3.614	rabbit	ɲoɑmmil
3.62	cat	bussa
3.622	opossum	- -
3.63	mouse, rat	sahpan; roɑhttu
