entry_id	trans_english	Goajiro_Phonemic
1.1	world	
1.21	earth, land	mma
1.212	earth=ground, soil	mmoo-ľuʔu (~mma + luʔu)
1.213	dust	
1.214	mud	pootši
1.215	sand	hasai (~hasaľi)
1.22	mountain, hill	uuči
1.222	cliff, precipice	
1.23	plain, field	patahatšii
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	paľaa-ima
1.28	cave	ko-ʔu-šii (~ka-ʔu-šii)
1.31	water	wɨin
1.32	sea	paľaa
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	hɨ-toľo-in
1.329	ocean	
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	hɨ-ši paľaa
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	wɨin paľa-tɨ-sɨ
1.362	whirlpool	
1.37	spring, well	iši
1.38	swamp	
1.39	waterfall	hɨ-šor̃oľo-in wɨin
1.41	woods, forest	mohuui
1.42	tree (cf 08.600)	wunuʔu-ľia
1.43	wood	wunuʔu
1.44	stone, rock	ipa
1.45	earthquake	
1.51	sky	ai-tuʔu
1.52	sun	kaʔi
1.53	moon	kaši
1.54	star	šɨľiwaľa
1.55	lightning	hɨ-yaa huya
1.56	thunder	atɨttaa huya (~a-tɨr̃ɨ-ta-)
1.57	lightning (as striking)	ha-ʔapɨľa-ʔɨ huya
1.58	storm	
1.59	rainbow	kasipoľuin
1.61	light (noun)	hɨ-war̃aľa
1.62	darkness	puyuuši
1.63	shade, shadow	hamɨyouši; hɨ-yoľuha
1.64	dew	hoohotši
1.71	air	
1.72	wind	houtai
1.73	cloud	sir̃uma
1.74	fog	ľuuwana
1.75	rain (noun)	huya
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	siki
1.82	flame (noun)	hɨ-čuwa-ľa
1.83	smoke (noun)	sik-amɨsaľa
1.84	ashes	paľiiʔi ~ paľiʔi
1.841	embers	sik-emeča
1.851	burn (vb trans)	a-ʔa-ha-a
1.852	burn (vb intrans)	ho-to-o
1.86	light, kindle, ignite	a-čuwa-haa-(w)aa
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	siki
1.89	charcoal	mɨšaiša
2.1	person, human being	wayuu
2.21	man (vs. woman)	wayuu tooľo
2.22	woman	wayuu hier̃ɨ
2.23	male	tooľo
2.24	female	hier̃ɨ
2.25	boy	tepiči
2.251	young man (adolescent)	himaʔai (~ himaʔa-ľi)
2.26	girl	tepiči
2.261	young woman (adolescent)	mahayɨľɨ
2.27	child	hintɨi (~ hintɨ-ľi)
2.28	infant, baby	hoʔuu
2.31	husband	hu-ʔwayuu-se (~ hɨ-ʔwayuu-se)
2.32	wife	nu-ʔwayuu-se (~ nɨ-ʔwayuu-se)
2.33	marry	ka-ʔwayuu-se-e
2.34	marriage, wedding	
2.341	divorce	
2.35	father	ta-ši
2.36	mother	te-i (~ ta-i)
2.37	parents	
2.38	married man	ka-ʔwayuu-se-ši
2.39	married woman	ka-ʔwayuu-se-sɨ
2.41	son	ta-čon
2.42	daughter	ta-čon
2.43	offspring (son or daughter)	ta-čon
2.44	brother	ta-waľa
2.444	older brother	ta-paya
2.445	younger brother	te-mɨľia
2.45	sister	ta-waľa
2.454	older sister	ta-paya
2.455	younger sister	ta-šunuu
2.456	sibling	ta-waľa
2.458	twins	sankeyuu
2.46	grandfather	ta-tuuši
2.461	old man	wayuu tooľo ľaɨľaa
2.47	grandmother	toušu (~ ta-ušu)
2.471	old woman	wayuu hier̃ɨ ľaɨľaa
2.48	grandson	ta-ľɨin
2.49	granddaughter	ta-ľɨin
2.51	uncle	--
2.511	mother's brother	ta-ľaɨľa
2.512	father's brother	ta-ši
2.52	aunt	--
2.521	mother's sister	ta-aʔir̃ɨ
2.522	father's sister	te-i (~ ta-i)
2.53	nephew	ta-čon
2.54	niece	ta-čon
2.55	cousin	ta-waľa
2.56	ancestors	
2.57	descendants	ta-čon-ni
2.61	father-in-law (of a man)	ta-šimia
2.611	father-in-law (of a woman)	ta-ɨi (~ ta-ɨľi)
2.62	mother-in-law (of a man)	te-mešu
2.621	mother-in-law (of a woman)	ta-ɨľɨ (~ ta-ɨľɨ)
2.63	son-in-law (of a man)	ta-šimia
2.631	son-in-law (of a woman)	ta-iši
2.64	daughter-in-law (of a man)	ta-ɨľɨ
2.641	daughter-in-law (of a woman)	ta-ɨľɨ
2.71	stepfather	ta-ši-yaa-ši
2.72	stepmother	te-i-yaa-sɨ
2.73	stepson	ta-čon-yaa-ši
2.74	stepdaughter	ta-čon-yaa-sɨ
2.75	orphan	mooʔut-ši (~ mooʔu ľu-ši)
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	kasa ta-nain
2.82	family	
2.91	I	ta-ya
2.92	you (singular)	pi-a (~ pɨ-ya)
2.93	he/she/it	ni-a (~ nɨ-ya); hi-a (~ hɨ-ya)
2.94	we	wa-ya
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	hi-a
2.96	they	na-ya; hi-a-ir̃ua
3.11	animal	mɨr̃ɨľɨ
3.12	male (adj)	tooľo
3.13	female (adj)	hier̃ɨ
3.15	livestock	mɨr̃ɨľɨ
3.16	pasture	mohuui
3.18	herdsman	mekeer̃ɨ
3.19	stable, stall	--
3.2	cattle (bovine)	[paaʔa]
3.21	bull	[paaʔa] tooľo
3.22	ox	--
3.23	cow	[paaʔa] hier̃ɨ
3.24	calf	[paaʔa]-čon
3.25	sheep	[anneer̃ɨ]
3.26	ram	[anneer̃ɨ] tooľo
3.28	ewe	[anneer̃ɨ] hier̃ɨ
3.29	lamb	[anneet]-čon
3.32	boar	
3.34	sow	[pɨɨľɨkɨ] hier̃ɨ
3.35	pig	[pɨɨľɨkɨ] tooľo
3.36	goat	[kaaʔuľa] hier̃ɨ
3.37	he-goat	[kaaʔuľa] tooľo
3.38	kid	[kaaʔuľa]-čon
3.41	horse (equine)	ama
3.42	stallion	ama [par̃uuta]
3.44	mare	ama hier̃ɨ
3.45	foal, colt	ama-čon
3.46	ass, donkey	[pɨľiku]
3.47	mule	[muuľa]
3.5	fowl	wɨčii
3.52	cock, rooster	kotoľeer̃a
3.54	hen	[kaľiina] hier̃ɨ
3.55	chicken	[kaľiina]-čon
3.56	goose	
3.57	duck	
3.58	nest	hu-ʔuľa wɨčii
3.581	bird	
3.582	seagull	
3.583	heron	waaľa
3.584	eagle	
3.585	hawk	wor̃oľopai
3.586	vulture	samuľu
3.591	bat	pɨsiči
3.592	parrot	kaľe-kaľe
3.593	crow	
3.594	dove	moʔuwa
3.596	owl	wonkuľunseer̃ɨ
3.61	dog	[er̃ɨ]
3.614	rabbit	atpanaa
3.62	cat	[muusa]
3.622	opossum	kačapouľu
3.63	mouse, rat	kookoočeʔer̃ɨ
3.65	fish	hime
3.652	fin (dorsal)	hɨ-tɨna hime
3.653	fishscale	ho-i hime (~ hɨ-ľi)
3.654	gill	
3.655	shell	
3.661	shark	pɨyɨi
3.662	porpoise, dolphin	hiotsa
3.663	whale	--
3.664	stingray	atša
3.665	freshwater eel	
3.71	wolf	
3.72	lion	wasaši
3.73	bear	--
3.74	fox	waľir̃ɨ
3.75	deer	ir̃ama
3.76	monkey	huči
3.77	elephant	--
3.78	camel	--
3.81	insect	wɨčii
3.811	louse	mapɨi
3.812	nit (louse egg)	mapɨi-šuku
3.813	flea	hayapa
3.814	centipede	hasipa
3.815	scorpion	heyuľu
3.816	cockroach	kanser̃ai (~ kanser̃aľi)
3.817	ant	heyu
3.818	spider	aľeker̃ɨ
3.819	spider web	hu-ʔuľa aľeker̃ɨ
3.82	bee	mapa
3.821	beeswax	mapa-se
3.822	beehive	hi-pia mapa
3.823	wasp	
3.83	fly	hir̃apɨ
3.831	sandfly (midge), gnat	šipe
3.832	mosquito	mei (~ meľi)
3.84	worm	wɨľiuuna
3.85	snake	wɨi (~ wɨľi)
3.91	firefly	kenaa
3.92	butterfly	huľir̃ɨ
3.93	grasshopper	akaľa
3.94	snail	
3.95	frog	wasiipunuu
3.96	lizard	kuľu
3.97	crocodile, alligator	kayuuši
3.98	turtle	saʔwainr̃ɨ
4.11	body	akuaippa
4.12	skin, hide	ta-ta
4.13	flesh	te-ʔir̃uku
4.14	hair (head)	waľaši
4.142	beard	ta-ľiima
4.144	body hair	to-i
4.145	pubic hair	ta-yutku
4.146	dandruff	
4.15	blood	išaa; ta-ša
4.151	vein, artery	ta-sɨľa
4.16	bone	hi-ipɨ (~ hɨ-ipɨ)
4.162	rib	ta-wat-se
4.17	horn	to-ʔuwa (~ ta-ʔuwa)
4.18	tail	hɨ-si
4.19	back	ta-sapɨ
