entry_id	trans_english	Embera_Phonemic
4.162	rib	o'r̃o-bɨuɨ'rɨ
4.17	horn	['kaču]
4.18	tail	dru
4.19	back	eka'r̃a
4.191	spine	esɨ'gɨ
4.2	head	bo'ro
4.201	side of head, temple	'datru
4.202	skull	bo'ro-bɨuɨ'rɨ
4.203	brain	boro-mo'r̃o
4.204	face	kĩ'rã
4.205	forehead	'datru
4.207	jaw	
4.208	cheek	kĩ'rã-dar̃a
4.209	chin	ki'da-tru
4.21	eye	dau
4.212	eyebrow	dratu-ka'ra
4.213	eyelid	dau-i
4.214	eyelash	dau-ka'ra
4.215	blink	dau-pika-pi'ka
4.22	ear	kɨuɨ'rɨ
4.221	earlobe	kɨuɨ'rɨ-amu'ɲa
4.222	earwax	kɨuɨ'rɨ-mo'r̃o
4.23	nose	kẽ'bɨ
4.231	nostril	kẽ'bɨ-u'ria
4.232	mucus (nasal)	kẽ'bɨ-mo'r̃o
4.24	mouth	ita'e
4.241	beak	ki'ɗa
4.25	lip	i-pu'ru-ka
4.26	tongue	kĩ'rã-me
4.27	tooth	ki'ɗa
4.271	gums	ki'ɗa-ka'r̃a
4.272	molartooth	ki'ɗa-mo'r̃o
4.28	neck	o-či'ru
4.281	nape of neck	ɨ̃rɨ̃mi'si
4.29	throat	o-či'ru
4.3	shoulder	iki'a
4.301	shoulderblade	[paleta]
4.302	collarbone	[o-ku'ruso]
4.31	arm	hɨu'a
4.312	armpit	esu'su
4.32	elbow	ãbika'ka
4.321	wrist	hɨu'a-koro'go
4.33	hand	hɨu'a
4.331	palm of hand	hɨu'a-hã
4.34	finger	
4.342	thumb	hɨu'a-papa
4.344	fingernail	hɨu'a-biči'wi
4.345	claw	biči'wi
4.35	leg	hẽ'rũ
4.351	thigh	mãkã'rã
4.352	calf of leg	hẽrũ-po'to
4.36	knee	či'rãboro
4.37	foot	hẽ'rũ
4.371	ankle	hẽ'rũ-koro'go
4.372	heel	hẽ'rũ-ãbita'r̃a
4.374	footprint	hẽ'rũ
4.38	toe	
4.392	wing	i
4.393	feather	i
4.4	chest	['peču]
4.41	breast (of woman)	hu
4.412	nipple, teat	hu-ki'ɗa
4.42	udder	hu
4.43	navel	kɨ̃'mɨ̃a
4.44	heart	so
4.441	lung	poto-po'to-a
4.45	liver	tã'rĩ
4.451	kidney	ko'trua
4.452	spleen	
4.46	stomach	['buči]
4.461	intestines, guts	hɨ̃'si
4.462	waist	
4.463	hip	
4.464	buttocks	ã-'dau
4.47	womb	oar̃a-ke'ra
4.49	testicle	ka'rã-ta
4.492	penis	me
4.51	breathe, breath	ɨɲã'ba
4.52	yawn, gape	ɲa
4.521	hiccough	
4.53	cough	o'so
4.54	sneeze	hai-'za-
4.55	perspire	hɨa-
4.56	spit	i'ɗo-
4.57	vomit	u'e-
4.58	bite	ka-
4.59	lick	se'ne-
4.591	dribble	
4.61	sleep	kã'ĩ-
4.612	snore	ko'r̃oa-
4.62	dream	kãĩ-mokara-
4.63	wake up	ũrɨ̃'ma-
4.64	break wind	čĩ-
4.65	urinate	či'wa
4.66	defecate	ã'ga-
4.67	have sexual intercourse	no-
4.68	shiver	u're-
4.69	bathe	kui-
4.71	beget (of father)	o'ar̃a-ba'ra-
4.72	born (to be)	to-
4.73	pregnant	biogoa
4.732	conceive	o'ar̃a-ba'ra
4.74	live, living, life	so'kai- ɓɨ
4.75	die, dead	beu-
4.751	drowned	['ho'ga]-
4.76	kill	be'a-
4.77	corpse	beu-a'ra
4.78	bury (the dead)	hou-
4.79	grave, tomb	beu-a'ra
4.81	strong, mighty, powerful	mese'ra
4.82	weak	
4.83	well, health	bia
4.84	sick, sickness	hai
4.841	fever	kɨu'a-mia
4.842	goiter	o-či'ru-bõũ'ã
4.843	cold (catarrh)	'himãrĩ
4.85	wound, sore	
4.852	bruise	
4.853	swelling	ogo'ro-
4.854	itch	iči'ka-
4.855	blister	
4.856	boil (noun)	ka'ɓɨ
4.857	pus	
4.858	scar	
4.86	cure, heal	bia-
4.87	physician	hai-ba'na
4.88	medicine, drug	nĩãrã
4.89	poison	nĩãrã
4.91	tired, weary	sẽ-
4.912	rest	ɨ̃ɲã'ba
4.92	lazy	
4.93	bald	bo'ro-u'rua
4.94	lame	hĩ'rũ-bae-bae-'ɓɨa
4.95	deaf	kɨuɨ'rɨ-'ki
4.96	mute	['muro]
4.97	blind	dau-ber̃ea- 'ɓɨ
4.98	intoxicated	beu-
4.99	naked, bare	ãka'ɗa
5.11	eat	ko-
5.12	food	'ǰi-ko
5.121	cooked	'ǰu-ma
5.122	raw	õ'goa
5.123	ripe	pu'rea
5.124	green, unripe	ǰi-'ka
