entry_id	trans_english	Macushi_Phonemic
1.1	world	
1.21	earth, land	pata
1.212	earth=ground, soil	non
1.213	dust	kutuppan
1.214	mud	kuusaʔ
1.215	sand	saka-pan
1.22	mountain, hill	wɨʔ
1.222	cliff, precipice	tɨkapi
1.23	plain, field	etei
1.24	valley	ramon
1.25	island	wonoʔ
1.26	mainland	
1.27	shore	tuna ena
1.28	cave	tɨʔ-ta
1.31	water	tuna
1.32	sea	pɨranna
1.322	calm (of sea)	tɨʔne
1.323	rough (of sea)	sipa sipa pe a-wanɨ
1.324	foam	tuna rakkon
1.329	ocean	pɨranna
1.33	lake	ikuʔpɨ
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	sipa-sipa
1.352	tide	
1.353	lowtide	tuna aapaʔsaʔ man
1.354	hightide	tuna awannɨ-saʔ man
1.36	river, stream, brook	eren; iwɨtɨ
1.362	whirlpool	tuna taime
1.37	spring, well	yani
1.38	swamp	
1.39	waterfall	tuna meru
1.41	woods, forest	yuʔ
1.42	tree (cf 08.600)	-yeʔ
1.43	wood	yei
1.44	stone, rock	tɨʔ
1.45	earthquake	
1.51	sky	kaʔ
1.52	sun	wei
1.53	moon	kapoi
1.54	star	kaiwanoʔ
1.55	lightning	waraʔnapi esensiʔma
1.56	thunder	waraʔnapiya taa
1.57	lightning (as striking)	
1.58	storm	
1.59	rainbow	meren-mereʔ
1.61	light (noun)	aʔka
1.62	darkness	ewaron
1.63	shade, shadow	yekaton
1.64	dew	iʔnɨ
1.71	air	
1.72	wind	aʔsitun
1.73	cloud	kutupuru
1.74	fog	
1.75	rain (noun)	konoʔ
1.76	snow (noun)	--
1.77	ice	iʔnɨ
1.78	weather	--
1.81	fire	apoʔ
1.82	flame (noun)	
1.83	smoke (noun)	wɨreʔsin
1.84	ashes	runuʔpɨ
1.841	embers	apoʔ yarɨn
1.851	burn (vb trans)	poʔtɨ
1.852	burn (vb intrans)	aramɨ
1.86	light, kindle, ignite	tɨrɨka
1.861	extinguish	yiʔnɨpɨ
1.87	match (noun)	[pariʔtu]
1.88	firewood	apoʔ-keme
1.89	charcoal	
2.1	person, human being	pemonkon
2.21	man (vs. woman)	warayoʔ
2.22	woman	wɨriʔ
2.23	male	warayoʔ
2.24	female	wɨriʔ
2.25	boy	
2.251	young man (adolescent)	
2.26	girl	
2.261	young woman (adolescent)	auronoʔpɨ
2.27	child	more
2.28	infant, baby	more
2.31	husband	i-nyo
2.32	wife	i-noʔpɨ
2.33	marry	noʔpɨta
2.34	marriage, wedding	ee[mari]-ma-n-toʔ
2.341	divorce	i-rumaka-saʔ
2.35	father	u-yun
2.36	mother	u-san
2.37	parents	u-yun-tonon
2.38	married man	tɨ-noʔpɨ ke-nan
2.39	married woman	tɨ-nyo ke-nan
2.41	son	un-mu
2.42	daughter	u-yensi
2.43	offspring (son or daughter)	munkɨ
2.44	brother	uwi
2.444	older brother	u-rui
2.445	younger brother	u-yakon
2.45	sister	
2.454	older sister	naʔnaʔ
2.455	younger sister	u-wɨrɨsi
2.456	sibling	
2.458	twins	monoiʔ-yamɨʔ
2.46	grandfather	amoko
2.461	old man	aʔyeketon
2.47	grandmother	koʔkoʔ
2.471	old woman	noʔsanton
2.48	grandson	u-pa
2.49	granddaughter	u-pa
2.51	uncle	inton
2.511	mother's brother	inton
2.512	father's brother	papai
2.52	aunt	eeru
2.521	mother's sister	mamai
2.522	father's sister	waʔnɨ
2.53	nephew	poito
2.54	niece	passe; u-paʔse
2.55	cousin	uwi, moyi; piipi
2.56	ancestors	u-tamo-kon
2.57	descendants	payan-yamɨʔ
2.61	father-in-law (of a man)	mɨi; u-yawo
2.611	father-in-law (of a woman)	aawo, ako; u-yawo
2.62	mother-in-law (of a man)	waʔnɨ; u-yawoʔpɨ
2.621	mother-in-law (of a woman)	waʔnɨ; u-yawoʔpɨ
2.63	son-in-law (of a man)	poito; u-payun
2.631	son-in-law (of a woman)	mɨine; u-payun
2.64	daughter-in-law (of a man)	passe; u-paʔse
2.641	daughter-in-law (of a woman)	passe; u-paʔse
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	i-san ton pɨn
2.76	widow	i-nyo saʔmantaʔ-san
2.77	widower	i-noʔpɨ saʔmantaʔ-san
2.81	relatives, kinsmen	yonpa
2.82	family	
2.91	I	uurɨ
2.92	you (singular)	amɨrɨ
2.93	he/she/it	mɨɨkɨrɨ
2.94	we	
2.941	we (inclusive)	uurɨ-ʔnɨkon
2.942	we (exclusive)	anna
2.95	you (plural)	amɨrɨ-ʔkon
2.96	they	inkamoro; insemoro
3.11	animal	u-yekɨn
3.12	male (adj)	
3.13	female (adj)	-pa
3.15	livestock	u-yekɨn-an
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[paaka] yamɨʔ
3.21	bull	[paaka] yun
3.22	ox	
3.23	cow	[paaka]
3.24	calf	[paaka] more
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kaware]
3.42	stallion	
3.44	mare	
3.45	foal, colt	[kaware] more
3.46	ass, donkey	
3.47	mule	
3.5	fowl	toron
3.52	cock, rooster	kariwana yun-kon
3.54	hen	kariwana
3.55	chicken	kariwana
3.56	goose	--
3.57	duck	maiʔwa
3.58	nest	toron yaponse
3.581	bird	toron
3.582	seagull	
3.583	heron	
3.584	eagle	kuwano
3.585	hawk	
3.586	vulture	kaʔsanaʔ
3.591	bat	marappa
3.592	parrot	woroʔke
3.593	crow	
3.594	dove	wakuʔkaimɨ
3.596	owl	poosiʔkɨ
3.61	dog	arinmaraka
3.614	rabbit	--
3.62	cat	pisana
3.622	opossum	waiʔwo
3.63	mouse, rat	waimu
3.65	fish	moroʔ
3.652	fin (dorsal)	
3.653	fishscale	moroʔ piʔpɨ
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	supareʔ
3.665	freshwater eel	arinraʔ
3.71	wolf	
3.72	lion	--
3.73	bear	--
3.74	fox	maikan
3.75	deer	waikin; usari
3.76	monkey	iwarɨka
3.77	elephant	--
3.78	camel	--
3.81	insect	oʔma
3.811	louse	ayan; a-yamɨ
3.812	nit (louse egg)	ayan pɨmoi
3.813	flea	sikɨ
3.814	centipede	konope
3.815	scorpion	mariʔtɨ
3.816	cockroach	masarɨwa
3.817	ant	miʔkɨ
3.818	spider	moyoi
3.819	spider web	moyoi yette
3.82	bee	wan
3.821	beeswax	moronpɨ
3.822	beehive	
3.823	wasp	
3.83	fly	ereuwe
3.831	sandfly (midge), gnat	nunkɨ
3.832	mosquito	masaʔ
3.84	worm	moʔ
3.85	snake	ɨkɨi
3.91	firefly	motowe
3.92	butterfly	peppeʔ
3.93	grasshopper	kaira
3.94	snail	kuimeʔ; kiiwa
3.95	frog	pɨrettɨku
3.96	lizard	enwaraʔ; tɨpukkari
3.97	crocodile, alligator	akare; kuratu
3.98	turtle	wayanmuri
4.11	body	u-yesaʔ
4.12	skin, hide	u-piʔpɨ
4.13	flesh	u-pun
4.14	hair (head)	u-puʔpai siʔpo
4.142	beard	iteʔpo; mɨɨkɨrɨ yeʔpo
4.144	body hair	itewan siʔposaru
4.145	pubic hair	-simoi
4.146	dandruff	uʔpi
4.15	blood	u-mɨnɨ
4.151	vein, artery	u-kara
4.16	bone	u-yeʔpɨ
4.162	rib	u-rata yeʔpɨ
4.17	horn	retɨ
4.18	tail	i-taukɨ
4.19	back	i-npo
4.191	spine	u-yeppa yeʔpɨ
4.2	head	i-puʔpai
4.201	side of head, temple	upana-maka
4.202	skull	i-puʔpai yeʔpɨ
4.203	brain	i-kase
4.204	face	u-yenpata
4.205	forehead	u-yepin
4.207	jaw	u-mata
4.208	cheek	uʔ-pita
4.209	chin	u-yetamu
4.21	eye	u-yenu
4.212	eyebrow	u-waramaʔpo
4.213	eyelid	u-yenu piʔpɨ
4.214	eyelash	u-yenu karamaʔ-siʔpo
4.215	blink	pɨriu-taa
4.22	ear	u-pana
4.221	earlobe	u-pana yemu
4.222	earwax	u-pana yaweʔ
4.23	nose	u-yeuna
4.231	nostril	u-yeuna yetta
4.232	mucus (nasal)	aton
4.24	mouth	u-nta
4.241	beak	toron potɨ
4.25	lip	u-yeʔpi; u-potɨ
4.26	tongue	u-nu
4.27	tooth	u-ye
4.271	gums	u-ye yapon
4.272	molartooth	yakui-pona-won
4.28	neck	uʔ-mɨ
4.281	nape of neck	u-mɨ yeʔpɨ
4.29	throat	uʔmɨ yetta
4.3	shoulder	u-mota
4.301	shoulderblade	u-mota yeʔpɨ
