entry_id	trans_english	Puinave_Phonemic
1.1	world	wə-yu
1.21	earth, land	niti
1.212	earth=ground, soil	niti u
1.213	dust	niti pɨp
1.214	mud	i-hiti-dik
1.215	sand	mãi
1.22	mountain, hill	wen
1.222	cliff, precipice	sõ-pək
1.23	plain, field	ye u
1.24	valley	ɨt ko
1.25	island	ipom
1.26	mainland	niti i-sən
1.27	shore	ɨt ko
1.28	cave	ha-hək; niti-hək
1.31	water	ɨt
1.32	sea	ɨt i-pek
1.322	calm (of sea)	yə̃i ha-dik
1.323	rough (of sea)	-hai
1.324	foam	-pɨ
1.329	ocean	ɨt-[mar]
1.33	lake	wək suwai
1.34	gulf, bay	-dou; -yə̃k
1.341	lagoon	wək
1.342	reef	
1.343	headland, point	hui-tun
1.35	wave	hai
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ɨt; ɨt-mai
1.362	whirlpool	sikyu
1.37	spring, well	ɨt hude; ɨt -õ-dipən
1.38	swamp	aidə
1.39	waterfall	bɨ
1.41	woods, forest	hukde
1.42	tree (cf 08.600)	pun
1.43	wood	pun
1.44	stone, rock	ha
1.45	earthquake	-yãi (niti)
1.51	sky	sənə
1.52	sun	yãmat
1.53	moon	həbət
1.54	star	kət
1.55	lightning	wadi-yu; yãt
1.56	thunder	kudu-kudu i-mo-yu
1.57	lightning (as striking)	i-wadɨk
1.58	storm	him suwai
1.59	rainbow	yãmi
1.61	light (noun)	i-wə-yu
1.62	darkness	sai; i-bɨu-yu
1.63	shade, shadow	-wei
1.64	dew	yĩtoi
1.71	air	hĩm
1.72	wind	hĩm
1.73	cloud	yõpawan
1.74	fog	ebu-ai
1.75	rain (noun)	wau
1.76	snow (noun)	
1.77	ice	ɨt sãt
1.78	weather	
1.81	fire	də
1.82	flame (noun)	də-bɨt
1.83	smoke (noun)	ai; də-ai
1.84	ashes	də-pɨp
1.841	embers	də-tau kət-ot
1.851	burn (vb trans)	-tai
1.852	burn (vb intrans)	-i-yək; -bɨt
1.86	light, kindle, ignite	-bɨt-ək
1.861	extinguish	-təm-ək
1.87	match (noun)	də-huyak
1.88	firewood	du
1.89	charcoal	də-tau pik
2.1	person, human being	epin
2.21	man (vs. woman)	bon
2.22	woman	den
2.23	male	bon
2.24	female	den
2.25	boy	bon-tɨi
2.251	young man (adolescent)	bon-tɨt
2.26	girl	den-tɨi
2.261	young woman (adolescent)	den-tɨt-da
2.27	child	tɨi-wãi
2.28	infant, baby	-tɨi; ta-kət
2.31	husband	-bon
2.32	wife	-u
2.33	marry	-õk
2.34	marriage, wedding	-õk bat; -õ-yu
2.341	divorce	-nam
2.35	father	-i
2.36	mother	-in
2.37	parents	-i-hit
2.38	married man	bon u-dik
2.39	married woman	den bon-dik
2.41	son	-wa
2.42	daughter	-dou
2.43	offspring (son or daughter)	-tɨi
2.44	brother	-pe-wãi
2.444	older brother	-pe-wãi i-pak-pən
2.445	younger brother	-pe-wãi i-tɨt
2.45	sister	-hã-wãi
2.454	older sister	-hã-wãi i-pak-pən
2.455	younger sister	-hã-wãi i-tɨt
2.456	sibling	
2.458	twins	i-kau-tɨt-ot
2.46	grandfather	-dom
2.461	old man	bon kepa
2.47	grandmother	-an
2.471	old woman	den kepa-da
2.48	grandson	-hə̃i-wãi
2.49	granddaughter	-hə̃i-wãi-da
2.51	uncle	
2.511	mother's brother	-wota
2.512	father's brother	-i-bəi
2.52	aunt	
2.521	mother's sister	-inha
2.522	father's sister	-iha
2.53	nephew	-pe-wo-wãi
2.54	niece	-pe-do-wãi
2.55	cousin	
2.56	ancestors	-dom-ot-hin
2.57	descendants	-hə̃t-wãt-hin
2.61	father-in-law (of a man)	-u'ɨi
2.611	father-in-law (of a woman)	-u'ɨi
2.62	mother-in-law (of a man)	-ditan
2.621	mother-in-law (of a woman)	-ditan
2.63	son-in-law (of a man)	-dou'u
2.631	son-in-law (of a woman)	-dou'u
2.64	daughter-in-law (of a man)	-wa'u
2.641	daughter-in-law (of a woman)	-wa'u
2.71	stepfather	-i-ya
2.72	stepmother	-in-ya
2.73	stepson	-wa-ya
2.74	stepdaughter	
2.75	orphan	duk-hin
2.76	widow	bon-hin ɨi-pən
2.77	widower	u-hin ɨi-pən
2.81	relatives, kinsmen	-hɨ-ot
2.82	family	
2.91	I	am
2.92	you (singular)	mam
