entry_id	trans_english	Dehong_Phonemic
1.1	world	ka.6 pa.5
1.21	earth, land	laŋ.1 lin.6
1.212	earth=ground, soil	lin.6
1.213	dust	moŋ.6 mot.8
1.214	mud	ʔuŋ.6
1.215	sand	sa:i.2
1.22	mountain, hill	lɔi.6
1.222	cliff, precipice	hu.2 mot.8 xem.1
1.23	plain, field	pha.1
1.24	valley	pa:ŋ.5 peŋ.2 / toŋ.6 peŋ.2
1.25	island	hoi.3
1.26	mainland	kun.6 (lam.4) / lɔn.6 (lam.4)
1.27	shore	lin.6 loŋ.1 hɔŋ.2 məŋ.2
1.28	cave	faŋ.5 / hɨk.7
1.31	water	tham.3 lɔi.6
1.32	sea	lam.4
1.322	calm (of sea)	lam.4 pa:k.9 la:i.5
1.323	rough (of sea)	lim.1 peŋ.2
1.324	foam	fɔŋ.2 ka.3 fɔŋ.2 hom.5
1.329	ocean	pok.9
1.33	lake	lam.4 sam.5 muk.8 ta.5 la.5
1.34	gulf, bay	ka:n.5
1.341	lagoon	lɔŋ.1
1.342	reef	kot.8 lam.4 pa:k.9 la:i.5
1.343	headland, point	lɔŋ.1 lam.4 cem.2
1.35	wave	kun.6 sa:i.2
1.352	tide	ho.1 lam.4
1.353	lowtide	fɔŋ.2 lam.4
1.354	hightide	fɔŋ.2 pa:k.9 la:i.5
1.36	river, stream, brook	fɔŋ.2 tam.5
1.362	whirlpool	fɔŋ.2 suŋ.1
1.37	spring, well	xe.2 lam.4
1.38	swamp	lam.4 pan.5 liu.1
1.39	waterfall	hu.2 lam.4 pun.2; lam.4 mo.5
1.41	woods, forest	lɔŋ.1 ʔuŋ.6 lom.5
1.42	tree (cf 08.600)	lam.4 ta:t.9
1.43	wood	loŋ.6 mai.4 loŋ.6 thən.5
1.44	stone, rock	ton.3 mai.4
1.45	earthquake	mai.4 / tum.1 mai.4
1.51	sky	hin.1 / ma:k.9 hin.1
1.52	sun	ma:k.9 hin.1 lɔm.6
1.53	moon	ʔiŋ.6 san.5
1.54	star	tɔŋ.6 fa.4
1.55	lightning	van.2
1.56	thunder	lən.6
1.57	lightning (as striking)	la:u.6
1.58	storm	fa.4 mɛp.8
1.59	rainbow	fa.4 laŋ.6
1.61	light (noun)	fa.4 mɛp.8
1.62	darkness	fon.1 lom.2 loŋ.1
1.63	shade, shadow	huŋ.2 va:i.3 fa.4
1.64	dew	sa:i.1 lɛt.9 / sa:i.1 van.2
1.71	air	lap.7 siŋ.5
1.72	wind	ka:m.3; hom.6; jen.6; ŋau.2
1.73	cloud	la:i.2
1.74	fog	ʔa:i
1.75	rain (noun)	lom.2
1.76	snow (noun)	mɔk.9
1.77	ice	sɛn.6 xau.2
1.78	weather	fon.1
1.81	fire	ha.1
1.82	flame (noun)	moi.1 ha.1
1.83	smoke (noun)	ma:k.9 hep.9
1.84	ashes	xa:u.6 fa.4
1.841	embers	fai.2
1.851	burn (vb trans)	foŋ.2 fai.2
1.852	burn (vb intrans)	mɔk.9 ja.3 fai.2
1.86	light, kindle, ignite	tau.6 fai.2
1.861	extinguish	sa.5 fai.2
1.87	match (noun)	mai.3
1.88	firewood	phau.1 / hɨŋ.2
1.89	charcoal	sum.1 fai.2; to.1 fai.2; cap.7 fai.2; kai.3 fai.2
2.1	person, human being	xe.1 fai.2 / pau.5 fai.2
2.21	man (vs. woman)	ʔɛp.9 (xɛt.8) fai.2
2.22	woman	fun.2 fai.2
2.23	male	tha:n.5 fai.2
2.24	female	kon.2
2.25	boy	kon.2 ca:i.2
2.251	young man (adolescent)	kon.2 jiŋ.2
2.26	girl	ca:i.2
2.261	young woman (adolescent)	jiŋ.2
2.27	child	ʔe.1 pɨ.1 ca:i.2
2.28	infant, baby	ma:u.5 cɛu.5
2.31	husband	ʔe.1 pɨ.1 jiŋ.2; sa:u.1
2.32	wife	sa:u.1 loŋ.1
2.33	marry	ʔe.1 ʔɔn.5
2.34	marriage, wedding	ʔe.1 lɛŋ.6
2.341	divorce	pho.1
2.35	father	me.2
2.36	mother	pen.6 hən.2 / het.9 xɛk.9
2.37	parents	lɔŋ.6 pɔŋ.2 pho.5
2.38	married man	pɛt.8 kan.6
2.39	married woman	po.6 / te.6 / ʔu.3
2.41	son	me.6
2.42	daughter	po.6 me.6
2.43	offspring (son or daughter)	pɨ.1 po.6
2.44	brother	pɨ.1 me.6
2.444	older brother	luk.8 ca:i.2
2.445	younger brother	luk.8 jing.2 / luk.8 sa:u.1
2.45	sister	luk.8 la:n.1 pa:n.6 lɨn.2
2.454	older sister	pi.6 lɔŋ.4 / lɔŋ.4 pi.6
2.455	younger sister	pi.6 ca:i.2
2.456	sibling	lɔŋ.4 ca:i.2
2.458	twins	pi.6 lɔŋ.4 / lɔŋ.4 pi.6
2.46	grandfather	pi.6 sa:u.1
2.461	old man	lɔŋ.4 sa:u.1
2.47	grandmother	pi.6 lɔŋ.4 / lɔŋ.4 pi.6
2.471	old woman	ʔe.1 fa.1 / ʔe.1 sɔŋ.1
2.48	grandson	loŋ.1 / kuŋ.6
2.49	granddaughter	pɨ.1 thau.3
2.51	uncle	ja.6
2.511	mother's brother	ja.6 thau.3
2.512	father's brother	la:n.1
2.52	aunt	la:n.1 luk.8 sa:u.1
2.521	mother's sister	(po.1) ʔa:u.6; te.6 luŋ.2; ma:u.5
2.522	father's sister	ʔu.3 ma:u.5 loŋ.1
2.53	nephew	luŋ.2 / te.6 luŋ.2
2.54	niece	me.6 lo.2; me.6 la.4; me.6 ʔa.6
2.55	cousin	me.6 la.4 / pa.3
2.56	ancestors	pa.3
2.57	descendants	la:n.1 / la:n.1 ca:i.2
2.61	father-in-law (of a man)	la:n.1 sa:u.1
2.611	father-in-law (of a woman)	la:u.2 pɛu.2
2.62	mother-in-law (of a man)	mɔn.5 len.1
2.621	mother-in-law (of a woman)	co.6 luk.8 pa:n.6 la:n.1
2.63	son-in-law (of a man)	pu.5 la:i.2
2.631	son-in-law (of a woman)	po.6 cau.3
2.64	daughter-in-law (of a man)	ja.6 la:i.2
2.641	daughter-in-law (of a woman)	me.6 cau.3
2.71	stepfather	luk.8 xoi.1
2.72	stepmother	luk.8 xoi.1
2.73	stepson	luk.8 paɨ.4
2.74	stepdaughter	luk.8 paɨ.4
2.75	orphan	po.6 sɨp.8 / te.6 sɨp.8
2.76	widow	me.6 sɨp.8 / me.6 ʔɔn.5
2.77	widower	luk.8 hap.8
2.81	relatives, kinsmen	luk.8 hap.8
2.82	family	luk.8 pha:n.1 po.6 pha:n.1 me.6
2.91	I	me.6 ma:i.3 / me.6 ha:ŋ.4
2.92	you (singular)	ma:u.5 thau.3 / po.6 ma:i.3
2.93	he/she/it	pi.6 lɔŋ.4
2.94	we	hən.2 je.2
2.941	we (inclusive)	kau.6
2.942	we (exclusive)	maɨ.2
2.95	you (plural)	man.2
2.96	they	hau.2
3.11	animal	hau.2
3.12	male (adj)	tu.6
3.13	female (adj)	ha.2 / ha:ŋ.2 ha.2; ha:ŋ.2 xə.1
3.15	livestock	su.1
3.16	pasture	sɔŋ.1 xə.1
3.18	herdsman	xau.1
3.19	stable, stall	to.6 thən.5
3.2	cattle (bovine)	phu.3
3.21	bull	me.6
3.22	ox	ma.4 ŋo.2 xa:i.2
3.23	cow	pa.5 ja.3
3.24	calf	phu.5 leŋ.4 lu.6
3.25	sheep	xɔk.8 ma.4
3.26	ram	to.6 sat.7
3.28	ewe	ŋo.2 ŋa:n.1; xa:i.2 ŋa:n.1
3.29	lamb	ŋo.2
3.32	boar	ŋo.2 me.6; ŋo.2 lam.4 lom.2
3.34	sow	ŋo.2 ʔɛn.1; xa:i.2 ʔɛn.1
3.35	pig	xa:i.2
3.36	goat	me.3
3.37	he-goat	me.3 ŋa:n.1
3.38	kid	me.3 me.6
3.41	horse (equine)	me.3 cen.6
3.42	stallion	mu.1 ŋa:n.1
3.44	mare	mu.1 me.6
3.45	foal, colt	mu.1
3.46	ass, donkey	me.3
3.47	mule	me.3 ŋa:n.1
3.5	fowl	me.3 ʔɛn.1
3.52	cock, rooster	ma.4
3.54	hen	ma.4 ŋa:n.1 / ma.4 po.6
3.55	chicken	ma.4 me.6 / ma.4 sɨ.5
3.56	goose	ma.4 ŋa:n.1; ma.4 me.6
3.57	duck	ma.4 li.3
3.58	nest	ma.4 lo.3
3.581	bird	to.6 sɔŋ.1 tin.6
3.582	seagull	kai.5 phu.3
3.583	heron	kai.5 me.6
3.584	eagle	kai.5
3.585	hawk	ha:n.5
3.586	vulture	pet.9
3.591	bat	muŋ.4 / haŋ.2
3.592	parrot	lok.8
3.593	crow	lok.8 xa:i.2 ʔəu.6
3.594	dove	ka.6 ja:ŋ.2
3.596	owl	la:ŋ.2 ta.4
3.61	dog	hoŋ.4
3.614	rabbit	la:ŋ.2 ta.4 / xa:ŋ.1 lo.5
3.62	cat	me.6 lom.2 / la:ŋ.2 ja:n.2
3.622	opossum	mi.1 mɛŋ.4 / miŋ.5 mɛŋ.4
3.63	mouse, rat	lok.8 xeu.1
3.65	fish	ka.2 lam.6
3.652	fin (dorsal)	lok.8 tu.3
3.653	fishscale	ka.6 ke.6
3.654	gill	kau.4
3.655	shell	lok.8 ʔɔn.5 ʔɛn.5
3.661	shark	lok.8 juŋ.2
3.662	porpoise, dolphin	kai.5 thən.5
3.663	whale	ma.1
3.664	stingray	pa:ŋ.6 ta:i.2
3.665	freshwater eel	ket.9 lin.6
3.71	wolf	sə.1 thau.1
3.72	lion	sə.1 loŋ.1
3.73	bear	mɛu.1
3.74	fox	mɛu.1 hen.1
