entry_id	trans_english	Tehuelche_Phonemic
1.1	world	
1.21	earth, land	
1.212	earth=ground, soil	'tēm
1.213	dust	'tēm-hn
1.214	mud	'set
1.215	sand	'tēm
1.22	mountain, hill	'gēwt
1.222	cliff, precipice	'welč
1.23	plain, field	'čˀokˀen
1.24	valley	'matˀ
1.25	island	
1.26	mainland	
1.27	shore	'xōno 'k-eʔne-kˀ-n
1.28	cave	'má̄
1.31	water	'leʔ
1.32	sea	'xōno
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	'pet
1.329	ocean	'xōno
1.33	lake	'ḳoy
1.34	gulf, bay	'xōno 'k-eʔne-kˀ-n
1.341	lagoon	'ḳoy
1.342	reef	
1.343	headland, point	'or
1.35	wave	
1.352	tide	
1.353	lowtide	'w-ayh-kˀ-n 'xōno
1.354	hightide	
1.36	river, stream, brook	'kˀōn
1.362	whirlpool	
1.37	spring, well	'leʔ aškˀn
1.38	swamp	'koʔl
1.39	waterfall	'ḳatḳten
1.41	woods, forest	'ḳaroʔ
1.42	tree (cf 08.600)	
1.43	wood	'bewln
1.44	stone, rock	'yatn
1.45	earthquake	
1.51	sky	'kˀōč
1.52	sun	'ḳēngenkn
1.53	moon	'ḳēngenkon
1.54	star	'tˀerḳeʔ
1.55	lightning	
1.56	thunder	ka'rōtˀn ~ ka'rūtˀn
1.57	lightning (as striking)	
1.58	storm	
1.59	rainbow	'gēher
1.61	light (noun)	'paḳen
1.62	darkness	'ahweʔn
1.63	shade, shadow	'mayp
1.64	dew	'čˀekˀr
1.71	air	
1.72	wind	'hošn
1.73	cloud	'paʔwn
1.74	fog	'aʔhoʔen
1.75	rain (noun)	'tˀēw
1.76	snow (noun)	'yēʔw
1.77	ice	'taʔr
1.78	weather	
1.81	fire	'yayk
1.82	flame (noun)	'-amš-
1.83	smoke (noun)	'pˀaʔn
1.84	ashes	'hep
1.841	embers	'yačˀ
1.851	burn (vb trans)	'āʔ-ym-
1.852	burn (vb intrans)	'w-āʔ-; 'ḳˀēḳ-
1.86	light, kindle, ignite	'āʔ-ym-
1.861	extinguish	'čˀōʔ-
1.87	match (noun)	'ōwe
1.88	firewood	'yēnoy; 'kˀāk
1.89	charcoal	
2.1	person, human being	
2.21	man (vs. woman)	'aln
2.22	woman	'kārkn
2.23	male	k'hey
2.24	female	'ksemwn
2.25	boy	'tˀaleʔnk
2.251	young man (adolescent)	'yoreʔ
2.26	girl	'tˀaleʔnn
2.261	young woman (adolescent)	'yoreʔ-wn
2.27	child	'tˀaleʔnk
2.28	infant, baby	'aml
2.31	husband	'šē
2.32	wife	'šē
2.33	marry	'pˀāy
2.34	marriage, wedding	
2.341	divorce	'keygtm
2.35	father	'y-ānkˀo
2.36	mother	'y-ān
2.37	parents	
2.38	married man	
2.39	married woman	'kārkn
2.41	son	'kalm
2.42	daughter	'kalm-n
2.43	offspring (son or daughter)	'aml
2.44	brother	'gō
2.444	older brother	'tˀaʔw
2.445	younger brother	'gō
2.45	sister	'gō
2.454	older sister	'tˀaʔw-n
2.455	younger sister	'gō
2.456	sibling	'gō
2.458	twins	
2.46	grandfather	'bāy
2.461	old man	'kˀarwn
2.47	grandmother	'ḳon
2.471	old woman	'kˀarwn-on
2.48	grandson	'elkˀn
2.49	granddaughter	'elkˀn-n; 'elkˀn-wn
2.51	uncle	'šawr
2.511	mother's brother	'šawr
2.512	father's brother	'šawr; ye'penk
2.52	aunt	'šawr-wn
2.521	mother's sister	'šawr-wn
2.522	father's sister	'šawr-wn
2.53	nephew	'mex
2.54	niece	'mex-on
2.55	cousin	'heʔw; 'heʔm-on
2.56	ancestors	'kˀewkˀnk
2.57	descendants	
2.61	father-in-law (of a man)	'ēn
2.611	father-in-law (of a woman)	'ēn
2.62	mother-in-law (of a man)	'ēn-on
2.621	mother-in-law (of a woman)	'ēn-on
2.63	son-in-law (of a man)	'kˀolkˀn
2.631	son-in-law (of a woman)	'kˀolkˀn
2.64	daughter-in-law (of a man)	'arnk-on
2.641	daughter-in-law (of a woman)	'arnk-on
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	'yešp-on
2.77	widower	'yešp(-nk)
2.81	relatives, kinsmen	
2.82	family	'hew-tš
2.91	I	y- ~ i-; 'yā
2.92	you (singular)	m-; 'mā ~ 'màa
2.93	he/she/it	(zero); t-; 'tā
2.94	we	ok; oš
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	mk; mš
2.96	they	(zero); t-; 'tā
3.11	animal	
3.12	male (adj)	k'hey
3.13	female (adj)	ksemwn
3.15	livestock	
3.16	pasture	'kˀōr
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	'seʔn 'kˀom
3.23	cow	'čˀoy
3.24	calf	'mēn
3.25	sheep	'ḳanpˀn; 'pˀan
3.26	ram	'ḳānš
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	'gaʔwoy; ['ḳawl]
3.42	stallion	'daʔweln
3.44	mare	'xokˀen
3.45	foal, colt	'kōroʔ; 'kōroʔ-wn
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	['pīyo]
3.55	chicken	
3.56	goose	
3.57	duck	'kˀoʔr
3.58	nest	'šeyk; 'elk; 'šatˀey
3.581	bird	'čˀeʔ
3.582	seagull	
3.583	heron	
3.584	eagle	'awkr; 'atkt
3.585	hawk	
3.586	vulture	
3.591	bat	
3.592	parrot	
3.593	crow	
3.594	dove	
3.596	owl	'āmn
3.61	dog	'wačn
3.614	rabbit	'pˀaʔher
3.62	cat	
3.622	opossum	
3.63	mouse, rat	'tˀergr
3.65	fish	ḳ'oyen
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	
3.661	shark	
