entry_id	trans_english	Romani_Phonemic
3.96	lizard	[sipirla] ~ [supurla]; [supurlano]; [sugurka]
3.97	crocodile, alligator	[karkadila]
3.98	turtle	[braska-c̷ic̷asa]; [kornyaka]
4.11	body	[trupo]
4.12	skin, hide	morc̷i
4.13	flesh	mas
4.14	hair (head)	bal(a)
4.142	beard	šʸor
4.144	body hair	zar
4.145	pubic hair	zar
4.146	dandruff	[mistreac̷a]
4.15	blood	rat(m)
4.151	vein, artery	vina
4.16	bone	[kokalo]
4.162	rib	prasav
4.17	horn	šing
4.18	tail	pori
4.19	back	dumo; zeya
4.191	spine	rafin
4.2	head	šero
4.201	side of head, temple	šero
4.202	skull	šero
4.203	brain	godi
4.204	face	mui
4.205	forehead	čikat
4.207	jaw	mui; [falka]
4.208	cheek	čʰam
4.209	chin	[falka]; [birbia]
4.21	eye	yakʰ
4.212	eyebrow	pʰov; [princ̷iana]
4.213	eyelid	[princ̷iani]
4.214	eyelash	[princ̷iana]
4.215	blink	ker- anda l yakʰa
4.22	ear	kan
4.221	earlobe	kanesko [muko]; kaneski [pulpa]
4.222	earwax	kanesko čiken; kaneski mom
4.23	nose	nakʰ
4.231	nostril	rutai
4.232	mucus (nasal)	lim
4.24	mouth	mui
4.241	beak	nakʰ
4.25	lip	vušt
4.26	tongue	šʸib
4.27	tooth	dand
4.271	gums	zara
4.272	molartooth	tʰar
4.28	neck	kor; men
4.281	nape of neck	[c̷afa]
4.29	throat	kor; [girtano]
4.3	shoulder	piko
4.301	shoulderblade	dumesko [kokalo]
4.302	collarbone	suv; suv le dumeski
4.31	arm	vast; musi
4.312	armpit	takʰ; kakʰ
4.32	elbow	kuni
4.321	wrist	vast
4.33	hand	vast
4.331	palm of hand	[palma]
4.34	finger	nai
4.342	thumb	nai baro
4.344	fingernail	[vundžin]; nai
4.345	claw	[vundžia]
4.35	leg	pinro; heroi
4.351	thigh	[pulpa]
4.352	calf of leg	mašʸo
4.36	knee	čang; koč; pʰabay
4.37	foot	pinro ~ punro
4.371	ankle	[kilkii]
4.372	heel	kʰur
4.374	footprint	[semno]
4.38	toe	nai
4.392	wing	pakʰ
4.393	feather	por
4.4	chest	kolin
4.41	breast (of woman)	berk
4.412	nipple, teat	čuči; [muko]
4.42	udder	čuči
4.43	navel	[buriko]
4.44	heart	ilo
4.441	lung	buko parno
4.45	liver	buko kalo
4.451	kidney	[bribiško]
4.452	spleen	[respinda]
4.46	stomach	ogi; poʀ
4.461	intestines, guts	poʀa
4.462	waist	maškar
4.463	hip	[kic̷o]
4.464	buttocks	bul
4.47	womb	poʀ
4.49	testicle	pelo
4.492	penis	kar
4.51	breathe, breath	pʰurd-; c̷ird-; [aburo]; c̷irdimos
4.52	yawn, gape	[xastimos], [xastisar]
4.521	hiccough	[suguc̷i]mos
4.53	cough	xasav
4.54	sneeze	čikde-
4.55	perspire	[nebusisav]; le paya len man
4.56	spit	čungade-
4.57	vomit	šʸad
4.58	bite	dandar-
4.59	lick	čar-
4.591	dribble	mek- salya ka o muy
4.61	sleep	sov-
4.612	snore	xireisar- ~ xarisar-
4.62	dream	dikʰ ando suno
4.63	wake up	žangiarel
4.64	break wind	ril de-
4.65	urinate	muter-
4.66	defecate	xin-
