entry_id	trans_english	Sui_Phonemic
2.82	family	ɣa.2 sa:u.1
2.91	I	ćin.1 man.1; qa.3 man.1
2.92	you (singular)	na:n.4 ta.3
2.93	he/she/it	pui.1; hai.3; tak.8; kuŋ.3
2.94	we	ni.4; ka:ŋ.3; hai.5; luŋ.3
2.941	we (inclusive)	to.2 seŋ.1
2.942	we (exclusive)	mu.2 cha:ŋ.4
2.95	you (plural)	ʔai.3 hoŋ.5 po.4 / ʔai.3 hoŋ.5 fa.2
2.96	they	ɣuŋ.6 ma.4
3.11	animal	seŋ.1
3.12	male (adj)	kui.2 tak.8; po.4 tak.8
3.13	female (adj)	po.4
3.15	livestock	ni.4 po.4; hai.5 po.4
3.16	pasture	la:k.8 po.4
3.18	herdsman	kui.2
3.19	stable, stall	fa.2
3.2	cattle (bovine)	tak.8 fa.2
3.21	bull	ni.4 fa.2; hai.5 fa.2
3.22	ox	fa.2 ʔa:u.1 cən.1
3.23	cow	mhu.5 pui.1
3.24	calf	ni.4 mhu.5; hai.5
3.25	sheep	mhu.5
3.26	ram	pja.4
3.28	ewe	tak.8 pja.4
3.29	lamb	la:k.8 pja.4
3.32	boar	ma.4
3.34	sow	tak.8 ma.4
3.35	pig	ni.4 ma.4; ma.2 hai.5
3.36	goat	la:k.8 ma.4
3.37	he-goat	li.2
3.38	kid	lo.2
3.41	horse (equine)	qa:i.5 hai.3; hai.3 qa:i.5
3.42	stallion	ni.4 qa:i.5; ra:ŋ.5 qa:i.5
3.44	mare	qa:i.5
3.45	foal, colt	ŋa:n.6
3.46	ass, donkey	ŋa.2
3.47	mule	hən.1; kuŋ.1
3.5	fowl	nok.8
3.52	cock, rooster	qok.7
3.54	hen	jeu.2; ńa:u.2
3.55	chicken	ljam.6
3.56	goose	fuŋ.3 cən.3
3.57	duck	qo.2
3.58	nest	nok.8 jin.3 wu.5
3.581	bird	qa.2
3.582	seagull	pau.2 ta.3
3.583	heron	pau.2
3.584	eagle	qau.1 meu.4
3.585	hawk	ʔjən.5
3.586	vulture	nok.8 mjən.2; nok.8 khuŋ.6 ćho.2
3.591	bat	quk.7
3.592	parrot	ma.1
3.593	crow	thu.5 ja.1; pja.4 ja.2
3.594	dove	ći.6 ljən.6; to.2 ljən.6
3.596	owl	peu.5
3.61	dog	mum.4
3.614	rabbit	meu.4
3.62	cat	cai.2
3.622	opossum	nho.3
3.63	mouse, rat	mom.6
3.65	fish	wi.1 mom.6
3.652	fin (dorsal)	ʔdjən.5 mom.6
3.653	fishscale	ʔńa:k.7 mom.6
3.654	gill	qum.4 qhui.1 pa:u.4
3.655	shell	ka:m.6
3.661	shark	ʔńoŋ.5
3.662	porpoise, dolphin	mom.6 ćin.3 wi.4
3.663	whale	liu.6
3.664	stingray	qha.1 laŋ.5
3.665	freshwater eel	sɨ.3 cɨ.6
3.71	wolf	ʔmi.1
3.72	lion	cai.2; fu.5 li.4
3.73	bear	nho.3 ca:ŋ.2
3.74	fox	ʔbin.3
3.75	deer	ʔbja:n.3
3.76	monkey	sɨ.3 ja:ŋ.2
3.77	elephant	mon.6
3.78	camel	ca:ŋ.4
3.81	insect	śu.3 ca:ŋ.4
3.811	louse	lo.4 tho.4
3.812	nit (louse egg)	nui.2
3.813	flea	nan.2; mbjan.1
3.814	centipede	kai.5 nan.2
3.815	scorpion	mhat.7
3.816	cockroach	ta.1 khup.7; to.6 khup.7
3.817	ant	ta.1 kit.8 li.6
3.818	spider	ʔda:p.7
3.819	spider web	mət.8
3.82	bee	ɣo.1
3.821	beeswax	fa.3 ɣo.1
3.822	beehive	luk.8
3.823	wasp	ndja:k.7
3.83	fly	fa.3 luk.8
3.831	sandfly (midge), gnat	lu.1
3.832	mosquito	mət.8 pa:k.8
3.84	worm	lja:n.3; lja:n.3 qen.5
3.85	snake	lja:n.3; lja:n.3 ŋwa:ŋ.6
3.91	firefly	ne.4; ne.4 koŋ.5
3.92	butterfly	nui.2
3.93	grasshopper	mhən.3; ʔnun.1
3.94	snail	to.2 ńi.6 ńot.8
3.95	frog	ki.3
3.96	lizard	mbi.3
3.97	crocodile, alligator	miŋ.2
3.98	turtle	hui.2; fui.2
4.11	body	śaŋ.5; śai.2
4.12	skin, hide	ʔni.3 ʔniŋ.3; ʔnjak.7 ʔniŋ.3
4.13	flesh	ʔba.3
4.14	hair (head)	ŋwa:ŋ.6; ʔdja:k.7 ʔau.1
4.142	beard	qhui.1
4.144	body hair	qup.7
4.145	pubic hair	hui.2 sim.3
4.146	dandruff	tja:u.5 ʔdoŋ.1
4.15	blood	ndən.1
4.151	vein, artery	pi.2
4.16	bone	na:n.4
4.162	rib	pjam.2; pjam.2 qam.4
4.17	horn	njut.8
4.18	tail	cən.1 nhon.5; cən.1 ljup.7
4.19	back	kip.7 za:i.1 qam.4
4.191	spine	ljup.7
4.2	head	phja:t.7
4.201	side of head, temple	jin.1 phja:t.7
4.202	skull	jin.1
4.203	brain	la:k.7
4.204	face	ʔńui.1 la:k.7
4.205	forehead	la:k.7 khət.7; la:k.7 hət.7
4.207	jaw	pa:u.1
4.208	cheek	hət.8
4.209	chin	la:i.1
4.21	eye	la:i.1
4.212	eyebrow	qam.4
4.213	eyelid	tha:i.1 ja:ŋ.4 ćin.3
4.214	eyelash	qam.4
4.215	blink	ʔńui.1 qam.4
4.22	ear	ʔna.3
4.221	earlobe	ta.5 pja:k.7; pa:u.1 qam.4
4.222	earwax	ćem.2 ka:ŋ.1; ńa:k.7
4.23	nose	ʔna.3
4.231	nostril	ka:ŋ.1 te.3
4.232	mucus (nasal)	nda.1
4.24	mouth	mo.4 nda.1; miŋ.2
4.241	beak	min.2 nda.1
4.25	lip	min.2 nda.1
4.26	tongue	ʔjap.7 nda.1
4.27	tooth	qha.1
4.271	gums	ńoŋ.6 qha.1
4.272	molartooth	qe.4 qha.1
4.28	neck	ʔnaŋ.1
4.281	nape of neck	cum.2 ʔnaŋ.1
4.29	throat	muk.8
4.3	shoulder	pa:k.7
4.301	shoulderblade	wi.5 pa:k.7; win.5 pa:k.7
4.302	collarbone	ma.2
4.31	arm	wjan.1
4.312	armpit	śu.3 ca:ŋ.4; ʔńa:k.7 wjan.1
4.32	elbow	wjan.1 ʔduŋ.3
4.321	wrist	qo.4
4.33	hand	hau.5 lən.2; qa.3 hau.5
4.331	palm of hand	qo.6
4.34	finger	ha.1; ʔu.1 ha.1
4.342	thumb	la:k.7 ha.1
4.344	fingernail	ćhin.1
4.345	claw	te.3 ha:k.7
4.35	leg	ta:u.4 ćhin.1; kuŋ.4 ćhin.1
4.351	thigh	qo.4 ćhin.1; qo.4 mja.1
4.352	calf of leg	mja.1
4.36	knee	fa:n.3 mja.1
4.37	foot	toŋ.1
4.371	ankle	ni.4 toŋ.1
4.372	heel	ljap.7 mja.1
4.374	footprint	sim.3
4.38	toe	pa.1
4.392	wing	pa.1 la:u.4
4.393	feather	ćit.7; ćau.4
4.4	chest	qam.4 qu.5
4.41	breast (of woman)	tin.1
4.412	nipple, teat	joŋ.5 pa.1 joŋ.5 ćhin.1
4.42	udder	śoŋ.1 tin.1
4.43	navel	ɣui.2 tin.1
4.44	heart	la:k.8 tin.1
4.441	lung	wa.5
4.45	liver	cən.1
4.451	kidney	tak.7
4.452	spleen	tiu.4
4.46	stomach	qam.4 tiu.4
4.461	intestines, guts	ha:i.4 ʔdua.1
4.462	waist	śim.1
4.463	hip	put.7
4.464	buttocks	tap.7
4.47	womb	lam.1 ja:u.3
4.49	testicle	ljem.4 thje.2
4.492	penis	ʔdo.5
4.51	breathe, breath	loŋ.2
4.52	yawn, gape	lam.1 loŋ.2
4.521	hiccough	ha:i.4
4.53	cough	ndən.1; lam.1 ja:u.3
4.54	sneeze	ʔnum.5
4.55	perspire	ʔnum.5 qe.4; cɨ.3 qe.3
4.56	spit	cum.2 qe.4
4.57	vomit	pje.1
4.58	bite	tit.7; ńui.6 tit.7
4.59	lick	qoŋ.6 peu.4
4.591	dribble	lo.5; ʔa:u.1 lo.3
4.61	sleep	kho.1
4.612	snore	ʔək.7; ʔnam.3
4.62	dream	khau.5 ɣuk.8
4.63	wake up	jan.5
4.64	break wind	ljuk.7
4.65	urinate	re.1; re.1 tiu.3
4.66	defecate	ći.2 re.1 tiu.3
4.67	have sexual intercourse	kun.5
4.68	shiver	ćit.8
4.69	bathe	lin.5 ma.2
4.71	beget (of father)	lja:k.7
4.72	born (to be)	lo/6 śu.1
4.73	pregnant	nun.2
