entry_id	trans_english	Khanty_Phonemic
1.1	world	tər̃um
1.21	earth, land	muw
1.212	earth=ground, soil	muw
1.213	dust	xiš; r̃aw
1.214	mud	xəlɨ
1.215	sand	səy
1.22	mountain, hill	r̃en; saŋxum
1.222	cliff, precipice	xar̃
1.23	plain, field	xar̃
1.24	valley	puxɨr̃
1.25	island	muw
1.26	mainland	xonɨŋ
1.27	shore	- -
1.28	cave	- -
1.31	water	yiŋk
1.32	sea	sʸor̃ɨs
1.322	calm (of sea)	tewan
1.323	rough (of sea)	xumpaŋ
1.324	foam	nʸer̃
1.329	ocean	wən sʸor̃ɨs
1.33	lake	malaŋ
1.34	gulf, bay	lux
1.341	lagoon	- -
1.342	reef	- -
1.343	headland, point	pan nʸul
1.35	wave	xump
1.352	tide	yiŋk nux epattɨ yit; yink il pittɨ yit
1.353	lowtide	yiŋk il pittɨ yit
1.354	hightide	yiŋk nuxepattɨ yit
1.36	river, stream, brook	as; yuxan; yər̃am; soyum
1.362	whirlpool	- -
1.37	spring, well	- -
1.38	swamp	nʸur̃m
1.39	waterfall	- -
1.41	woods, forest	wənt
1.42	tree (cf 08.600)	yux
1.43	wood	yux
1.44	stone, rock	kʸew
1.45	earthquake	muw tor̃ʸiytɨ
1.51	sky	tər̃umxar̃
1.52	sun	xatl
1.53	moon	tɨlasʸ
1.54	star	xəs
1.55	lightning	palaŋtut; poxal nʸol; pay nʸol
1.56	thunder	poxal sɨy; mar̃itɨ sɨy
1.57	lightning (as striking)	tut sultum; tut sem
1.58	storm	tər̃um
1.59	rainbow	nʸul yux
1.61	light (noun)	nuwi; tut
1.62	darkness	patlam
1.63	shade, shadow	isxur̃
1.64	dew	at yiŋk
1.71	air	lɨl šuw
1.72	wind	wot
1.73	cloud	palaŋ
1.74	fog	šiw
1.75	rain (noun)	yer̃t
1.76	snow (noun)	lonʸsʸ
1.77	ice	yeŋk
1.78	weather	tər̃um
1.81	fire	tut; nay
1.82	flame (noun)	tut nʸalum
1.83	smoke (noun)	pəsaŋ
1.84	ashes	xoyum
1.841	embers	ay lawum sem
1.851	burn (vb trans)	kutar̃ttɨ; letɨ
1.852	burn (vb intrans)	letɨ
1.86	light, kindle, ignite	wusʸittɨ; altɨ
1.861	extinguish	xər̃attɨ
1.87	match (noun)	sʸer̃anka
1.88	firewood	tutʸyux
1.89	charcoal	lawum
2.1	person, human being	xannexə ~ nexə ~ xoyat
2.21	man (vs. woman)	xə ~ iki ~ xə xoyat
2.22	woman	ne
2.23	male	xə; xor̃
2.24	female	ne
2.25	boy	pux
2.251	young man (adolescent)	aylat pux
2.26	girl	ewi
2.261	young woman (adolescent)	aylat ewi
2.27	child	nʸawr̃em
2.28	infant, baby	ay nʸawr̃em
2.31	husband	iki ~ xə
2.32	wife	imi
2.33	marry	imi tətɨ
2.34	marriage, wedding	moy
2.341	divorce	katna mantɨ
2.35	father	asʸi
2.36	mother	aŋki
2.37	parents	aŋkʸeŋan-asʸeŋan
2.38	married man	imʸeŋ xə
2.39	married woman	ikʸeŋ imi
2.41	son	pux
2.42	daughter	ewi
2.43	offspring (son or daughter)	yultɨ xasʸtɨ ewi-pux
2.44	brother	yiwpux
2.444	older brother	yay
2.445	younger brother	apsʸi; apal
2.45	sister	yiwewi
2.454	older sister	upi
2.455	younger sister	apsʸi; apalne
2.456	sibling	yiwpux; yiwewi
2.458	twins	- -
2.46	grandfather	aŋksʸasʸi; sʸatsʸasʸi
2.461	old man	pir̃sʸ ikʸi
2.47	grandmother	aŋkaŋkʸi; sʸasʸi
2.471	old woman	pir̃sʸ imi
2.48	grandson	xilɨ
2.49	granddaughter	xilne
2.51	uncle	aki; yay; wər̃tɨ
2.511	mother's brother	wər̃tɨ
2.512	father's brother	aki; yay
2.52	aunt	imi; nɨy; or̃tne
2.521	mother's sister	imi; nɨy
2.522	father's sister	imi; or̃tne
2.53	nephew	lexə
2.54	niece	or̃tne
2.55	cousin	aspux; asewi
2.56	ancestors	opr̃asʸit
2.57	descendants	yultɨ xasʸtɨ ewi-pux
2.61	father-in-law (of a man)	kʸilɨ ikʸi
2.611	father-in-law (of a woman)	kʸilɨ ikʸi
2.62	mother-in-law (of a man)	kʸilɨ imʸi
2.621	mother-in-law (of a woman)	kʸilɨ imʸi
2.63	son-in-law (of a man)	wʸeŋ
2.631	son-in-law (of a woman)	ur̃ti wʸeŋ
2.64	daughter-in-law (of a man)	mʸenʸ
2.641	daughter-in-law (of a woman)	mʸenʸ
2.71	stepfather	yiwlaŋ
2.72	stepmother	anʸxʸi
2.73	stepson	- -
2.74	stepdaughter	- -
2.75	orphan	yiwlɨ-aslɨ
2.76	widow	ikʸelɨ xasʸum
2.77	widower	imʸelɨ xasʸum
2.81	relatives, kinsmen	r̃utɨt
2.82	family	sʸemʸya
2.91	I	ma
2.92	you (singular)	naŋ
2.93	he/she/it	luw
2.94	we	muŋ
2.941	we (inclusive)	muŋ pilewa
2.942	we (exclusive)	muŋ taklewa
2.95	you (plural)	nɨn
2.96	they	lin; liw
3.11	animal	woy-xul; wənt-woy
3.12	male (adj)	xor̃
3.13	female (adj)	ne
3.15	livestock	woy-xul
3.16	pasture	sʸaxər̃
3.18	herdsman	woy-xul lawaltɨ xoyat
3.19	stable, stall	osʸ
3.2	cattle (bovine)	woy-xul
3.21	bull	xor̃ mis
3.22	ox	- -
3.23	cow	mis
3.24	calf	aymis
3.25	sheep	oš
3.26	ram	xor̃ oš
3.28	ewe	ne oš
3.29	lamb	oš pušax; oš kuy
3.32	boar	xor̃ pur̃sʸ
3.34	sow	ne pur̃sʸ
3.35	pig	pur̃sʸ pušax; pur̃sʸ kuy
3.36	goat	- -
3.37	he-goat	- -
3.38	kid	- -
3.41	horse (equine)	low
3.42	stallion	nʸewɨr̃
3.44	mare	ne low
3.45	foal, colt	nʸewar̃
3.46	ass, donkey	- -
3.47	mule	- -
3.5	fowl	tuxlaŋ woy-xul
3.52	cock, rooster	sʸisʸkur̃ek
3.54	hen	ne sʸisʸkur̃ek
3.55	chicken	sʸisʸkur̃ek pušax; sʸisʸkur̃ek kuy
3.56	goose	lənt
3.57	duck	wasɨ
3.58	nest	tɨxal
3.581	bird	tuxlaŋ woy; sʸisʸkʸi
3.582	seagull	xalew
3.583	heron	tor̃ɨ
3.584	eagle	kur̃k
3.585	hawk	wor̃š
3.586	vulture	- -
3.591	bat	tuxlaŋ aywoy
3.592	parrot	yipi
3.593	crow	wur̃ŋa
3.594	dove	- -
3.596	owl	aŋkal woy; maŋkla; yipi
3.61	dog	amp; akar̃
3.614	rabbit	šowar̃
3.62	cat	katʸi
3.622	opossum	- -
3.63	mouse, rat	ay woy, muw xar̃ woy; leŋkar̃
3.65	fish	xul
3.652	fin (dorsal)	xul tax
3.653	fishscale	som
3.654	gill	nʸaxsʸem
3.655	shell	kar̃ɨ
3.661	shark	- -
3.662	porpoise, dolphin	- -
3.663	whale	[wəs]
3.664	stingray	- -
3.665	freshwater eel	- -
3.71	wolf	wulɨ pur̃tɨ woy ~ pur̃woy
3.72	lion	- -
3.73	bear	moypar̃
3.74	fox	wuxsar̃
3.75	deer	wulɨ
3.76	monkey	- -
3.77	elephant	- -
3.78	camel	- -
3.81	insect	- -
3.811	louse	tewtum
3.812	nit (louse egg)	senɨ
3.813	flea	sus
3.814	centipede	- -
3.815	scorpion	- -
3.816	cockroach	tar̃akan
3.817	ant	xašŋa
3.818	spider	nʸimsar̃
3.819	spider web	nʸimsar̃ pun ~ nʸimsar̃ xošap
3.82	bee	maw pir̃um
3.821	beeswax	- -
3.822	beehive	maw pir̃um xot
3.823	wasp	pos ~ pʸeslɨ; pir̃um
3.83	fly	sɨr̃anta
3.831	sandfly (midge), gnat	aywoy
3.832	mosquito	pelŋa
3.84	worm	nʸar̃woy; muwler̃
3.85	snake	yeman woy
3.91	firefly	- -
3.92	butterfly	lɨpanta
3.93	grasshopper	- -
3.94	snail	- -
3.95	frog	nawar̃ne
3.96	lizard	susl
3.97	crocodile, alligator	- -
3.98	turtle	- -
4.11	body	el
4.12	skin, hide	sux
4.13	flesh	nʸuxi
4.14	hair (head)	əpat; əptat
4.142	beard	tuš
4.144	body hair	pun
4.145	pubic hair	əptat
4.146	dandruff	xayp
4.15	blood	kalɨ ~ wur̃
4.151	vein, artery	kalɨ yuš
4.16	bone	luw
4.162	rib	oŋtɨl
4.17	horn	oŋat
4.18	tail	lɨw
4.19	back	šanš
4.191	spine	šanšluw
4.2	head	ux
4.201	side of head, temple	wowtɨye
4.202	skull	ux luw; ux xošap
4.203	brain	wʸelum
4.204	face	wʸenš
4.205	forehead	wʸenš loxt; wʸenš luw
4.207	jaw	ulsʸ
4.208	cheek	wʸenš puŋal
4.209	chin	aŋal
4.21	eye	sem
4.212	eyebrow	sem xulʸum
4.213	eyelid	sem puŋal
4.214	eyelash	sempun
4.215	blink	r̃apsʸatɨ
4.22	ear	pal
4.221	earlobe	- -
4.222	earwax	oŋx
4.23	nose	nʸul
4.231	nostril	nʸul wus
4.232	mucus (nasal)	pulx
4.24	mouth	uŋal
4.241	beak	tuxlaŋ woy nʸul
4.25	lip	tur̃up
4.26	tongue	nʸalum
4.27	tooth	pʸeŋk
4.271	gums	pʸeŋknʸuxʸet
4.272	molartooth	ulsʸpʸeŋk; lur̃altɨ pʸeŋk; wʸenš puŋal pʸeŋk
4.28	neck	sapl
4.281	nape of neck	putlaŋ
4.29	throat	tur̃
4.3	shoulder	laŋkar̃
4.301	shoulderblade	poŋxal
4.302	collarbone	- -
4.31	arm	yoš
4.312	armpit	puxat
4.32	elbow	kunš olaŋ
4.321	wrist	- -
4.33	hand	yoš
4.331	palm of hand	yoš pat
4.34	finger	luy
4.342	thumb	paŋ
4.344	fingernail	kunškar̃
4.345	claw	kunš
4.35	leg	kur̃
4.351	thigh	- -
4.352	calf of leg	- -
4.36	knee	šanš
4.37	foot	kur̃pat
4.371	ankle	- -
4.372	heel	- -
4.374	footprint	kur̃pat pos
4.38	toe	luy
4.392	wing	tuxl
4.393	feather	pun
4.4	chest	mʸewl
4.41	breast (of woman)	esum
4.412	nipple, teat	esum
4.42	udder	mis esum
4.43	navel	pup
4.44	heart	sam
4.441	lung	(xopsa); xupsa
4.45	liver	muxat
4.451	kidney	sɨyolaŋ
4.452	spleen	- -
4.46	stomach	- -
4.461	intestines, guts	sulet
4.462	waist	por̃x
4.463	hip	- -
4.464	buttocks	puy
4.47	womb	- -
4.49	testicle	kʸisʸ
4.492	penis	- -
4.51	breathe, breath	laltɨ; laltupsɨ ~ lal ~ lɨl
4.52	yawn, gape	usʸinʸtatɨ
4.521	hiccough	- -
4.53	cough	xəlʸlʸitɨ
4.54	sneeze	nʸaxɨstɨ
4.55	perspire	šaŋkumtɨ
4.56	spit	laksatɨ
4.57	vomit	oxtɨ
4.58	bite	pur̃tɨ
4.59	lick	nʸulɨtɨ
4.591	dribble	sʸur̃ʸitɨ
4.61	sleep	ultɨ
4.612	snore	tor̃ɨyttɨ
4.62	dream	wəlmʸiyltɨ
4.63	wake up	kur̃attɨ
4.64	break wind	ponɨyltɨ
4.65	urinate	kisʸtɨ
4.66	defecate	posʸtɨ
4.67	have sexual intercourse	utanttɨ
4.68	shiver	tor̃ɨtɨ
4.69	bathe	lʸuxʸitɨyltɨ; pewaltɨ
4.71	beget (of father)	r̃utʸittɨ
4.72	born (to be)	r̃utʸilatɨ; sema pʸitum
4.73	pregnant	xunaŋ
4.732	conceive	xunaŋa yitɨ
4.74	live, living, life	wəltɨ; lɨlaŋ; wəlupsa
4.75	die, dead	antəma yitɨ; sur̃ma yitɨ; xala
4.751	drowned	šəytum
4.76	kill	wʸeltɨ
4.77	corpse	xala
4.78	bury (the dead)	muwa puntɨ
4.79	grave, tomb	xot
4.81	strong, mighty, powerful	yur̃
4.82	weak	sʸomlɨ ~ wʸewlɨ ~ wʸewtam
4.83	well, health	talaŋ; talaŋ wəlupsa
4.84	sick, sickness	kašeŋ ~ məšaŋ; kašɨ ~ məš
4.841	fever	kaši r̃uw
4.842	goiter	ay xotn bəltɨ; uksʸum kalɨ
4.843	cold (catarrh)	potɨyltɨ kaši ~ potɨyltɨ məš
4.85	wound, sore	nʸulum
4.852	bruise	- -
4.853	swelling	nux puwtopsa
4.854	itch	kunšopsa
4.855	blister	yuŋk nʸulum
4.856	boil (noun)	lɨyaŋ nʸulum
4.857	pus	lɨy
4.858	scar	- -
4.86	cure, heal	yamaltɨ
4.87	physician	yamaltɨ xoyat
4.88	medicine, drug	ler̃; pur̃tən
4.89	poison	xaltɨ ler̃; tuyaŋ ler̃; poŋxaŋ ler̃
4.91	tired, weary	wʸewtama pitum
4.912	rest	r̃utʸsʸitɨ ~ sʸutʸsʸitɨ
4.92	lazy	lenʸ ~ šək
4.93	bald	əpat taklɨ
4.94	lame	noxʸiyltɨ
4.95	deaf	pallɨ
4.96	mute	nʸalum taklɨ
4.97	blind	semlɨ
4.98	intoxicated	kusʸ
4.99	naked, bare	nʸar̃lomt
5.11	eat	letɨ
5.12	food	letut; tep
5.121	cooked	yetšum
5.122	raw	nʸar̃
5.123	ripe	poxiyim; pušum; yetšum
5.124	green, unripe	nʸar̃
5.125	rotten	lɨyum
5.13	drink	yanʸsʸtɨ
5.14	hunger	lelɨ
5.141	famine	lelɨ
5.15	thirst	tur̃ xoxtɨ; nʸalum sor̃tɨ
5.16	suck	šeptɨ
5.18	chew	lur̃ttɨ
5.181	swallow	yuxʸi səxtatɨ
5.19	choke	šaknɨyltɨ; lal yer̃mattɨ
5.21	cook	put wʸer̃tɨ
5.22	boil (vb)	kawar̃tti
5.23	roast, fry	put wʸer̃tɨ
5.24	bake	nʸanʸ wʸer̃tɨ
5.25	oven	nʸanʸ wʸer̃tɨ kur̃
5.26	pot, cooking vessel	put; lɨpʸi
5.27	kettle	kʸew put
5.28	pan	kew kar̃taŋ
5.31	dish	put
5.32	plate	an
5.33	bowl	an
5.34	pitcher, jug	suxtaput; kur̃ška
5.35	cup, drinking vessel	an
5.36	saucer	an
5.37	spoon	nʸalɨ
5.38	knife	kʸeši
5.39	fork	wulka
5.391	tongs	kar̃tɨ yoš
5.41	meal (a)	letut
5.42	breakfast	šay; alaŋ letut lewupsa
5.43	lunch	xatl letut letapsa; xatl kutlup letapsa
5.44	dinner	xatl kutlup letapsa
5.45	supper	yetna letapsa
5.46	peel	nʸir̃tɨ; xur̃tɨ
5.47	sieve, strain	sistamttɨ
5.48	scrape	kunštɨ
5.49	stir, mix	lɨlattɨ; liltɨyltɨ
5.51	bread	nʸanʸ
5.53	dough	nʸanʸ šum
5.54	knead	nʸanʸ omastɨ; muw r̃uwattɨ
5.55	meal, flour	lant
5.56	crush, grind	r̃awa šukatti; r̃awa wʸer̃tɨ
5.57	mill	- -
5.58	mortar	- -
5.59	pestle	- -
5.61	meat	nʸuxɨ
5.63	sausage	- -
5.64	soup, broth	lant; xošum yuŋk
5.65	vegetables	sur̃nʸet
5.66	bean	- -
5.7	potato	kar̃təpka
5.71	fruit	kar̃ɨ; lak; mor̃ʸi
5.712	bunch	- -
5.75	fig	- -
5.76	grape	- -
5.77	nut	noxar̃ sem
5.78	olive	- -
5.79	oil	wuy
5.791	grease, fat	wuy
5.81	salt	sul
5.82	pepper	kur̃mʸek
5.821	chili pepper	kur̃mʸek
5.84	honey	maw
5.85	sugar	sakkar̃
5.86	milk (noun)	esumyiŋk
5.87	milk (vb)	pəstɨ
5.88	cheese	war̃ok
5.89	butter	miswuy
5.9	beverage, drink	yanʸsʸtut
5.91	mead	mawaŋ yanʸsʸtut
5.92	wine	wuna
5.93	beer	piwa
5.94	fermented drink	piwa
5.97	egg	kar̃aŋ pušax
5.971	egg yolk	- -
