entry_id	trans_english	Wapishana_Phonemic
1.1	world	amaẓaˀda
1.21	earth, land	amaẓaˀda
1.212	earth=ground, soil	imiʔi
1.213	dust	ɨnɨˀba
1.214	mud	ˀdari
1.215	sand	kʰatʰɨ
1.22	mountain, hill	miˀdɨkʰɨu; nawaẓi
1.222	cliff, precipice	
1.23	plain, field	ˀbaraẓi
1.24	valley	nawaẓi sakʰuˀdaẓ
1.25	island	kʰatʰunarɨ
1.26	mainland	
1.27	shore	wɨnɨ ˀdanum
1.28	cave	ɨna
1.31	water	wɨnɨ
1.32	sea	pʰaran
1.322	calm (of sea)	mašaa
1.323	rough (of sea)	kʰapʰaran
1.324	foam	ˀbuẓuwan
1.329	ocean	pʰaran
1.33	lake	kʰarišii
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	wɨnɨ pʰaran
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	waʔuẓi
1.362	whirlpool	ˀdarukʰaʔɨ
1.37	spring, well	muwaʔɨn
1.38	swamp	ˀbauwɨẓɨ
1.39	waterfall	tʰuẓuwan
1.41	woods, forest	kʰanukʰu
1.42	tree (cf 08.600)	atʰamɨnɨ
1.43	wood	atʰamɨnɨ
1.44	stone, rock	kʰɨˀba
1.45	earthquake	amaẓaˀda nakʰa-ĩĩa-n
1.51	sky	aukʰaẓi
1.52	sun	kʰamuu
1.53	moon	kʰaɨẓ
1.54	star	wiiẓi
1.55	lightning	tʰuruwanarɨ pʰiẓuwa-n
1.56	thunder	tʰuruwanarɨ
1.57	lightning (as striking)	tʰuruwanarɨ pʰiẓuwa-n
1.58	storm	maˀbuẓakʰa-ʔu awarɨ
1.59	rainbow	kʰiwariʔi
1.61	light (noun)	kʰanˀda-ʔu
1.62	darkness	marɨtʰa-ʔu
1.63	shade, shadow	-ˀdikʰin
1.64	dew	ˀbašiẓu
1.71	air	awarɨ
1.72	wind	awarɨ
1.73	cloud	išaʔiẓi
1.74	fog	amaẓaˀda šan
1.75	rain (noun)	wɨnɨ
1.76	snow (noun)	--
1.77	ice	--
1.78	weather	amaẓaˀda
1.81	fire	tʰikʰaẓi
1.82	flame (noun)	tʰikʰaẓ mauˀda-pʰa-n
1.83	smoke (noun)	tʰikʰaẓi šan
1.84	ashes	pʰaritʰiʔi
1.841	embers	tʰikʰaẓi tʰiriẓi
1.851	burn (vb trans)	kʰaʔauˀda-n
1.852	burn (vb intrans)	kʰaʔawa-n
1.86	light, kindle, ignite	mauˀda-kʰiˀda-n
1.861	extinguish	makʰaˀda-n
1.87	match (noun)	[mačʰi]
1.88	firewood	ẓuwaakʰarɨ
1.89	charcoal	tʰikʰaẓi tʰiriẓi
2.1	person, human being	pʰiˀdan
2.21	man (vs. woman)	ˀdaunaiura
2.22	woman	ẓɨna
2.23	male	ˀdaunaiura
2.24	female	ẓɨna
2.25	boy	ˀdaunaiura
2.251	young man (adolescent)	tʰuminarɨ
2.26	girl	ẓɨna ~ ẓɨn
2.261	young woman (adolescent)	mawɨsa
2.27	child	kuraiˀdaunaa
2.28	infant, baby	kuraiˀdaunaa
2.31	husband	-ˀdaiarɨ
2.32	wife	-ˀdaiaru
2.33	marry	[maẓi]ˀda-n
2.34	marriage, wedding	[maẓi]ˀda-n
2.341	divorce	mɨɨˀdaakʰa-pʰa-n
2.35	father	-ˀdarɨ
2.36	mother	-ˀdaru
2.37	parents	-ˀdaru-nau
2.38	married man	[maẓi]ˀda-ʔu
2.39	married woman	[maẓi]ˀdai-ˀba
2.41	son	-ˀdani
2.42	daughter	-ˀdani-ˀba
2.43	offspring (son or daughter)	-ˀdani
2.44	brother	-inawɨẓa; -aẓɨ
2.444	older brother	-tʰɨɨniẓ
2.445	younger brother	-ˀdawiʔičʰan
2.45	sister	-ˀdaˀdakʰuu; -inauẓu
2.454	older sister	-masukʰuniˀdi
2.455	younger sister	-ˀdawiʔičʰan
2.456	sibling	
2.458	twins	šaman-nau
2.46	grandfather	ˀdukʰuẓɨɨ
2.461	old man	tʰɨnarɨnau
2.47	grandmother	kʰuʔukʰuu
2.471	old woman	masakʰunnau
2.48	grandson	-tʰakʰan
2.49	granddaughter	-tʰakʰan
2.51	uncle	
2.511	mother's brother	tʰaatʰai
2.512	father's brother	pʰaapʰai
2.52	aunt	
2.521	mother's sister	maamai
2.522	father's sister	waʔanɨɨ
2.53	nephew	čʰaunai
2.54	niece	-ˀdanikʰaʔaẓuu
2.55	cousin	-iriˀban
2.56	ancestors	-ˀdukʰuẓɨɨn-nau
2.57	descendants	tʰakʰanii-nau
2.61	father-in-law (of a man)	-imaˀdakʰuẓ
2.611	father-in-law (of a woman)	-imaˀdakʰuẓ
2.62	mother-in-law (of a man)	-imaɨẓu
2.621	mother-in-law (of a woman)	-imaɨẓu
