entry_id	trans_english	Yanomámi_Phonemic
1.1	world	
1.21	earth, land	mašitʰa
1.212	earth=ground, soil	pitʰa
1.213	dust	hekrã-hekrã
1.214	mud	ãhi-ãhi
1.215	sand	mrakatahu
1.22	mountain, hill	hehu
1.222	cliff, precipice	
1.23	plain, field	heyari
1.24	valley	
1.25	island	u rə porakaa
1.26	mainland	
1.27	shore	kasi
1.28	cave	maa ma ka
1.31	water	maũ ũ
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	moši-moši
1.329	ocean	
1.33	lake	wawə-wawə
1.34	gulf, bay	
1.341	lagoon	wawə-wawə
1.342	reef	
1.343	headland, point	
1.35	wave	u kita-kita-mou
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	para u; poko u
1.362	whirlpool	u ka horara-horara-tou
1.37	spring, well	pei u he
1.38	swamp	wawə-wawə
1.39	waterfall	pora
1.41	woods, forest	urihi
1.42	tree (cf 08.600)	hii hi
1.43	wood	hii
1.44	stone, rock	maa ma
1.45	earthquake	
1.51	sky	hetu mɨsi
1.52	sun	motʰoka
1.53	moon	peripo
1.54	star	šitikari
1.55	lightning	yãmɨrãɨ
1.56	thunder	yãru
1.57	lightning (as striking)	tʰãhimi
1.58	storm	watori
1.59	rainbow	hetu kəkɨ
1.61	light (noun)	hiwatu-wə
1.62	darkness	mɨ-ru-wə
1.63	shade, shadow	noreši
1.64	dew	hemaãhũ
1.71	air	
1.72	wind	watori
1.73	cloud	ɨhɨraši
1.74	fog	ɨhɨraši
1.75	rain (noun)	maa
1.76	snow (noun)	
1.77	ice	preyura
1.78	weather	
1.81	fire	koa wakə
1.82	flame (noun)	koa wakə
1.83	smoke (noun)	koa wakə ši
1.84	ashes	yupu uši
1.841	embers	koa wakə anamahu
1.851	burn (vb trans)	iši-maɨ
1.852	burn (vb intrans)	iši-i
1.86	light, kindle, ignite	koa wakə piyə-maɨ
1.861	extinguish	koa wakə mɨsi ru-amaɨ
1.87	match (noun)	pohoro hi
1.88	firewood	kõã ãšo
1.89	charcoal	õšõhõre
2.1	person, human being	yãnõmãmɨ
2.21	man (vs. woman)	wãrõ
2.22	woman	suwə
2.23	male	wãrõ
2.24	female	suwə
2.25	boy	mãrãnãpɨ
2.251	young man (adolescent)	huya
2.26	girl	suwə hərɨ
2.261	young woman (adolescent)	moko
2.27	child	ihiru
2.28	infant, baby	ihiru oše
2.31	husband	heãrõ-yə
2.32	wife	suwə-pɨ-yə
2.33	marry	po-u
2.34	marriage, wedding	
2.341	divorce	hoya-ɨ
2.35	father	ha-yə
2.36	mother	na-yə
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	ihiru-yə
2.42	daughter	tʰəə-yə
2.43	offspring (son or daughter)	
2.44	brother	
2.444	older brother	ãi-wə
2.445	younger brother	oše-yə
2.45	sister	
2.454	older sister	ami-yə
2.455	younger sister	oše-yə
2.456	sibling	
2.458	twins	
2.46	grandfather	ãi-wə
2.461	old man	wãrõ pata
2.47	grandmother	ami-wə
2.471	old woman	suwə pata
2.48	grandson	
2.49	granddaughter	
2.51	uncle	
2.511	mother's brother	šoa-yə
2.512	father's brother	ha-yə
2.52	aunt	
2.521	mother's sister	na-yə
2.522	father's sister	yai-yə
2.53	nephew	
2.54	niece	
2.55	cousin	
2.56	ancestors	no pata-pɨ
2.57	descendants	
2.61	father-in-law (of a man)	šoa-yə
2.611	father-in-law (of a woman)	šoa-yə
2.62	mother-in-law (of a man)	yai-yə
2.621	mother-in-law (of a woman)	yai-yə
2.63	son-in-law (of a man)	hekama-yə
2.631	son-in-law (of a woman)	hekama-yə
2.64	daughter-in-law (of a man)	tʰatʰə-yə
2.641	daughter-in-law (of a woman)	tʰatʰə-yə
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	wahati
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	maši
2.82	family	
2.91	I	ya
2.92	you (singular)	wa
2.93	he/she/it	a
2.94	we	
2.941	we (inclusive)	pə-makɨ
2.942	we (exclusive)	ya-makɨ
2.95	you (plural)	wa-makɨ
2.96	they	pə; tʰə pə
3.11	animal	yaro
3.12	male (adj)	wãrõ
3.13	female (adj)	suwə
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	[paka]
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	[košino]
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	kakara
3.52	cock, rooster	
3.54	hen	kakara
3.55	chicken	[poyo]
3.56	goose	
3.57	duck	sapa ũ
3.58	nest	pei yapɨkɨ
3.581	bird	yõõ pesi
3.582	seagull	
3.583	heron	kono
