entry_id	trans_english	Hausa_Phonemic
1.1	world	[duniya]
1.21	earth, land	doron kˀasa
1.212	earth=ground, soil	kˀasa
1.213	dust	kˀura; ura
1.214	mud	taɓo; laka
1.215	sand	yashi
1.22	mountain, hill	dutse; duc̣i; jigawa; tsauni
1.222	cliff, precipice	--
1.23	plain, field	sarari
1.24	valley	kwari; kware
1.25	island	tsibiri
1.26	mainland	nahiya
1.27	shore	gaɓa
1.28	cave	kogo; kwarga
1.31	water	ruwa
1.32	sea	teku
1.322	calm (of sea)	--
1.323	rough (of sea)	--
1.324	foam	kumfa
1.329	ocean	teku
1.33	lake	tafki
1.34	gulf, bay	--
1.341	lagoon	--
1.342	reef	--
1.343	headland, point	--
1.35	wave	igiyar ruwa
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	kogi
1.362	whirlpool	--
1.37	spring, well	idon ruwa
1.38	swamp	fadama
1.39	waterfall	zubowan ruwa
1.41	woods, forest	daji; jeji
1.42	tree (cf 08.600)	bishiya
1.43	wood	itace
1.44	stone, rock	dutse
1.45	earthquake	girgizar kˀasa
1.51	sky	sama
1.52	sun	rana
1.53	moon	wata
1.54	star	tauraro
1.55	lightning	walkˀiya
1.56	thunder	tsawa
1.57	lightning (as striking)	walkˀiya
1.58	storm	ruwa da iska
1.59	rainbow	bakan gizo
1.61	light (noun)	haske
1.62	darkness	duhu
1.63	shade, shadow	inuwa
1.64	dew	raɓa
1.71	air	iska
1.72	wind	iska; guguwa
1.73	cloud	gajimare; girgije; hadari
1.74	fog	hazo
1.75	rain (noun)	ruwan sama
1.76	snow (noun)	kˀankˀara
1.77	ice	kˀankˀara; ayas
1.78	weather	yanayi
1.81	fire	wuta
1.82	flame (noun)	harshen wuta
1.83	smoke (noun)	hayakʔi
1.84	ashes	toka
1.841	embers	garwashi
1.851	burn (vb trans)	kˀona
1.852	burn (vb intrans)	kˀuna
1.86	light, kindle, ignite	kunna
1.861	extinguish	kashe
1.87	match (noun)	ashana; karawa
1.88	firewood	makamashi; itacen girki
1.89	charcoal	gawayi
2.1	person, human being	mutum (masc.); mutuniya (fem.); ɗan Adam
2.21	man (vs. woman)	namiji
2.22	woman	mace
2.23	male	namiji
2.24	female	mace
2.25	boy	yaro
2.251	young man (adolescent)	kˀaramin yaro
2.26	girl	yarinya
2.261	young woman (adolescent)	kˀaramar yarinya
2.27	child	yaro (masc.); yarinya (fem.)
2.28	infant, baby	jariri
2.31	husband	miji
2.32	wife	mata
2.33	marry	aura
2.34	marriage, wedding	aure
2.341	divorce	saki
2.35	father	uba; mahaifi
2.36	mother	uwa; mahaifiya
2.37	parents	mahaifa; iyaye
2.38	married man	magidanci
2.39	married woman	matar aure
2.41	son	ɗa
2.42	daughter	'ya; ɗiya
2.43	offspring (son or daughter)	'ya'ya
2.44	brother	ɗan'uwa; shakˀikˀi
2.444	older brother	wa
2.445	younger brother	kˀane
2.45	sister	'yaruwa; shakˀikˀiya (?)
2.454	older sister	ya
2.455	younger sister	kˀanwa
2.456	sibling	'yan'uwa
2.458	twins	tagwaye
2.46	grandfather	kaka (namiji)
2.461	old man	tsoho
2.47	grandmother	kaka (mace)
2.471	old woman	tsohuwa
2.48	grandson	jika
2.49	granddaughter	jikanya
2.51	uncle	kawu
2.511	mother's brother	rafani; kawu (?)
2.512	father's brother	baffa
2.52	aunt	gwaggo
2.521	mother's sister	gwaggo (?)
2.522	father's sister	baba
2.53	nephew	ɗan-
2.54	niece	'yar-
2.55	cousin	ɗan'uwa; 'yaruwa; abokin wasa; taubashi
2.56	ancestors	mutanen dauri; kakannin-kakanni
2.57	descendants	zuriya
2.61	father-in-law (of a man)	suruki
2.611	father-in-law (of a woman)	suruki
2.62	mother-in-law (of a man)	suruka; sarakuwa
2.621	mother-in-law (of a woman)	suruka; sarakuwa
2.63	son-in-law (of a man)	suruki
2.631	son-in-law (of a woman)	suruki
2.64	daughter-in-law (of a man)	suruka; sarakuwa
2.641	daughter-in-law (of a woman)	suruka; sarakuwa
2.71	stepfather	mijin uwa
2.72	stepmother	kishiyar uwa
2.73	stepson	agola
2.74	stepdaughter	agoliya
2.75	orphan	maraya (masc.); marainiya (fem.)
2.76	widow	matar takaba
2.77	widower	gwauruwa; matar takaba
2.81	relatives, kinsmen	dangi
2.82	family	iyaye; iyali
2.91	I	ni
2.92	you (singular)	kai (masc.); ke (fem.)
2.93	he/she/it	shi (masc.); ita (fem.)
2.94	we	mu
2.941	we (inclusive)	mu
2.942	we (exclusive)	mu
2.95	you (plural)	ku
2.96	they	su
3.11	animal	dabba; naman daji
3.12	male (adj)	namiji
3.13	female (adj)	mace
3.15	livestock	dabbobin kiwo
3.16	pasture	makiyaya
3.18	herdsman	makiyayi
3.19	stable, stall	barga
3.2	cattle (bovine)	shanu
3.21	bull	bijimi
3.22	ox	sa
3.23	cow	saniya
3.24	calf	marakˀi
3.25	sheep	tunkiya
3.26	ram	rago
3.28	ewe	tunkiya
3.29	lamb	'ya'yan tumaki
3.32	boar	gadu; mugun dawa; alhanzir
3.34	sow	macen alade
3.35	pig	alade
3.36	goat	akuya
3.37	he-goat	bunsuru
3.38	kid	ɗan akuya; 'yar akuya
3.41	horse (equine)	doki
3.42	stallion	ingarma
3.44	mare	goɗiya
3.45	foal, colt	dukˀushi
3.46	ass, donkey	jaki
3.47	mule	alfadari
3.5	fowl	kaza
3.52	cock, rooster	zakara
3.54	hen	kaza
3.55	chicken	kaza
3.56	goose	--
3.57	duck	agwagwa
3.58	nest	shekˀa; gidan tsuntsu
3.581	bird	tsuntsu
3.582	seagull	--
3.583	heron	zalɓe
3.584	eagle	gaggafa; juhurma
3.585	hawk	shaho
3.586	vulture	ungulu
3.591	bat	jemage
3.592	parrot	aku
3.593	crow	hankaka
3.594	dove	kurciya
3.596	owl	mujiya; duji
3.61	dog	kare (masc.); karya (fem.)
3.614	rabbit	zomo
3.62	cat	kyanwa; mage; kule
3.622	opossum	--
3.63	mouse, rat	ɓera
3.65	fish	kifi
3.652	fin (dorsal)	fiffiken kifi
3.653	fishscale	sikelin kifi
3.654	gill	harza
3.655	shell	kˀumba
3.661	shark	--
3.662	porpoise, dolphin	--
