entry_id	trans_english	Tai_Lue_Phonemic
1.1	world	lok.8
1.21	earth, land	phɛn.5 din.1
1.212	earth=ground, soil	lot.8 sa.1 din.1
1.213	dust	fun.5
1.214	mud	lum.5
1.215	sand	sa:i.2
1.22	mountain, hill	dɔi.1; kɔŋ.2
1.222	cliff, precipice	ŋɔn.2 pok.9
1.23	plain, field	pha:.1 cɛn.2
1.24	valley	tuŋ.6 peŋ.2
1.25	island	hɔi.3
1.26	mainland	kɔ.1 dɔn.1
1.27	shore	bok.7
1.28	cave	faŋ.5 nam.4
1.31	water	tham.3
1.32	sea	nam.4
1.322	calm (of sea)	nam.4 mɛ:.6 sa.1 mut.7
1.323	rough (of sea)	fɔŋ.2 jup.8
1.324	foam	fɔŋ.2 ləŋ.2
1.329	ocean	pok.9
1.33	lake	nam.4 mɛ:.6 sa.1 mut.7
1.34	gulf, bay	nɔŋ.1 sa.1 la.1
1.341	lagoon	nɔŋ.1; bok.9
1.342	reef	dɔn.1 sa:i.2
1.343	headland, point	fɔŋ.2
1.35	wave	fɔŋ.2 lum.2
1.352	tide	fɔŋ.2 tɛm.5
1.353	lowtide	fɔŋ.2 suŋ.1
1.354	hightide	nam.4 hɔi.3
1.36	river, stream, brook	nam.4 pan.5
1.362	whirlpool	nam.6 bɔ:.5
1.37	spring, well	ta:t.9
1.38	swamp	duŋ.1 mai.4
1.39	waterfall	kɔ:.1 mai.4
1.41	woods, forest	mai.4
1.42	tree (cf 08.600)	hin.1 pha:.1
1.43	wood	hin.1 sa:i.2
1.44	stone, rock	phɛn.5 din.1 vai.1
1.45	earthquake	ka:ŋ.1 ha:u.1
1.51	sky	ta:.1 van.2
1.52	sun	dən.1
1.53	moon	da:u.1
1.54	star	fa:.4 ma.6 lɛp.8
1.55	lightning	fa:.4 hɔŋ.4
1.56	thunder	fa:.4 hɔŋ.4
1.57	lightning (as striking)	fa:.4 ma.6 lɛp.8
1.58	storm	kam.5 fun.1 lum.2 fa:.4
1.59	rainbow	huŋ.2
1.61	light (noun)	sa:i.1 dɛt.9
1.62	darkness	mɨt.8
1.63	shade, shadow	bot.7; hum.6; ŋau.2 kɔ:.4
1.64	dew	nam.4 məi.1
1.71	air	ʔa:i.1 lum.2
1.72	wind	lum.2
1.73	cloud	fa:.3
1.74	fog	məi.1
1.75	rain (noun)	fun.1
1.76	snow (noun)	sa.1 tha:p.9
1.77	ice	nam.4 da:ŋ.3
1.78	weather	ma:k.9 hep.7
1.81	fire	ʔa:.2 ka:t.9
1.82	flame (noun)	fai.2
1.83	smoke (noun)	peu.1 fai.2
1.84	ashes	xɔn.2 fai.2
1.841	embers	tau.6
1.851	burn (vb trans)	tha:n.5 fai.2
1.852	burn (vb intrans)	mai.3; ci.1
1.86	light, kindle, ignite	fai.2 mai.3
1.861	extinguish	sum.1 fai.2
1.87	match (noun)	vɔt.8 fai.2; dap.7 fai.2
1.88	firewood	kap.7 fai.2
1.89	charcoal	lo:.1 fɨn.2
2.1	person, human being	tha:n.5
2.21	man (vs. woman)	kun.2
2.22	woman	kun.2 ca:i.2
2.23	male	kun.2 jiŋ.2
2.24	female	ca:i.2
2.25	boy	jiŋ.2
2.251	young man (adolescent)	luk.8 ʔɔn.5 ca:i.2
2.26	girl	ba:u.5
2.261	young woman (adolescent)	sa:u.1
2.27	child	sa:u.1 loŋ.1
2.28	infant, baby	luk.8 ʔɔn.5
2.31	husband	luk.8 ʔɔn.5 dɛŋ.1
2.32	wife	pho:.1
2.33	marry	me:.2
2.34	marriage, wedding	ʔau.1 pho:.1; ʔau.1 me:.2
2.341	divorce	kam.1 ven.2
2.35	father	ha:ŋ.4 kan.1
2.36	mother	pɔ:.6
2.37	parents	mɛ:.6
2.38	married man	pɔ:.6 mɛ:.6
2.39	married woman	pɔ:.6 hən.2
2.41	son	mɛ:.6 hən.2
2.42	daughter	luk.8 ca:i.2
2.43	offspring (son or daughter)	luk.8 jiŋ.2
2.44	brother	luk.8 la:n.1
2.444	older brother	pi:.6 nɔŋ.4
2.445	younger brother	pi:.6 ca:i.2
2.45	sister	nɔŋ.4 ca:i.2
2.454	older sister	pi:.6 jiŋ.2 lɛ.2 nɔŋ.4 jiŋ.2
2.455	younger sister	pi:.6 jiŋ.2
2.456	sibling	nɔŋ.4 jiŋ.2
2.458	twins	pi:.6 lɛ.2 nɔŋ.4
2.46	grandfather	luk.8 fa:.1 fi:.1
2.461	old man	ʔi.1 pu:.5
2.47	grandmother	pɔ:.6 thau.3
2.471	old woman	ʔi.1 ja:.6
2.48	grandson	mɛ:.6 thau.3
2.49	granddaughter	la:n.1 ca:i.2
2.51	uncle	la:n.1 jiŋ.2
2.511	mother's brother	ʔa:u.1; pɔ:.6 loŋ.1; ʔa:i.3 na:.4
2.512	father's brother	pɔ:.6 loŋ.1
2.52	aunt	pɔ".6 loŋ.1
2.521	mother's sister	ʔa:.1 pai.4; ʔi.1 na:.4; ʔi.1 ʔa:.1
2.522	father's sister	ʔi.1 na:.4
2.53	nephew	na:.4 pai.4
2.54	niece	la:n.1 ca:i.2
2.55	cousin	la:n.1 jiŋ.2
2.56	ancestors	luk.8 pi:.6 luk.8 nɔŋ.4
2.57	descendants	co:.6 pu:.5 co:.6 mɔn.5
2.61	father-in-law (of a man)	co:.6 luk.8 co:.6 la:n.1
2.611	father-in-law (of a woman)	pɔ:.6 ta:.1
2.62	mother-in-law (of a man)	pɔ:.6 tho:.1
2.621	mother-in-law (of a woman)	mɛ:.6 me:.2
2.63	son-in-law (of a man)	mɛ:.6 pho:.1
2.631	son-in-law (of a woman)	luk.8 xəi.1
2.64	daughter-in-law (of a man)	luk.8 xəi.1
