entry_id	trans_english	Karok_Phonemic
14.13	new	pī́t
14.14	young	- -
14.15	old	ké̄βrīkha
14.16	early	- -
14.17	late	nô̄tah
14.18	now	payé̄m
14.19	immediately	- -
14.21	swift, fast, quick	čé̄myāč
14.22	slow	čakaʔî̄mič; kačaʔî̄mič
14.23	hasten, hurry	yá̄βha
14.24	retard, delay	- -
14.25	begin, beginning	-ikyâ̄sip
14.252	last, endure	- -
14.26	end (temporal)	- -
14.27	finish	-pikyār
14.28	cease, stop	-ʔiškáxiš
14.29	ready	-káriha
14.31	always	ʔatahári
14.32	often	- -
14.33	sometimes	hâ̄rih
14.331	soon	- -
14.332	long-time (for a)	xárah
14.34	never	haríxay
14.35	again	kúkūm
14.41	day	súpāh
14.42	night	ʔikxáram
14.43	dawn	mahʔî̄tnihač
14.44	morning	máhʔīt
14.45	noon, midday	supáhʔāčip
14.451	afternoon	- -
14.46	evening	ʔikxúrar
14.47	today	payê̄m kumasúpāh
14.48	tomorrow	ʔimān
14.481	day-after-tomorrow	ʔimá̄n múmānkam
14.49	yesterday	ʔipit
14.491	day-before-yesterday	ʔipít múpitkam
14.51	hour	- -
14.53	clock, timepiece	kusnáhʔaramahač
14.61	week	- -
14.62	Sunday	- -
14.63	Monday	yíθa tōpsúpāhpa
14.64	Tuesday	ʔáxak tōpsúpāhpa
14.65	Wednesday	kuyrāk tōpsúpāhpa
14.66	Thursday	pīθ tōpsúpāhpa
14.67	Friday	ʔitrô̄p tōpsúpāhpa
14.68	Saturday	[sárarih]
14.71	month	kú̄srah
14.73	year	hárinay
14.74	winter	ʔíšyāβ
14.75	spring	pimnanihî̄šrih
14.76	summer	pimná̄nih
14.77	autumn	pišyaβpî̄šrih
14.78	season	- -
15.21	smell (vb intrans)	-ʔimxaθ
15.212	sniff	- -
15.22	smell (vb trans)	-ʔimšákar
15.25	fragrant, good smelling	ʔimxaθáyaβ
15.26	stinking, bad smelling	ʔimxaθaké̄m
15.31	taste	-ʔákat
15.35	sweet	ʔuxrāh
15.36	salty	yúfišar
15.37	bitter	ʔú̄x
15.38	acid, sour	ʔuxrháθkāy
15.39	brackish	- -
15.41	hear	-θítiβ
15.42	listen	- -
15.44	sound, noise	- -
15.45	loud	- -
15.46	quiet, silence	-iškax
15.51	see	-mah
15.52	look, look at	-ʔimus
15.55	show	-ʔikšup
15.56	shine	-ʔimšírih
15.57	bright	-ʔimkatáxrah
15.61	color	- -
15.62	light (in color)	- -
15.63	dark (in color)	- -
15.64	white	-tāhkō ~ čánčāfkuniš
15.65	black	ʔikxáramkuniš
15.66	red	ʔá̄xkuniš
15.67	blue	θúkinkuniš
15.68	green	θúkinkuniš
15.69	yellow	θúkinkuniš
15.71	touch	-ʔáfiš
15.712	pinch	-βimčuk
15.72	feel	-ʔafíšēn
15.74	hard	sákrīβ
15.75	soft	xé̄čič
15.76	rough	kúkuh
15.77	smooth	xūs
15.78	sharp	yáθah
15.79	blunt, dull	múmuh
15.81	heavy	má̄θ
15.82	light (in weight)	ʔišná̄nič
15.83	wet, damp	ʔāskípač
15.84	dry	ʔiβáxrah
15.85	hot	-ʔimfir; -ʔimčax
15.851	warm	-ʔimpuk
15.86	cold	ʔáθīk
15.87	clean	- -
15.88	dirty, soiled	ʔaxβíθin
15.89	wrinkled	- -
16.11	soul, spirit	pikšip
16.15	surprised, astonished	- -
16.18	good fortune, luck	ʔískīt
16.19	misfortune, bad luck	ʔāksâ̄nβa
16.23	joyful, glad, happy	-ʔāčíčha
16.25	laugh	-ʔikšah
16.251	smile	- -
16.26	play	-ʔixtī́βha
16.27	love	-ʔī́mnih
16.29	kiss	-páčup
16.3	embrace	- -
16.31	pain	kúha
16.32	grief, sorrow, sadness	-tárak
16.33	anxiety, worry	- -
16.34	regret, be sorry	-ʔiθvuyxâ̄ha
16.35	pity	-kōhímačkō
16.37	cry, weep	-ʔixrar
16.38	tear (noun)	yupastáram
16.39	groan	- -
16.41	hate	-βî̄ha
16.42	anger	-ʔixvī́pha
16.44	envy, jealousy	-ʔafitú̄nβa
16.45	shame (noun)	ʔahárām
16.48	proud	- -
16.51	dare	- -
16.52	brave	ʔišímfir
16.53	fear, fright	-ʔay
16.54	danger	- -
16.62	desire, want	-βíštar
16.622	choose	-tayaβ
16.63	hope	- -
16.65	faithful	- -
16.66	true	ʔif
16.67	lie, tell lies	-pikšá̄yβa
16.68	deceit	- -
16.69	forgive	- -
16.71	good	yaβ
16.72	bad	-ké̄m
16.73	right, correct	- -
16.74	wrong	- -
16.76	fault	- -
16.77	mistake, error	- -
16.78	blame	- -
16.79	praise	- -
16.81	beautiful	yâ̄mač; ʔimusá-yaβ
16.82	ugly	ʔimusaké̄m
16.83	greedy	- -
16.84	clever	- -
17.11	mind	- -
17.13	think (= reflect)	-xus
17.14	think (= be of the opinion)	-xus
17.15	believe	-fuhiš
17.16	understand	- -
17.17	know	-ʔá̄punma
17.171	guess	- -
17.172	imitate	- -
17.18	seem	-ʔimúsaha
17.19	idea, notion	- -
17.21	wise	- -
17.22	foolish, stupid	- -
17.23	insane, crazy	-yunyú̄nha
17.24	learn	-ʔāpúnmīk
17.242	study	- -
17.25	teach	-ʔikšúpih
17.26	pupil	- -
17.27	teacher	ʔikšúpíhān
17.28	school	ʔikšupíhrām
17.31	remember	-pikró̄k
17.32	forget	-ʔipšinβárih
17.34	clear, plain	- -
17.35	obscure	- -
17.36	secret	- -
17.37	sure, certain	- -
17.38	explain	- -
17.41	intention, purpose	- -
17.42	cause	- -
17.43	doubt	- -
17.44	suspect	-θaxústay
17.441	betray	- -
17.45	need, necessity	- -
17.46	easy	yâ̄mahukač
17.47	difficult	ikyá̄kām
17.48	try, attempt	ikyāvárihβa
17.49	way, manner	- -
17.51	and	káru
17.52	because	ʔayuʔá̄č
17.53	if	- -
17.54	or	hum
17.55	yes, affirmative	há̄
17.56	no, negative	pû̄hara
17.61	how?	hú̄t
17.62	how many?	ʔifyá̄
17.63	how much?	ʔifyā
17.64	what?	fá̄t
17.65	when?	háriβari
17.66	where?	hó̄y
17.67	which?	- -
17.68	who?	ʔaká̄y
17.69	why?	fá̄t kumáʔī
18.11	voice	- -
18.12	sing	-pákurih
18.13	shout, cry out	-ʔihyiβ
18.15	whisper	- -
18.16	mumble	- -
18.17	whistle	-ʔikfuy
18.18	shriek, screech	- -
18.19	howl	-ʔikβú̄hβa
18.21	speak, talk	-ʔúhyan
18.211	stutter, stammer	-yāyá̄ha
18.22	say	-pīp
18.221	tell story	-pikβah
18.222	speech (make a)	- -
18.23	silent (be)	ʔastárīš
18.24	language	hih
18.26	word	ʔuhyan
18.28	name	ʔiθβuy
18.31	ask (question, inquire)	-patánβiš
18.32	answer	-ʔíhiβrik
18.33	admit, confess	- -
18.34	deny	- -
18.35	ask, request	-pátanβa
18.36	promise	- -
18.37	refuse	- -
18.38	forbid	- -
18.39	rebuke, scold	-ʔasúβīš
18.41	call (=summon)	- -
18.42	call (=name)	-ʔiθβuyâ̄naha
18.43	announce	- -
18.44	threaten	- -
18.45	boast	-pičakúβān
18.51	write	-ʔikxúrik
18.52	read	ʔikxúrik + -ʔimus
18.56	paper	ʔikxúrik
18.57	pen	ʔikxúrikar
18.61	book	ʔikxúrik
18.67	poet	- -
18.71	flute	ʔikrēmyahβárār
18.72	drum	ʔimθanuβnó̄r
18.73	horn, trumpet	ʔikrēmyahβárār
18.74	rattle	- -
19.11	country	ʔiθíβθānēn
19.12	one's native country	- -
19.15	city, town	ʔarárīk
19.16	village	ʔarárīk
19.17	boundary	- -
19.21	people (populace)	- -
19.23	tribe, clan	- -
19.24	chief, chieftain	- -
19.25	staff, walking stick	ʔiktīn
19.31	rule, govern	- -
19.32	king, ruler	- -
19.33	queen	- -
19.36	noble, nobleman	- -
19.37	citizen, subject	- -
19.41	master	- -
19.42	slave	ʔihrūθ
19.43	servant	- -
19.44	freeman	- -
19.45	command, order	- -
19.46	obey	fuhiš
19.47	let, permit	- -
19.51	friend, companion	ʔafyīβ
19.52	enemy	βá̄san
19.54	neighbor	- -
19.55	stranger	ʔiθʔárān
19.56	guest	- -
19.57	host	- -
19.58	help, aid	-ʔipšáraβrik
19.59	hinder, prevent	-ʔiškáxišrih-maθ
19.61	custom	kú̄pha
19.62	strife, quarrel	- -
19.63	conspiracy, plot	- -
19.65	meet	-ʔikmar
19.72	prostitute	- -
20.11	fight (vb)	-βaθiβ
20.13	war, battle	-ʔākram
20.14	peace	- -
20.15	army	- -
20.17	soldier	- -
20.21	weapons, arms	- -
20.22	club	- -
20.222	battle-ax	- -
20.23	sling	- -
20.24	bow	xuskāmhar
20.25	arrow	kuníhar
20.26	spear	itká̄nβar
20.27	sword	- -
20.28	gun, cannon	xuská̄mhar
20.31	armor (defensive)	pâ̄saha
20.33	helmet	- -
20.34	shield	- -
20.35	fortress	- -
20.36	tower	- -
20.41	victory	- -
20.42	defeat	-čífič
20.43	attack	- -
20.44	defend	- -
20.45	retreat	- -
20.46	surrender	- -
20.47	captive, prisoner	- -
20.471	guard, sentinel	- -
20.48	booty, spoils	- -
20.49	ambush	- -
20.51	fisherman	- -
20.52	fishhook	taxβúkar
20.53	fishing line	ʔá̄n
20.54	fishnet	ʔurípih
20.55	fish trap	ʔikríhar
20.56	bait	- -
20.61	hunt	-ʔákunβa
20.62	shoot	-kunih
20.63	miss (target)	-ʔikfíripriβ
20.64	trap (noun)	tátapβa
20.65	trap (vb)	-tátapβa
21.11	law	- -
21.15	court	- -
21.16	judge (vb)	- -
21.17	judgment	- -
21.18	judge (noun)	- -
21.21	plaintiff	- -
21.22	defendant	- -
21.23	witness	- -
21.24	swear	- -
21.25	oath	- -
21.31	accuse	- -
21.32	condemn	- -
21.33	convict (vb)	- -
21.34	acquit	- -
21.35	guilty	- -
21.36	innocent	- -
21.37	penalty, punishment	- -
21.38	fine	- -
21.39	prison, jail	- -
21.42	murder	- -
21.43	adultery	- -
21.44	rape	- -
21.46	arson	- -
21.47	perjury	- -
21.51	steal	sı́tβa
21.52	thief	sī́t
22.11	religion	- -
22.12	God	- -
22.13	temple, church	- -
22.14	altar	- -
22.15	sacrifice, offering	- -
22.16	worship	- -
22.17	pray	-βé̄n
22.18	priest	fataβé̄nān
22.19	holy, sacred	- -
22.22	preach	- -
22.23	bless	- -
22.24	curse	-fumyih
22.26	fast (vb)	ʔasú̄xar
22.31	heaven	páy nanuʔáβahkam
22.32	hell	yumārárīk
22.35	demon (evil spirit)	- -
22.37	idol	- -
22.42	magic, witchcraft, sorcery	- -
22.43	sorcerer, witch	ʔapurúβān
22.44	fairy, elf	- -
22.45	ghost, phantom	pikšip
22.47	omen, portent	- -
