entry_id	trans_english	Karok_Phonemic
3.665	freshwater eel	ʔakrāh
3.71	wolf	ʔikxâ̄βnamič
3.72	lion	yupθúkirar
3.73	bear	βírusur
3.74	fox	aprāx
3.75	deer	pú̄fič
3.76	monkey	- -
3.77	elephant	- -
3.78	camel	- -
3.81	insect	- -
3.811	louse	ʔačīč
3.812	nit (louse egg)	- -
3.813	flea	ʔú̄t
3.814	centipede	- -
3.815	scorpion	mahxánθūn
3.816	cockroach	- -
3.817	ant	asvūt
3.818	spider	xah
3.819	spider web	xaháβik
3.82	bee	pišpíših
3.821	beeswax	- -
3.822	beehive	- -
3.823	wasp	pišpišihxára
3.83	fly	čufnî̄mkač
3.831	sandfly (midge), gnat	- -
3.832	mosquito	čaná̄kat
3.84	worm	βákay
3.85	snake	ápsūn
3.91	firefly	- -
3.92	butterfly	xatímnīm
3.93	grasshopper	xá̄θ
3.94	snail	ʔasipánaxič
3.95	frog	xančī́fič
3.96	lizard	čīmú̄č
3.97	crocodile, alligator	- -
3.98	turtle	ʔasáxβuh
4.11	body	ʔī́š
4.12	skin, hide	má̄n
4.13	flesh	ʔı́s
4.14	hair (head)	ʔífuni
4.142	beard	ʔapmaráxvuh
4.144	body hair	ʔimyāt
4.145	pubic hair	- -
4.146	dandruff	- -
4.15	blood	ʔá̄x
4.151	vein, artery	ʔaxímpāh
4.16	bone	ʔípih
4.162	rib	ʔátpīh
4.17	horn	vê̄šur
4.18	tail	ʔápβūy
4.19	back	vásih
4.191	spine	sūf
4.2	head	ʔaxβá̄h
4.201	side of head, temple	- -
4.202	skull	- -
4.203	brain	ʔāsráβar
4.204	face	ʔá̄β
4.205	forehead	yúpin
4.207	jaw	- -
4.208	cheek	ʔáβʔīš
4.209	chin	ʔišβāk
4.21	eye	yú̄p
4.212	eyebrow	yupípih
4.213	eyelid	- -
4.214	eyelash	yupátrih
4.215	blink	- -
4.22	ear	tī́β
4.221	earlobe	- -
4.222	earwax	- -
4.23	nose	yúfiβ
4.231	nostril	- -
4.232	mucus (nasal)	yufíβrāt
4.24	mouth	ʔapmān
4.241	beak	ʔapmān
4.25	lip	ʔapmántīm
4.26	tongue	ʔáprīh
4.27	tooth	βuh
4.271	gums	- -
4.272	molartooth	- -
4.28	neck	βú̄p
4.281	nape of neck	- -
4.29	throat	áθkūn
4.3	shoulder	takrāβ
4.301	shoulderblade	tasβānʔípih
4.302	collarbone	ʔátβāx
4.31	arm	ʔátrāx
4.312	armpit	né̄β
4.32	elbow	ʔišβírik
