entry_id	trans_english	Nahuatl_Sierra_de_Zacapoaxtla_Phonemic
2.92	you (singular)	teh; teh-wa; ti-
2.93	he/she/it	yeh; yeh-wa; ∅
2.94	we	teh-wa-n; ti- ~ t-...-h/-keh
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	nan- ~ ta-...-h, -eh; nameh-wa-n
2.96	they	yeh-wa-n; ∅-...-h
3.11	animal	okʷil-in
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	kʷakʷehmeh
3.16	pasture	taselo-t; ištawa-t; takomol
3.18	herdsman	tapi-š-keh
3.19	stable, stall	sin-kal
3.2	cattle (bovine)	tapial-meh; kʷakʷeh-meh
3.21	bull	kʷakʷoweh
3.22	ox	kʷakʷoweh
3.23	cow	kʷakʷoweh
3.24	calf	kʷakʷow-kone-t; kʷakʷeh-c̷in
3.25	sheep	ička-t
3.26	ram	
3.28	ewe	
3.29	lamb	ička-t; ička-c̷in
3.32	boar	kʷopic̷ot
3.34	sow	tatokalis
3.35	pig	pic̷o-t
3.36	goat	[čiβah]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kabayoh]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	[burroh]
3.47	mule	
3.5	fowl	
3.52	cock, rooster	kašti-l
3.54	hen	pio; swa-pio
3.55	chicken	pio; pio-kone-t
3.56	goose	
3.57	duck	
3.58	nest	tapahsol; tako-čan
3.581	bird	toto-c̷in
3.582	seagull	
3.583	heron	a-ten-patoh; apatoh
3.584	eagle	kʷišin
3.585	hawk	kʷišin
3.586	vulture	c̷ohpilo-t
3.591	bat	c̷inaka
3.592	parrot	
3.593	crow	kakalo-t
3.594	dove	točtekolo-t
3.596	owl	tololoh; kʷow-šašaka; čičti
3.61	dog	ic̷kʷin-ti
3.614	rabbit	toč-; točin
3.62	cat	miston
3.622	opossum	
3.63	mouse, rat	kimičin
3.65	fish	miči; miči-n
3.652	fin (dorsal)	
3.653	fishscale	i-tapač; ewa-t
3.654	gill	
3.655	shell	tapač
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	koa-miči-n
3.71	wolf	
3.72	lion	--
3.73	bear	--
3.74	fox	kʷek-ti
3.75	deer	masa-t
3.76	monkey	
3.77	elephant	--
3.78	camel	--
3.81	insect	okʷil-c̷in
3.811	louse	tekolo-t
3.812	nit (louse egg)	ahsilit
3.813	flea	tekpin-ti
3.814	centipede	
3.815	scorpion	
3.816	cockroach	šopepe
3.817	ant	aska-t
3.818	spider	toka-t
3.819	spider web	c̷awal
3.82	bee	[sera]-okʷil-c̷in
3.821	beeswax	
3.822	beehive	[serah] okʷilkahon; i-čan in kolmena; nekc̷i-c̷in
3.823	wasp	alsin; neškomeh
3.83	fly	moyo-t
3.831	sandfly (midge), gnat	čakistle; moyo-c̷in
3.832	mosquito	šahkal-moyo-t
3.84	worm	okʷil-c̷in; tal-ihkočin; tal-kʷetaš-kol
3.85	snake	ko[w]a-t
3.91	firefly	
3.92	butterfly	papalo-t; čawa-papalo-t
3.93	grasshopper	čapoli-n
3.94	snail	šok-ti
3.95	frog	kala-t; kʷeya; akʷeya
3.96	lizard	maliguay; topeh; šilkʷowiši
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	i-naka-yo
4.12	skin, hide	kʷetaš; i-kʷetaš-[y]io; i-ewa-yo
4.13	flesh	i-naka-yo-h
4.14	hair (head)	i-c̷on; c̷oon-ti
4.142	beard	i-ten-c̷on-yo
4.144	body hair	i-tohmi-yo
4.145	pubic hair	
4.146	dandruff	i-kʷa-ewa-yo
4.15	blood	es-ti; es-yoh
4.151	vein, artery	
4.16	bone	omi-t
4.162	rib	i-elčikiw
4.17	horn	
4.18	tail	i-kʷita-pil
4.19	back	i-kampa; i-kʷita-pan; i-kan
4.191	spine	i-kʷita-panomi[y]o
4.2	head	i-c̷on-tekon; i-kʷa-ko
4.201	side of head, temple	
4.202	skull	mike-c̷on-tekoma-t
4.203	brain	i-kʷa-tiš-yo
4.204	face	i-iš-ko
4.205	forehead	iš-kʷa-ko; iš-kʷa-y
4.207	jaw	
4.208	cheek	i-kama-nakas-tan; i-kačeteh
4.209	chin	
4.21	eye	i-iš-tololo
4.212	eyebrow	i-iš-tohmi-yo
4.213	eyelid	iš-pil-kʷetaš-yo
4.214	eyelash	iš-pil; iš-pilwi-yo
4.215	blink	ihkopi
4.22	ear	i-nakas
4.221	earlobe	
4.222	earwax	
4.23	nose	yeka; i-yekac̷ol
4.231	nostril	i-yekac̷ol-koyo-k
4.232	mucus (nasal)	i-yeka-kʷi-t
4.24	mouth	i-ten ~ teem-; i-kamak
4.241	beak	i-tem-pil
4.25	lip	i-ten-šipal
4.26	tongue	i-nene-pil
4.27	tooth	i-tan
4.271	gums	i-kamanaka-yo
4.272	molartooth	i-tan-koč
4.28	neck	i-keč
4.281	nape of neck	i-keč-kočta
4.29	throat	i-toskak
4.3	shoulder	i-ahkol
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	i-ahkol; i-ma-y; i-maka-yo
4.312	armpit	i-sekatan
4.32	elbow	i-molik
4.321	wrist	i-ma-keč-tah; i-ma-keč-tan
4.33	hand	i-ma-y; -maa ~ mah
4.331	palm of hand	i-ma-iško; i-ma-kpal
4.34	finger	i-ma-h-pil
4.342	thumb	i-weyi ma-h-pil
4.344	fingernail	isti
4.345	claw	
4.35	leg	i-kes; i-mec̷
4.351	thigh	i-kes
4.352	calf of leg	i-koc̷; i-koc̷-ko; i-koc̷i-kan
4.36	knee	i-tan-kʷa-y
4.37	foot	i-mec̷
4.371	ankle	i-mec̷-keč-saliwiyan
4.372	heel	i-koc̷
4.374	footprint	taksa-lis; tac̷oniksalis
4.38	toe	i-mec̷-ikši-pil
4.392	wing	ahtapal
4.393	feather	ihwi-t
4.4	chest	i-el-pan
4.41	breast (of woman)	i-čiči-wal
4.412	nipple, teat	
4.42	udder	
4.43	navel	i-ši-k
4.44	heart	yool; i-yolo
4.441	lung	i-popoc̷o-a
4.45	liver	
4.451	kidney	i-e-yo
4.452	spleen	
4.46	stomach	i-poš
4.461	intestines, guts	i-ihti-yo; i-kʷit-kowan
4.462	waist	i-tahko-yan
4.463	hip	
4.464	buttocks	i-c̷in-tan
4.47	womb	i-poš
4.49	testicle	
4.492	penis	
4.51	breathe, breath	i-iyo-yo; iihyoyo; ihsika
4.52	yawn, gape	koč-kama-čalo-a
4.521	hiccough	c̷ikno-a
4.53	cough	tatasi
4.54	sneeze	ikšo-a; ikšo-lis
4.55	perspire	mitoni-a
4.56	spit	ki-čihča; i-čihči; i-ten-a-yo
4.57	vomit	ta-kepa; mo-yoliš-kepa; mo-ihsota
4.58	bite	ki-kehc̷oma
4.59	lick	ta-pahpalo-(w)a; -pic̷ohtoya
4.591	dribble	čičipika; čipini
4.61	sleep	koči; -koh-koči
4.612	snore	sosolka
4.62	dream	ta-koči-ta; koči-lis; -koh-koči-ta
4.63	wake up	k-ihšiti-a; ihsa; ihsa-lis; ihsa-tok
4.64	break wind	
4.65	urinate	mo-šišiša
4.66	defecate	kʷita-t
4.67	have sexual intercourse	
4.68	shiver	kʷekʷetaka; wiwiška; wiwiyoka
4.69	bathe	ki-pahpaka
4.71	beget (of father)	
4.72	born (to be)	ta-yoliti-a; ki-taka-tilti-a
4.73	pregnant	oc̷titok
4.732	conceive	
4.74	live, living, life	yol-tok; nemi
4.75	die, dead	miki; -miki-tii
4.751	drowned	atohtoloa
4.76	kill	-miki-tii; ki-mik-ti-[y]a
4.77	corpse	mike-t
4.78	bury (the dead)	ki-toka; ki-tal-toka
4.79	grave, tomb	mike-koyo-k-ti; mike-tekoč
4.81	strong, mighty, powerful	čikawa-k; čikawalis; čikaw-tok
4.82	weak	wiwis-ti-k; amo čikawa-k; kʷekʷetaka
4.83	well, health	pak-tok; pahti-k ya
4.84	sick, sickness	mo-koko-a; koko-lis; koko-š-kakʷi
4.841	fever	totoni-k
4.842	goiter	
4.843	cold (catarrh)	c̷ompil
4.85	wound, sore	tatek-ti; koko-t
4.852	bruise	šokolti-tok
4.853	swelling	posawa-k; ki-posawa-l-ti-a
4.854	itch	ahwayowa; ahwayowalis; sawa-t
4.855	blister	asoloni
4.856	boil (noun)	
4.857	pus	temal
4.858	scar	i-tatek
4.86	cure, heal	ki-pahti-a
4.87	physician	te-pahtih-keh
4.88	medicine, drug	-pah; pahti
4.89	poison	ta-pahwi-lo-ni
4.91	tired, weary	siowi-k; siow-tok; kʷač-ti-k; kʷaw-ti-k
4.912	rest	mo-sewi-a
4.92	lazy	tac̷iwi; sonsoh
4.93	bald	kʷa-šikal-ti-k
4.94	lame	košo
4.95	deaf	nakas-c̷ac̷a; nakas-tapal; nakas-c̷akʷi
4.96	mute	amo wel-tahto-a; non-c̷in
4.97	blind	amo ta-ča
4.98	intoxicated	win-ti-tok; tawan-keh
4.99	naked, bare	šikal-ti-k; šitac̷-ti-k
5.11	eat	ta-kʷa; ta-kʷa-a
5.12	food	ta-kʷa-l; ta-kʷa-lo-ni
5.121	cooked	yoksi; ta-kʷa-l-čiwa
5.122	raw	šošo-wi-k
5.123	ripe	yoksi
5.124	green, unripe	šošo-wi-k
5.125	rotten	palak-ti-k; kihtakʷa; ihtakawi
5.13	drink	tayi; ati
5.14	hunger	mayana; apis; apis-ti
5.141	famine	apis-ti; mayaan-miki
5.15	thirst	a-miki; amik; amik-ti
5.16	suck	ki-pipi-na; ki-pipi-c̷o-a
5.18	chew	kic̷on-kʷahkʷa
5.181	swallow	ki-tolo-a
5.19	choke	ki-keč-pac̷-ka; kihiyo-mik-ti-a
5.21	cook	
5.22	boil (vb)	mo-molo-ka; molo-ni; čočopoka
5.23	roast, fry	tewaik; tatewac̷
5.24	bake	tatoki-a
5.25	oven	
5.26	pot, cooking vessel	ahpac̷-ti; kešahpas
5.27	kettle	
5.28	pan	akomit; tenašah
5.31	dish	kašahpas; ahpaac̷-ti
5.32	plate	kašit; kašahpas
5.33	bowl	šikal
5.34	pitcher, jug	a-c̷oc̷okol
5.35	cup, drinking vessel	tayi-lo-ni
5.36	saucer	kašahpas-konet
5.37	spoon	
5.38	knife	
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	tamahsewa; [almasal]
5.44	dinner	
5.45	supper	ta-kʷa ta-yowa-k
5.46	peel	ki-piš-ka; kišima; kišol-ewa; kakawa-t
5.47	sieve, strain	ki-c̷ec̷elo-a
5.48	scrape	kišitoma
5.49	stir, mix	ki-nelo-a; kolini-a
5.51	bread	
5.53	dough	tiš-ti
5.54	knead	ki-pahpačo-a
5.55	meal, flour	
5.56	crush, grind	ki-kʷečo-a; tiskeh
5.57	mill	
5.58	mortar	meta-t
5.59	pestle	meta-ma-it
5.61	meat	naka-t
5.63	sausage	
5.64	soup, broth	kil-a-t; e-mol
5.65	vegetables	kili-t; kil-toni-l; waw-kilit
5.66	bean	e-t; e-c̷iin
5.7	potato	
5.71	fruit	šoko-t
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	
5.791	grease, fat	tomawa-k; čawa-k
5.81	salt	ista-t
5.82	pepper	--
5.821	chili pepper	či-l; čilito; koko-k
5.84	honey	c̷ope-k-a-t; nekʷ-a-t
5.85	sugar	
5.86	milk (noun)	
5.87	milk (vb)	ki-pac̷ka
5.88	cheese	
5.89	butter	
5.9	beverage, drink	a-tol
5.91	mead	
5.92	wine	--
5.93	beer	ok-ti
5.94	fermented drink	mo-čikawa-l-tih; kokokat
5.97	egg	pio-te-t
5.971	egg yolk	pio-te-šoči-t
6.11	put on (clothes)	mo-kʷey-ti-a; mo-taken-ti-a
6.12	clothing, clothes	tasa-l; i-taken
6.13	tailor	--
6.21	cloth	tasa-l; tate-k
6.22	wool	tohmi-t
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	kʷetaš
6.31	spin	ta-c̷awa
6.32	spindle	malaka-t
6.33	weave	čayal-ti-k
6.34	loom	kʷowtahkit
6.35	sew	tahc̷oma
6.36	needle	tahc̷oma-lo-ni
6.37	awl	
6.38	thread	ičti
6.39	dye	ki-tapal-wi-a; kipa
6.41	cloak	kapisayoh
6.411	poncho	
6.42	woman's dress	i-kʷey; i-taken
6.43	coat	taken-ti; takem-it
6.44	shirt	
6.45	collar	koskat
6.46	skirt	kʷeyi-t; i-kʷey
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	i-kʷa-pikka; ikʷa-pikiloni
6.57	belt, girdle	i-tahko-ilpi-ka
6.58	glove	ma-tapeč; i-ma-pikka
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	i-ma-tepos
6.74	bracelet	
6.75	necklace	koska-t
6.76	bead	
6.77	earring	i-nakas-tapilo-l
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	ta-c̷ikawas-wi-a
6.92	brush	ki-šilwi-a; ikʷa-šiluas
6.921	braid	mo-c̷on-ilpi-a; tamaihki-t
6.93	razor	
6.94	ointment	
6.95	soap	šapoh
6.96	mirror	teska-t
7.11	dwell, live	kal-yeto-k; mo-čan-ti-a
7.12	house	kal-i; i-čan
7.13	hut	šah-kal
7.131	garden-house	
7.14	tent	
7.15	yard, court	kal-iš-pan; kal-ten-oh
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	kal-ten-c̷akʷi-lo-ni; kal-ten-ti
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	
7.27	wall	te-pami-t; te-paan
7.31	fireplace	ti-komit; tekʷileh; ti-ko-n
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	koč-pet; i-pet; tapeč
7.421	pillow	kʷa-tapeč
7.422	blanket	aya-taken; aya-t
7.43	chair	sewi-lo-ni
7.44	table	[mesah]
7.45	lamp, torch	ta-wi-l; ta-wil-ti
7.46	candle	ta-wi-l
7.47	shelf	
7.48	trough	kʷow-ta-paka-lo-ni
7.51	roof	kal-kʷa-ko
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	kʷow-tok
7.57	board	wapal
7.58	arch	
7.61	mason	te-pan-čiw-keh
7.62	brick	tawah-wilis
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	mil; milah; sintah; sin-mil
8.13	garden	
8.15	cultivate, till	tekiti milah
8.16	fence	
8.17	ditch	kʷemi-t; kanyoh; tal-kanyoh; akanyoh
8.21	plow	[yuntah]tekiti
8.212	furrow	kʷemi-t
8.22	dig	kičkʷa; -koyoo-ni; ta-koyoo-ni
8.23	spade	
8.24	shovel	
8.25	hoe	čapi
8.26	fork	kʷawmašal
8.27	rake	
8.31	sow	
8.311	seed	šinač
8.32	mow, reap	
8.33	sickle, scythe	ohoso
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	takilot; ta-piška
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	elo-t; ooloo-t; tago-l
8.48	rice	
8.51	grass	šiwi-t; saka-t
8.52	hay	pač-ti; paštle; saka-t
8.53	plant (noun)	
8.531	plant (vb)	ki-tooka; ki-tal-tooka; seli-a
8.54	root	nalwa-t
8.55	branch	i-ma-yo
8.56	leaf	šiwi-t
8.57	flower	šoči-t
8.6	tree	kʷowi-t
8.61	oak	awat
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	awa[beyotah]
8.67	vine	kʷo-meka-t
8.68	tobacco	
8.69	smoke (tobacco)	ta-čiči-na
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	kʷaw-ten-ti
8.74	forked branch	
8.75	bark	ewa-t
8.76	sap	ičokilo
8.81	palm tree	kʷow-šiwit
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	kamoh; tal-kamoh
8.912	yam	
8.92	tapioca, manioc, cassava	kʷowkamoh
8.93	gourd	šikal; waho; tekoma-t
8.931	pumpkin, squash	ayoh; ayoh-ti
8.94	bamboo	aka-t
8.941	sugar cane	owat c̷ope-k
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	nanaka-t; kosawi-k
9.11	do, make	ki-čiwa; čih-čiiwa
9.12	work	teki-t; -tekiti; čiwa-lis
9.14	bend	tec̷il-ti-k; čiko-ti-k; ta-tec̷ilol
9.15	fold	ta-kʷelpačo-a
9.16	tie, bind	k-ilpi-a; ilpi-tok
9.161	untie	ki-kaša-ni-a; ki-kahkawa; motoma-k
9.18	chain	
9.19	rope, cord	meka-t
9.192	knot (noun)	ilpi-tok
9.21	strike (hit, beat)	ki-maga; -mah-maga
9.211	pound with fist	ki-kʷečo-a; ki-nac̷kʷalti-a
9.22	cut	ki-teki; ki-kotona
9.221	cut down	kʷitakepa
9.222	chop, hew	kokotoc̷a; -teh-teki
9.223	stab	ki-tihtikʷina-lti-a; tihtikʷini
9.23	knife	
9.24	scissors, shears	ta-teki-lo-ni
9.25	ax	
9.251	adze	
9.26	break	ki-tapana; -tapani; kotoni
9.261	broken	c̷ayak-ti-k; mo-hmoš-ti-k; tapak-ti-k
9.27	split	ki-tapana
9.28	tear	ki-c̷ayana
9.29	flay, skin	
9.31	rub, wipe	ki-šakʷalo-a
9.32	stretch	ki-sowa
9.33	pull	ki-tilana
9.34	spread out	ki-takac̷o-a
9.341	hang up	ki-pam-pilo-a; ki-pilo-a
9.342	press	
9.343	squeeze, wring	ki-pac̷ka; ki-pac̷o-a
9.35	pour	ki-kepa
9.36	wash	ki-paka
9.37	sweep	ta-čpana; kočpana
9.38	broom	očpawas
9.422	tool	
9.43	carpenter	kʷow-ta-čih-čiw-keh
9.44	build	čihčiw-tok
9.46	bore	ki-koyo-ni-a; koyoni
9.461	hollow out	
9.48	saw	ta-teki-lo-ni
9.49	hammer	
9.5	nail	ki-sohso-a
9.56	glue	ki-pepečo-a
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	tepos-ti
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	tepos; tepos-ti
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	teska-t
9.75	weave, plait	kihkiti
9.76	basket	čikiwi-t; tanah
9.77	mat	peta-t; tapeč; akapeč-ti
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	ta-pipic̷a-lo-ni
9.791	fan (vb)	ki-tamota
9.81	carve	
9.82	sculptor	--
9.83	statue	nekec̷a-lis
9.84	chisel	--
9.88	paint (noun)	tapal; kʷikʷi-l-ti-k
9.89	paint (vb)	ki-tapal-wi-a
10.11	move	ki-olini-a; ki-manelo-a; ki-nelo-a
10.12	turn over	ki-nelo-a
10.13	turn around	ki-kepa; mo-kepa; mo-malaka-čo-a
10.14	wind, wrap	ki-kemilo-a; ki-piki
10.15	roll	te-tekʷino-l
10.16	drop (vb)	
10.17	twist	ki-tec̷ilo-a; mo-malaka-čo-a
10.21	rise	-seen-tehko; tehko-ka
10.22	raise, lift	ki-ahakʷi
10.23	fall	wec̷i; -wec̷o
10.24	drip	čičipika; čipini; čalani
10.25	throw	ki-ta-mota
10.252	catch (ball)	
10.26	shake	wi-wiška; kʷe-kʷetaka
10.32	flow	
10.33	sink	pan-kalaki; mo-pac̷-toka
10.34	float	nemi a-iš-ko
10.35	swim	ahkʷi
10.351	dive	
10.352	splash	čačakʷaka; čačapaka; čačapani
10.36	sail (vb)	
10.37	fly (vb)	pata-ni
10.38	blow	ki-pi-pic̷a; ki-pic̷a
10.41	creep, crawl	mo-titilac̷a; mo-išakawilana
10.412	kneel	mo-tan-kʷa-kec̷a
10.413	crouch	
10.42	slide, slip	ta-šolawa; alak-ti-k; alawa-k
10.43	jump, leap	c̷ikʷi-ni
10.431	kick	-mec̷-topeewa; ki-tel-iksa
10.44	dance	mihtoti-a; kʷesaltin; wewes
10.45	walk	-nemi; neh-nemi; -nen; -nehnen
10.451	limp	
10.46	run	mo-talo-(w)a
10.47	go	neh-nemi; nemi; yowi ~ -ow ~ yow-; -yah
10.471	go up	tehko; pan-kisa; kahakʷi
10.472	climb	
10.473	go down	temo-[w]a
10.474	go out	kisa; -kiiš; ewtewa
10.48	come	wic̷a; wala-; wiki
10.481	come back	mo-kepa; išpeta-ni
10.49	go away, depart	ki-kawa; ki-kač-tewa ?
10.491	disappear	
10.51	flee	čolo-a; čoloh-ti-nemi
10.52	follow	-toka; ta-toh-toka; ki-sen-toka
10.53	pursue	-toka
10.55	reach, arrive	ki-ahsi; ehko
10.56	approach	
10.57	enter	kalaki
10.61	carry (bear)	ta-mama; kʷika
10.612	carry-in-hand	ki-mah-čana
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	-wiikaa; kʷal-kʷi; -waal-kʷii
10.63	send	ki-titani
10.64	lead (vb)	ki-yekana; -čaana
10.65	drive	ki-neh-nemi-l-ti-a
10.66	ride	
10.67	push, shove	
10.71	road	oh-ti
10.72	path	oh-ti; oh-pic̷a-k
10.74	bridge	
10.75	carriage, wagon, cart	tal-kišti-lo-ni
10.76	wheel	yowa-l-ti-k
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	
10.831	canoe	
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	ki-pi-[y]a
11.12	own, possess	-w; -wan
11.13	take	ki-kʷi; tahkʷani-a; kʷi-lia
11.14	seize, grasp	ki-kʷi; -maa-kʷi-li
11.15	hold	ki-kic̷ki-a
11.16	get, obtain	
11.17	keep, retain	ki-pi[y]a
11.18	thing	tehsa
11.21	give	ki-maka; ki-te-maka
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	ki-weh-welo-a
11.28	harm, injure, damage	ki-čiwilia mal; mo-ihtako-a
11.31	seek, look for	ki-teemo-[w]a
11.32	find	ki-ahsi; mo-mati
11.33	lose	ki-polo-[w]a
11.34	release, let go	
11.43	money	tomin
11.44	coin	
11.51	rich	tomin piš-keh
11.52	poor	naken amo kipia ten i-aška
11.53	beggar	naken tahtani maj
11.54	avaricious, stingy	c̷oc̷oka-t
11.61	lend	
11.62	borrow	tanew-ti; -tanewi
11.63	owe	tawika
11.64	debt	tawika-lis
