entry_id	trans_english	Nahuatl_Sierra_de_Zacapoaxtla_Phonemic
1.1	world	tal-tikpa-k; tal-mani-k
1.21	earth, land	tal
1.212	earth=ground, soil	tal-pan
1.213	dust	tal-neš; taal-neeš-yo
1.214	mud	soki-t; soki-yo
1.215	sand	šal
1.22	mountain, hill	tepe-t
1.222	cliff, precipice	tepe-hši-t
1.23	plain, field	tal; tal-pan; ištawa-t
1.24	valley	a-tekomol; atawit
1.25	island	
1.26	mainland	
1.27	shore	a-ten-tenoh; ašošowil
1.28	cave	tepe-koyo-k
1.31	water	a-t
1.32	sea	weyi a-t
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	poso-k; po-poso-ka
1.329	ocean	
1.33	lake	kampa tektok a-t
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	weyi-a-t; apic̷ak, a-pic̷ak-ti
1.362	whirlpool	
1.37	spring, well	amel; pila; akomol; ameyal
1.38	swamp	ačawtah; ačawit
1.39	waterfall	panc̷ikʷi-ni in a-t
1.41	woods, forest	kʷow-yoh; kʷow-tah
1.42	tree (cf 08.600)	kʷowi-t; kʷawi-t
1.43	wood	kʷowi-t; kʷow
1.44	stone, rock	te-t
1.45	earthquake	tal-olini; tal-olini-lo-t
1.51	sky	elwi[y]ak
1.52	sun	tona-l
1.53	moon	mec̷-ti
1.54	star	sitalin
1.55	lightning	meyo-t
1.56	thunder	topo-ni; totopoka
1.57	lightning (as striking)	tapetani-lo-t
1.58	storm	weyi kiowi-t
1.59	rainbow	kosamalo-t
1.61	light (noun)	ta-wi-a; ki-ta-neš-ti-a
1.62	darkness	ta-yowa-yan; ta-yowa-ya-ni-lo-t
1.63	shade, shadow	ekawil; i-[y]ekawil; ekawil-ti
1.64	dew	ahwačti
1.71	air	eheka-t
1.72	wind	eheka-t
1.73	cloud	miš-ti
1.74	fog	miš-ti; ta-miš-tentok
1.75	rain (noun)	kiowa-t; kiowi-t
1.76	snow (noun)	ta-sek wec̷i; sek-ti
1.77	ice	sek-ti; a-sek
1.78	weather	
1.81	fire	ti-t
1.82	flame (noun)	mimi-li-ni
1.83	smoke (noun)	pok-ti
1.84	ashes	kʷow-neš
1.841	embers	teko-l
1.851	burn (vb trans)	-tata; ki-tati-(y)a
1.852	burn (vb intrans)	tata; tone-wi
1.86	light, kindle, ignite	-šootaa-l-tii
1.861	extinguish	ki-sewi-a
1.87	match (noun)	
1.88	firewood	kʷowi-t; kʷow-tatil
1.89	charcoal	teko-l
2.1	person, human being	
2.21	man (vs. woman)	taga-t; taka-t
2.22	woman	siwa-t
2.23	male	taga-t; okič-pil
2.24	female	siwa-t
2.25	boy	okič-pil; kone-t
2.251	young man (adolescent)	itelpoč; okič-pil
2.26	girl	swa-pil; kone-t
2.261	young woman (adolescent)	ičpokat
2.27	child	pili; kone-t; swaa-pil
2.28	infant, baby	pili
2.31	husband	i-[y]okič; i-taka-w
2.32	wife	i-siwa-w; i-swa-c̷in
2.33	marry	ki-namik-ti-[y]a
2.34	marriage, wedding	ilwit; namik-ti-lis; ilwit-čiwalis
2.341	divorce	
2.35	father	i-tah-c̷in; te-tat
2.36	mother	i-nan-c̷in
2.37	parents	
2.38	married man	taga-t nami-keh
2.39	married woman	siwa-t nami-keh
2.41	son	i-telpoč; i-kone-w; i-okič-pil
2.42	daughter	i-swa-pil; ičpoč; i-kone-w
2.43	offspring (son or daughter)	i-kone-w
2.44	brother	ii-kni-w
2.444	older brother	
2.445	younger brother	
2.45	sister	ii-kni-w; no-swaa-iknii-w
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	nenec̷
2.46	grandfather	tata-h weyi; i-weyi-tata-h
2.461	old man	wewe-t; wewen-c̷in
2.47	grandmother	nana-h weyi; i-weyi-nan-c̷in
2.471	old woman	lama-c̷in
2.48	grandson	i-šwi-w
2.49	granddaughter	i-šwi-w-swa-pil
2.51	uncle	
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	i-wehka-swa-i-kni-w
2.56	ancestors	wehka-w-kayo-t
2.57	descendants	
2.61	father-in-law (of a man)	mon-tat
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	mo-nan
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	mon-tikeh; i-mon-tikaw
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	i-swa-mon
2.641	daughter-in-law (of a woman)	i-swa-mon
2.71	stepfather	i-takpa-tat
2.72	stepmother	i-takpa-nan
2.73	stepson	imikakawal
2.74	stepdaughter	
2.75	orphan	mike-kawal
2.76	widow	swa-kawal
2.77	widower	taka-kawal
2.81	relatives, kinsmen	i-čan-kaw
2.82	family	i-čan-kawan
2.91	I	neh-wa; neh; ni-
