entry_id	trans_english	Central-Thai_Phonemic
1.1	world	lo:k.3
1.21	earth, land	phɛ:n.2 din.1
1.212	earth=ground, soil	din.1
1.213	dust	fun.2
1.214	mud	khlo:n.1
1.215	sand	sa:j.1
1.22	mountain, hill	khaw.5; phu:.1-khaw.5
1.222	cliff, precipice	cɔ:m.1 pluak.2
1.23	plain, field	na:.3 pha:.5
1.24	valley	thuŋ.3
1.25	island	hup.2 khaw.5
1.26	mainland	kɔʔ.2
1.27	shore	phɛ:n.2 din.1; phɛ:n.2 din.1 jaj.2
1.28	cave	ta.2-liŋ.2; faŋ.2; cha:j.1 faŋ.2
1.31	water	tham.3
1.32	sea	nam.4-na:m.4
1.322	calm (of sea)	tha.1-le:.1
1.323	rough (of sea)	khlɨ:n.3 sa.1-ŋop.2
1.324	foam	mi:.1 khlɨ:n.3
1.329	ocean	fɔ:ŋ.1
1.33	lake	ma.1-ha:.5-sa.1-mut.2
1.34	gulf, bay	tha.1-le:.1 sa:p.2
1.341	lagoon	bɔ:.2 nam.4; saʔ.2 nam.4
1.342	reef	ʔa:w.2
1.343	headland, point	tha.1-le:.1 sa:p.2 klaj.3 faŋ.2 tha.1-le:.1
1.35	wave	hin.5 so:.5-khro:k.3
1.352	tide	lɛ:m.5
1.353	lowtide	khlɨ:n.3; ra.1-lɔ:k.3 khlɨ:n.3
1.354	hightide	nam.4 khɨn.3 nam.4 loŋ.1; kra.2-sɛ:.5 nam.4
1.36	river, stream, brook	nam.4 loŋ.1
1.362	whirlpool	nam.4 khɨn.3
1.37	spring, well	mɛ:.3 nam.4; lam.1-tha:n.1; huaj.3
1.38	swamp	nam.4 won.1; waŋ.1 nam.4 won.1
1.39	waterfall	nam.4-phu.4
1.41	woods, forest	nɔ:ŋ.5; nɔ:ŋ.5 nam.4
1.42	tree (cf 08.600)	nam.4 tok.2
1.43	wood	pa:.2
1.44	stone, rock	ton.3 ma:j.4
1.45	earthquake	ma:j.4
1.51	sky	hin.5
1.52	sun	kruat.2
1.53	moon	phɛ:n.2 din.1 waj.5
1.54	star	fa:.4; thɔ:ŋ.4 fa:.4
1.55	lightning	phraʔ.4-ʔa:.1-thit.4; duaŋ.1 ʔa:.1-thit.4
1.56	thunder	phraʔ.4-can.1; duaŋ.1 can.1
1.57	lightning (as striking)	da:w.1
1.58	storm	fa:.4 lɛ:p.3
1.59	rainbow	fa:.4 rɔ:ŋ.4
1.61	light (noun)	fa:.4 rɔ:ŋ.4
1.62	darkness	fa:.4 pha:.2
1.63	shade, shadow	pha:.1-ju.1
1.64	dew	ruŋ.4; sa:j.1 ruŋ.4; ruŋ.4 kin.1 nam.4
