entry_id	trans_english	Sanapaná_Dialect_Enlhet_Phonemic
8.83	citrus fruit	soolyaatektama
8.84	banana tree	paakkawa; wanaana
8.85	banyan	--
8.91	sweet potato	peheyaʔ
8.912	yam	--
8.92	tapioca, manioc, cassava	seppo
8.93	gourd	semheeyaʔ
8.931	pumpkin, squash	yaʔteepa
8.94	bamboo	yaamaamok
8.941	sugar cane	yaampaʔat walay yawhan
8.96	fish poison (root)	paanaʔteem; seŋwayˀ
8.97	nettle	
8.98	mushroom	haapenenyeʔ
9.11	do, make	neŋelaaneyˀ; nentemeem
9.12	work	nentamhaykamˀ
9.14	bend	nentaʔheskama; neŋhaaɬeeskama
9.15	fold	nempathapaaskekɬaʔ
9.16	tie, bind	nenteteem; nempeɬteteem
9.161	untie	neŋleklama (taamaʔ)
9.18	chain	moonaayemˀ-aayeʔ; [kadeena]
9.19	rope, cord	taamaʔ; taama kyeweyˀ; aɬaataʔaok
9.192	knot (noun)	asomnek
9.21	strike (hit, beat)	nentekpoŋaam
9.211	pound with fist	neŋelyeetaʔpaykamˀ; nentekpoŋaam eŋmek
9.22	cut	neŋyemyekhaam
9.221	cut down	neŋeŋkeem; neŋyaʔyenkeskama
9.222	chop, hew	nentepelkeem
9.223	stab	neŋelyepɬaʔɬeem; neŋeltekɬekɬama
9.23	knife	sowow; sawow
9.24	scissors, shears	sowow-aʔnet
9.25	ax	taawa
9.251	adze	
9.26	break	neŋentaskama; nempaʔaɬkatma
9.261	broken	ayenteem; akpaʔɬama
9.27	split	nempaʔaɬkatma
9.28	tear	neŋyaptama
9.29	flay, skin	neŋleklama yempehek
9.31	rub, wipe	neŋelteɬneeykaok; neŋlaykamˀ
9.32	stretch	neŋeyweeskama
9.33	pull	neŋyenyawaskama
9.34	spread out	nempaysaekɬaʔ
9.341	hang up	neŋeɬanma (neeten)
9.342	press	neŋyaʔhapma; akyetnamaekɬoo
9.343	squeeze, wring	neŋelyetsamoŋaam
9.35	pour	neŋyaŋkanma
9.36	wash	neŋyemyeskama
9.37	sweep	neŋmentamaykamˀ
9.38	broom	mentamaykamˀ
9.422	tool	neŋelmaykamˀ aʔsok
9.43	carpenter	[karpinteero]
9.44	build	neŋelaaneyˀ; neŋootma
9.46	bore	neŋelekteɬma; neŋyaŋkaɬkatma
9.461	hollow out	neŋleklama yseksek (yaamet)
9.48	saw	moonayˀpakyek; aypakyek
9.49	hammer	[hooma]
9.5	nail	[laawa]
9.56	glue	neŋelyepetseeykamˀ ayeŋmenek
9.6	smith, blacksmith	keltekpoŋaam-taawaʔpaok
9.61	forge	altekpaammaɬkeɬa taawaʔpaok
9.62	anvil	waetke-pkaatek
9.63	cast (metals)	neŋhanma taawaʔpak
9.64	gold	taawaʔpak (alyenmomoo)
9.65	silver	taawaʔpak
9.66	copper, bronze	taawaʔpak
9.67	iron	taawaʔpak (aŋkooʔ)
9.68	lead (noun)	taawaʔpak
9.69	tin, tinplate	taawaʔpak
9.71	potter	kellaaneyˀo-yaateŋwaʔaɬwa
9.72	mold (clay etc)	neŋelaaneyˀ
9.73	clay	yelpaʔ; haymakok
9.74	glass	meemoŋ-anyeʔ
9.75	weave, plait	neŋootma
9.76	basket	[kanasta]
9.77	mat	paapkelyeweyˀ
9.771	rug	
9.78	netbag	soŋseŋheʔ; yaamsoŋseŋheʔ
9.79	fan (noun)	neŋmakhemmaɬkaʔ
9.791	fan (vb)	neŋmakheem
9.81	carve	neŋelaaneyˀ; neŋaekmaskama
9.82	sculptor	--
9.83	statue	kelaekmaskeskama
9.84	chisel	--
9.88	paint (noun)	aʔsok-yeɬwaseem; [pintuura]
9.89	paint (vb)	neŋyeɬwaaseeskama
10.11	move	neŋakteeskeskama
10.12	turn over	neŋyaʔyenma; nensekhaekɬaʔ
10.13	turn around	nempaykeyaamˀ
10.14	wind, wrap	neŋyephoweyaamˀ; nempeɬteteem
10.15	roll	akyepteleŋwaykamˀ; akpeɬhyawaykamˀ
10.16	drop (vb)	nentemkeskama
10.17	twist	nentaʔheskama; neŋyeeyeeskama
10.21	rise	neŋenamteem
10.22	raise, lift	neŋaʔyenma
10.23	fall	nenteeyamˀ; nempalleyaamˀ
10.24	drip	aksepkanma
10.25	throw	neŋyamasma; neŋeɬakhaam
10.252	catch (ball)	neŋmaatekhayʔo
10.26	shake	nempeɬneɬkeeykamˀ
10.32	flow	ayenyeem
10.33	sink	neŋwayweeykaok
10.34	float	akpatmeeykamˀ yeŋmen
10.35	swim	neŋmaam yeŋmen
10.351	dive	neŋlawsammaɬka koŋne yeŋmen
10.352	splash	neŋeɬpaʔheeyˀ
10.36	sail (vb)	neŋenamteem [warko]
10.37	fly (vb)	neŋempayˀ
10.38	blow	neŋwatnapma; aɬkahayaamˀ
10.41	creep, crawl	neŋloykamˀ eŋmeok
10.412	kneel	neŋeltekɬekɬama entapnaok
10.413	crouch	neŋmooteeykamˀ
10.42	slide, slip	nentooɬnayˀ; nempeɬyawaykaok
10.43	jump, leap	neŋneɬteŋaam
10.431	kick	neŋeltooyamˀ
10.44	dance	neŋeltaykamˀ
10.45	walk	nenɬeŋaam naaɬpop
10.451	limp	neŋyaʔteyaykamˀ
10.46	run	neŋeneŋkeeykamˀ
10.47	go	neŋyaʔaskama; neŋmeyooyamˀ
10.471	go up	neŋenamteem
10.472	climb	neŋenamteem
10.473	go down	nenteyapma; akwayweeykentaʔ
10.474	go out	nenteyapma; akyaʔteyapma
10.48	come	neŋeeɬyeyaamˀ; nenɬeŋayaamˀ
10.481	come back	neŋeeɬyeyaamˀ; neŋwaʔaektaʔ
10.49	go away, depart	nenteyapma; nenɬeŋaam
10.491	disappear	akmaskeem
10.51	flee	neŋenyeem
10.52	follow	neŋyeplom; neŋemhaykaok
10.53	pursue	neŋyaʔmaskama; neŋmenɬanma
10.55	reach, arrive	nentahanyaekɬaʔ
10.56	approach	nentaatseeykamkoo; neŋaamketwayˀ
10.57	enter	nentaɬnama
10.61	carry (bear)	nensom; neŋyaʔaskeskama
10.612	carry-in-hand	neŋaʔyenma
10.613	carry-on-shoulder	nempataam
10.614	carry-on-head	nempataam
10.615	carry-underarm	nensom
10.62	bring	nensaykentaʔ; neŋaʔayneeykentaʔ
10.63	send	neŋaapahaskama; nensaaskama
10.64	lead (vb)	neŋyantaam; neŋnaʔlom
10.65	drive	nenɬeŋkeskama
10.66	ride	neŋenamteem nooɬeŋ (apkapok)
10.67	push, shove	neŋyeŋaam
10.71	road	aamay
10.72	path	aamay ˀyetkok; entamnek
10.74	bridge	[puente]
10.75	carriage, wagon, cart	[kaalo]
10.76	wheel	amnek
10.77	axle	(sekleeta) ɬkapok
10.78	yoke	
10.81	ship	teyaaskamˀ-naymen; [warko]
10.83	boat	[warko]
10.831	canoe	[kaanava]
10.832	outrigger	[warko]
10.84	raft	[warko]
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	akyetnaekɬeɬa [warko]
10.92	land (vb)	neŋelhaɬyawaskama
11.11	have	akma; neŋwetayˀ
11.12	own, possess	eŋaŋkok
11.13	take	neŋmaam
11.14	seize, grasp	nempathetma; neŋmaykamkoo
11.15	hold	neŋmaykamˀ; neŋmaykaok
11.16	get, obtain	nenɬoyˀ
11.17	keep, retain	nentaʔmelkeskama
11.18	thing	aʔsok; neŋelnaʔtaam
11.21	give	neŋmeeskama; neŋahayaamˀ
11.22	give back	nentaʔheskamoo
11.24	preserve, look after	neŋmasma; nentaʔmelkeskama
11.25	save, rescue	neŋwomkeskama taap
11.27	destroy	nentawaskama
11.28	harm, injure, damage	nentawaskama; neŋyemsaskama
11.31	seek, look for	nensawheeykamˀ; neŋetamsama
11.32	find	nentahanyayˀ; neŋwetayˀ
11.33	lose	nenɬeŋaanemkeskama
11.34	release, let go	nempaʔnamaekɬaʔ
11.43	money	soolyaʔyem
11.44	coin	soolyaʔyem aktek
11.51	rich	akma neŋelnaʔtaam
11.52	poor	neŋmayawse
11.53	beggar	neŋmoŋkaɬnaykamˀ; neŋanheeykamˀ
11.54	avaricious, stingy	neŋmasma neŋelnaʔtaam
11.61	lend	neŋmeeskama
11.62	borrow	neŋelyaʔanmoŋaam
11.63	owe	akma neŋmaykaanaʔsa
11.64	debt	neŋmaykaanaʔsa
11.65	pay (vb)	neŋyaʔanmoŋkeskama
11.66	account, reckoning	moyaʔansaekɬoo
11.69	tax, tribute	moklekaekɬa (soolyaʔyem eŋak)
11.77	hire	neŋelyaʔanmoŋaam; neŋmaykamˀ naʔsa
11.78	wages	nenɬoyˀ; [suelto]; neŋmaam (soolyaʔyem)
11.79	earn	neŋmaam (soolyaʔyem)
11.81	buy	neŋmaam
11.82	sell	neŋyamasma; neŋeɬakhaam
11.83	trade, barter	neŋyaʔmoŋsaekɬa (mook)
11.84	merchant	neŋelyaʔmoŋsammaɬkaʔ; samhaameɬ eŋak
11.85	market (place)	--
11.86	store, shop	[almaasen]; almommaɬkeɬaʔ ʔsok
11.87	price	akyaʔanmoŋaam
11.88	dear (costly, expensive)	kayheʔ; akyemnaʔteem
11.89	cheap	kayemnaʔteem
11.91	share (distribute)	neŋmelaskeem; neŋyakyeeskaok
11.92	weigh	neŋelyepseteem
12.1	after	nentaamen/ nentaan
12.11	behind	nentaamen/ nentaan; taap
12.2	beside	nekhaʔ; neyaawaʔ
12.3	down, below	kooneŋ
12.4	before	eŋmamyeʔ
12.41	front	eŋmamyeʔ; helep
12.5	inside, in	koŋneʔ; awaʔɬok
12.6	outside	amyep
12.7	under	kooneŋ
12.8	up, above	neeten
12.11	place	aɬmaʔ
12.12	put	nempakanma; neŋneŋkanma
12.13	sit	nentahanma; neŋma
12.14	lie down	neŋyetnama
12.15	stand	neŋenmaykamˀ; neŋaʔneeykamˀ
12.16	remain, stay	ayaymommaɬkaʔ; neŋnaekɬa ɬaayeʔ
12.17	remains, left overs	alaymommaɬkaʔ
12.21	collect, gather	neŋyakheeykamˀ; neŋaʔanseeykamˀ
12.212	pick up	neŋyakheeykamˀ; neŋmaam
12.213	pile up	neŋekheskama
12.22	join, unite	neŋaʔanseeykamˀ; neŋaʔansaekɬaʔ
12.23	separate	neŋeɬpaʔankeskama
12.232	divide	neŋeɬpaʔankeskama
12.24	open	neŋmaayeeskama; neŋleklama atoŋ
12.25	shut, close	neŋaapaekɬaʔ
12.26	cover	neŋapma; neŋahapkeskama
12.27	hide, conceal	nempooskama
12.31	high	netnooʔ; neŋwenaʔteem
12.32	low	naaɬpooʔ; akyepwateem
12.33	top	ayetseksek; neeten
12.34	bottom	naaɬpop
12.35	end	neeɬaʔ; nawʔa
12.352	pointed	akma hamtek; was
12.353	edge	nekhaʔ
12.36	side	neŋhekhaʔ
12.37	middle, center	naataʔlooʔ; nayseksooʔ; naaɬet
12.41	right (side)	aktaʔmelakɬaʔ; akpeywookɬaʔ
12.42	left (side)	ensaŋkalweʔ
12.43	near (adv)	neŋaʔtooʔ
12.44	far (adv)	makhayˀ; kat
12.45	east	teyapmakɬa-knemˀ
12.46	west	taɬneŋwaamɬa-knemˀ
12.47	north	neɬkeyha
12.48	south	nepeyaamˀ
12.53	grow	neŋwaaneeykaam; neŋekteŋaam
12.54	measure	neŋelyepseteem
12.541	span, fathom	
12.55	large, big	akyeweyˀ; akmelayˀ; akyaʔyeem
12.56	small, little	atketsek; ayetkok; tes
12.57	long	akwenaʔteem; kat
12.58	tall	akwenaʔteem; netnooʔ
12.59	short	akyaʔwateem
12.61	wide, broad	akpayheem; akyeweyˀ
12.62	narrow	atketsek; tes
12.63	thick (in dimension)	akyeweyˀ; akyemtaɬnama
12.65	thin (in dimension)	akyamhoŋkama; alyamayˀ
12.67	deep	koŋnooʔ; ayaptoŋneem
12.68	shallow	takhooʔ
12.71	flat	akmoo mook; akpeywomoo
12.73	straight	akpeywomoo
12.74	crooked	aktaʔheem; akhaɬeem
12.75	hook	ayaspomakɬaʔ
12.76	corner	akmaaseŋwayaamˀ; [eskiina]
12.77	cross	aʔsok-temyeskama
12.78	square	
12.81	round	akyaʔyeem
12.82	circle	neŋyaʔyeskama
12.83	sphere, ball	[peloota]; yepheskama
12.84	line	aamay (ak)
12.85	hole	akyaŋkaɬeem; aʔaɬwa
12.92	like, similar	akmoo; akyetseeykaok
12.93	change	neŋyaʔmoŋsaekɬaʔ
13.0	zero, nothing	paex; mepke
13.1	one	ɬama
13.2	two	aʔnet; tos
13.3	three	naʔatkeʔ; [tres]
13.4	four	nook-nekhaʔ; [kwatro]
13.5	five	ɬama-emek; [siŋko]
13.6	six	ɬama-mook-eemek; [seis]
13.7	seven	aʔnet-mook-eemek; [syete]
13.8	eight	naʔatke-mook-eemek; [očo]
13.9	nine	nook-nekha-mook-eemek; [nuewe]
13.10	ten	sawhook-emeok; [tyes]
13.101	eleven	ɬama-emnek; [onse]
13.102	twelve	aʔnet-emnek; [tose]
13.103	fifteen	sawhook-ɬama-emnek; [kinse]
13.104	twenty	sawhook-emankok; [weinte]
13.105	hundred	[syen]
13.106	thousand	[mil]
13.107	count	neŋelyepseteem
13.14	every, all	yawʔakɬoho; ɬaʔmakɬoho
13.15	much, many	akɬaʔmaekɬaʔ; akɬaʔmakɬaʔ
13.16	more	taap; mokham taap
13.17	little (quantity), few	aʔnet; aʔnetooʔ; mokɬamʔa; atketsek
13.18	enough	awanheʔ; akmoo
13.181	some	mokɬamʔa; aʔnetooʔ
13.19	multitude, crowd	apyeweyˀ teŋma; teŋma pwaanyamˀ
13.21	full	aklaaneyʔo
13.22	empty	mepke waʔɬok
13.23	part, piece	nekhaʔ
13.24	half	naaɬet; nekhaʔ
13.33	alone, only	enɬapkooʔ; waamɬaʔ
13.34	first	eŋmamyeʔ; sekɬooʔ
13.35	last	aɬaayeʔ; aɬaayooʔ; ɬaʔaŋkooʔ
13.36	second	aɬaayeʔ; mook/ pook; nenteeteeykaok
13.37	pair	aʔnet
13.38	two times	aʔnet aktamhaekɬoo
13.42	third	[tresero]
13.44	three times	naʔatke ktamhaekɬoo
14.11	time	
14.12	age	aknookɬaʔ mokhetma/ aanyo eŋak
14.13	new	aɬnaŋkok; wetooʔ
14.14	young	ayetkok; aɬnaŋkok
14.15	old	neŋwaanyamˀ
14.16	early	aɬtoʔooʔ; peɬkayˀ
14.17	late	aɬaayeʔ; neŋaapaʔheŋwaekmoo
14.18	now	keɬwooʔ; neŋwaamɬa nak hayˀ
14.19	immediately	keɬwooʔ; keɬwook aŋkooʔ
14.21	swift, fast, quick	neŋaapaʔheeykamˀ; akma yenyeem; pat
14.22	slow	nentaʔmelseeykamʔo
14.23	hasten, hurry	nempekhayˀ; neŋyaʔyahaykamˀ
14.24	retard, delay	neŋwayaamˀ aɬaayeʔ
14.25	begin, beginning	neŋeenmoo; neŋeenwaekɬoo
14.252	last, endure	akmoo
14.26	end (temporal)	neeɬaʔ
14.27	finish	nempeeneeskama; nensawhomoo
14.28	cease, stop	neŋelwaateeskama; neŋnaekɬaʔ
14.29	ready	akpeensammaɬkaʔ; peenaaskeʔ; taʔseʔ
14.31	always	maataʔa
14.32	often	maataʔa; kalyeɬwayʔo
14.33	sometimes	mookʔaɬmaʔa
14.331	soon	keɬwooʔ; peɬkayˀ
14.332	long-time (for a)	akwaŋkakɬoho
14.34	never	paex saat
14.35	again	mokham
14.41	day	aknemˀ
14.42	night	aɬtaʔa
14.43	dawn	aɬtaʔa yetkok; amamye yetsayˀ
14.44	morning	aɬtoʔooʔ
14.45	noon, midday	yetseksook-nemˀ; [laaʔonse]
14.451	afternoon	taɬnaamˀ; aktaɬnaamˀ
14.46	evening	taɬnakmoo; taɬnaamˀ
14.47	today	aknemˀ nak hayˀ; keɬwoo nak hayˀ
14.48	tomorrow	sekʔaasekɬaʔ
14.481	day-after-tomorrow	mook sekʔaasekɬaʔ
14.49	yesterday	aknemˀ aɬta
14.491	day-before-yesterday	mook nemˀ aɬta
14.51	hour	[oora]; textex
14.53	clock, timepiece	laaneyʔoo-knemˀ; textex
14.61	week	[semaana]
14.62	Sunday	[lameŋko]
14.63	Monday	[loone]
14.64	Tuesday	[marte]
14.65	Wednesday	[mierkoles]
14.66	Thursday	[xuewe]
14.67	Friday	[ʔyeenes]
14.68	Saturday	[saawalo]
14.71	month	peltenˀ
14.73	year	[aanyo]; mokhetma; peyaamˀ
14.74	winter	peyaamˀ; peyaʔ apwaʔɬok
14.75	spring	alyepwayʔakɬaʔ
14.76	summer	mokhetma
14.77	autumn	--
14.78	season	--
15.21	smell (vb intrans)	aktahapma; akpaʔneeykamkoo
15.212	sniff	nentekhaaneeykamˀ
15.22	smell (vb trans)	nentekhaneem; neŋleŋayˀ
15.25	fragrant, good smelling	akmaases; sex
15.26	stinking, bad smelling	sam; kas
15.31	taste	neŋyepkoonma
15.35	sweet	akmaases
15.36	salty	yaasek aŋkooʔ; ayeɬyawayˀ; akmaska; kas
15.37	bitter	kas; akmaska
15.38	acid, sour	kas; akmaska
15.39	brackish	yaasek-yeŋmen
15.41	hear	neŋleŋayˀ
15.42	listen	neŋhaaɬenmoo
15.44	sound, noise	akpaʔaywaam; alyepyawaam
15.45	loud	akmaskepme; akyennamaame ɬmaʔ
15.46	quiet, silence	alweenama ɬmaʔ
15.51	see	neŋwetayˀ; neŋwetayʔo
15.52	look, look at	neŋelaaneyʔo; neŋelaankamˀ
15.55	show	nenɬekmooskamˀ; neŋwetaskeskama
15.56	shine	alyenmomoo; ayaapoŋmateem
15.57	bright	alyenmomoo
15.61	color	aktaɬamaawoʔ
15.62	light (in color)	yaam
15.63	dark (in color)	haɬ
15.64	white	akmopoyˀ; pak
15.65	black	akpaasyamˀ
15.66	red	akyeɬwaseem; kas
15.67	blue	akyaapaʔmateem; [asul]
15.68	green	akhaanaʔteem; [werte]
15.69	yellow	akyaatektama; tap
15.71	touch	neŋmoŋwaekmoo
15.712	pinch	neŋyensepma
15.72	feel	neŋleŋaykamkoo
15.74	hard	akyemnaʔteem; taex; kayheʔ
15.75	soft	akmomhaape; ayemhaapeeykamˀ
15.76	rough	alekhahaykaok; akpaʔalyeyˀ
15.77	smooth	alaʔaɬnayʔo
15.78	sharp	was; akma hamtek; akmahamet
15.79	blunt, dull	mepke hamtek
15.81	heavy	akyemtaɬnama; tok
15.82	light (in weight)	ayeɬyawayˀ; akyepyawaykamˀ
15.83	wet, damp	akyeesamoo
15.84	dry	akyamayˀ; akyamaskama
15.85	hot	eeko; koh; akmakhetmoo; akmeɬanma
15.851	warm	yaam akmakhetmoo
15.86	cold	eekey; key; akmaɬkeemoo
15.87	clean	ayaʔaɬnayʔo; akmopoyˀ
15.88	dirty, soiled	haɬ; akpaasyaamˀ
15.89	wrinkled	akyaʔsaekɬaʔ; akpeɬnanma
16.11	soul, spirit	neŋwanmoŋkama
16.15	surprised, astonished	akpelapkeskamoo
16.18	good fortune, luck	neŋmaseewe
16.19	misfortune, bad luck	moŋmaseewe
16.23	joyful, glad, happy	neŋetsawaskama
16.25	laugh	neŋekteŋmaykamˀ
16.251	smile	neŋekteŋmaycamˀ
16.26	play	neŋnaywoom
16.27	love	akleklamoo eŋwaʔɬok
16.29	kiss	nempetsesma
16.3	embrace	nempathetma
16.31	pain	akmaska; akmaska eŋyempehek
16.32	grief, sorrow, sadness	akyemtaɬnama
16.33	anxiety, worry	aktamhaykamˀ eŋwaʔɬok
16.34	regret, be sorry	yawseek aŋelaanohoʔ
16.35	pity	yawseek aŋelaanohoʔ
16.37	cry, weep	neŋweenama; neŋyapkaɬeem
16.38	tear (noun)	eŋaʔte-yeŋmenek
16.39	groan	neŋelekɬaŋwoom
16.41	hate	neŋaʔankeem
16.42	anger	neŋlom
16.44	envy, jealousy	neŋyaasepkeskama
16.45	shame (noun)	neŋmaŋkaktama
16.48	proud	neŋahammaɬkoo
16.51	dare	moŋelmenayˀ
16.52	brave	moŋelmenayˀ
16.53	fear, fright	neŋayˀ
16.54	danger	neŋayʔakɬaʔ
16.62	desire, want	neŋelteemoo; nempekheeykamˀ
16.622	choose	neŋelyakyeeskama; nempoŋkanma
16.63	hope	neŋelhaɬanma
16.65	faithful	neŋelenɬaanyamˀ
16.66	true	eŋaŋkooʔ; naʔsooʔ
16.67	lie, tell lies	neŋyemnemkeskama
16.68	deceit	neŋyemnemkeskama
16.69	forgive	neŋaasekhaekɬoo
16.71	good	sas; aktaʔmalma; aktaʔmela
16.72	bad	neŋmasom
16.73	right, correct	akpeywomoo; akpayheemoo
16.74	wrong	kalpayheemoo; yaʔpak
16.76	fault	nenseɬnanaŋkama
16.77	mistake, error	nenɬeŋaanyamˀ
16.78	blame	nenseɬnanaŋkama
16.79	praise	nempaayeeskamoo
16.81	beautiful	sas; atso; seŋaspaekɬoo
16.82	ugly	akmasom; kalpaʔanmaykamˀ
16.83	greedy	maases eyaasepsek pook; sentom
16.84	clever	neŋmowaan; aɬaataʔaok
17.11	mind	akyetnaykamˀ eŋaʔtek
17.13	think (= reflect)	akyetnaykamˀ eŋaʔtek
17.14	think (= be of the opinion)	neŋaneem; keʔeslaʔa; ayanaek
17.15	believe	nentemeskeskama naʔsooʔ
17.16	understand	neŋyaʔaskamkoo
17.17	know	neŋmowaan; neŋyaʔaskamkoo
17.171	guess	nenɬaanma; nempeyweeykamkoo
17.172	imitate	neŋwahaneeykaok; neŋyetseeykaok
17.18	seem	akyetseeykaok; akmoo
17.19	idea, notion	akyetnaykamˀ eŋaʔtek
17.21	wise	akma neŋyaʔaskamkoo
17.22	foolish, stupid	yaamsekaʔa
17.23	insane, crazy	ayaneem
17.24	learn	neŋyaʔseŋweyaamˀ
17.242	study	nenteŋyayˀ neŋyaʔseŋweyaamˀ
17.25	teach	nenɬekmooskama
17.26	pupil	[alumnos]; teŋyayˀ-amyaʔa
17.27	teacher	[maestro]; kelyepseteem-ensekaʔa
17.28	school	[eskweela]
17.31	remember	neŋyaʔseŋwaekɬoo
17.32	forget	seŋelwaŋkeyaamˀ
17.34	clear, plain	kasakɬooʔ
17.35	obscure	haɬ; moŋyaʔaskaok
17.36	secret	moŋyaʔaskaok; neŋyeɬammaɬkaʔ
17.37	sure, certain	naʔsooʔ; haawe ŋyaʔpak
17.38	explain	neŋeltemnaaskaok
17.41	intention, purpose	akyetnaykamˀ eŋaʔtek
17.42	cause	ayenyemayʔakɬaʔ
17.43	doubt	neŋyaʔaskeyaamˀ; neŋenatkeskama
17.44	suspect	ayayʔo eŋneenyek
17.441	betray	nentawaaskekɬaʔ eŋmook
17.45	need, necessity	ayaymommaɬkaʔ; ayaymaaɬkeɬaʔ
17.46	easy	ayeɬyawayˀ; kamanyeheme
17.47	difficult	yemteɬeʔ; akyemtaɬnama
17.48	try, attempt	neŋyepkoonma
17.49	way, manner	akteemakɬaʔ
17.51	and	nahan; taan nahan; nataamen nahan
17.52	because	ayenyemayˀ; ayenyemʔa
17.53	if	temeʔ; kataʔmela; katnekɬeheʔ
17.54	or	ɬoykelaʔa
17.55	yes, affirmative	eehe; heeyˀ
17.56	no, negative	paex; haaweʔ
17.61	how?	koho; ko ɬaʔa; ɬaʔ akteema; ɬaʔa mˀaa ye
17.62	how many?	(ko) ɬaʔ akwaamˀ
17.63	how much?	(ko) ɬaʔ akwaamˀ; (ko) ɬaʔ aknoo
17.64	what?	sok ke; sok ɬaʔa ye; ɬaʔa ye
17.65	when?	
17.66	where?	koho; ko ɬaʔa; (ko) ɬaʔa mˀa; (ko) ɬaʔ akpayhoo; (ko) ɬaʔ akyetna
17.67	which?	sok ke; sok ɬaʔa ye; ɬaʔa ye; (sok) ɬaʔ akteema ye
17.68	who?	sok ke; sok ɬaʔa ye; ɬaʔa ye
17.69	why?	(sok) ɬaʔ aktamha ye; naakˀa (ɬaʔa); (sok) ɬaʔ ayenyemˀa ye
18.11	voice	eŋyespok; nempaywaam
18.12	sing	neŋmenaekmaskama
18.13	shout, cry out	neŋweeneeykamˀ
18.15	whisper	neŋmalyawaykamˀ
18.16	mumble	
18.17	whistle	neŋmowheeykamˀ
18.18	shriek, screech	neŋweheskamˀ
18.19	howl	neŋweeneeykamˀ
18.21	speak, talk	neŋelyaataykamˀ
18.211	stutter, stammer	akwaŋkapaykaok nempaywaam
18.22	say	nenɬaanma; nentemeem
18.221	tell story	neŋeltemnaykamˀ; nenɬaanma
18.222	speech (make a)	neŋeltemnaykamˀ
18.23	silent (be)	neŋwanmoŋkama
18.24	language	nempaywaam
18.26	word	nempaywaam
18.28	name	neŋweseyˀ
18.31	ask (question, inquire)	neŋelmaɬnaykamˀ
18.32	answer	neŋaateŋmaykamˀ
18.33	admit, confess	nenɬaanma
18.34	deny	
18.35	ask, request	neŋelmaɬnaykamˀ
18.36	promise	nenɬaanma
18.37	refuse	neŋyeeŋaekɬaʔ
18.38	forbid	neŋmasma
18.39	rebuke, scold	neŋlawseeykamˀ; neŋaaskama
18.41	call (=summon)	neŋeewayˀ; neŋweeneeykamˀ
18.42	call (=name)	neŋweseyˀ; molteem
18.43	announce	neŋeltemnaskama
18.44	threaten	neŋaaseeykamˀ
18.45	boast	
18.51	write	nentaaɬooskama; neŋelkahaskama
18.52	read	neŋelyepseteem
18.56	paper	waetkaʔhak
18.57	pen	[laapes]
18.61	book	waetkaʔhak
18.67	poet	
18.71	flute	yaamaamok
18.72	drum	wayka; [wompo]
18.73	horn, trumpet	neŋwatnapma waʔɬok
18.74	rattle	kaapketkok
19.11	country	neŋaokɬaʔ
19.12	one's native country	neŋaokɬaʔ
19.15	city, town	teŋma; teŋma pwaanyamˀ
19.16	village	teŋma; naateŋma; apmooɬama
19.17	boundary	neeɬa (neŋaokɬaʔ)
19.21	people (populace)	enɬet; teŋma; apmooɬama
19.23	tribe, clan	apmooɬama; eŋnaʔaymakok
19.24	chief, chieftain	apweskeʔ; apkemha-pmamyeʔ
19.25	staff, walking stick	neŋelɬaaɬmaʔa
19.31	rule, govern	
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	apweskeʔ; awtep
19.42	slave	
19.43	servant	
19.44	freeman	
19.45	command, order	neŋaapahaskama; neŋaneem
19.46	obey	neŋelyahaykekɬoo
19.47	let, permit	neŋayʔo
19.51	friend, companion	nenɬaaɬma; nentemeeme eŋmook
19.52	enemy	katnaha eŋmook
19.54	neighbor	neŋmooɬama
19.55	stranger	neŋwayˀ; neŋnayˀ
19.56	guest	maykaʔa
19.57	host	neŋaokɬaʔ
19.58	help, aid	nempasmoom
19.59	hinder, prevent	neŋelyaʔaskama ɬmaʔ
19.61	custom	nenteemakɬaʔ
19.62	strife, quarrel	neŋelaateŋmommaɬkaʔ
19.63	conspiracy, plot	
19.65	meet	nentahanyayˀ; neŋwetaekɬaʔ
19.72	prostitute	
20.11	fight (vb)	neŋelnaapommaɬkaʔ
20.13	war, battle	kelnaapomaap; moktayˀ-pook
20.14	peace	
20.15	army	seŋelpeɬteetamoo
20.17	soldier	seŋelpeɬteetamoo; seese-pyettek
20.21	weapons, arms	nempaʔweyaamˀ aŋkaʔaok
20.22	club	yohoŋ; yaʔyeem-waahek
20.222	battle-ax	
20.23	sling	wanteeta
20.24	bow	peɬpaaʔaɬ
20.25	arrow	yaʔaŋka; sooyaʔaŋka
20.26	spear	heewa; sowheewa
20.27	sword	sawoʔ-kwenaʔteem
20.28	gun, cannon	yenmoŋaam
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	neŋyephoŋwaekmoo
20.42	defeat	neŋmeesma
20.43	attack	neŋeenmoo
20.44	defend	neŋmasma
20.45	retreat	neŋenyeem
20.46	surrender	neŋelwaateeskama
20.47	captive, prisoner	neŋmommaɬkaʔ
20.471	guard, sentinel	nentaʔmelkeskama
20.48	booty, spoils	neŋyamoŋkeɬma
