entry_id	trans_english	Sanapaná_Dialect_Enlhet_Phonemic
2.621	mother-in-law (of a woman)	eŋyepyaamoŋ; seemaʔ
2.63	son-in-law (of a man)	eŋyephaayem
2.631	son-in-law (of a woman)	eŋyephaayem
2.64	daughter-in-law (of a man)	entaapa
2.641	daughter-in-law (of a woman)	entaapa
2.71	stepfather	eŋyahaʔ
2.72	stepmother	eŋkaatem
2.73	stepson	eŋketkaʔayˀ
2.74	stepdaughter	eŋketkaʔayˀ
2.75	orphan	nenyeeyheeykamˀ; haatkokʔayˀ; kamʔaatkok, haakok
2.76	widow	tampeyeʔ
2.77	widower	tampeyeʔ
2.81	relatives, kinsmen	eŋmook; eŋnaʔaymakok
2.82	family	neŋmooɬama
2.91	I	koʔo
2.92	you (singular)	ɬeyaʔ; ɬeep
2.93	he/she/it	--
2.94	we	neŋkoʔo
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	kellheyaʔ; kellheep
2.96	they	--
3.11	animal	aʔsok-nawhak; aʔsok-nawhak nentooskama
3.12	male (adj)	kennaawoʔ
3.13	female (adj)	kelwaan
3.15	livestock	neŋnaʔtooskama
3.16	pasture	waetke ɬaŋkok
3.18	herdsman	taʔmelkeskama-waetke; kelaankamˀ-nepkeesek
3.19	stable, stall	waetke ɬaŋkok
3.2	cattle (bovine)	waetke
3.21	bull	waetke ŋkennaawoʔ
3.22	ox	waetke yaamkelwaan
3.23	cow	waetke ŋkelwaan
3.24	calf	waetkee tkok
3.25	sheep	nepkeesek
3.26	ram	nepkeesek apkennaawoʔ
3.28	ewe	nepkeesek apkelwaan
3.29	lamb	nepkeesek apketkok
3.32	boar	yaatepomaap apkennaawoʔ
3.34	sow	yaatepomaap apkelwaan
3.35	pig	pomaap; yaʔhaway; paawa; yaatepomaap
3.36	goat	yaataʔayˀ apkelwaan
3.37	he-goat	yaataʔayˀ apkennaawoʔ
3.38	kid	yaataʔayˀ apketkok
3.41	horse (equine)	nooɬeŋ
3.42	stallion	nooɬeŋ apkennaawoʔ
3.44	mare	nooɬeŋ apkelwaan
3.45	foal, colt	nooɬeŋ apketkok
3.46	ass, donkey	yaamelyeʔhaykok; moola
3.47	mule	yeʔhaykok
3.5	fowl	--
3.52	cock, rooster	tataʔ aŋkennaawoʔ
3.54	hen	tataʔ aŋkelwaan
3.55	chicken	tataʔ ayetkok
3.56	goose	yaamtataʔa
3.57	duck	metekteŋ; pelwaapaʔ; waateesaʔ
3.58	nest	aɬaŋkok
3.581	bird	anaata
3.582	seagull	
3.583	heron	
3.584	eagle	
3.585	hawk	kelyekmehet
3.586	vulture	maama
3.591	bat	meepop
3.592	parrot	taʔwaʔ; tamnawsa; satawaaya; kaasek
3.593	crow	
3.594	dove	waaɬaʔayˀ; taʔalmehet; kelamyaapa; sapop; yaatsapop; yaamwaaɬaʔayˀ
3.596	owl	sawaaya
3.61	dog	semheŋ
3.614	rabbit	toomahaŋ
3.62	cat	kames; keɬkaaɬek
3.622	opossum	pakweʔ
3.63	mouse, rat	toomaʔaɬta; pomoʔo; wesetse; yamtoomaʔaɬta
3.65	fish	kelasma
3.652	fin (dorsal)	kelasma aɬempenek
3.653	fishscale	ayempehek (kelasma)
3.654	gill	almayheeykamˀ
3.655	shell	
3.661	shark	--
3.662	porpoise, dolphin	--
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	yeɬem
3.71	wolf	--
3.72	lion	meywa; neptaana
3.73	bear	--
3.74	fox	maaleŋ
3.75	deer	popyet; lanaep
3.76	monkey	yetsene; keleŋ-yaamet
3.77	elephant	--
3.78	camel	waŋkayespok
3.81	insect	askok
3.811	louse	peetem
3.812	nit (louse egg)	peetem appok
3.813	flea	maaleŋ-askok; semheŋ-askok; tataʔ-askok; ɬaapen-ˀpaskok; pomaap-apaskok
3.814	centipede	seŋyawanˀ
3.815	scorpion	yettaʔhaʔ
3.816	cockroach	
3.817	ant	maɬtentep; haapoŋ; maayaʔmok; toome-eŋhapamkok
3.818	spider	sawaalak; yawaykeʔ; melanma
3.819	spider web	sawaalak-eeten; sawaalak taam ˀpak
3.82	bee	yawhan; yawheeneʔ; yaamyawheeneʔ
3.821	beeswax	petkak
3.822	beehive	yawhan apɬaŋkok; yaamyawheene pɬaŋkok
3.823	wasp	mahaʔ; kenaawet; waʔheʔ
3.83	fly	yaapa; semsek
3.831	sandfly (midge), gnat	yaamsemsek
3.832	mosquito	paaya; paalak
3.84	worm	melʔaok; nemesma-etkook
3.85	snake	nemesma
3.91	firefly	peyem-ˀpaskok; teeneeykaok; aasek-askok
3.92	butterfly	seleklek
3.93	grasshopper	sawaʔ; keeye; yeetaʔ; seeyetaʔ; kelaŋkeeskes
3.94	snail	kelpaʔloom; akpoŋ; maateyempehek
3.95	frog	penek; semyeʔ; phaaneŋ
3.96	lizard	peehe; pooma; yaatepooma
3.97	crocodile, alligator	yaatepeyem
3.98	turtle	naʔtaʔ; yaatnaʔtaʔ; paŋkalwok
4.11	body	neŋyawʔakɬoho; eŋyempehek
4.12	skin, hide	eŋyempehek
4.13	flesh	eŋheepetek
4.14	hair (head)	eŋwaʔ
4.142	beard	aawaʔ-eŋaatoŋ
4.144	body hair	aawaʔ eŋyempehek
4.145	pubic hair	aawaʔ enteɬlaʔ
4.146	dandruff	paapaʔ; aanek eŋwaʔ
4.15	blood	eema
4.151	vein, artery	eema ɬaŋkok; eema aamay ak
4.16	bone	eŋeɬkapok
4.162	rib	eŋekhaok
4.17	horn	aŋkepeetek
4.18	tail	aypakyek
4.19	back	eŋkapok
4.191	spine	eŋkapo-ɬkapok
4.2	head	empaʔtek
4.201	side of head, temple	akmaptooneŋ eŋak
4.202	skull	empaʔte ɬkapok
4.203	brain	eŋhapamkok
4.204	face	neŋaaʔat
4.205	forehead	neŋyaapaʔ
4.207	jaw	yohoŋ eŋak
4.208	cheek	eŋmaaɬempenek
4.209	chin	kooneŋ-eŋaatoŋ
4.21	eye	eŋaʔtek
4.212	eyebrow	entekwahan
4.213	eyelid	eŋaʔte yempehek
4.214	eyelash	aawaʔ eŋaʔtek
4.215	blink	neŋeletsapaykamˀ (eŋaʔtaʔaok)
4.22	ear	eŋhaykok
4.221	earlobe	ayempehek eŋhaykok
4.222	earwax	anyeʔ eŋhaykok
4.23	nose	eŋwaahek
4.231	nostril	eŋwaaheʔok
4.232	mucus (nasal)	eŋyeɬwaalaʔ
4.24	mouth	eŋaatoŋ
4.241	beak	amʔaok
4.25	lip	eŋaatoŋ ayempehek
4.26	tongue	eŋaɬkok
4.27	tooth	eŋmaʔaok
4.271	gums	eŋmaʔawhook
4.272	molartooth	eŋmaʔaok; eŋmaʔaok eŋmaaɬempenek
4.28	neck	eŋyespok
4.281	nape of neck	eŋaptek
4.29	throat	eŋyespok; seŋyawanˀ eŋak
4.3	shoulder	neŋlataane
4.301	shoulderblade	empettek
4.302	collarbone	lamom eŋak
4.31	arm	eŋektoŋ
4.312	armpit	koŋneŋmeʔ
4.32	elbow	empeŋkeptek
4.321	wrist	alyeptetakɬaʔ eŋmek
4.33	hand	eŋmek
4.331	palm of hand	awaʔɬok eŋmek
4.34	finger	eŋephehek
4.342	thumb	eŋephehek akyeweyˀ
4.344	fingernail	akmopoyˀ eŋephehek
4.345	claw	apheok
4.35	leg	eŋyok
4.351	thigh	eŋyok
4.352	calf of leg	neŋelpoonmakɬaʔ
4.36	knee	entapnek
4.37	foot	eŋmenek
4.371	ankle	yetsene eŋak; wahanayʔakɬaʔ eŋak
4.372	heel	empaahak
4.374	footprint	eŋmenek; entamnek
4.38	toe	eŋephehek
4.392	wing	aɬempenek; aɬempankok
4.393	feather	aawaʔ; anaata ʔwaʔ
4.4	chest	eŋneenyek
4.41	breast (of woman)	neme eŋak
4.412	nipple, teat	neme pwakhek
4.42	udder	neme
4.43	navel	enseskok; entaɬnaʔ
4.44	heart	yepheem eŋak
4.441	lung	kohox eŋak
4.45	liver	eŋhekhek
4.451	kidney	alyaʔyeem eŋak; maaneŋkapaek eŋak
4.452	spleen	
4.46	stomach	eŋwokmoʔ
4.461	intestines, guts	eŋyeʔ; eŋye ɬaŋkok
4.462	waist	nenɬet
4.463	hip	eŋyowhak; nenɬet
4.464	buttocks	entaʔlaʔ
4.47	womb	sekaʔa-ɬaŋkok
4.49	testicle	empopok
4.492	penis	enteɬlaʔ
4.51	breathe, breath	neŋennamaam
4.52	yawn, gape	neŋmayheeykamˀ
4.521	hiccough	seŋaapahaskama
4.53	cough	neŋapnakɬeeykamˀ
4.54	sneeze	neŋatheem
4.55	perspire	akpallaekɬaʔ eŋyemes
4.56	spit	neŋelpatseeykentaʔ
4.57	vomit	neŋyekɬama
4.58	bite	nentakɬama; neŋeleŋwayˀ
4.59	lick	neŋelyaʔmelaykamˀ; neŋeltekhapma
4.591	dribble	nensepkenkeskama
4.61	sleep	nenteyanma
4.612	snore	neŋyeɬwaanaʔteem
4.62	dream	seŋwanmeeskama
4.63	wake up	nenɬaatekhayˀ
4.64	break wind	
4.65	urinate	neŋyeswoom; neŋyoosekhayˀ
4.66	defecate	neŋyaʔanma; neŋyaʔankahayˀ; eŋyeʔ; yaʔa
4.67	have sexual intercourse	neŋmensom; neŋyetnamoo ɬamooˀ
4.68	shiver	neŋelpeɬyennamaam; neŋelyawhayˀ; nempeɬyennamaam
4.69	bathe	neŋyaʔpaskama yeŋmen
4.71	beget (of father)	nentemeskeskama ŋlawsooʔ
4.72	born (to be)	nenteeyamˀ; nempalleyaamˀ
4.73	pregnant	eŋlawsooʔ
4.732	conceive	nentemeeme eŋlawsooʔ
4.74	live, living, life	neŋma; nenteyaaskamˀ; neŋeleeywaam; eŋhaɬnaŋkooʔ
4.75	die, dead	eŋhaapak; neŋetsepma; neŋmatnaam
4.751	drowned	seŋaʔheem yeŋmen
4.76	kill	neŋaʔheem; neŋelnapma; neŋyamoŋkeɬma
4.77	corpse	eŋhaapak
4.78	bury (the dead)	neŋaatoonma
4.79	grave, tomb	takhaaɬop
4.81	strong, mighty, powerful	neŋyemnaʔteem; taex eŋyempehek
4.82	weak	neŋelaʔtaykamˀ; mepke eŋyempehek
4.83	well, health	eŋhaɬnaŋkok; akyemnaʔteem eŋneenyek; taex eŋneenyek
4.84	sick, sickness	neŋmaskeem; neŋmaskeema ʔtoʔ
4.841	fever	akmakhetmoo eŋyempehek
4.842	goiter	
4.843	cold (catarrh)	naapnakɬama; naapnakɬama ʔtoʔ
4.85	wound, sore	neŋyemseem
4.852	bruise	akpayheem
4.853	swelling	akyepheem
4.854	itch	akmawsayˀ; altakɬama eŋyempehek
4.855	blister	seŋelteepahaneyˀ; aknaykaok ayeŋmenek
4.856	boil (noun)	paskapma
4.857	pus	kaawen
4.858	scar	neŋyemseem nanooʔ
4.86	cure, heal	nentaʔmelsaekɬaʔ; nentaʔmelkeskeyaamˀ
4.87	physician	paanaʔtee-ŋyaap; paanaʔtee-ŋkenˀ
4.88	medicine, drug	paanaʔteem
4.89	poison	paanaʔteem
4.91	tired, weary	neŋyampayˀ; neŋyenmaykamˀ
4.912	rest	neŋnaekɬaʔ
4.92	lazy	neŋhaaɬammaɬkaʔ
4.93	bald	ke pwaʔ
4.94	lame	ke tapnaok; neŋelyelkammaɬkaʔ
4.95	deaf	ka haykaʔaok; moŋleŋayˀ aɬmaʔ
4.96	mute	kamowaanaʔayˀ
4.97	blind	kaʔtaʔaok
4.98	intoxicated	anmen aatoʔ; aatoʔ; seŋwayˀ
4.99	naked, bare	neŋaʔaɬneeykamˀ
5.11	eat	nentom; nentoykekɬaʔ
5.12	food	nentom
5.121	cooked	aŋmakheetek; akmakhetma; mokhanma
5.122	raw	aŋwetek
5.123	ripe	aŋmakheetek; aatay; akmakhetma
5.124	green, unripe	aŋwetek; aŋlapamkooʔ; aknaʔmaateeykaok
5.125	rotten	aktahapma; altektahapma; alkoŋnammaɬkaʔ
5.13	drink	neŋyaam
5.14	hunger	maek; neŋmaʔa; maek/ neŋmaʔa seŋaʔheem
5.141	famine	maek aŋkooʔ
5.15	thirst	neŋyamayˀ
5.16	suck	nempetsesma
5.18	chew	neŋensaʔaykamˀ
5.181	swallow	neŋnaʔsepma; neŋepwaameeykaok
5.19	choke	neŋyaʔhapma apyespok (eŋmook)
5.21	cook	neŋhanma
5.22	boil (vb)	aneŋkayaamˀ; alyakɬaayamˀ
5.23	roast, fry	neŋelwatnama; neŋyeɬnaayamˀ
5.24	bake	neŋelaaneyˀ pan; neŋelaaneyˀ apmopses
5.25	oven	pan apɬaŋkok; namaaɬek
5.26	pot, cooking vessel	wayka; yaateŋwayka
5.27	kettle	paawa-pkaatek; meeɬenkeskama-yeŋmen
5.28	pan	wayka (apkeɬyawayˀ); payla
5.31	dish	poko; aʔsok-payheem
5.32	plate	poko; poko payheem
5.33	bowl	poko; poko pyeweyˀ
5.34	pitcher, jug	yaateŋwaʔaɬwa; waʔaɬwa
5.35	cup, drinking vessel	mahaykok; eŋhaykok
5.36	saucer	poko; poko pketketsek
5.37	spoon	[kučaara]; yekwoo-ptom;
5.38	knife	sowow; sawow
5.39	fork	eŋepheok
5.391	tongs	keltaaɬkeskama
5.41	meal (a)	nentoykekɬaʔ
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	neŋleklama yempehek
5.47	sieve, strain	neŋeɬlasseeykamˀ
5.48	scrape	neŋelkaktama; neŋellakhaam
5.49	stir, mix	nempaaɬaʔaksaekɬaʔ; neŋeŋkahaykekɬaʔ; neŋyepetsaekɬaʔ
5.51	bread	[pan]
5.53	dough	seppoyoompak
5.54	knead	neŋelyaʔhapma
5.55	meal, flour	seppoyoompak
5.56	crush, grind	nentepelkaekɬaʔ
5.57	mill	moohaapaʔwaʔ
5.58	mortar	aʔaɬwa
5.59	pestle	yenaanaʔ
5.61	meat	aapetek
5.63	sausage	ayeŋmenek
5.64	soup, broth	yeŋmenaata
5.65	vegetables	aʔsok-aawaʔ
5.66	bean	kelayke; kelayke aktek
5.7	potato	yaampeheyaʔ
5.71	fruit	akyeɬna; akyeɬnama
5.712	bunch	awathet
5.75	fig	--
5.76	grape	[uwa]
5.77	nut	makwa
5.78	olive	--
5.79	oil	peɬmok; makwa pyeŋmenek; [aseeyte]
5.791	grease, fat	peɬmok; waetke kpeɬmok; [kraasa]
5.81	salt	yaasek
5.82	pepper	naatekhet aanek; yamnaatekhet aanek
5.821	chili pepper	naatekhet; yamnaatekhet
5.84	honey	yawhan; yaamyawheeneʔ
5.85	sugar	[asuuka]; yaampaʔat-yeŋmenek
5.86	milk (noun)	neme pyeŋmenek; waetke nema ak
5.87	milk (vb)	neŋelyetsamoŋkeskama waetke nema ak
5.88	cheese	[keeso]; waetke nema ak mokyemnaʔteeskama
5.89	butter	peɬmok
5.9	beverage, drink	neŋyaamoo; neŋyaamoo kmaases; asuuka
5.91	mead	yaamyawheene pyeŋmenek mokyemyeskama
5.92	wine	[uwa] yeŋmenek; [wiino]
5.93	beer	[serweesa]
5.94	fermented drink	anmen
5.97	egg	appok
5.971	egg yolk	aysekse kyaatektama (appok)
6.11	put on (clothes)	nentaɬnaekɬaʔ; neŋyapmaekɬaʔ
6.12	clothing, clothes	nentaɬnama; apaawa
6.13	tailor	kellaaneyˀ-nentaɬnama
6.21	cloth	apaawa; apaawa-nepwaʔa
6.22	wool	nepkeeseʔ-pwaʔ; [laana]
6.23	linen, flax	--
6.24	cotton	yaateypeepaʔ; yaateypeepaʔ akmok
6.25	silk	--
6.27	felt	--
6.28	fur	ayempehek
6.29	leather	aʔsoyempehek
6.31	spin	neŋneɬpoŋaam
6.32	spindle	keeseʔ-pwa-yaamet
6.33	weave	neŋootma
6.34	loom	neŋyaamasma-neeten
6.35	sew	neŋelyetnaʔmeeykamˀ; neŋyetnaʔteem
6.36	needle	ketaamaʔ
6.37	awl	alyaŋkaɬkatmoo waetke yempehek
6.38	thread	taamaʔ; yamyaateypeepaʔ
6.39	dye	neŋyeɬwaaseeskama
6.41	cloak	peyaamˀ-paawa
6.411	poncho	(apaawa) payheeykamˀ; [pončo]
6.42	woman's dress	nentaɬnama; [westido]
6.43	coat	nentaɬnama; [saako]
6.44	shirt	nentaɬnama; [kamisa]
6.45	collar	eŋyespok
6.46	skirt	nentaɬnama; polyeera; neŋyapmaam
6.461	grass-skirt	--
6.48	trousers	[kaanson]; latkeskama-eŋyaayaʔaok
6.49	stocking, sock	meelya
6.51	shoe	teyaypehek
6.52	boot	teyaypehek; teyaypeʔok alyemtaɬnama; [wootas]
6.54	shoemaker, cobbler	kellaaneyˀoo-nteyaypeʔok
6.55	hat, cap	nempakanma; aaɬaʔwaʔ
6.57	belt, girdle	[sento]; teteem-nenɬet
6.58	glove	eŋmek
6.59	veil	--
6.61	pocket	naʔhaapa
6.62	button	yaamomaatek
6.63	pin	yaamsoʔopketaamaʔ
6.71	ornament, adornment	kookes
6.72	jewel	--
6.73	ring (for finger)	[aanilyo]; latkeskama-eŋephehek
6.74	bracelet	lamom; eŋmek
6.75	necklace	lamom; eŋyespok
6.76	bead	lamom
6.77	earring	latkeskama-eŋhaykok; naamosay
6.78	headband, headdress	teteeʔ-empaʔtek
6.79	tattoo	nentaaɬayˀ; nentaaɬamaawoʔ
6.81	handkerchief, rag	apaawa phaapak; [panyeelo]
6.82	towel	[tawalya]
6.91	comb	waetke-eŋkepeetek; peetek
6.92	brush	[sepelyo]
6.921	braid	nempeɬteteem (eŋwaʔ); nempeɬwaɬnama
6.93	razor	[nawaaxa]
6.94	ointment	alwayaamˀ
6.95	soap	kelteɬneeykaok; yaʔmopoyˀ
6.96	mirror	laaneyʔo-ntaaɬamaawoʔ
7.11	dwell, live	neŋma
7.12	house	teŋma; paʔat
7.13	hut	haameɬ
7.131	garden-house	--
7.14	tent	[kaarpo]
7.15	yard, court	akyeweyˀ aɬmaʔ
7.16	men's house	--
7.17	cookhouse	neŋhanmakɬa nentom
7.18	meeting house	neŋaʔnaekɬeɬaʔ
7.21	room	teŋma pwaʔɬok; awaʔɬok
7.22	door, gate	aatoŋ
7.221	doorpost, jamb	[poste] ak aatoŋ
7.23	lock (noun)	katkeskama-ʔtoŋ; [alyaawe]; [kantaawo]
7.231	latch, door-bolt	neŋatkeskamakɬaʔ ʔtoŋ
7.24	key	[alyaawe]; [alyaawe] yetkook
7.25	window	aatoŋ-ˀyetkok
7.26	floor	naaɬpop
7.27	wall	teŋma pwahak
7.31	fireplace	neŋelwatnamakɬa taaɬa
7.32	stove	hanmakɬa-taaɬa
7.33	chimney	akpaʔanmakɬaʔ-eeten
7.37	ladder	keltaammeeykaok
7.42	bed	yetnamakɬa-neeten; neŋyetnamakɬa-neeten
7.421	pillow	nenteyanmeeykaok
7.422	blanket	neŋaʔlammaɬkaʔ; [manta]
7.43	chair	nentahaneem; [silya]
7.44	table	[meesa]
7.45	lamp, torch	kaaleywaskama
7.46	candle	[weelas]; taaɬa-kpeɬmok
7.47	shelf	[estante]; asootaʔ
7.48	trough	akyamakɬa yeŋmen nentooskama
7.51	roof	teŋma neeten; teŋma pkapok
7.52	thatch	paʔat; awʔaok
7.53	ridgepole	teŋma pyetseksek
7.54	rafter	teŋma pekhaok; teŋma pekhaok atkeetesk
7.55	beam	teŋma pekhaok; pekha-lyeweyˀ
7.56	post, pole	[poste]; meemoŋ; maaset
7.57	board	yaamet-nekhaʔ
7.58	arch	[arko]
7.61	mason	kellaaneyˀ-teŋma
7.62	brick	yaatephaymakaʔaok
7.63	mortar	[semento]; yelpaʔ
7.64	adobe	yaatephaymakaʔaok
8.11	farmer	--
8.12	field (for cultivation)	amyep
8.13	garden	amyep
8.15	cultivate, till	neŋanma
8.16	fence	neŋhaɬtaam; moopeeyeen-yaamet
8.17	ditch	maaɬek
8.21	plow	neŋelkakhaam
8.212	furrow	aamay
8.22	dig	neŋmetaam
8.23	spade	[paala]; menmeʔ
8.24	shovel	[paala]-kpayheem
8.25	hoe	aɬpehek; yamtaawa
8.26	fork	eŋepheok
8.27	rake	eŋepheok; mentamaykamˀ
8.31	sow	neŋanma; neŋenaekɬaʔ (aktek)
8.311	seed	aktek
8.32	mow, reap	neŋelmaam (akyeɬna); neŋnakɬama
8.33	sickle, scythe	sowoʔ-khaɬeem
8.34	thresh	neŋleklama aktek; nentekpoŋaam
8.35	threshing-floor	--
8.41	crop, harvest	akyeɬna
8.42	grain (barley, oats etc)	aktek
8.43	wheat	sawaʔ-appok
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	seʔheʔ; latseʔheʔ
8.48	rice	paʔat-aktek; [aaros]
8.51	grass	manten; paʔat
8.52	hay	paʔat
8.53	plant (noun)	moyanma; awhak
8.531	plant (vb)	neŋanma
8.54	root	awhak; aykepmenek
8.55	branch	aktoŋ; aɬkapok
8.56	leaf	aawaʔ; yamtaʔ aawaʔ
8.57	flower	eɬnamok; kookes
8.6	tree	yaamet; yaamet awhak
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	anamteem-yaamet
8.68	tobacco	heenaʔ
8.69	smoke (tobacco)	neŋaspoom
8.691	pipe	ɬoop
8.72	tree stump	awhak; mopheyeʔ
8.73	tree trunk	awhak (yaamet)
8.74	forked branch	yaamet allayheem; ɬeyep
8.75	bark	ayempehek (yaamet)
8.76	sap	anyeʔ; ayeywaʔaok
8.81	palm tree	aaɬa; paʔaŋ
8.82	coconut	--
