entry_id	trans_english	Rotuman_Phonemic
14.332	long-time (for a)	roa; aʔroa; ma roa
14.34	never	kat... ʔe ta av
14.35	again	hoiʔɔki
14.41	day	terɔni; rɔni
14.42	night	poŋi
14.43	dawn	usu
14.44	morning	miča-rɔni
14.45	noon, midday	ian-ina
14.451	afternoon	asoha
14.46	evening	asoha
14.47	today	ʔī
14.48	tomorrow	kā
14.481	day-after-tomorrow	terani te ʔī
14.49	yesterday	asa
14.491	day-before-yesterday	ræʔtaŋa
14.51	hour	[aoa]
14.53	clock, timepiece	[uča]
14.61	week	ŋasava
14.62	Sunday	[sapatō]; teræn haʔa
14.63	Monday	[mɔnrē]
14.64	Tuesday	ræn rua
14.65	Wednesday	ræn folu
14.66	Thursday	ræn hæke
14.67	Friday	terænlima
14.68	Saturday	teræn aʔita
14.71	month	hula
14.73	year	fau
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	ava
15.21	smell (vb intrans)	poa; pene
15.212	sniff	huŋa
15.22	smell (vb trans)	huŋa
15.25	fragrant, good smelling	pen ʔiʔisi; poa ʔiʔisi
15.26	stinking, bad smelling	pen roroa; poa rora
15.31	taste	nɔmi
15.35	sweet	mɔmi
15.36	salty	mɔsi
15.37	bitter	ʔona
15.38	acid, sour	taviri
15.39	brackish	marɔsi
15.41	hear	aʔfɔi
15.42	listen	aʔ-faliŋa
15.44	sound, noise	tō
15.45	loud	tō tiʔ
15.46	quiet, silence	totoka
15.51	see	ræe
15.52	look, look at	ʔio
15.55	show	kel-ʔɔki
15.56	shine	pɔni
15.57	bright	riamrima
15.61	color	
15.62	light (in color)	maʔa
15.63	dark (in color)	maksulu
15.64	white	fisi
15.65	black	kele; lah-laha
15.66	red	miʔa
15.67	blue	čarava
15.68	green	čarava
15.69	yellow	per-pero
15.71	touch	ʔatɔku; tæe
15.712	pinch	ʔini
15.72	feel	ʔatɔku
15.74	hard	mou-mou
15.75	soft	marū; parpara
15.76	rough	vɔnu
15.77	smooth	mar-marɔri
15.78	sharp	ʔā
15.79	blunt, dull	mar-marɔri
15.81	heavy	maha
15.82	light (in weight)	čeamčema
15.83	wet, damp	matmata
15.84	dry	mamasa
15.85	hot	sunu
15.851	warm	mah-mahana
15.86	cold	matiti
15.87	clean	maʔ-maʔa
15.88	dirty, soiled	pearpera
15.89	wrinkled	soʔsoʔo; veveve
16.11	soul, spirit	ʔata
16.15	surprised, astonished	ferehiti
16.18	good fortune, luck	ɔlɔlumu
16.19	misfortune, bad luck	armou; pefæʔe
16.23	joyful, glad, happy	fürmaria; ʔoafʔofa
16.25	laugh	kahā
16.251	smile	malumu
16.26	play	maneʔa
16.27	love	ʔofa; hanisi
16.29	kiss	aso
16.3	embrace	kɔlu; kapiti
16.31	pain	rū
16.32	grief, sorrow, sadness	putu
16.33	anxiety, worry	kokono
16.34	regret, be sorry	huahaʔa
16.35	pity	hanisi
16.37	cry, weep	ou
16.38	tear (noun)	sui ne mafa
16.39	groan	ŋū
16.41	hate	fesiʔa
16.42	anger	feke
16.44	envy, jealousy	fuaʔa
16.45	shame (noun)	mæe; masraŋa
16.48	proud	fakmanʔia
16.51	dare	kākā
16.52	brave	huaŋ toʔa
16.53	fear, fright	fea
16.54	danger	mamɔru
16.62	desire, want	pa-ʔese; heʔa
16.622	choose	hili
16.63	hope	ʔɔiröt-ʔɔki
16.65	faithful	(huaŋ) aire
16.66	true	aire
16.67	lie, tell lies	siko
16.68	deceit	siko
16.69	forgive	röt-ʔɔki
16.71	good	lelei
16.72	bad	raksaʔa
16.73	right, correct	nonočo
16.74	wrong	siri; siko
16.76	fault	siri
16.77	mistake, error	sara
16.78	blame	keu
16.79	praise	voiʔɔki
16.81	beautiful	helava; keleaŋlelei
16.82	ugly	keleaŋ raksaʔa
16.83	greedy	huaŋ puʔa; huaŋ kumi; kakafa
16.84	clever	poto
17.11	mind	huŋa
17.13	think (= reflect)	aʔhæe
17.14	think (= be of the opinion)	aʔhæe
17.15	believe	aier-ʔɔki
17.16	understand	ʔinea
17.17	know	ʔinea
17.171	guess	ær-ʔɔki
17.172	imitate	rako
17.18	seem	keleŋa
17.19	idea, notion	aʔhæe
17.21	wise	ʔatmai
17.22	foolish, stupid	huaŋ hap
17.23	insane, crazy	čaurarā
17.24	learn	rako
17.242	study	rako
17.25	teach	rak-ʔɔki
17.26	pupil	leʔ rako
17.27	teacher	leʔ rē rako
17.28	school	(rī)rako
17.31	remember	fak-fɔti; aʔhæe hoi-ʔɔki
17.32	forget	mao-ʔɔki
17.34	clear, plain	tafa; liu-liu
17.35	obscure	mɔʔiro
17.36	secret	næe
17.37	sure, certain	aier-ʔɔki
17.38	explain	sui-ʔɔki
17.41	intention, purpose	ʔamnɔki
17.42	cause	huni
17.43	doubt	ararua
17.44	suspect	masar-ɔki
17.441	betray	kō-ʔɔki
17.45	need, necessity	ʔes-ʔao
17.46	easy	vav-hina
17.47	difficult	noa-noa
17.48	try, attempt	æsʔɔki
17.49	way, manner	aŋa
17.51	and	ma
17.52	because	ʔe reko
17.53	if	nōnō ka; kepoi ka
17.54	or	ne
17.55	yes, affirmative	ʔī
17.56	no, negative	ʔiŋkaʔi
17.61	how?	tapene
17.62	how many?	hisi
17.63	how much?	hisi
17.64	what?	tese
17.65	when?	kisi
17.66	where?	tei
17.67	which?	tese
17.68	who?	sei; seia
17.69	why?	la tes(e)
18.11	voice	lio
18.12	sing	maka
18.13	shout, cry out	ʔohō
18.15	whisper	musu
18.16	mumble	ŋū-ʔɔki
18.17	whistle	savini
18.18	shriek, screech	ŋā
18.19	howl	mamæe
18.21	speak, talk	fæeŋa
18.211	stutter, stammer	kækæke; fæeaŋ kækæke
18.22	say	ʔea
18.221	tell story	hanuču
18.222	speech (make a)	fæeŋa
18.23	silent (be)	totoka
18.24	language	fæeŋa
18.26	word	fæeŋa; fæeaŋ pupu
18.28	name	asa
18.31	ask (question, inquire)	saiʔo
18.32	answer	toŋi
18.33	admit, confess	ʔɔliŋa
18.34	deny	ē
18.35	ask, request	fara
18.36	promise	porɔki
18.37	refuse	aŋɔi
18.38	forbid	haʔa
18.39	rebuke, scold	samu
18.41	call (=summon)	liʔo; heʔo
18.42	call (=name)	heʔo
18.43	announce	heʔ-ɔki
18.44	threaten	rara
18.45	boast	ʔara
18.51	write	fɔʔi
18.52	read	hata
18.56	paper	[pepa]
18.57	pen	[pene]
18.61	book	[puku]
18.67	poet	manɔtu
18.71	flute	ʔefu
18.72	drum	[čaramu]
18.73	horn, trumpet	tē uiui
18.74	rattle	ororo
19.11	country	hanua
19.12	one's native country	hanua
19.15	city, town	[taono]
19.16	village	hanua noho
19.17	boundary	tohiŋa
19.21	people (populace)	famori; kakɔi
19.23	tribe, clan	kainaŋa
19.24	chief, chieftain	ŋaŋača
19.25	staff, walking stick	ʔɔi toko
19.31	rule, govern	pure
19.32	king, ruler	sau
19.33	queen	sau-hɔni; fæʔ nohoŋa
19.36	noble, nobleman	tok ne hanua
19.37	citizen, subject	tapuaʔ famori
19.41	master	leʔ pure
19.42	slave	mamaua
19.43	servant	leʔ eʔa; leʔ garue
19.44	freeman	
19.45	command, order	fasʔɔki
19.46	obey	noh aʔfɔi
19.47	let, permit	sɔi-ʔɔki
19.51	friend, companion	kau-maneʔaŋa
19.52	enemy	firi
19.54	neighbor	
19.55	stranger	helava
19.56	guest	leʔ ʔihi; [vulæŋ]
19.57	host	
19.58	help, aid	asoa
19.59	hinder, prevent	fuʔ-ɔki; aʔ-lelu
19.61	custom	aŋa
19.62	strife, quarrel	hɔi-ē-aŋa; hɔi-feke-ŋa
19.63	conspiracy, plot	rosi
19.65	meet	taunɔʔi
19.72	prostitute	hæn raksaʔa
20.11	fight (vb)	hɔi-peluŋa
20.13	war, battle	pelu
20.14	peace	noh hai-aʔ-lelei-aŋ
20.15	army	kau-pelu
20.17	soldier	[čaučia]
20.21	weapons, arms	tē peluŋa
20.22	club	ʔɔi peluŋa
20.222	battle-ax	
20.23	sling	maktā
20.24	bow	loloki
20.25	arrow	kasa
20.26	spear	tika; čao
20.27	sword	sere; [katlasa]
20.28	gun, cannon	fana; [takɔi fanua]
20.31	armor (defensive)	
20.33	helmet	suru
20.34	shield	pæreŋa
20.35	fortress	koro
20.36	tower	
20.41	victory	marō
20.42	defeat	ravā
20.43	attack	pelua
20.44	defend	pære
20.45	retreat	čoni
20.46	surrender	ʔoli; hen rauʔifi
20.47	captive, prisoner	leʔ ʔoʔoro
20.471	guard, sentinel	huɔʔi
20.48	booty, spoils	vete; pakao
20.49	ambush	fakpō; tataʔo; momoʔo
20.51	fisherman	tautei
20.52	fishhook	ʔɔvi
20.53	fishing line	ʔalol haŋotaŋa
20.54	fishnet	vao
20.55	fish trap	faŋa
20.56	bait	poa; popoa; mounu
20.61	hunt	ʔofi; kɔlu
20.62	shoot	fana
20.63	miss (target)	sara
20.64	trap (noun)	fɔi
20.65	trap (vb)	fɔi
21.11	law	foho
21.15	court	aʔleleŋa
21.16	judge (vb)	fafa; aʔlele
21.17	judgment	aʔhæe
21.18	judge (noun)	leʔ rē aʔ-lele
21.21	plaintiff	
21.22	defendant	
21.23	witness	[uetnese]
21.24	swear	pūlio
21.25	oath	fæeaŋ reutu
21.31	accuse	keu sar; sæmæn-ʔæk
21.32	condemn	
21.33	convict (vb)	töŋ-ʔɔki
21.34	acquit	sɔi-ʔɔki
21.35	guilty	aŋsara
21.36	innocent	
21.37	penalty, punishment	toŋi
21.38	fine	toŋi
21.39	prison, jail	rī hihiriŋa
21.42	murder	čav-ʔɔki
21.43	adultery	væe hæke
21.44	rape	sasap hæn
21.46	arson	
21.47	perjury	
21.51	steal	hanaʔo
21.52	thief	leʔ hanaʔo
22.11	religion	rotu
22.12	God	ʔɔitu
22.13	temple, church	rī rotu; suʔura
22.14	altar	[altara]
22.15	sacrifice, offering	nā tē; taumafa
22.16	worship	rotu; titi-ʔɔki
22.17	pray	rō-ʔɔitu
22.18	priest	apeʔɔitu
22.19	holy, sacred	haʔa
22.22	preach	maraŋa
22.23	bless	ɔlɔlum-ʔɔki
22.24	curse	haʔo
22.26	fast (vb)	fak-soŋe
22.31	heaven	[hevani]
22.32	hell	ʔoroi
22.35	demon (evil spirit)	ʔatua
22.37	idol	tupuʔa
22.42	magic, witchcraft, sorcery	rē ʔɔi
22.43	sorcerer, witch	leʔ rē ʔɔi
22.44	fairy, elf	sina
22.45	ghost, phantom	ʔatua
22.47	omen, portent	tō-ʔæk ʔatua
