entry_id	trans_english	Southern_Kam_Phonemic
1.851	burn (vb trans)	to.323 pui.55
1.852	burn (vb intrans)	səp.212 pui.55
1.86	light, kindle, ignite	jaŋ.212 ho.31
1.861	extinguish	ćət.55
1.87	match (noun)	than.453
1.88	firewood	ńən.212
1.89	charcoal	ńən.212 pan.55
2.1	person, human being	ńən.212 mjek.323
2.21	man (vs. woman)	pan.55
2.22	woman	mjek.323
2.23	male	mən.53 lak.31
2.24	female	lak.31 han.53
2.25	boy	lak.31 mjek.323
2.251	young man (adolescent)	mjek.323 lau.31
2.26	girl	mən.53 lak.31
2.261	young woman (adolescent)	noŋ.31 ja.453
2.27	child	sau.31
2.28	infant, baby	mai.31
2.31	husband	ʔao.55 mai.31
2.32	wife	ʔao.55 mai.31 pai.55 sau.31
2.33	marry	waŋ.453
2.34	marriage, wedding	pu.31
2.341	divorce	nəi.31
2.35	father	pu.31 nəi.31
2.36	mother	qau.212 lau.212
2.37	parents	tâu.31 sa.31
2.38	married man	lak.31
2.39	married woman	pəi.31
2.41	son	pan.212 lən.212
2.42	daughter	ćai.31 ńoŋ.31
2.43	offspring (son or daughter)	ćai.31
2.44	brother	noŋ.3.1
2.444	older brother	ćai.31 ńoŋ.31
2.445	younger brother	pəi.31
2.45	sister	noŋ.31
2.454	older sister	ćai.31 ńoŋ.31
2.455	younger sister	toŋ.212 jaŋ.31
2.456	sibling	qoŋ.323
2.458	twins	qau.212 qoŋ.323
2.46	grandfather	sa.31
2.461	old man	sa.31 lau.31
2.47	grandmother	lak.31 kwhan.35
2.471	old woman	lak.31 kwhan.35 te.55
2.48	grandson	ʔo.31; pu.31 mak.323; ljoŋ.33
2.49	granddaughter	ljoŋ.33
2.51	uncle	pu.31 mak.323
2.511	mother's brother	nəi.31 ńak.55
2.512	father's brother	nəi.31 ʔun.13
2.52	aunt	pa.323
2.521	mother's sister	lak.31 kwhan.35
2.522	father's sister	pəi.31 lak.31 kwhan.35
2.53	nephew	ćai.31 ńoŋ.31 pju.13
2.54	niece	qoŋ.323 pu.31
2.55	cousin	pan.55 lən.212
2.56	ancestors	ću.212; ljoŋ.33
2.57	descendants	qoŋ.323
2.61	father-in-law (of a man)	sau.212 te.55
2.611	father-in-law (of a woman)	sa.31
2.62	mother-in-law (of a man)	lak.31 sau.31
2.621	mother-in-law (of a woman)	lak.31 sau.31
2.63	son-in-law (of a man)	lja.323
2.631	son-in-law (of a woman)	lja.323
2.64	daughter-in-law (of a man)	pu.31 ńak.55
2.641	daughter-in-law (of a woman)	nəi.31 ńak.55
2.71	stepfather	ʔəm.13 lak.31
2.72	stepmother	ʔəm.13 pəi.31
2.73	stepson	lak.31 qoŋ.35 pu.31 nəi.31
2.74	stepdaughter	nəi.31 ljiŋ.33
2.75	orphan	pu.31 ljiŋ.33
2.76	widow	thən.35 siŋ.212
2.77	widower	jan.212 ńən.212
2.81	relatives, kinsmen	jau.212
2.82	family	ńa.212
2.91	I	mau.33
2.92	you (singular)	ćiu.55
2.93	he/she/it	tau.55
2.94	we	ćiu.55
2.941	we (inclusive)	ja.212 tau.55; ja.212 ćiu.55
2.942	we (exclusive)	śau.55
2.95	you (plural)	ja.212 śau.55
2.96	they	qhe.35
3.11	animal	jaŋ.33 śeŋ.55
3.12	male (adj)	səi.323
3.13	female (adj)	mei.31
3.15	livestock	jaŋ.212 śeŋ.55
3.16	pasture	ćən.212 ńaŋ.13
3.18	herdsman	ńən.212 saŋ.31 tu.212 (lje.323)
3.19	stable, stall	ćon.33 ma.31
3.2	cattle (bovine)	ću.212 sən.33
3.21	bull	tak.212 sən.212
3.22	ox	sən.212
3.23	cow	mâi.31 sən.212
3.24	calf	lak.31 tu.212
3.25	sheep	kwəi.212
3.26	ram	lje.323
3.28	ewe	tak.212 lje.323
3.29	lamb	mâi.31 lje.323
3.32	boar	lje.323
3.34	sow	mu.453 laŋ.212
3.35	pig	mâi.31 mu.453
3.36	goat	mu.453
3.37	he-goat	lje.323
3.38	kid	tak.212
3.41	horse (equine)	lak.31 lje.323
3.42	stallion	ma.31
3.44	mare	tak.212 ma.31
3.45	foal, colt	mâi.31 ma.31
3.46	ass, donkey	tak.212 ma.31 ću.33; mâi.31 ma.31 ću.33
3.47	mule	lu.212
3.5	fowl	ma.31 lo.212
3.52	cock, rooster	pət.55 qai.53
3.54	hen	səi.323 qai.53
