entry_id	trans_english	Southern_Kam_Phonemic
11.15	hold	qot.323
11.16	get, obtain	pjiu.55
11.17	keep, retain	ćhik.13
11.18	thing	pjiu.55 wu.31
11.21	give	ćham.13 kwhən.35
11.22	give back	tet.31
11.24	preserve, look after	pjeu.53
11.25	save, rescue	pai.55
11.27	destroy	ćham.13 ćha.453
11.28	harm, injure, damage	pa.212 ćha.453
11.31	seek, look for	ćham.13 lui.33
11.32	find	ʔuk.323 pai.55
11.33	lose	śai.323
11.34	release, let go	ma.35; tau.3
11.43	money	śon.53 ma.35
11.44	coin	śeŋ.55 lji.212
11.51	rich	jâm.53
11.52	poor	nâŋ.33
11.53	beggar	jin.35
11.54	avaricious, stingy	lâm.55
11.61	lend	tâu.453
11.62	borrow	ćân.31; ćân.31 ńi.55
11.63	owe	lau.323 pai.55
11.64	debt	tai.53; tâi.212
11.65	pay (vb)	jin.55
11.66	account, reckoning	kaŋ.212
11.69	tax, tribute	tiŋ.31
11.77	hire	ŋep.323
11.78	wages	ʔam.53
11.79	earn	tap.13
11.81	buy	tai.53 ma.35
11.82	sell	ći.55 pai.55
11.83	trade, barter	jin.31 kwhən.35
11.84	merchant	khâi.35 śa.55
11.85	market (place)	ćhi.212
11.86	store, shop	ljeu.35
11.87	price	kwhən.35; kwhən.35 mak.323
11.88	dear (costly, expensive)	kwhən.35 ńâk.55
11.89	cheap	ćiu.212
11.91	share (distribute)	śa.55
11.92	weigh	lok.55
12.1	after	qaŋ.53 śa.55
12.11	behind	ʔit.323
12.2	beside	lo.55 lau.31
12.3	down, below	lo.55 si.53
12.4	before	tuŋ.33 ćhaŋ.13
12.41	front	ćhaŋ.13 pân.55
12.5	inside, in	ćhaŋ.13; ćhaŋ.13 lau.31
12.6	outside	ćhaŋ.13 ćhən.13
12.7	under	wai.212 lo.55
12.8	up, above	to.31
12.11	place	wâi.212 kan.33
12.12	put	wan.33 lo.55
12.13	sit	ćha.453 ćân.55
12.14	lie down	me.212
12.15	stand	me.212
12.16	remain, stay	ʔau.55
12.17	remains, left overs	ńâm.55; sâp.55
12.21	collect, gather	ńâm.55
12.212	pick up	ŋâm.55
12.213	pile up	li.323
12.22	join, unite	mân.53
12.23	separate	sai.55
12.232	divide	pâi.323
12.24	open	kwan.323
12.25	shut, close	ću.53
12.26	cover	we.31 wai.33
12.27	hide, conceal	we.31 wai.33; to.323 wai.33; tâu.33 śaŋ.55
12.31	high	səm.33
12.32	low	səm.33 thâu.453
12.33	top	tok.55 pai.55
12.34	bottom	soŋ.53 pai.55
12.35	end	sin.212
12.352	pointed	ŋən.55 pji.55; ŋən.55 pi.55
12.353	edge	me.212 sin.212; me.212 ć äŋ.̄̄
12.36	side	qe.212 me.212 sin.212; ćoŋ.212
12.37	middle, center	la.33 qâu.31
12.41	right (side)	khât.13
12.42	left (side)	jam.55
12.43	near (adv)	jam.55 lau.323; jam.55 joŋ.33
12.44	far (adv)	śiu.3
12.45	east	ćaŋ.53
12.46	west	sai.55 sin.212
12.47	north	ćaŋ.53; son.53 ćaŋ.53
12.48	south	soi.55
12.53	grow	thiŋ.13
12.54	measure	qoŋ.55 sin.212; koŋ.33 si.33
12.541	span, fathom	sən.55
12.55	large, big	ćâi.323
12.56	small, little	pe.55
12.57	long	wen.453
12.58	tall	ńən.212 we.31 wen.453
12.59	short	ćaŋ.212
12.61	wide, broad	phu.453
12.62	narrow	qa.53 sin.212
12.63	thick (in dimension)	ćui.53
12.65	thin (in dimension)	pjiŋ.212 ńi.212
12.67	deep	pjhe.453; pjhe.453 li.323
12.68	shallow	kwiu.53
12.71	flat	ńau.33 ... ta.33 lən.212
12.73	straight	ńau.31 ... maŋ.53 lən.212
12.74	crooked	ńau.31 ... maŋ.53 ke.55
12.75	hook	maŋ.53 te.323
12.76	corner	ńau.33 ... maŋ.53 qun.53
12.77	cross	ńau.31 ... maŋ.53 qun.53
12.78	square	ńau.31 ... maŋ.53 qau.53
12.81	round	ńau.31 ... maŋ.53 phak.13
12.82	circle	ńau.31 ... maŋ.53 te.323
12.83	sphere, ball	ńau.31 ... maŋ.53 ʔu.55
12.84	line	ti.33 waŋ.35
12.85	hole	soŋ.453
12.92	like, similar	sui.53
12.93	change	nun.212 lui.33
13.0	zero, nothing	jun.55
13.1	one	ńau.31; ńau.33
13.2	two	śu.323
13.3	three	ka.55
13.4	four	śu.55
13.5	five	ćəp.55
13.6	six	ćip.31
13.7	seven	sap.323
13.8	eight	pjhe.453
13.9	nine	pjhe.453
13.10	ten	qâi.35
13.101	eleven	qâi.35 ta.55
13.102	twelve	ća.55; ŋâm.55
13.103	fifteen	ńâp.35
13.104	twenty	ća.55
13.105	hundred	ləp.55, ləp.55 ńi.55; saŋ.212
13.106	thousand	phaŋ.35
13.107	count	thâm.453
13.14	every, all	səm.55 phaŋ.35; ki.55 phaŋ.35 phaŋ.35
13.15	much, many	tiŋ.53; ki.55 thâm.453
13.16	more	ki.55 phe.35
13.17	little (quantity), few	śo.53
13.18	enough	ke.55
13.181	some	maŋ.53
13.19	multitude, crowd	ta.53 na.323; ćoŋ.33 śən.33
13.21	full	ńau.31 ... taŋ.212 ta.53
13.22	empty	maŋ.53 wa.35
13.23	part, piece	maŋ.53 će.323
13.24	half	ćân.31; ljai.55
13.33	alone, only	toŋ.55
13.34	first	si.55
13.35	last	pâk.55
13.36	second	nam.212
13.37	pair	śit.55
13.38	two times	ljaŋ.212
13.42	third	śe.55
13.44	three times	mak.323
14.11	time	ńâk.55
14.12	age	jai.33
14.13	new	phaŋ.35
14.14	young	ćhən.13
14.15	old	kwhaŋ.13
14.16	early	thok.35
14.17	late	na.55
14.18	now	ńoŋ.212; ljok.55
14.19	immediately	maŋ.55
14.21	swift, fast, quick	jâm.55
14.22	slow	lin.53
14.23	hasten, hurry	pjiŋ.212
14.24	retard, delay	saŋ.212
14.25	begin, beginning	ćoŋ.53
14.252	last, endure	qâu.55
14.26	end (temporal)	ćut.323
14.27	finish	śam.55
14.28	cease, stop	si.53 waŋ.35
14.29	ready	qon.212
14.31	always	ton.212
14.32	often	ćâu.212; qon.212
14.33	sometimes	ləm.33
14.331	soon	ćəm.212
14.332	long-time (for a)	tâu.33; śeŋ.35 tâu.33
14.34	never	pjin.53
14.35	again	ljiŋ.212; qoŋ.35
14.41	day	jit.55
14.42	night	ńi.33
14.43	dawn	sam.35
14.44	morning	si.53
14.45	noon, midday	ŋo.31
14.451	afternoon	ljok.212
14.46	evening	sət.35
14.47	today	pet.323
14.48	tomorrow	ću.13
14.481	day-after-tomorrow	śəp.212
14.49	yesterday	śəp.212 jit.55
14.491	day-before-yesterday	śəp.212 ńi.33
14.51	hour	śəp.212 ŋo.31
14.53	clock, timepiece	ńi.33 śəp.212
14.61	week	pek.323
14.62	Sunday	tin.35
14.63	Monday	son.453
14.64	Tuesday	lət.35 lau.323
14.65	Wednesday	kuŋ.212
14.66	Thursday	śaŋ.33 kuŋ.212
14.67	Friday	jun.323
14.68	Saturday	khâm.453
14.71	month	ńâk.55 ćeŋ.53
14.73	year	tâu.31 ńən.212
14.74	winter	tik.323
14.75	spring	ćâŋ.53
14.76	summer	qoŋ.453
14.77	autumn	maŋ.33
14.78	season	maŋ.53
15.21	smell (vb intrans)	lau.323
15.212	sniff	ći.33 jit.55
15.22	smell (vb trans)	lət.35 lən.212
15.25	fragrant, good smelling	ći.33 ńi.33
15.26	stinking, bad smelling	śoŋ.55; toi.53
15.31	taste	ja.212 poi.33
15.35	sweet	ći.33 sam.35
15.36	salty	sam.35 poi.33
15.37	bitter	śi.212 tai.33
15.38	acid, sour	ńin.212 ći.33
15.39	brackish	mâi.453
15.41	hear	ńin.212 ći.33; ńin.212 ći.33 ʔun.323; ćha.13
15.42	listen	qau.53
15.44	sound, noise	lau.31
15.45	loud	pak.31
15.46	quiet, silence	sâm.55
15.51	see	we.35
15.52	look, look at	śi.212 nai.33
15.55	show	lâŋ.31
15.56	shine	hoi.453
15.57	bright	qân.55
15.61	color	ćat.212 ćut.323; kan.31 ćən.31
15.62	light (in color)	ŋu.33
15.63	dark (in color)	ćhi.13 thən.13; ćhi.13 tâu.212
15.64	white	lâm.31
15.65	black	sap.323 sət.55
15.66	red	kwhən.35
15.67	blue	sa.53
15.68	green	lai.55 la.31
15.69	yellow	hoŋ.212 he.212
15.71	touch	men.33
15.712	pinch	me.212 təm.33 śi.212
15.72	feel	qe.212 ćəŋ.55 ta.33 lən.212
15.74	hard	ćəŋ.55 lau.31
15.75	soft	qe.212 śoŋ.55
15.76	rough	si.55 tau.53; ʔeŋ.53 śon.33
15.77	smooth	kau.323 mân.55
15.78	sharp	kau.323 ńâm.53
15.79	blunt, dull	kwap.323 kwaŋ.55; ŋeŋ.31 mən.55
15.81	heavy	kau.323 jət.35
15.82	light (in weight)	kau.323 mân.55
15.83	wet, damp	ćot.31 mân.55 lən.212; lâp.35 mən.55
15.84	dry	kao.323 ńâm.53
15.85	hot	mân.55 nai.33
15.851	warm	mân.55 mu.323
15.86	cold	mân.55 lən.212
15.87	clean	mân.55 ńuŋ.55
15.88	dirty, soiled	mân.55 qun.53
15.89	wrinkled	ćoŋ.33 tâu.212
16.11	soul, spirit	ćoŋ.33
16.15	surprised, astonished	śən.33 ćhi.212
16.18	good fortune, luck	mân.55 śən.33 ćhi.212
16.19	misfortune, bad luck	śən.33 ćhi.212 ji.212
16.23	joyful, glad, happy	śən.33 ćhi.212 ʔə.55
16.25	laugh	śən.33 ćhi.212 sam.35
16.251	smile	śən.33 ćhi.212 si.453
16.26	play	śən.33 ćhi.212 ŋo.31
16.27	love	śən.33 ćhi.212 ljok.212
16.29	kiss	ńan.55
16.3	embrace	ńin.212
16.31	pain	mân.55 toŋ.55
16.32	grief, sorrow, sadness	mân.55 śən.55
16.33	anxiety, worry	mân.55 ha.453
16.34	regret, be sorry	mân.55 thu.35
16.35	pity	ćaŋ.212 so.323
16.37	cry, weep	ćaŋ.212 pjən.55
16.38	tear (noun)	ći.53
16.39	groan	ńən.55
16.41	hate	nən.31
16.42	anger	nən.31
16.44	envy, jealousy	taŋ.55
16.45	shame (noun)	ńən.55; ćhi.453 ńən.55; so.33 ńən.55
16.48	proud	wəi.33 tau.33
16.51	dare	sik.323; qe.212 wəi.33 tau.33
16.52	brave	kwhan.35
16.53	fear, fright	hat.55
16.54	danger	qâm.212
16.62	desire, want	səm.323
16.622	choose	wəi.33 tau.33 qe.212 lai.55
16.63	hope	li.323 ćhiŋ.453
16.65	faithful	ćhiŋ.453
16.66	true	so.33 qoŋ.323; so.33
16.67	lie, tell lies	so.33 lau.31
16.68	deceit	su.55 ćin.55; ćəm.53 ćiu.323
16.69	forgive	li.323 nu.53
16.71	good	nu.53; nâŋ.212
16.72	bad	sai.55 nu.53; sai.55 nâŋ.212
16.73	right, correct	ćiu.53
16.74	wrong	kwaŋ.55
16.76	fault	se.212 tau.55
16.77	mistake, error	ćha.13
16.78	blame	ćhân.35
16.79	praise	pak.31
16.81	beautiful	nâm.55
16.82	ugly	ja.453
16.83	greedy	pha.35 su.55
16.84	clever	su.55
17.11	mind	man.323
17.13	think (= reflect)	ljuk.31
17.14	think (= be of the opinion)	pân.13; injit.55
17.15	believe	mo.55; put.323
17.16	understand	kwa.323
17.17	know	ma.323
17.171	guess	ma.323 ma.323; ćoŋ.53 li.323
17.172	imitate	mut.323; qe.212 ljân.55
17.18	seem	ljân.55
17.19	idea, notion	jai.33
17.21	wise	təp.212
17.22	foolish, stupid	ćhân.35
17.23	insane, crazy	ćha.13
17.24	learn	jâk.55; nâm.33
17.242	study	so.323; liŋ.53
17.25	teach	śa.53 so.323
17.26	pupil	tun.55
17.27	teacher	sau.323
17.28	school	ljak.35; sin.55
17.31	remember	sin.55
17.32	forget	wa.53
17.34	clear, plain	ńâu.53
17.35	obscure	kwân.55
17.36	secret	jun.53
17.37	sure, certain	jən.33 ćhi.453 lai.55
17.38	explain	jən.33 ćhi.453 qe.212 lai.55; pi.55 śi.212
17.41	intention, purpose	kwan.35 ći.323; jəm.453 sai.323
17.42	cause	ko.55
17.43	doubt	ńəm.323 ko.55
17.44	suspect	we.31 pjan.323
17.441	betray	ljaŋ.35
17.45	need, necessity	śut.323
17.46	easy	ʔəm.323
17.47	difficult	qit.323
17.48	try, attempt	pha.453 sai.323
17.49	way, manner	śaŋ.33 śən.33; sâu.212 səm.55
17.51	and	hoi.33
17.52	because	jâk.212 sak.212
17.53	if	ne.323
17.54	or	nâm.31 ta.55
17.55	yes, affirmative	jən.55
17.56	no, negative	hən.323
17.61	how?	wet.323 ćhi.453; ʔâu.53 ćhi.453
17.62	how many?	hân.323
17.63	how much?	ʔe.55 se.212
17.64	what?	ŋau.55
17.65	when?	qam.323
17.66	where?	na.323 maŋ.55
17.67	which?	tam.323 mak.323
17.68	who?	jau.323
17.69	why?	wâi.212 śen.31
18.11	voice	mjuŋ.33
18.12	sing	qen.323
18.13	shout, cry out	mjuŋ.33
18.15	whisper	ćoŋ.33 ćən.212
18.16	mumble	ńəŋ.212
18.17	whistle	lâu.53 tiŋ.53
18.18	shriek, screech	lâu.53
18.19	howl	ńaŋ.33
18.21	speak, talk	lai.1
18.211	stutter, stammer	wai.33
18.22	say	toi.53; ćiŋ.53
18.221	tell story	loŋ.35
18.222	speech (make a)	loŋ.35 ta.33
18.23	silent (be)	loŋ.35
18.24	language	kwai.53 soi.31
18.26	word	qân.33
18.28	name	khân.35
18.31	ask (question, inquire)	ja.31
18.32	answer	mâu.212
18.33	admit, confess	kwai.55
18.34	deny	ńui.212 kau.323
18.35	ask, request	śaŋ.53
18.36	promise	pən.323 śaŋ.453; pən.323 ćhiŋ.453
18.37	refuse	sən.53
18.38	forbid	siŋ.323
18.39	rebuke, scold	jo.31
18.41	call (=summon)	ton.53
18.42	call (=name)	ćiu.53 jaŋ.33
18.43	announce	ćiŋ.53 tâu.33
18.44	threaten	ću.33 ji.53; mâi.31 śaŋ.453
18.45	boast	kwai.55
18.51	write	ʔe.323
18.52	read	ləm.212
18.56	paper	śo.212
18.57	pen	ńen.33 ćâu.55; śo.212 śi.212
18.61	book	qeu.323; qeu.323 le.212
18.67	poet	śo.212 sən.33
18.71	flute	lau.31 si.33
18.72	drum	śo.212 śau.55
18.73	horn, trumpet	ńən.33; ći.33
18.74	rattle	lam.212
19.11	country	thiŋ.35
19.12	one's native country	sât.55; sâk.55
19.15	city, town	ta.33 ljâm.323
19.16	village	ńəŋ.212; ńəŋ.212 ja.53 ćâk.212
19.17	boundary	siu.55
19.21	people (populace)	mu.212 ći.212
19.23	tribe, clan	we.31 maŋ.212
19.24	chief, chieftain	tâi.212 qi.323 ćən.31; qe.212 sən.53
19.25	staff, walking stick	qe.212 sən.53; qe.212 waŋ.453 səm.55
19.31	rule, govern	pâi.55 phan.35
19.32	king, ruler	ju.53; hoŋ.212 he.212 ju.53
19.33	queen	ji.35 li.323
19.36	noble, nobleman	ńât.323
19.37	citizen, subject	śi.53; śi.53 śi.53
19.41	master	faŋ.33 fa.212
19.42	slave	jin.35; kâp.35
19.43	servant	jin.55 jui.33
19.44	freeman	nu.53
19.45	command, order	nu.53 śi.33
19.46	obey	ćiŋ.53; toi.53
19.47	let, permit	qe.212; qâi.323 ćhaŋ.13
19.51	friend, companion	nu.35 haŋ.212 ?
19.52	enemy	ʔi.55 nu.35 ?
19.54	neighbor	nu.35 kuŋ.212 ?
19.55	stranger	maŋ.212
19.56	guest	śi.212 nu.35 ?
19.57	host	nu.35 ?
19.58	help, aid	muŋ.31 nu.35
19.59	hinder, prevent	nâu.212 ?
19.61	custom	wi.33 maŋ.212 ?; we.31 tu.212 maŋ.212
19.62	strife, quarrel	nai.33
19.63	conspiracy, plot	ki.55 nai.33
19.65	meet	ća.53
19.72	prostitute	ki.55 ća.53
20.11	fight (vb)	so.33
20.13	war, battle	to.323
20.14	peace	qa.55
20.15	army	sin.323; hem.31
20.17	soldier	li.31 kau.323 kha.35; li.31 si.58
20.21	weapons, arms	wa.33 səp.13
20.22	club	śui.55 wiu.35
20.222	battle-ax	hem.31 wiu.53 wiu.53
20.23	sling	hem.31 śo.53 śo.53
20.24	bow	qaŋ.323; qaŋ.323 li.31
20.25	arrow	ćân.212 ćân.212 ća.323 wa.33
20.26	spear	wa.323
20.27	sword	kwhan.31 ku.33
20.28	gun, cannon	wa.323 soŋ.55
20.31	armor (defensive)	qe.212 qaŋ.323 li.31
20.33	helmet	li.31
20.34	shield	si.33
20.35	fortress	kwan.55
20.36	tower	ćai.323; hâm.53
20.41	victory	śan.55
20.42	defeat	ljiŋ.53
20.43	attack	qe.212 ljiŋ.53
20.44	defend	ćâu.212
20.45	retreat	śan.55; ljiŋ.53
20.46	surrender	qâi.323
20.47	captive, prisoner	qe.212 ćən.31
20.471	guard, sentinel	kwa.53; ćot.323
20.48	booty, spoils	hem.31
20.49	ambush	sin.323 we.31
20.51	fisherman	śon.323 pu.55; koŋ.323 pu.55
20.52	fishhook	ha.212
20.53	fishing line	qhak.13 pu.323; ŋwa.35 pu.323 sət.55
20.54	fishnet	śa.323
20.55	fish trap	tok.212
20.56	bait	ćhi.13
20.61	hunt	pjət.55
20.62	shoot	le.212
20.63	miss (target)	śaŋ.33 qa.55
20.64	trap (noun)	ćik.31
20.65	trap (vb)	kuŋ.55
21.11	law	siu.55
21.15	court	quŋ.323 pem.55
21.16	judge (vb)	kwe.212 ća.33
21.17	judgment	kwak.55 tau.55; sən.55 tau.55
21.18	judge (noun)	śiŋ.212; ćən.55
21.21	plaintiff	sən.323
21.22	defendant	ti.33 qai.53
21.23	witness	jən.212 mjən.212
21.24	swear	pu.212 lak.212
21.25	oath	ńən.212 tâu.212
21.31	accuse	kwân.53
21.32	condemn	toŋ.31 ći.33; kwan.323
21.33	convict (vb)	waŋ.212 ći.53
21.34	acquit	mai.31 waŋ.212 ći.53
21.35	guilty	.koŋ.33 mjən.212
21.36	innocent	ću.323 qe.55
21.37	penalty, punishment	mjən.33 ljin.33
21.38	fine	ʔi.55
21.39	prison, jail	ćən.31; ńaŋ.33
21.42	murder	ho.323 ći.323; pjiŋ.212 pan.31
21.43	adultery	ti.212 jən.212
21.44	rape	ćok.31 khai.453
21.46	arson	ńən.212 śeŋ.55
21.47	perjury	qek.323
21.51	steal	ću.323 qe.55
21.52	thief	paŋ.55
22.11	religion	qe.212 ćən.31
22.12	God	kwen.53
22.13	temple, church	sən.323
22.14	altar	jən.33 mo.212
22.15	sacrifice, offering	tuŋ.323
22.16	worship	śaŋ.33 qheu.35; sən.323; tâu.323
22.17	pray	ćan.55 sən.323
22.18	priest	ho.212 pjən.212
22.19	holy, sacred	joŋ.53
22.22	preach	lak.31 joŋ.53
22.23	bless	wu.31 ći.35; pjən.33 ći.35
22.24	curse	sa.212
22.26	fast (vb)	kwan.55
22.31	heaven	na.323
22.32	hell	sin.53
22.35	demon (evil spirit)	mao.212
22.37	idol	ćen.55
22.42	magic, witchcraft, sorcery	śoŋ.53; pheu.453
22.43	sorcerer, witch	ta.212
22.44	fairy, elf	jiŋ.212
22.45	ghost, phantom	pai.55; qheu.35 pai.55
22.47	omen, portent	ćən.55 koŋ.33
	faŋ.212 śâu.31
	thoi.453
	tâu.212 śaŋ.212
	tâu.33 sap.55
	wâi.55 pjən.33; pu.55 sau.55
	ćan.55 lji.55 pjin.31
	pəp.212
	ńən.212 ʔau.55 pa.55
	ʔau.55 pa.55
	qâu.55 sip.323
	san.53 sip.323
	je.35
	śâi.55
	qau.55
	lam.55
	ńən.212 lam.55
	peŋ.53
	nuŋ.31
	peŋ.55 khe.13
	qəp.55
	we.31 qəp.55
	fa.212, fa.212 lu.212
	koŋ.33 taŋ.212; fa.212 jen.55
	ton.53
	ton.53
	fa.212 kon.33
	ńən.212 ći.31 su.55; jan.212 kau.55
	tâu.33 qau.53
	ćən.55 jən.212
	ćhi.453 si.33
	śon.33 si.33
	qau.53
	kwa.53
	phon.35 ... me.212 soi.53
	śon.33 pu.55 ... qe.212 soi.53
	me.212 soi.53
	qe.212 soi.53
	fa.212
	fa.212 kon.31
	lau.212
	sa.13
	soŋ.53 pi.55
	we.31 qa.323
	ljâk.212
	ńân.31
	sak.212
	ćoŋ.33 ćau.55
	śən. 212 khan.13; śoŋ.212 tâu.31 sa.212
	.tau.55 tâu.212
	sən.53
	.wei.33 ... pau.31 jâu.55
	ćot.323
	ćui.323
	.sâu.33.
	.śaŋ.33 sâu.33
	.śən.212 śen.33
	ćui.323
	jiŋ.53 ja.31
