entry_id	trans_english	Lengua_Phonemic
1.1	world	kyi-so-nel-wanmeŋ-kaɬa
1.21	earth, land	ɬapup
1.212	earth=ground, soil	ɬapup
1.213	dust	ɬapup anik
1.214	mud	yilpa
1.215	sand	yinkamith
1.22	mountain, hill	inkyiɬe
1.222	cliff, precipice	--
1.23	plain, field	paihe ɬapup
1.24	valley	yipwat-iam
1.25	island	ik-haiam ɬapup
1.26	mainland	--
1.27	shore	takaɬit yiŋmin
1.28	cave	--
1.31	water	yiŋmin
1.32	sea	--
1.322	calm (of sea)	-ky-inmant-eyi
1.323	rough (of sea)	--
1.324	foam	ik-yak-mopaia
1.329	ocean	--
1.33	lake	ik-yakyeŋ-waiam
1.34	gulf, bay	--
1.341	lagoon	saŋye
1.342	reef	--
1.343	headland, point	natakla watsam
1.35	wave	el-yakya-haiam
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	watsam; elwata
1.362	whirlpool	waiŋkyikmek yiŋmin
1.37	spring, well	yamilkyit
1.38	swamp	saŋye
1.39	waterfall	--
1.41	woods, forest	nathma
1.42	tree (cf 08.600)	yamit
1.43	wood	yantesiksik
1.44	stone, rock	mitaimaŋ
1.45	earthquake	ik-yohe-ka ɬapup
1.51	sky	netin
1.52	sun	(ik)him
1.53	moon	piltin
1.54	star	ap-yowa
1.55	lightning	-ki-lyin-ma
1.56	thunder	takha
1.57	lightning (as striking)	-ki-lyin-mukme
1.58	storm	kaihok anko ithkyiha-iam
1.59	rainbow	pimhit
1.61	light (noun)	elsiye
1.62	darkness	yaktes-ča-mathma
1.63	shade, shadow	piši-ši
1.64	dew	yalyi
1.71	air	--
1.72	wind	ap-yiam; ithky-aha-iam
1.73	cloud	yiphopaiya
1.74	fog	tiyam etin
1.75	rain (noun)	mameyi
1.76	snow (noun)	--
1.77	ice	yiam apuk
1.78	weather	--
1.81	fire	taɬa
1.82	flame (noun)	eya-lew-e
1.83	smoke (noun)	etin
1.84	ashes	tahap
1.841	embers	atith
1.851	burn (vb trans)	-watn-eyi
1.852	burn (vb intrans)	-mit-kyi
1.86	light, kindle, ignite	-watn-eyi
1.861	extinguish	-sapon-as-či
1.87	match (noun)	taɬa
1.88	firewood	yant-apuk
1.89	charcoal	atith
2.1	person, human being	enɬit
2.21	man (vs. woman)	enɬit
2.22	woman	(in)kilana
2.23	male	kilnawa
2.24	female	kilwana
2.25	boy	wukmaak
2.251	young man (adolescent)	wukmaak
2.26	girl	(in)kilana e-tkuk
2.261	young woman (adolescent)	(in)kilana e-tkuk
2.27	child	(in)sakyaa
2.28	infant, baby	(in)sakyaa
2.31	husband	-tawa
2.32	wife	-tawa
2.33	marry	-ki-lyamhap-kyi
2.34	marriage, wedding	se-lyamhap-ma
2.341	divorce	-yamasma -tawa
2.35	father	-yapam
