entry_id	trans_english	Wai_Wai_Phonemic
8.22	dig	ahto-ko
8.23	spade	čaaraΦa
8.24	shovel	čaaraΦa
8.25	hoe	Φururi
8.26	fork	
8.27	rake	
8.31	sow	čir-ko
8.311	seed	yathɨrɨ
8.32	mow, reap	
8.33	sickle, scythe	--
8.34	thresh	
8.35	threshing-floor	--
8.41	crop, harvest	eΦerɨrɨ yenmetoΦo
8.42	grain (barley, oats etc)	
8.43	wheat	Φuruma
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	nasɨ-nasɨ
8.48	rice	rayši
8.51	grass	čuuΦu
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	čir-ko
8.54	root	yi-miči-n
8.55	branch	∅-Φerem-ru
8.56	leaf	∅-yaa-rɨ
8.57	flower	∅-eΦermutu-n
8.6	tree	weewe
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	... + yatɨ
8.68	tobacco	kamahšu
8.69	smoke (tobacco)	kamahšu ɲesunukyasɨ
8.691	pipe	
8.72	tree stump	weewe mɨtɨ
8.73	tree trunk	weewe y-eΦu-∅
8.74	forked branch	∅-ekna-rɨ
8.75	bark	weewe Φičho
8.76	sap	weewe y-ehku-ru
8.81	palm tree	kuum waray
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	tušma y-eΦu-∅
8.85	banyan	--
8.91	sweet potato	Φaari
8.912	yam	naaΦi
8.92	tapioca, manioc, cassava	šeere; saraΦu
8.93	gourd	tutum
8.931	pumpkin, squash	
8.94	bamboo	raaΦu; šaari
8.941	sugar cane	Φaranči
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	ašΦi
9.11	do, make	ka ~ kas; kas-ko
9.12	work	et-aΦička-ra
9.14	bend	wananΦɨ-ra
9.15	fold	arama-ra
9.16	tie, bind	wi-mi-u
9.161	untie	wɨ-m-hoka-∅
9.18	chain	kanawa miči waray
9.19	rope, cord	ruuΦu
9.192	knot (noun)	
9.21	strike (hit, beat)	w-etaΦa-∅
9.211	pound with fist	wetaΦa oyamorɨ ke
9.22	cut	wɨ-hkoto-∅
9.221	cut down	w-aama-∅
9.222	chop, hew	w-aama-∅
9.223	stab	∅-Φaraška-∅
9.23	knife	mariya
9.24	scissors, shears	čarata
9.25	ax	yawaka
9.251	adze	
9.26	break	w-asikwo-∅
9.261	broken	t-ašikwo-so
9.27	split	wɨ-raka-∅
9.28	tear	w-ahšayka-∅
9.29	flay, skin	w-iΦi-ka-∅
9.31	rub, wipe	seke-seke kas-ko
9.32	stretch	w-ehyat-ka-∅
9.33	pull	wi-hšikɨ-∅
9.34	spread out	w-akΦaΦu-∅
9.341	hang up	w-amΦosoto-∅
9.342	press	w-atmunk-o
9.343	squeeze, wring	w-atmunk-o
9.35	pour	w-arka-∅
9.36	wash	∅-koroka-∅
9.37	sweep	w-aywa-∅
9.38	broom	wačmiyku
9.422	tool	
9.43	carpenter	
9.44	build	w-akɨhto-∅
9.46	bore	∅-Φotokoma-∅
9.461	hollow out	w-akoroka-∅
9.48	saw	sahsa
9.49	hammer	aama
9.5	nail	Φotu-Φotu-ri
9.56	glue	č-ehku-ke-m
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[ooru]
9.65	silver	[Φrata]
9.66	copper, bronze	[mɨronse]
9.67	iron	[Φeehu]
9.68	lead (noun)	[šumbu]
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	∅-kaaΦu-∅
9.73	clay	er̃mo
9.74	glass	[Φatiri]
9.75	weave, plait	∅-kaaΦu-∅
9.76	basket	
9.77	mat	
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	wayaΦamsɨ
9.791	fan (vb)	w-ayΦo-∅
9.81	carve	w-enΦorɨ-w
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	yɨ-sΦo-ma-čho
9.89	paint (vb)	wɨ-sΦo-ma-∅
10.11	move	etaka-kɨ
10.12	turn over	aknama-kɨ
10.13	turn around	aknama-kɨ
10.14	wind, wrap	armomi-ko
10.15	roll	yɨ-hmama-kɨ
10.16	drop (vb)	ar̃ma-ra
10.17	twist	ekma-kɨ
10.21	rise	awom-ko
10.22	raise, lift	anɨm-ko
10.23	fall	eΦɨrka-ra
10.24	drip	nɨ-krok-wa
10.25	throw	ar̃ma-kɨ
10.252	catch (ball)	
10.26	shake	enɨhma-kɨ
10.32	flow	nɨ-hč-e-sɨ
10.33	sink	emɨč-ko
10.34	float	Φuru-Φuru-Φe nasɨ
10.35	swim	Φere-na-sɨ
10.351	dive	
10.352	splash	
10.36	sail (vb)	--
10.37	fly (vb)	ari-m-ra
10.38	blow	Φuu kas-ko
10.41	creep, crawl	
10.412	kneel	kosokmuru Φo čeremačerɨ
10.413	crouch	
10.42	slide, slip	sehrere mɨɨkesɨ
10.43	jump, leap	ahro-m-ko
10.431	kick	ahta-rɨ ke etaΦa-kɨ
10.44	dance	ma-m-ra
10.45	walk	etar̃-ko
10.451	limp	
10.46	run	emahči-ko
10.47	go	eto-ko
10.471	go up	awnu-ko
10.472	climb	kayi-na-sɨ
10.473	go down	enɨhto-ko
10.474	go out	k-eΦataka-∅
10.48	come	k-mok-∅
10.481	come back	∅-mok-o hara
10.49	go away, depart	eto-ko
10.491	disappear	ɲ-es-en-Φonka-∅
10.51	flee	emahči-ko
10.52	follow	noro wena-ri eto-ko
10.53	pursue	noro yahsɨso eto-ko
10.55	reach, arrive	
10.56	approach	meyehra tomo
10.57	enter	ewom-ko
10.61	carry (bear)	ar-ko
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	ekɨh-ra
10.63	send	ar-Φo-ko
10.64	lead (vb)	waar̃asɨ
10.65	drive	waar̃asɨ
10.66	ride	yɨmkaw kɨwčesɨ
10.67	push, shove	maška-kɨ
10.71	road	tarara yesamarɨ
10.72	path	esama
10.74	bridge	ehyu
10.75	carriage, wagon, cart	tarara
10.76	wheel	yɨ-hta-rɨ
10.77	axle	
10.78	yoke	yɨ-Φɨm-tawno
10.81	ship	--
10.83	boat	kanawa
10.831	canoe	kanawa
10.832	outrigger	--
10.84	raft	
10.85	oar	wayaΦu
10.851	paddle (noun)	wayaΦu
10.852	row (vb)	kweykwey kas-ko
10.86	rudder	makor̃mačho
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	nakwa
10.92	land (vb)	awom-ko
11.11	have	
11.12	own, possess	
11.13	take	ahsɨ-ko
11.14	seize, grasp	
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	ahsɨ-Φɨnka-ra
11.18	thing	--
11.21	give	tɨm-ko
11.22	give back	yɨ-rama-n-ko
11.24	preserve, look after	yu-kurun-Φe-ko
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	nɨwɨrɨma
11.31	seek, look for	ɲ-eΦorɨ-∅
11.32	find	ɲ-enw-o
11.33	lose	
11.34	release, let go	ahsɨ-Φɨnka-kɨ
11.43	money	Φuranta
11.44	coin	ešeΦeyu
11.51	rich	tu-Φurantay
11.52	poor	yu-Φuranta-mra
11.53	beggar	ehsama-ra
11.54	avaricious, stingy	n-ame-na
11.61	lend	
11.62	borrow	
11.63	owe	weΦethɨka
11.64	debt	--
11.65	pay (vb)	w-eΦema-∅
11.66	account, reckoning	
11.69	tax, tribute	kayaritomo Φuranta-n
11.77	hire	
11.78	wages	oyetaΦičkatamči
11.79	earn	
11.81	buy	
11.82	sell	
11.83	trade, barter	k-warawa-n-ta
11.84	merchant	
11.85	market (place)	k-warawa-n-ta-čho
11.86	store, shop	
11.87	price	∅-eΦethɨ-rɨ
11.88	dear (costly, expensive)	č-eΦethɨ-ke
11.89	cheap	eΦethɨ-m-ra
11.91	share (distribute)	
11.92	weigh	
12.1	after	ero ma-hyaka
12.11	behind	yɨ-mka-y
12.2	beside	yɨ-mɨt-wo
12.3	down, below	rooΦore ɲhe
12.4	before	... + -hn-aw
12.41	front	∅-Φotu-ru
12.5	inside, in	ero yaw
12.6	outside	ero yaw-hra
12.7	under	ero makataw
12.8	up, above	kahsɨ en-ko; eΦoyi
12.11	place	kanawa-tho to
12.12	put	iina č-ir-ko
12.13	sit	erema-kɨ
12.14	lie down	etɨ-raΦo-ko
12.15	stand	Φiiri awom-ko
12.16	remain, stay	eč-ečeto-ko
12.17	remains, left overs	
12.21	collect, gather	enmekɨ-ra
12.212	pick up	amekɨ-ra
12.213	pile up	enmekɨ-ra
12.22	join, unite	asɨsɨkno-ko
12.23	separate	akΦa-kɨ
12.232	divide	wɨ-račo-nk-e-sɨ
12.24	open	ahru-nka-kɨ
12.25	shut, close	ahru-ko
12.26	cover	ahru-ko
12.27	hide, conceal	eyam-ko
12.31	high	kaw
12.32	low	rooΦore
12.33	top	yɨ-htɨΦɨ-rɨ
12.34	bottom	maΦi-rɨ
12.35	end	maΦi-rɨ
12.352	pointed	t-Φot-ke
12.353	edge	eɲetɨ
12.36	side	awči
12.37	middle, center	rakataw
12.41	right (side)	kar̃me
12.42	left (side)	Φowame
12.43	near (adv)	meye-hra
12.44	far (adv)	meye; mooše
12.45	east	kaamo yeΦatakačho
12.46	west	kaamo yemičitoΦo
12.47	north	nohči
