entry_id	trans_english	Wai_Wai_Phonemic
1.1	world	roowo
1.21	earth, land	roowo
1.212	earth=ground, soil	roowo
1.213	dust	
1.214	mud	aΦačak-rɨ
1.215	sand	ašawa
1.22	mountain, hill	ɨɨΦɨ; matɨwɨ-n
1.222	cliff, precipice	čawawa
1.23	plain, field	woskara
1.24	valley	akawa-n
1.25	island	čiwya
1.26	mainland	
1.27	shore	ečhɨ-rɨ
1.28	cave	ewta-rɨ
1.31	water	tuuna
1.32	sea	tuuna ymo
1.322	calm (of sea)	tɨt-Φe
1.323	rough (of sea)	ɲ-ewčoko-čoko-na
1.324	foam	wakro-n
1.329	ocean	tuuna ymo
1.33	lake	ɲikitho
1.34	gulf, bay	yu-kuhya
1.341	lagoon	yu-kuhya
1.342	reef	
1.343	headland, point	
1.35	wave	ewčoko-čoko-n
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	eeΦu; tuuna yeΦu
1.362	whirlpool	
1.37	spring, well	tuuna Φɨ-tho
1.38	swamp	krarasɨ
1.39	waterfall	kahši
1.41	woods, forest	čomota
1.42	tree (cf 08.600)	weewe
1.43	wood	weewe
1.44	stone, rock	tooΦu
1.45	earthquake	
1.51	sky	kaaΦu
1.52	sun	kaamo
1.53	moon	nuuɲi
1.54	star	šir̃ko
1.55	lightning	ΦeΦe ka-ɲe
1.56	thunder	tarayi
1.57	lightning (as striking)	
1.58	storm	očowo
1.59	rainbow	kukawa
1.61	light (noun)	weeyu; katΦa-n
1.62	darkness	awarΦa-n
1.63	shade, shadow	ekatɨ
1.64	dew	čičakɨ
1.71	air	očowo
1.72	wind	očowo
1.73	cloud	kaaΦu smun
1.74	fog	kaweresɨ
1.75	rain (noun)	tuuna
1.76	snow (noun)	--
1.77	ice	
1.78	weather	
1.81	fire	wehto
1.82	flame (noun)	wehto
1.83	smoke (noun)	yɨ-sɨn
1.84	ashes	wemronho ~ wermonho
1.841	embers	wehto roro-n
1.851	burn (vb trans)	akɲi-ko
1.852	burn (vb intrans)	ečakɨ-ra
1.86	light, kindle, ignite	yiri-ko
1.861	extinguish	eyihka-kɨ
1.87	match (noun)	
1.88	firewood	o-wehto-rɨ
1.89	charcoal	yi-hširo-rɨ
2.1	person, human being	tooto
2.21	man (vs. woman)	kɨɨrɨ
2.22	woman	woošam
2.23	male	kɨɨrɨ
2.24	female	woosɨ
2.25	boy	kɨɨrɨ mren
2.251	young man (adolescent)	kar̃Φamšan
2.26	girl	emasɨ
2.261	young woman (adolescent)	emasɨ
2.27	child	rikomo
2.28	infant, baby	rikomo
2.31	husband	aa-ɲo
2.32	wife	yi-Φi-či
2.33	marry	et-ahsɨ-ra
2.34	marriage, wedding	et-ahsɨ-toΦo
2.341	divorce	et-ow-toΦo
2.35	father	yɨɨm; aa-mo
2.36	mother	yɨ-son; noro yon
2.37	parents	yɨɨm komo
2.38	married man	č-ih-ye-m
2.39	married woman	čiiɲoye-m
2.41	son	o-mumu-ru; omrerɨ
2.42	daughter	oyemsɨrɨ
2.43	offspring (son or daughter)	o-mšɨk-rɨ
2.44	brother	oy-akno; oy-eΦeka
2.444	older brother	
2.445	younger brother	
2.45	sister	oy-eΦeka; oy-akno
2.454	older sister	
2.455	younger sister	
2.456	sibling	--
2.458	twins	asak-no
2.46	grandfather	∅-Φori-n
2.461	old man	Φori-tomo
2.47	grandmother	yɨ-noči
2.471	old woman	nor̃wa
2.48	grandson	∅-Φarɨ
2.49	granddaughter	∅-Φarɨ
2.51	uncle	--
2.511	mother's brother	o-tam-ru
2.512	father's brother	yɨɨm
2.52	aunt	--
2.521	mother's sister	yɨ-son
2.522	father's sister	o-tam-ru
2.53	nephew	
2.54	niece	--
2.55	cousin	oy-akno
2.56	ancestors	Φorin Φen komo
2.57	descendants	k-eΦam-thɨrɨ
2.61	father-in-law (of a man)	o-tam-ru
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	∅-wayam-nu
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	o-Φamo-rɨ
2.631	son-in-law (of a woman)	wayam-nu
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	∅-Φor̃mam-no-ɲe
2.72	stepmother	∅-Φor̃mam-no-ɲe
2.73	stepson	yɨ-n-Φor̃mam-no-rɨ
2.74	stepdaughter	yɨ-n-Φor̃mam-no-rɨ
2.75	orphan	yɨmɨ-∅-hnɨ
2.76	widow	iiɲo-m-nɨ
2.77	widower	yi-Φi-∅-hnɨ
2.81	relatives, kinsmen	o-yana-n komo
2.82	family	--
2.91	I	owɨ
2.92	you (singular)	amoro
2.93	he/she/it	noro; noro; ero
2.94	we	--
2.941	we (inclusive)	kɨɨwɨ; kɨwyam
2.942	we (exclusive)	amna
2.95	you (plural)	amyamro
2.96	they	mošam; ɲešamro
3.11	animal	o-yoku-∅
3.12	male (adj)	kɨɨrɨ
3.13	female (adj)	woosɨ
3.15	livestock	o-yoku-∅
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[Φaaka]
3.21	bull	[Φaaka] kɨɨrɨ
3.22	ox	--
3.23	cow	[Φaaka] woosɨ
3.24	calf	[Φaaka] šɨkrɨ
3.25	sheep	oΦer̃a; kahɲeru
3.26	ram	oΦer̃a; kahɲeru kɨɨrɨ
3.28	ewe	oΦer̃a; kahɲeru woosɨ
3.29	lamb	oΦer̃a; kahɲeru šɨkrɨ
3.32	boar	[kuuši] kɨɨrɨ
3.34	sow	[kuuši] woosɨ
3.35	pig	[kuuši] šɨkrɨ
3.36	goat	kooso
3.37	he-goat	kooso kɨɨrɨ
3.38	kid	kooso šɨkrɨ
3.41	horse (equine)	[kawaru]
3.42	stallion	[kawaru] kɨɨrɨ
3.44	mare	[kawaru] woosɨ
3.45	foal, colt	[kawaru] šɨkrɨ
3.46	ass, donkey	kmuhu
3.47	mule	--
3.5	fowl	
3.52	cock, rooster	kaΦikara kɨɨrɨ
3.54	hen	kaΦikara woosɨ
3.55	chicken	kaΦikara
3.56	goose	--
3.57	duck	yuruma
3.58	nest	akowe-rɨ
3.581	bird	torowo
3.582	seagull	--
3.583	heron	onowa
3.584	eagle	
3.585	hawk	wikoko
3.586	vulture	
3.591	bat	rere
3.592	parrot	
3.593	crow	
3.594	dove	Φotkuku
3.596	owl	
3.61	dog	šaΦari
3.614	rabbit	[rekmet]
3.62	cat	kamarači
3.622	opossum	yawari
3.63	mouse, rat	mukuku; čawa
3.65	fish	ootɨ
3.652	fin (dorsal)	katɨhΦoči
3.653	fishscale	yɨ-ΦɨΦɨ-thɨrɨ
3.654	gill	
3.655	shell	
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	šΦari
3.665	freshwater eel	kašmi
3.71	wolf	
3.72	lion	reyaw; kamara ymo
3.73	bear	--
3.74	fox	rokohči
3.75	deer	kooso; Φiškaru
3.76	monkey	
3.77	elephant	
3.78	camel	[kameru]
3.81	insect	
3.811	louse	oyomo
3.812	nit (louse egg)	
3.813	flea	kuΦama; sɨɨko
3.814	centipede	maΦeΦe
3.815	scorpion	čikiri
3.816	cockroach	mahčaru
3.817	ant	
3.818	spider	moyosɨ
3.819	spider web	moyoskoto
3.82	bee	weenu
3.821	beeswax	
3.822	beehive	weenu mɨn
3.823	wasp	okomo
3.83	fly	were-were
3.831	sandfly (midge), gnat	mɨrɨwɨtɨ; Φehwo
3.832	mosquito	masakɨ
3.84	worm	kar̃wa
3.85	snake	okoyi
3.91	firefly	ΦeΦeyuru
3.92	butterfly	tama-tama
3.93	grasshopper	makaka
3.94	snail	Φooto
3.95	frog	pororɨ; kuuto
3.96	lizard	šukurwa; kwaana
3.97	crocodile, alligator	watwa
3.98	turtle	kwači; wayam
4.11	body	yu-Φu-n
4.12	skin, hide	o-hčɨΦɨ-rɨ; Φičho
4.13	flesh	yu-Φu-n
4.14	hair (head)	o-hΦo-či
4.142	beard	∅-etΦo-či
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	
4.15	blood	kamšuku
4.151	vein, artery	
4.16	bone	o-yočho-∅
4.162	rib	
4.17	horn	∅-meretɨ-rɨ
4.18	tail	∅-matkɨ-rɨ
4.19	back	∅-maši-rɨ
4.191	spine	∅-katΦɨ-rɨ
4.2	head	o-htɨΦɨ-rɨ
4.201	side of head, temple	
4.202	skull	
4.203	brain	yɨ-htɨΦɨ-rɨ y-arɨ-rɨ
4.204	face	∅-eeΦata-rɨ
4.205	forehead	∅-Φe-rɨ
4.207	jaw	i-yohya-rɨ
4.208	cheek	∅-eeΦata-rɨ
4.209	chin	i-yohya-rɨ
4.21	eye	oy-ew-ru
4.212	eyebrow	∅-eΦiširo-rɨ
4.213	eyelid	∅-ew-ru Φičho
4.214	eyelash	oy-ewkΦo-či
4.215	blink	k-ewkΦe-na-sɨ
4.22	ear	o-Φana-rɨ
4.221	earlobe	
4.222	earwax	
4.23	nose	oy-ewna-rɨ
4.231	nostril	
4.232	mucus (nasal)	ewnašku
4.24	mouth	o-mta-rɨ
4.241	beak	∅-Φotu-ru
4.25	lip	o-mta-rɨ Φičho
4.26	tongue	∅-ɲu-ru
4.27	tooth	o-yo-rɨ
4.271	gums	o-yo-rɨ Φičho
4.272	molartooth	
4.28	neck	o-Φɨmɨ-rɨ
4.281	nape of neck	
4.29	throat	∅-eeše-∅
4.3	shoulder	o-mota-rɨ
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	∅-aΦo-rɨ
4.312	armpit	oy-eyata-rɨ
4.32	elbow	oy-aΦoresɨ-rɨ
4.321	wrist	oy-emeknu-∅
4.33	hand	oy-amo-rɨ
4.331	palm of hand	oy-amo-y-ereta-rɨ
4.34	finger	oy-amo-y-ara-n
4.342	thumb	oy-amo-rɨ yemhɨtho
4.344	fingernail	oy-amo-šošo-n
4.345	claw	∅-amo-šošo-n
4.35	leg	
4.351	thigh	o-Φetɨ-∅
4.352	calf of leg	o-hreΦu-∅
4.36	knee	oy-osokm-ru
4.37	foot	o-hta-rɨ
4.371	ankle	o-hrak-nu
4.372	heel	o-hrak-nu
4.374	footprint	o-wena-tho
4.38	toe	o-hro-rɨ
4.392	wing	∅-aΦo-rɨ
4.393	feather	yɨ-hΦo-či
4.4	chest	oy-ewa-n
4.41	breast (of woman)	∅-manatɨ-rɨ
4.412	nipple, teat	
4.42	udder	∅-manatɨ-rɨ
4.43	navel	o-Φoɲu-ru
4.44	heart	čoro
4.441	lung	soso
4.45	liver	oy-ere-rɨ
4.451	kidney	o-Φar̃kaka-n
4.452	spleen	
4.46	stomach	o-wetho-∅
4.461	intestines, guts	∅-weškiriri-n
4.462	waist	∅-wečik-rɨ
4.463	hip	
4.464	buttocks	
4.47	womb	
4.49	testicle	∅-em-ru
4.492	penis	∅-Φɨtɨ-n
4.51	breathe, breath	oy-aΦeΦe-n
4.52	yawn, gape	emčaΦɨ-ra
4.521	hiccough	kɨ-čoko-na-sɨ
4.53	cough	oy-ato-n
4.54	sneeze	ači-m-ra
4.55	perspire	k-Φeramk-wa-sɨ
4.56	spit	kučΦi kasko
4.57	vomit	wenarɨ
4.58	bite	eska-kɨ
4.59	lick	smesme kas-ko
4.591	dribble	nɨ-mta-wakro-n-wa
4.61	sleep	yɨ-wɨnkɨ-ra
4.612	snore	kororo nɨɨka
4.62	dream	o-woso-to wenwo
4.63	wake up	k-Φaka-∅
4.64	break wind	
4.65	urinate	ku-šuk-wa-sɨ
4.66	defecate	w-ek-e-sɨ
4.67	have sexual intercourse	yu-kukma-ra
4.68	shiver	kɨ-tata-na-sɨ
4.69	bathe	k-eyeΦu-∅
4.71	beget (of father)	tɨ-mšɨk-rɨ ɲi-ir-e
4.72	born (to be)	ɲ-ewru-∅
4.73	pregnant	t-ar-ke
4.732	conceive	et-ahsɨ-ra
4.74	live, living, life	wayΦɨ-ra
4.75	die, dead	t-wayh-so
4.751	drowned	es-erinatka-ra
4.76	kill	∅-wayh-ka-kɨ
4.77	corpse	okoΦu-tho
4.78	bury (the dead)	∅-ahru-ko
4.79	grave, tomb	iyočho y-ewta-rɨ
4.81	strong, mighty, powerful	kar̃Φe
4.82	weak	kar̃Φe-ra
4.83	well, health	kar̃Φe
4.84	sick, sickness	n-amoto-ya-∅
4.841	fever	očoro
4.842	goiter	
4.843	cold (catarrh)	ewna-šku
4.85	wound, sore	ɲ-ere-wa-∅
4.852	bruise	wɨ-hma-∅
4.853	swelling	tu-Φuruk-ye
4.854	itch	o-skɨ-skɨ-m-e-sɨ
4.855	blister	k-amo-šokwe-n-ta-∅
4.856	boil (noun)	erekɨ
4.857	pus	nɨ-kmor-wa-∅
4.858	scar	iyothɨrɨ
4.86	cure, heal	ɲičih-ya-sɨ
4.87	physician	k-ehčema-ɲe
4.88	medicine, drug	ehči
4.89	poison	k-masma-čho
4.91	tired, weary	k-e-kar̃-ka-∅
4.912	rest	
4.92	lazy	ku-wuɲ-wa-sɨ
4.93	bald	yɨ-hΦo-ra
4.94	lame	yɨ-hreΦu-ra
4.95	deaf	Φana-hra
4.96	mute	yɨ-mtaΦota-n
4.97	blind	ewu-hra
4.98	intoxicated	∅-we-na-sɨ
4.99	naked, bare	Φono-m-ra
5.11	eat	tono-hra; aΦu-hra
5.12	food	erewsɨ
5.121	cooked	ečorɨ-ra
5.122	raw	ečorɨ-ra
5.123	ripe	
5.124	green, unripe	yuΦuyme
5.125	rotten	t-mata-ši
5.13	drink	erɨ-hra
5.14	hunger	rooma
5.141	famine	rooma
5.15	thirst	owokru še wasɨ
5.16	suck	
5.18	chew	amčikɨ-ra
5.181	swallow	
5.19	choke	k-emɨrΦ-o
5.21	cook	
5.22	boil (vb)	tɨyo-hra
5.23	roast, fry	yu-Φuru-ra
5.24	bake	ay-ko
5.25	oven	--
5.26	pot, cooking vessel	tahrem
5.27	kettle	
5.28	pan	er̃Φoči
5.31	dish	
5.32	plate	paayu
5.33	bowl	tutum
5.34	pitcher, jug	weer̃a
5.35	cup, drinking vessel	Φarakwe
5.36	saucer	
5.37	spoon	waraΦaΦoturu
5.38	knife	mariya
5.39	fork	Φarata waray
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	yɨ-hčɨΦɨ-rɨ
5.47	sieve, strain	manari; tuuwa
5.48	scrape	kwere-kwere kas-ko
5.49	stir, mix	yu-kum-to-ko
5.51	bread	čuure
5.53	dough	
5.54	knead	
5.55	meal, flour	kwašarɨ
5.56	crush, grind	akih-ko
5.57	mill	akih-toΦo
5.58	mortar	aaku
5.59	pestle	ak ɲiyo
5.61	meat	oy-otɨ-∅
5.63	sausage	--
5.64	soup, broth	kašara
5.65	vegetables	o-nah-rɨ
5.66	bean	kumasa
5.7	potato	
5.71	fruit	o-nah-rɨ
5.712	bunch	yɨ-Φɨmɨ-rɨ
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	katɨ
5.791	grease, fat	katɨ
5.81	salt	yɨmɨtɨ
5.82	pepper	asɨsɨ
5.821	chili pepper	
5.84	honey	weenu
5.85	sugar	[šuuka]
5.86	milk (noun)	mownu
5.87	milk (vb)	ewku-ka-ra
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	wooku
5.91	mead	
5.92	wine	--
5.93	beer	Φučukwa
5.94	fermented drink	kawaši-ye-m
5.97	egg	yuhme
5.971	egg yolk	
6.11	put on (clothes)	amru-ra
6.12	clothing, clothes	Φoono
6.13	tailor	--
6.21	cloth	Φoono
6.22	wool	
6.23	linen, flax	--
6.24	cotton	mawrɨ
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	[Φaaka] Φičho
6.31	spin	ekΦosɨ-ra
6.32	spindle	ΦoΦoku
6.33	weave	kaΦu-hra
6.34	loom	
6.35	sew	atΦo-ra
6.36	needle	[kuusa]
6.37	awl	kuwi-kuwi
6.38	thread	mawɨrka
6.39	dye	yu-ču-re-ra
6.41	cloak	
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	awrutawno Φoono
6.45	collar	
6.46	skirt	saaya
6.461	grass-skirt	--
6.48	trousers	[kamisa]
6.49	stocking, sock	kɨ-hta-rɨ wom
6.51	shoe	kɨ-hta-rɨ
6.52	boot	kɨ-hta-rɨ
6.54	shoemaker, cobbler	--
6.55	hat, cap	šaΦika
6.57	belt, girdle	aaɲaΦotu
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	Φoono yewru
6.63	pin	sum
6.71	ornament, adornment	Φoroku
6.72	jewel	--
6.73	ring (for finger)	oy-amo-yekna-rɨ
6.74	bracelet	emekna
6.75	necklace	o-wa-rɨ
6.76	bead	kɨričiči
6.77	earring	Φana-tarɨ
6.78	headband, headdress	aroko
6.79	tattoo	
6.81	handkerchief, rag	Φoono-tho
6.82	towel	kooso wetho
6.91	comb	wayamaka-sɨ
6.92	brush	
6.921	braid	
6.93	razor	kuɲimiši
6.94	ointment	
6.95	soap	sakmo
6.96	mirror	kanaΦa
7.11	dwell, live	... + Φono + ...
7.12	house	mɨɨmo
7.13	hut	mɨɨmo
7.131	garden-house	
7.14	tent	roona
7.15	yard, court	roro
7.16	men's house	
7.17	cookhouse	et-aΦička-toΦo
7.18	meeting house	k-es-enme-toΦo
7.21	room	amtakΦo
7.22	door, gate	metata
7.221	doorpost, jamb	metata yečeΦu
7.23	lock (noun)	ewkačho
7.231	latch, door-bolt	
7.24	key	ewkačho
7.25	window	ewkanaΦa
7.26	floor	kurara
7.27	wall	waača
7.31	fireplace	
7.32	stove	wehto yen
7.33	chimney	yɨ-sɨn yeΦatakačho
7.37	ladder	ehyu
7.42	bed	kuywa
7.421	pillow	
7.422	blanket	aam
7.43	chair	aaΦo
7.44	table	aaΦo
7.45	lamp, torch	ramha
7.46	candle	
7.47	shelf	aaΦo
7.48	trough	
7.51	roof	mɨɨmo
7.52	thatch	mɨɨmo Φo-či
7.53	ridgepole	yɨretɨrɨ
7.54	rafter	kamru
7.55	beam	makwanan
7.56	post, pole	mapata
7.57	board	sahsamašaΦu
7.58	arch	--
7.61	mason	--
7.62	brick	kawau amnonošaΦu
7.63	mortar	
7.64	adobe	kawau amnonošaΦu
8.11	farmer	
8.12	field (for cultivation)	mararɨ
8.13	garden	naatɨ
8.15	cultivate, till	∅-Φoom-e-∅
8.16	fence	waača
8.17	ditch	
8.21	plow	Φomo-toΦo
8.212	furrow	
