entry_id	trans_english	Rapa_Nui_Phonemic
1.1	world	ao
1.21	earth, land	henua
1.212	earth=ground, soil	ʔoʔone
1.213	dust	puŋaʔehu
1.214	mud	rare-rare
1.215	sand	ʔone
1.22	mountain, hill	maʔuŋa
1.222	cliff, precipice	ʔopata
1.23	plain, field	pararaha
1.24	valley	
1.25	island	motu
1.26	mainland	hiva
1.27	shore	taha-taha vai-kava; taha-tahatai
1.28	cave	ʔana
1.31	water	vai
1.32	sea	vai-kava
1.322	calm (of sea)	mār-ia
1.323	rough (of sea)	pari
1.324	foam	kuta-kuta vai-kava
1.329	ocean	
1.33	lake	roto
1.34	gulf, bay	haŋa
1.341	lagoon	roto
1.342	reef	
1.343	headland, point	ihu
1.35	wave	vave
1.352	tide	tai
1.353	lowtide	tai papaku
1.354	hightide	tai uʔa
1.36	river, stream, brook	
1.362	whirlpool	
1.37	spring, well	
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	
1.42	tree (cf 08.600)	tumu
1.43	wood	miro
1.44	stone, rock	maʔea
1.45	earthquake	
1.51	sky	raŋi
1.52	sun	raʔā
1.53	moon	mahina
1.54	star	hetuʔu
1.55	lightning	ʔuira
1.56	thunder	pātiri
1.57	lightning (as striking)	ure titiʔo moana
1.58	storm	ʔati
1.59	rainbow	hanua-nua mea
1.61	light (noun)	maʔeha; morī
1.62	darkness	pōhāhā; poʔura
1.63	shade, shadow	kohu
1.64	dew	hupe
1.71	air	hahau
1.72	wind	tokerau
1.73	cloud	raŋi
1.74	fog	kapua
1.75	rain (noun)	ʔua
1.76	snow (noun)	
1.77	ice	[pape toʔe-toʔe]
1.78	weather	
1.81	fire	ahi
1.82	flame (noun)	ura
1.83	smoke (noun)	ʔau
1.84	ashes	ʔeo-ʔeo
1.841	embers	mara-mara
1.851	burn (vb trans)	tutu
1.852	burn (vb intrans)	vera; hū
1.86	light, kindle, ignite	haka hū
1.861	extinguish	tiŋaʔi; haka mate
1.87	match (noun)	[mati]
1.88	firewood	huka-huka
1.89	charcoal	ʔarahu
2.1	person, human being	taŋata
2.21	man (vs. woman)	taŋata
2.22	woman	viʔe
2.23	male	tane
2.24	female	vahine
2.25	boy	poki tane
2.251	young man (adolescent)	poki tane taŋa
2.26	girl	poki vahine
2.261	young woman (adolescent)	poki vahine taŋa
2.27	child	poki
2.28	infant, baby	poki
2.31	husband	kenu
2.32	wife	viʔe
2.33	marry	haipo-ipo
2.34	marriage, wedding	haipo-ipo
2.341	divorce	
2.35	father	[pāpā]
2.36	mother	[māmā]
2.37	parents	
2.38	married man	taŋata haipo-ipo
2.39	married woman	viʔe haipo-ipo
2.41	son	poki tane
2.42	daughter	poki vahine
2.43	offspring (son or daughter)	poki
2.44	brother	taina (tane poreko)
2.444	older brother	matahiapo
2.445	younger brother	taina tane hopeʔa
2.45	sister	taina (vahine poreko)
2.454	older sister	matahiapo
2.455	younger sister	taina vahine hopeʔa
2.456	sibling	taina
2.458	twins	hauvā ~ hauā
2.46	grandfather	[papa]-ruʔau
2.461	old man	koro-huʔa
2.47	grandmother	[mama]-ruʔau
2.471	old woman	ruʔau
2.48	grandson	makupuna tane
2.49	granddaughter	makupuna vahine
2.51	uncle	[papa-tio]
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	[mama-tia]
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	taina
2.56	ancestors	tupuna; mata-muʔa
2.57	descendants	haka ara
2.61	father-in-law (of a man)	huŋavai tane
2.611	father-in-law (of a woman)	huŋavai tane
2.62	mother-in-law (of a man)	huŋavai vahine
2.621	mother-in-law (of a woman)	huŋavai vahine
2.63	son-in-law (of a man)	hunoŋa tane
2.631	son-in-law (of a woman)	hunoŋa tane
2.64	daughter-in-law (of a man)	hunoŋa vahine
2.641	daughter-in-law (of a woman)	hunoŋa vahine
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	hove vahine
2.77	widower	hove tane
2.81	relatives, kinsmen	huaʔai
2.82	family	huaʔai
2.91	I	au
2.92	you (singular)	koe
2.93	he/she/it	ia
2.94	we	
2.941	we (inclusive)	tātou
2.942	we (exclusive)	mātou
2.95	you (plural)	koutou
2.96	they	rātou
3.11	animal	manu; [ʔanimare]
3.12	male (adj)	tane
3.13	female (adj)	vahine
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	puaʔa
3.21	bull	[toro]
3.22	ox	[uei]
3.23	cow	puaʔa ū
3.24	calf	puaʔa taŋa; [ternero]
3.25	sheep	mamoe
3.26	ram	[kānero]
3.28	ewe	mamoe vahine
3.29	lamb	mamoe tiko
3.32	boar	oru tane
3.34	sow	oru vahine
3.35	pig	oru
3.36	goat	vato-vato
3.37	he-goat	vato-vato tane
3.38	kid	vato-vato ʔāpī
3.41	horse (equine)	[hoi]
3.42	stallion	[hoi] hua
3.44	mare	[hoi] vahine
3.45	foal, colt	[hoi] tane
3.46	ass, donkey	muni
3.47	mule	
3.5	fowl	moa
3.52	cock, rooster	moa
3.54	hen	ʔuha
3.55	chicken	moa
3.56	goose	
3.57	duck	morā
3.58	nest	haka-pupa
3.581	bird	manu
3.582	seagull	
3.583	heron	
3.584	eagle	
3.585	hawk	manu toke-toke
3.586	vulture	
3.591	bat	
3.592	parrot	
3.593	crow	
3.594	dove	
3.596	owl	
3.61	dog	paiheŋa
3.614	rabbit	[rapiti]
3.62	cat	kurī
3.622	opossum	
3.63	mouse, rat	kioʔe
3.65	fish	ika
3.652	fin (dorsal)	tuku-tuku ika
3.653	fishscale	ʔunahi
3.654	gill	mea
3.655	shell	pakahera
3.661	shark	maŋō
3.662	porpoise, dolphin	
3.663	whale	taʔoraha
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	
3.72	lion	
3.73	bear	
3.74	fox	
3.75	deer	
3.76	monkey	
3.77	elephant	
3.78	camel	
3.81	insect	manu
3.811	louse	kutu
3.812	nit (louse egg)	riha
3.813	flea	koʔura
3.814	centipede	
3.815	scorpion	veri-ʔarahu
3.816	cockroach	koka
3.817	ant	roe
3.818	spider	honu
3.819	spider web	hare honu; kupeŋa honu
3.82	bee	manu-meri
3.821	beeswax	
3.822	beehive	
3.823	wasp	manu-patia
3.83	fly	takaure
3.831	sandfly (midge), gnat	
3.832	mosquito	nao-nao
3.84	worm	koreha ʔoʔone
3.85	snake	
3.91	firefly	
3.92	butterfly	pepa
3.93	grasshopper	
3.94	snail	
3.95	frog	
3.96	lizard	moko
3.97	crocodile, alligator	
3.98	turtle	honu
4.11	body	hakari
4.12	skin, hide	kiri (taŋata)
4.13	flesh	kiko (taŋata)
4.14	hair (head)	puʔoko
4.142	beard	vere ʔariŋa
4.144	body hair	hu-huru taŋata
4.145	pubic hair	vere puku
4.146	dandruff	raha
4.15	blood	toto
4.151	vein, artery	ua-ua
4.16	bone	ivi
4.162	rib	kava-kava
4.17	horn	tara
4.18	tail	hiku
4.19	back	tuaʔivi
4.191	spine	ivi tika
4.2	head	puʔoko
4.201	side of head, temple	haŋu
4.202	skull	ivi puʔoko
4.203	brain	roro
4.204	face	ʔariŋa
4.205	forehead	koraʔe; tira
4.207	jaw	kauvaʔe
4.208	cheek	paʔeŋa ʔariŋa
4.209	chin	
4.21	eye	mata
4.212	eyebrow	hihi
4.213	eyelid	veke-veke
4.214	eyelash	veke-veke
4.215	blink	mine-mine
4.22	ear	tariŋa
4.221	earlobe	[ʔepe]
4.222	earwax	takituri
4.23	nose	ihu
4.231	nostril	pū ihu
4.232	mucus (nasal)	kokoŋo
4.24	mouth	haha
4.241	beak	ŋutu
4.25	lip	ŋutu
4.26	tongue	ʔarero
4.27	tooth	niho
4.271	gums	ʔakau
4.272	molartooth	niho tumu; niho tahito
4.28	neck	ŋao
4.281	nape of neck	tuke ŋao
4.29	throat	ŋuruhara
4.3	shoulder	kekeʔu; kapuhiva
4.301	shoulderblade	pararaha kekeʔu
4.302	collarbone	keo; rei
4.31	arm	rima
4.312	armpit	haʔiŋa
4.32	elbow	turi rima
4.321	wrist	kari-kari rima; ka-kari rima
4.33	hand	rima
4.331	palm of hand	pararaha rima; komuʔa o te rima
4.34	finger	maŋa-maŋa (rima)
4.342	thumb	maŋa-maŋa tumu
4.344	fingernail	maʔikuku
4.345	claw	maʔikuku
4.35	leg	vaʔe
4.351	thigh	huhā
4.352	calf of leg	horeko
4.36	knee	turi vaʔe
4.37	foot	vaʔe; pararaha vaʔe
4.371	ankle	kari-kari vaʔe; ka-kari vaʔe
4.372	heel	reke
4.374	footprint	[maka] vaʔe
4.38	toe	maŋa-maŋa (vaʔe)
4.392	wing	karā
4.393	feather	hu-huru; huru-huru
4.4	chest	uma
4.41	breast (of woman)	ū
4.412	nipple, teat	mata ū; ū
4.42	udder	hatunono; ū
4.43	navel	pito
4.44	heart	mahatu; inaŋa
4.441	lung	
4.45	liver	ʔate
4.451	kidney	māpē
4.452	spleen	
4.46	stomach	kōpū; manava
4.461	intestines, guts	kokoma
4.462	waist	kari-kari manava; ka-kari manava
4.463	hip	[kaera]
4.464	buttocks	kaʔuha
4.47	womb	matakao
4.49	testicle	maripau
4.492	penis	hua; ʔure
4.51	breathe, breath	haŋu-haŋu
4.52	yawn, gape	haka mama
4.521	hiccough	kerereki
4.53	cough	tumu
4.54	sneeze	tehi
4.55	perspire	paʔahia
