entry_id	trans_english	Rapa_Nui_Phonemic
4.56	spit	ʔa-ʔanu
4.57	vomit	rua
4.58	bite	ŋau
4.59	lick	amo-amo
4.591	dribble	turu-turu
4.61	sleep	haʔuru
4.612	snore	ŋo-ŋoro
4.62	dream	moe varua
4.63	wake up	ʔara
4.64	break wind	ʔeve
4.65	urinate	mimi
4.66	defecate	ne-neʔi
4.67	have sexual intercourse	ʔai; mahera
4.68	shiver	nene; rū-rū
4.69	bathe	hopu
4.71	beget (of father)	haka ara; repo
4.72	born (to be)	poreko
4.73	pregnant	hanautama
4.732	conceive	tupu te poki
4.74	live, living, life	ora
4.75	die, dead	mate
4.751	drowned	emu
4.76	kill	haka mate; tiŋaʔi
4.77	corpse	papaku; taŋata-mate
4.78	bury (the dead)	tanu; muraki
4.79	grave, tomb	rua
4.81	strong, mighty, powerful	haŋu
4.82	weak	rehe-rehe; maruhi; māhū
4.83	well, health	ora
4.84	sick, sickness	maui-ui
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	kokoŋo
4.85	wound, sore	more
4.852	bruise	puneki ʔā te ʔuri; mara-mara
4.853	swelling	ahu
4.854	itch	maŋeo-ŋeo; ʔau-ʔau
4.855	blister	putī
4.856	boil (noun)	harakea
4.857	pus	piro
4.858	scar	
4.86	cure, heal	haka ora; raʔau
4.87	physician	[taote]
4.88	medicine, drug	raʔau
4.89	poison	
4.91	tired, weary	rohi-rohi; ŋaʔe-ŋaʔe
4.912	rest	haka ora
4.92	lazy	hupe-hupe
4.93	bald	mareŋo (paka)
4.94	lame	koke-koke; vaʔe koke
4.95	deaf	tariŋa pō
4.96	mute	reʔo kore
4.97	blind	mata pō
4.98	intoxicated	taʔero
4.99	naked, bare	kahu kore
5.11	eat	kai
5.12	food	kai
5.121	cooked	ʔoʔotu
5.122	raw	mata
5.123	ripe	para
5.124	green, unripe	mata
5.125	rotten	piro
5.13	drink	unu
5.14	hunger	maruaki
5.141	famine	
5.15	thirst	pohe vai; kava haha
5.16	suck	ʔomo-ʔomo; ʔopo-ʔopo
5.18	chew	namu-namu; naŋi-naŋi
5.181	swallow	horo
5.19	choke	pukuʔine
5.21	cook	tunu
5.22	boil (vb)	pihaʔa
5.23	roast, fry	tunu ahi; porā
5.24	bake	tunu rona
5.25	oven	rona
5.26	pot, cooking vessel	[pani]
5.27	kettle	[pani]
5.28	pan	[pani]
5.31	dish	[tafate]
5.32	plate	[mareti] pararaha
5.33	bowl	[mareti] poko-poko
5.34	pitcher, jug	[karo]; punu unu vai
5.35	cup, drinking vessel	ʔauʔa; [potio]
5.36	saucer	[mareti] ʔauʔa
5.37	spoon	kuē; [kuiere]
5.38	knife	hoe
5.39	fork	patia
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	hora [kāpē]
5.43	lunch	
5.44	dinner	hora kai
5.45	supper	kai ahi-ahi
5.46	peel	ho-honi
5.47	sieve, strain	[kora]; rū-rū
5.48	scrape	varu-varu
5.49	stir, mix	oi(-oi); ʔanoʔi
5.51	bread	[haraoa]
5.53	dough	
5.54	knead	ŋatu
5.55	meal, flour	[haraoa] mata
5.56	crush, grind	ŋatu; oro
5.57	mill	oro
5.58	mortar	
5.59	pestle	
5.61	meat	kiko
5.63	sausage	
5.64	soup, broth	[tihopu]
5.65	vegetables	haʔa ʔapu
5.66	bean	[ʔariko]
5.7	potato	kumara [putete]
5.71	fruit	haʔa ʔapu
5.712	bunch	puʔahu
5.75	fig	[pika]
5.76	grape	[vino]
5.77	nut	tiʔairi
5.78	olive	
5.79	oil	
5.791	grease, fat	morī
5.81	salt	miti
5.82	pepper	
5.821	chili pepper	
5.84	honey	meri
5.85	sugar	[tihota]
5.86	milk (noun)	ū
5.87	milk (vb)	tatau i te ū; tatau ū
5.88	cheese	[pata]
5.89	butter	[matakia]
5.9	beverage, drink	vai
5.91	mead	
5.92	wine	ʔava [vino]
5.93	beer	ʔava [cerveza]
5.94	fermented drink	ʔava
5.97	egg	mamari
5.971	egg yolk	toua
6.11	put on (clothes)	uru te kahu
6.12	clothing, clothes	kahu
6.13	tailor	rei-rei kahu
6.21	cloth	kahu
6.22	wool	huru-huru
6.23	linen, flax	
6.24	cotton	vavai
6.25	silk	[sea]
6.27	felt	
6.28	fur	
6.29	leather	kiri
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	kaui; rei-rei
6.36	needle	ivi kaui
6.37	awl	
6.38	thread	hau
6.39	dye	[inika]
6.41	cloak	nua
6.411	poncho	
6.42	woman's dress	
6.43	coat	[paratoa]
6.44	shirt	[kāmita]; kakava; ŋamaŋa
6.45	collar	
6.46	skirt	
6.461	grass-skirt	kahu kakaka
6.48	trousers	piripō
6.49	stocking, sock	[kotini]
6.51	shoe	kiri-vaʔe
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	[haʔu]
6.57	belt, girdle	pena
6.58	glove	
6.59	veil	
6.61	pocket	kete
6.62	button	pito-pito
6.63	pin	[pin]
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	tapeʔa rima
6.74	bracelet	
6.75	necklace	karone
6.76	bead	
6.77	earring	tapeʔa tariŋa
6.78	headband, headdress	hiri-toe; hei
6.79	tattoo	tatū; tā; paru
6.81	handkerchief, rag	haroʔi
6.82	towel	[panio]
6.91	comb	tapani
6.92	brush	[purumu]
6.921	braid	hiro
6.93	razor	hoe
6.94	ointment	
6.95	soap	[tope]
6.96	mirror	hiʔo uʔi ʔariŋa
7.11	dwell, live	noho
7.12	house	hare
7.13	hut	pae-pae
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	ʔumu
7.18	meeting house	
7.21	room	hare; [piha]
7.22	door, gate	[ʔopani]
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	taviri
7.25	window	
7.26	floor	
7.27	wall	[parē]; ʔaua
7.31	fireplace	
7.32	stove	ʔumu [kuki]
7.33	chimney	ʔau-ahi
7.37	ladder	ara
7.42	bed	roʔi
7.421	pillow	ŋaruʔa; turua
7.422	blanket	[parankete] ~ [prankete]
7.43	chair	pepe
7.44	table	ʔamuramaʔa
7.45	lamp, torch	morī
7.46	candle	morī
7.47	shelf	paʔe-paʔe
7.48	trough	
7.51	roof	ruŋa
7.52	thatch	
7.53	ridgepole	ivi tika o te hare
7.54	rafter	
7.55	beam	
7.56	post, pole	[pou]
7.57	board	miro
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	taŋata ʔoka kai
8.12	field (for cultivation)	ʔaua ʔoka kai
8.13	garden	ʔoka pai
8.15	cultivate, till	
8.16	fence	ʔaua
8.17	ditch	ava
8.21	plow	[ʔarote]
8.212	furrow	ava
8.22	dig	keri
8.23	spade	ope
8.24	shovel	ope
8.25	hoe	ʔohio haka heu
8.26	fork	
8.27	rake	paraʔu
8.31	sow	pī (hai rima ana ʔoka)
8.311	seed	karu
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	tarake
8.48	rice	[raiti]
8.51	grass	mauku
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	ʔoka
8.54	root	aka
8.55	branch	maŋa
8.56	leaf	raupā
8.57	flower	tiare
8.6	tree	tumu
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	hue; ure
8.68	tobacco	ʔava-ʔava
8.69	smoke (tobacco)	ʔomo
8.691	pipe	puhi-puhi
8.72	tree stump	tutuma; take
8.73	tree trunk	tumu
8.74	forked branch	vaha maŋa; pipi
8.75	bark	kiri miro
8.76	sap	tapau
8.81	palm tree	niu; haʔari
8.82	coconut	haʔari kai
8.83	citrus fruit	
8.84	banana tree	maika
8.85	banyan	
8.91	sweet potato	kumara; kumā
8.912	yam	ʔuhi
8.92	tapioca, manioc, cassava	[manioka]
8.93	gourd	ipu kaha
8.931	pumpkin, squash	[mautini]
8.94	bamboo	ʔohe
8.941	sugar cane	toa
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	hatatiri
9.11	do, make	aŋa
9.12	work	aŋa
9.14	bend	haka piko; haka pini; haka vari
9.15	fold	ha-hatu
9.16	tie, bind	here
9.161	untie	ve-vete
9.18	chain	vivi
9.19	rope, cord	taura
9.192	knot (noun)	puku; hono
9.21	strike (hit, beat)	ti-tiŋi; tiŋi-tiŋi
9.211	pound with fist	
9.22	cut	hore
9.221	cut down	paʔo
9.222	chop, hew	paʔo
9.223	stab	ʔoʔoka
9.23	knife	hoe
9.24	scissors, shears	paʔoti
9.25	ax	ʔohio
9.251	adze	ʔohio teki
9.26	break	ŋaʔaha; ha-hata
9.261	broken	
9.27	split	ʔavahi
9.28	tear	ihi; pa-ihi
9.29	flay, skin	haka hā
9.31	rub, wipe	haroʔi; horoʔi; oro-oro; tauromi
9.32	stretch	haro
9.33	pull	haro
9.34	spread out	heriki
9.341	hang up	tau
9.342	press	ŋatu
9.343	squeeze, wring	haka hini; tatau
9.35	pour	huri
9.36	wash	tata
9.37	sweep	[purumu]
9.38	broom	[purumu]
9.422	tool	[ramienta]
9.43	carpenter	tamuta
9.44	build	aŋa
9.46	bore	hou; haka pū
9.461	hollow out	kakaro
9.48	saw	hia-hia
9.49	hammer	[hamara]
9.5	nail	veo
9.56	glue	haka pi-piri
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	ʔaurī
9.68	lead (noun)	tapau
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	hiʔo
9.75	weave, plait	hiro
9.76	basket	[kanato]; taropa
9.77	mat	peʔue
9.771	rug	peʔue
9.78	netbag	kete
9.79	fan (noun)	
9.791	fan (vb)	rapu-rapu
9.81	carve	tarai
9.82	sculptor	
9.83	statue	moai
9.84	chisel	[titō]
9.88	paint (noun)	[peni]
9.89	paint (vb)	paru
10.11	move	makenu; ŋaeʔi
10.12	turn over	haka taviri; huri
10.13	turn around	haka teka; rori
10.14	wind, wrap	teka-teka; taka; viri
10.15	roll	
10.16	drop (vb)	haka viri
10.17	twist	hiro; haka hihi
10.21	rise	eke; eʔa
10.22	raise, lift	haka eke
10.23	fall	hiŋa; viri; vi-viri; topa
10.24	drip	turu-turu
10.25	throw	tau; vero
10.252	catch (ball)	ʔa-ʔaru
10.26	shake	tū-tū
10.32	flow	hiho; tehe; aʔa
10.33	sink	emu
10.34	float	raŋa-raŋa
10.35	swim	kau
10.351	dive	rere hai puʔoko
10.352	splash	opape; ʔutu-ʔutu te vai
10.36	sail (vb)	
10.37	fly (vb)	rere
10.38	blow	puhi
10.41	creep, crawl	totoro
10.412	kneel	tu-turi
10.413	crouch	noi; raha
10.42	slide, slip	pororeko
10.43	jump, leap	rere
10.431	kick	hoa hai vaʔe
10.44	dance	ʔori
10.45	walk	haʔere
10.451	limp	koke; koke-koke
10.46	run	tahuti
10.47	go	oho; reva
10.471	go up	iri
10.472	climb	eke; hi-hiri
10.473	go down	turu
10.474	go out	eʔa
10.48	come	oho mai
10.481	come back	hoki mai
10.49	go away, depart	oho
10.491	disappear	ŋaro
10.51	flee	tere
10.52	follow	haka tika; tute
10.53	pursue	tute
10.55	reach, arrive	tuʔu
10.56	approach	haka hahine
10.57	enter	uru; oʔo
10.61	carry (bear)	maʔu; tari
10.612	carry-in-hand	
10.613	carry-on-shoulder	ʔamo
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	maʔu mai; tari mai
10.63	send	haka maʔu
10.64	lead (vb)	haka uŋa
10.65	drive	haka tere
10.66	ride	
10.67	push, shove	tono
10.71	road	ara
10.72	path	ara
10.74	bridge	
10.75	carriage, wagon, cart	pereʔoa
10.76	wheel	tutu
10.77	axle	
10.78	yoke	[iua]
10.81	ship	pahī
10.83	boat	vaka
10.831	canoe	vaka poe-poe; vaka ama
10.832	outrigger	ama
10.84	raft	
10.85	oar	hoe vaka
10.851	paddle (noun)	hoe vaka
10.852	row (vb)	hoe
10.86	rudder	huira
10.87	mast	tuʔu
10.88	sail (noun)	kahu vaka
10.89	anchor	[ʔaka]
10.91	harbor, port	ʔuahu
10.92	land (vb)	tomo
11.11	have	
11.12	own, possess	
11.13	take	toʔo
11.14	seize, grasp	ʔa-ʔaru
11.15	hold	maʔu; tarupu; taupe
11.16	get, obtain	ravaʔa
11.17	keep, retain	hapaʔo
11.18	thing	meʔe
11.21	give	vaʔai; ʔavai
11.22	give back	haka hoki
11.24	preserve, look after	roʔou
11.25	save, rescue	haka ora
11.27	destroy	hakamarere; huaʔi
11.28	harm, injure, damage	haka rake-rake
11.31	seek, look for	kimi
11.32	find	tikeʔa; rovaʔa
11.33	lose	ŋaro
11.34	release, let go	haka pokoʔo; haka rere
11.43	money	[moni]
11.44	coin	[tara] (ʔaurī)
11.51	rich	ʔono
11.52	poor	veve
11.53	beggar	otare
11.54	avaricious, stingy	ʔohumu; ʔino; ŋū
11.61	lend	
11.62	borrow	
11.63	owe	tarahu
11.64	debt	tarahu
11.65	pay (vb)	ʔouhou; ʔauhau
11.66	account, reckoning	tapa; ta-taku
11.69	tax, tribute	
11.77	hire	
11.78	wages	[moni] aŋa; [moni] ʔavaʔe
11.79	earn	
11.81	buy	hoʔo
11.82	sell	hoʔo
11.83	trade, barter	[taui]; [kamiare]
11.84	merchant	
11.85	market (place)	[merkao]
11.86	store, shop	hare [toa]
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	haka tano-tano; tuhaʔa
11.92	weigh	hāito
12.1	after	
12.11	behind	ʔi tuʔa
12.2	beside	ʔi muri
12.3	down, below	ʔi raro
12.4	before	ʔi muʔa
12.41	front	ʔi muʔa
12.5	inside, in	ʔi roto
12.6	outside	ʔi haho
12.7	under	ʔi raro
12.8	up, above	ʔi ruŋa
12.11	place	kona
12.12	put	
12.13	sit	noho
12.14	lie down	moe
12.15	stand	maroa
12.16	remain, stay	noho
12.17	remains, left overs	toeŋa ~ toe eŋa; topa
12.21	collect, gather	haʔa putu; runu
12.212	pick up	runu; toʔo mai
12.213	pile up	haka taka-taka
12.22	join, unite	haka piri
12.23	separate	vahi; vahi-vahi; haka to-topa
12.232	divide	haka tano-tano
12.24	open	mataki
12.25	shut, close	puru
12.26	cover	ʔapi; puʔa
12.27	hide, conceal	naʔa; piko
12.31	high	ruŋa nui
12.32	low	raro nui
12.33	top	ruŋa
12.34	bottom	raro
12.35	end	potu; hopeʔa
12.352	pointed	moko-moko
12.353	edge	hihi; titi; taha-taha
12.36	side	paʔeŋa; rara
12.37	middle, center	vaeŋa
12.41	right (side)	mataʔu
12.42	left (side)	maui
12.43	near (adv)	hahine; tupuʔaki
12.44	far (adv)	roa
12.45	east	
12.46	west	
12.47	north	
12.48	south	
12.53	grow	nui-nui
12.54	measure	hāito
12.541	span, fathom	maroa
12.55	large, big	nui-nui
12.56	small, little	ʔiti-ʔiti
12.57	long	roa
12.58	tall	roa-roa
12.59	short	poto-poto
12.61	wide, broad	ʔaʔano
12.62	narrow	vako-vako; kao-kao
12.63	thick (in dimension)	peŋo-peŋo
12.65	thin (in dimension)	rai-rai; mo-moko; kao-kao
12.67	deep	parera; raro nui
12.68	shallow	taʔe parera rahi
12.71	flat	pararaha
12.73	straight	ti-tika
12.74	crooked	piko; pi-piko; piko-piko
12.75	hook	haka raʔu
12.76	corner	pini
12.77	cross	[tataurō]
12.78	square	
12.81	round	ʔohu
12.82	circle	ʔohu; taka-taka
12.83	sphere, ball	viri-viri
12.84	line	hore
12.85	hole	pū
12.92	like, similar	pe
12.93	change	[kamiare]
13.0	zero, nothing	ʔina; e kore e tahi
13.1	one	tahi; hoʔe
13.2	two	rua; piti
13.3	three	toru
13.4	four	hā; maha
13.5	five	rima; pae
13.6	six	ono
13.7	seven	hitu
13.8	eight	vaʔu
13.9	nine	iva
13.10	ten	ʔaŋahuru; ʔahuru
13.101	eleven	hoʔe ʔahuru ma hoʔe
13.102	twelve	hoʔe ʔahuru ma piti
13.103	fifteen	hoʔe ʔahuru ma pae
13.104	twenty	piti ʔahuru
13.105	hundred	hoʔe [hanere]
13.106	thousand	hoʔe [taʔutini]
13.107	count	ta-taku
13.14	every, all	paurō; taʔatoʔa
13.15	much, many	riʔa-riʔa; rahi
13.16	more	hau; ʔata
13.17	little (quantity), few	taʔe rahi
13.18	enough	topa
13.181	some	te-tahi
13.19	multitude, crowd	
13.21	full	ku ʔī ʔā
13.22	empty	tahaŋa
13.23	part, piece	parehe
13.24	half	[ʔapa]
13.33	alone, only	hoko-tahi
13.34	first	raʔe
13.35	last	hopeʔa
13.36	second	rua
13.37	pair	e rua (meʔe); hoko-rua
13.38	two times	
13.42	third	toru
13.44	three times	
14.11	time	[hora]
14.12	age	matahiti
14.13	new	ʔāpī
14.14	young	ʔāpī; taŋa
14.15	old	tuai; ruʔau; korohuʔa
14.16	early	pōʔā
14.17	late	ahi-ahi
14.18	now	ʔi te hora nei
14.19	immediately	ʔi te hora nei
14.21	swift, fast, quick	horou
14.22	slow	koraʔiti
14.23	hasten, hurry	horou; keʔo-keʔo
14.24	retard, delay	ŋeʔi
14.25	begin, beginning	haʔa mata
14.252	last, endure	
14.26	end (temporal)	oti
14.27	finish	haka mao
14.28	cease, stop	haka noho
14.29	ready	[rito]
14.31	always	nō; ʔavai
14.32	often	ruŋa-ruŋa
14.33	sometimes	toʔona hora
14.331	soon	e ko roa
14.332	long-time (for a)	
14.34	never	
14.35	again	haka ʔou
14.41	day	mahana; raʔā
14.42	night	pō
14.43	dawn	popohaŋa
14.44	morning	pōʔā
14.45	noon, midday	hora kai
14.451	afternoon	ahi-ahi
14.46	evening	moiko; ahi-ahi pō
14.47	today	ʔaŋanirā; anirā
14.48	tomorrow	āpō
14.481	day-after-tomorrow	āpō era
14.49	yesterday	ʔaŋataiahi
14.491	day-before-yesterday	ʔaŋataiahiera
14.51	hour	[hora]
14.53	clock, timepiece	[hora]
14.61	week	[tapati]
14.62	Sunday	mahana [tapati]
14.63	Monday	[monirē]
14.64	Tuesday	mahana piti
14.65	Wednesday	mahana toru
