entry_id	trans_english	Maca_Phonemic
10.75	carriage, wagon, cart	koyoyoy (f.)
10.76	wheel	ɬo-koy
10.77	axle	--
10.78	yoke	--
10.81	ship	
10.83	boat	tokoyey (m.)
10.831	canoe	-inhitxii (f.)
10.832	outrigger	--
10.84	raft	-oʔok (f.)
10.85	oar	-ḳaxkanet (m.)
10.851	paddle (noun)	
10.852	row (vb)	-tixifi
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	
10.92	land (vb)	--
11.11	have	n-al; n-al-im
11.12	own, possess	-ac̷atˀaxix
11.13	take	-(e)kumi
11.14	seize, grasp	-(e)kumi
11.15	hold	-(e)kumi-kii
11.16	get, obtain	
11.17	keep, retain	
11.18	thing	wek-wek (f.)
11.21	give	-tisix ~ -ɬisix
11.22	give back	-enpilet
11.24	preserve, look after	-xeɬ; -xeɬec̷
11.25	save, rescue	-ɬin
11.27	destroy	-iwkˀic̷inxuʔ
11.28	harm, injure, damage	-eḳfemeten; -eḳfemetenxuʔ
11.31	seek, look for	-woʔoy
11.32	find	-wen
11.33	lose	hamiikii
11.34	release, let go	-ayhanin
11.43	money	ɬʔastakiʔ (f.)
11.44	coin	nixket (f.)
11.51	rich	-iwḳˀaχin wek-wek
11.52	poor	fˀilxec̷aχ
11.53	beggar	
11.54	avaricious, stingy	(e)kuyaχ
11.61	lend	-atkin-henin-ix-ec̷
11.62	borrow	-atkin
11.63	owe	
11.64	debt	
11.65	pay (vb)	-xanin
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	-anix ɬʔastay
11.81	buy	-aḳha-yec̷
11.82	sell	-ihinix
11.83	trade, barter	
11.84	merchant	-aḳha-nenek (m.)
11.85	market (place)	-aḳha-wet (m.)
11.86	store, shop	-aḳhat-xii (f.)
11.87	price	ɬaxanyex (m.)
11.88	dear (costly, expensive)	inyetaχ
11.89	cheap	niteʔ inyetaχ
11.91	share (distribute)	-tisix-xu ~ -ɬisix-xu
11.92	weigh	-en-pham
12.1	after	hac̷eɬu
12.11	behind	-weyii ɬ-anu
12.2	beside	-(i)-xup; -met
12.3	down, below	met-xuʔ
12.4	before	-weyii ɬ-exuyix
12.41	front	-(i)-xuɬ
12.5	inside, in	texem
12.6	outside	fikˀi
12.7	under	-(i)-fi
12.8	up, above	-toχ-pham
12.11	place	-wet
12.12	put	-en
12.13	sit	-(i)n-xuʔ
12.14	lie down	-(i)w-xuʔ
12.15	stand	-c̷ˀapˀa
12.16	remain, stay	-aman
12.17	remains, left overs	-aman-fikˀi
12.21	collect, gather	-othet
12.212	pick up	atˀaʔkii
12.213	pile up	ewiɬ -eni
12.22	join, unite	
12.23	separate	-akˀesaχ
12.232	divide	-akˀesaχem
12.24	open	-itˀix ḳhof
12.25	shut, close	-itˀonxiʔ
12.26	cover	-intaafin
12.27	hide, conceal	-atˀinkii
12.31	high	ixetaχ
12.32	low	ikˀaxiyit
12.33	top	-pham
12.34	bottom	-xuʔ
12.35	end	
12.352	pointed	ɬa-pas
12.353	edge	ɬotkoyek (m.); ɬaxaykaʔ (m.)
12.36	side	-kuweʔ
12.37	middle, center	ɬeḳewukˀuxiʔ
12.41	right (side)	-iyayikˀiʔ
12.42	left (side)	-feyix
12.43	near (adv)	met; -met-im
12.44	far (adv)	toχ-ii
12.45	east	fititaχ (m.)
12.46	west	tefe (m.)
12.47	north	imaχ (m.)
12.48	south	iwkˀuyiɬ (m.)
12.53	grow	-ixay-pham
12.54	measure	-xeyumc̷hen
12.541	span, fathom	
12.55	large, big	ḳi
12.56	small, little	ɬammis
12.57	long	ixetaχ
12.58	tall	ixetaχ
12.59	short	ikˀaxiyit
12.61	wide, broad	epkˀec̷aχ
12.62	narrow	epkˀiyit
12.63	thick (in dimension)	tapɬi
12.65	thin (in dimension)	elesey
12.67	deep	akap-taχ
12.68	shallow	akap-ɬuut
12.71	flat	niteʔ akaptax
12.73	straight	-ac̷athen
12.74	crooked	-upic̷hen
12.75	hook	newen (f.)
12.76	corner	ɬekfiʔ
12.77	cross	--
12.78	square	--
12.81	round	toofo
12.82	circle	kˀoyxiʔ (f.)
12.83	sphere, ball	phof (f.)
12.84	line	xuutuʔ (m.)
12.85	hole	kumuxem (m.)
12.92	like, similar	ɬunyex
12.93	change	-inkˀayhit
13.0	zero, nothing	ham
13.1	one	ewiɬ
13.2	two	wec̷xuk
13.3	three	wec̷hetkˀ-ewił
13.4	four	ikwetxuɬ
13.5	five	leefix
13.6	six	ewiɬ-tac̷ay
13.7	seven	wec̷xuk-tac̷ay
13.8	eight	wec̷hetkˀ-ewiɬ-tac̷ay
13.9	nine	ikwetxuɬ-tac̷ay
13.10	ten	week in-yaḳsi-i
13.101	eleven	
13.102	twelve	
13.103	fifteen	ewiɬ in-fʔiʔ ikec̷ (?)
13.104	twenty	week in-fux-uc̷
13.105	hundred	
13.106	thousand	
13.107	count	-(e)xeyumc̷hen
13.14	every, all	week
13.15	much, many	oloc̷
13.16	more	les
13.17	little (quantity), few	ɬamisɬeʔ
13.18	enough	wexuulix
13.181	some	na-ax (m.); ne-ex (f.)
13.19	multitude, crowd	oloc̷ neʔ xukhew ḳa efuts
13.21	full	topoʔox
13.22	empty	ham-xiʔ
13.23	part, piece	ɬapkˀas
13.24	half	
13.33	alone, only	ewiɬ-ɬe
13.34	first	-oxoʔ; ewiɬ-ix
13.35	last	-tekelen-xuʔ
13.36	second	
13.37	pair	
13.38	two times	wec̷xuk-ix
13.42	third	
13.44	three times	wec̷hetkˀ-ewiɬ-ix
14.11	time	lahac̷ix (m.)
14.12	age	
14.13	new	inkˀayik (m.)
14.14	young	
14.15	old	kˀuc̷aχ (m.); kˀuc̷heʔ (f.)
14.16	early	leefʔixuʔ
14.17	late	met-xuʔ xunuʔ
14.18	now	haneex
14.19	immediately	suxɬe
14.21	swift, fast, quick	-niyit-kii
14.22	slow	-(wa)naḳsi(i)x-kii
14.23	hasten, hurry	-ifʔelitikˀi
14.24	retard, delay	-apeˀekˀwi
14.25	begin, beginning	hac̷yamec̷
14.252	last, endure	-apeʔ (?)
14.26	end (temporal)	
14.27	finish	-aḳˀaχ; -aḳˀaχix; -aḳhatˀaχ; -aḳhataχix
14.28	cease, stop	-liʔix
14.29	ready	hayc̷
14.31	always	week lahac̷iyix
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	pakhaʔax
14.34	never	niteʔ ɬʔanuyii
14.35	again	iye
14.41	day	neɬu (m.)
14.42	night	naxaχ (m.)
14.43	dawn	leefʔixuʔ
14.44	morning	leefʔixuʔ
14.45	noon, midday	n-ac̷athen-xuʔ neʔ xunuʔ
14.451	afternoon	leefʔekii
14.46	evening	hac̷ toχikˀi xunuʔ
14.47	today	haneex
14.48	tomorrow	uxeʔ
14.481	day-after-tomorrow	uxeʔ neɬu-ki
14.49	yesterday	neɬu
14.491	day-before-yesterday	kaʔ neɬu-xiʔ
14.51	hour	
14.53	clock, timepiece	-pala-kiʔ (f.)
14.61	week	--
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	xuwel (f.)
14.73	year	ininḳap (m.)
14.74	winter	lop (m.)
14.75	spring	xinawap (m.)
14.76	summer	ininḳap
14.77	autumn	keɬey kup (m.)
14.78	season	
15.21	smell (vb intrans)	-enxeyii ~ -inxeyii
15.212	sniff	-inxiwen paʔ nisxut
15.22	smell (vb trans)	-enxeyiyix
15.25	fragrant, good smelling	ewxisiʔ
15.26	stinking, bad smelling	nisxut
15.31	taste	-(e)ḳˀimaχix
15.35	sweet	ekˀemeyxiʔ
15.36	salty	ekˀemeyxiʔ
15.37	bitter	ec̷ikˀiixiʔ
15.38	acid, sour	ekˀimiixiʔ
15.39	brackish	
15.41	hear	-epiyeʔ
15.42	listen	-epiye-kii
15.44	sound, noise	tˀay (m.)
15.45	loud	tˀay-xiʔ
15.46	quiet, silence	niteʔ tˀay
15.51	see	-wen
15.52	look, look at	-xeɬxuʔ
15.55	show	-ethinix
15.56	shine	-tuχxem; -tuχxiʔ
15.57	bright	kooxo
15.61	color	woteniɬ (m.)
15.62	light (in color)	
15.63	dark (in color)	noʔkiʔ
15.64	white	foʔ
15.65	black	noʔ
15.66	red	sʔeʔ
15.67	blue	leekʔe
15.68	green	sehec̷ ɬʔaftuk
15.69	yellow	maxa
15.71	touch	-(e)kum-ec̷
15.712	pinch	-(i)sḳˀet
15.72	feel	-oksiwen
15.74	hard	tˀun
15.75	soft	eḳˀimii
15.76	rough	c̷eeχe
15.77	smooth	leeme
15.78	sharp	yasɬax
15.79	blunt, dull	niteʔ yasɬax
15.81	heavy	niihet
15.82	light (in weight)	afʔayay
15.83	wet, damp	weyxuʔ
15.84	dry	yisɬax
15.85	hot	elexey
15.851	warm	exupuy
15.86	cold	eneɬey
15.87	clean	wetlixuʔ
15.88	dirty, soiled	-xilii
15.89	wrinkled	iwḳˀoc̷inax
16.11	soul, spirit	-sinḳal (m.)
16.15	surprised, astonished	
16.18	good fortune, luck	-eḳfec̷iyex (m.); -eḳfeec̷aχ
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	ɬewisxuʔ
16.25	laugh	-ixuyekii
16.251	smile	yem
16.26	play	-otoy
16.27	love	-suun
16.29	kiss	-tuxem ~ -ɬuxem
16.3	embrace	-ikˀeyix
16.31	pain	-aac̷hek (m.)
16.32	grief, sorrow, sadness	-ḳˀiltiyex (m.)
16.33	anxiety, worry	-itawxemet; -itaḳsunec̷
16.34	regret, be sorry	-ḳˀeletix
16.35	pity	-ḳˀiltiyex
16.37	cry, weep	-(i)p
16.38	tear (noun)	-tˀil (m.)
16.39	groan	
16.41	hate	-uten
16.42	anger	-wak (m.)
16.44	envy, jealousy	-ḳemc̷henaχ (m.)
16.45	shame (noun)	-wepinaχ (m.)
16.48	proud	
16.51	dare	
16.52	brave	noweɬ
16.53	fear, fright	-ixiweyaχ (m.)
16.54	danger	-ifc̷iʔ (m.)
16.62	desire, want	
16.622	choose	-xeɬxiʔ
16.63	hope	-otkinheyex (m.)
16.65	faithful	
16.66	true	ixa
16.67	lie, tell lies	-(a)ḳankii
16.68	deceit	
16.69	forgive	
16.71	good	-eykˀuney
16.72	bad	uɬʔaχ
16.73	right, correct	hac̷ ɬewis
16.74	wrong	niteʔ ɬewis
16.76	fault	
16.77	mistake, error	-ixankeyex (m.)
16.78	blame	
16.79	praise	
16.81	beautiful	ɬewis
16.82	ugly	uɬʔaχ
16.83	greedy	ekunaχ
16.84	clever	-iyayix
17.11	mind	
17.13	think (= reflect)	-xamtikii
17.14	think (= be of the opinion)	-umtiʔixa
17.15	believe	-umti-taχ
17.16	understand	-epiyeʔ
17.17	know	-iyayix
17.171	guess	-wenec̷
17.172	imitate	-oxonketikˀi
17.18	seem	-umtitaχ
17.19	idea, notion	
17.21	wise	wek-wek yiyayix
17.22	foolish, stupid	witasiwat; walχal
17.23	insane, crazy	niteʔ t-eykˀuney-kii
17.24	learn	-(we)nixac̷hen-ix
17.242	study	-wenḳika
17.25	teach	-ixac̷hen
17.26	pupil	witixac̷henek; witixac̷henkiʔ
17.27	teacher	-wenḳˀixac̷hen
17.28	school	-ikatxii (f.)
17.31	remember	-ikfeli-kˀi
17.32	forget	-tapiʔ
17.34	clear, plain	
17.35	obscure	
17.36	secret	
17.37	sure, certain	ixa ixa
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	-suuntaχ
17.46	easy	niteʔ xuc̷itaχ
17.47	difficult	xuc̷itaχ
17.48	try, attempt	-xaaxin
17.49	way, manner	
17.51	and	ḳa
17.52	because	ḳe
17.53	if	
17.54	or	
17.55	yes, affirmative	ehe
17.56	no, negative	niteʔ
17.61	how?	pan ɬunyex
17.62	how many?	pan-uxaχ
17.63	how much?	pan ɬaxanyex
17.64	what?	ɬek
17.65	when?	pan ipɬuʔ-u-kˀuy
17.66	where?	pan
17.67	which?	pan
17.68	who?	ɬek
17.69	why?	inhac̷ˀek
18.11	voice	-ʔaχ (m.)
18.12	sing	-lixc̷ii
18.13	shout, cry out	-yayii; -yay-kii
18.15	whisper	-xawehen
18.16	mumble	
18.17	whistle	-soxinkii
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	-iyet
18.211	stutter, stammer	
18.22	say	-itˀix
18.221	tell story	-felikˀi
18.222	speech (make a)	-iyet-i-kˀuy
18.23	silent (be)	niteʔ xumum
18.24	language	-lixey (f.)
18.26	word	-lixey (f.)
18.28	name	-ii (m.)
18.31	ask (question, inquire)	-faakan
18.32	answer	-(e)kuɬ
18.33	admit, confess	
18.34	deny	-welkutˀixkii
18.35	ask, request	-iyinec̷
18.36	promise	
18.37	refuse	
18.38	forbid	-niteʔ ɬekeʔ
18.39	rebuke, scold	-xithewec̷kii; -tanithen
18.41	call (=summon)	-yay-ii
18.42	call (=name)	ɬ-ii
18.43	announce	-felim
18.44	threaten	-eḳekuyuʔux
18.45	boast	
18.51	write	-ikaʔ
18.52	read	-yinenikˀi
18.56	paper	-fakanek (m.)
18.57	pen	-ikanet (m.)
18.61	book	-fakanek (m.)
18.67	poet	
18.71	flute	foχ (f.)
18.72	drum	fiɬik (m.)
18.73	horn, trumpet	foχwakaɬekec̷ (f.)
18.74	rattle	-lenkiʔ
19.11	country	seheʔ (m.)
19.12	one's native country	-ɬeyɬe; -ɬeyɬe-kiʔ (f.)
19.15	city, town	
19.16	village	-ic̷et ~ ec̷et (m.)
19.17	boundary	ɬaχkatheʔ (m.)
19.21	people (populace)	
19.23	tribe, clan	
19.24	chief, chieftain	ɬeḳisil (m.)
19.25	staff, walking stick	-waykaxit (m.)
19.31	rule, govern	
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	-ic̷etifeʔ ~ -ec̷etifeʔ (m.)
19.41	master	
19.42	slave	
19.43	servant	
19.44	freeman	
19.45	command, order	-ukin
19.46	obey	-kˀen; -impiyeʔ
19.47	let, permit	ɬekeʔ
19.51	friend, companion	waykaʔ (m.)
19.52	enemy	-exuyhife (m.)
19.54	neighbor	-kife (m.)
19.55	stranger	sontoʔ (m.)
19.56	guest	witʔiyinek
19.57	host	
19.58	help, aid	-fen
19.59	hinder, prevent	
19.61	custom	-xunyex ~ -unyex (m.)
19.62	strife, quarrel	-watlan-hep (m.)
19.63	conspiracy, plot	
19.65	meet	-wetweniɬ
19.72	prostitute	witḳesuʔ
20.11	fight (vb)	-watlan; -ixen
20.13	war, battle	-watlan; -watlan-het (m.)
20.14	peace	
20.15	army	
20.17	soldier	
20.21	weapons, arms	-watlanhewoc̷ (m.)
20.22	club	kˀapˀaxiɬeyɬaʔ (m.)
20.222	battle-ax	
20.23	sling	-oxtonet (m.)
20.24	bow	-ḳelenek (m.)
20.25	arrow	uc̷inet (m.); asɬenheʔ (f.); -ḳaxiʔ (f.); fʔok (f.)
20.26	spear	
20.27	sword	
20.28	gun, cannon	-exenet (m.)
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	-axix in watlan
20.42	defeat	
20.43	attack	
20.44	defend	-weyikˀi
20.45	retreat	-ilat
20.46	surrender	
20.47	captive, prisoner	-witʔopheɬik (m.)
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	sehec̷inaχ (m.); sehec̷inheʔ (f.)
20.52	fishhook	neses (f.)
20.53	fishing line	
20.54	fishnet	-ḳˀehemkiʔ (f.)
20.55	fish trap	
20.56	bait	
20.61	hunt	-xalkis
20.62	shoot	-tiyaχ; -tiyaχxuʔ; -(we)ḳɬiyaχ; -(we)ḳɬiyaχkii
20.63	miss (target)	-ixan
20.64	trap (noun)	-iwḳel ~ -ewḳel (m.)
20.65	trap (vb)	-ewḳeleyikˀwi
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	taɬ-ec̷
21.36	innocent	
21.37	penalty, punishment	-tanithenkeyex (m.)
21.38	fine	
21.39	prison, jail	-opheɬitxii (f.)
21.42	murder	-kˀunax (m.); -kˀunheʔ (f.)
21.43	adultery	
21.44	rape	-xuftaχkii
21.46	arson	
21.47	perjury	
21.51	steal	-exten-kiiʔ; -exten-ix
21.52	thief	exten-hec̷aχ (m.)
22.11	religion	
22.12	God	intata, Dios
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	-iyin
22.18	priest	
22.19	holy, sacred	
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	inwomet (m.)
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	weyhetaχ (m.)
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
