entry_id	trans_english	Haida_Northern_Phonemic
3.811	louse	
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	
3.815	scorpion	
3.816	cockroach	
3.817	ant	
3.818	spider	ḳˀuhlčʰiyáaŋ
3.819	spider web	
3.82	bee	sˁkáal
3.821	beeswax	
3.822	beehive	sˁkáal náay
3.823	wasp	
3.83	fly	tíitaan (?)
3.831	sandfly (midge), gnat	
3.832	mosquito	stlˀiʔíltkwaaŋ
3.84	worm	ḳˀáanuu
3.85	snake	
3.91	firefly	
3.92	butterfly	
3.93	grasshopper	
3.94	snail	stˀaláaw
3.95	frog	hlkˀyáan; kˀučˀáan
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	hlúu
4.12	skin, hide	ḳˀál
4.13	flesh	kʰiʔíi
4.14	hair (head)	ḳʰáč
4.142	beard	sḳˀíwii
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	ˁkáŋˀwuč
4.15	blood	ˁkáy
4.151	vein, artery	ˁxáy
4.16	bone	skʰuč
4.162	rib	ˁxíwii
4.17	horn	nasáaŋaa
4.18	tail	skˀyáaw
4.19	back	čˀakˀíi
4.191	spine	čˀáwii
4.2	head	ḳʰač
4.201	side of head, temple	ḳˀánčˀat
4.202	skull	ḳʰač skʰuč
4.203	brain	ḳʰačán čˀáŋ
4.204	face	ˁxáŋʔii
4.205	forehead	ḳʰúl
4.207	jaw	hlkʰáay
4.208	cheek	čˀatʰ
4.209	chin	hlkʰáay
4.21	eye	ˁxáŋʔii
4.212	eyebrow	ˁxáŋ skˀyáač
4.213	eyelid	ˁxáŋ ʔún
4.214	eyelash	ˁxáŋ hltˀáakuuč
4.215	blink	ˁkwíiwuhltaa; ˁkwíiwultaŋ
4.22	ear	kyúu
4.221	earlobe	
4.222	earwax	
4.23	nose	kún
4.231	nostril	kún ḳʰáahlii
4.232	mucus (nasal)	hlkúnstˀan
4.24	mouth	ˁxahlʔíi
4.241	beak	kˀut kʰún
4.25	lip	kˀut
4.26	tongue	tˀáaŋal
4.27	tooth	čˀáŋ
4.271	gums	čˀáŋ ḳˀúl
4.272	molartooth	
4.28	neck	ˁxíl
4.281	nape of neck	
4.29	throat	ḳʰakánčʰuu
4.3	shoulder	sḳʰál
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	xyáay
4.312	armpit	sḳˀut
4.32	elbow	xikˀusíi
4.321	wrist	stláay kˀuʔúltaŋaay
4.33	hand	stláay
4.331	palm of hand	stlaḳʰaʔán
4.34	finger	stlaḳˀáŋii
4.342	thumb	stlakˀwáay
4.344	fingernail	stlakʰún
4.345	claw	
4.35	leg	ḳˀulúu
4.351	thigh	tʰíl
4.352	calf of leg	kˀyáal
4.36	knee	ḳˀulúu ḳʰač
4.37	foot	stˀáay
4.371	ankle	
4.372	heel	stˀaḳˀusíi
4.374	footprint	stˀáasal
4.38	toe	stˀaḳˀáŋii
4.392	wing	xyáay; čˀahlčˀaa xyáay
4.393	feather	hltʰánuu; tˀáaˀwun; ˁkínuu
4.4	chest	ḳʰán
