entry_id	trans_english	Aché_Phonemic
1.1	world	ɨwɨ waču
1.21	earth, land	ɨwɨ
1.212	earth=ground, soil	ɨwɨ
1.213	dust	mo tãčĩ
1.214	mud	moʔõ
1.215	sand	ɨwɨ-kui
1.22	mountain, hill	kuãʔã
1.222	cliff, precipice	kuã ita prẽdɨ
1.23	plain, field	ǰõra waču
1.24	valley	krawɨ
1.25	island	
1.26	mainland	
1.27	shore	ɨ ẽbe
1.28	cave	ita ikua
1.31	water	ɨʔɨ
1.32	sea	ɨ waču
1.322	calm (of sea)	ɨ praru gatu
1.323	rough (of sea)	ɨwu rõma o
1.324	foam	butu
1.329	ocean	ɨ waču
1.33	lake	ɨʔɨ krou
1.34	gulf, bay	
1.341	lagoon	ɨʔɨ mama
1.342	reef	
1.343	headland, point	akã
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ɨʔɨ
1.362	whirlpool	
1.37	spring, well	ɨ-wu
1.38	swamp	ɨ mo tuǰu
1.39	waterfall	ɨ-tu
1.41	woods, forest	kaʔa
1.42	tree (cf 08.600)	wɨra
1.43	wood	wɨra
1.44	stone, rock	ita
1.45	earthquake	
1.51	sky	kreɨʔɨ
1.52	sun	kreɨʔɨ
1.53	moon	ǰačɨ
1.54	star	tata ɨwatɨ
1.55	lightning	wera
1.56	thunder	čono
1.57	lightning (as striking)	wera
1.58	storm	wɨtu waču rõma
1.59	rainbow	mebo ruču
1.61	light (noun)	čapi
1.62	darkness	čãwã
1.63	shade, shadow	kreɨ čãyã; kreiʔi
1.64	dew	čapɨ
1.71	air	
1.72	wind	wɨtu
1.73	cloud	bakɨ rei
1.74	fog	tãčĩ
1.75	rain (noun)	bakɨ
1.76	snow (noun)	--
1.77	ice	ɨʔɨ krere
1.78	weather	--
1.81	fire	tata
1.82	flame (noun)	tata
1.83	smoke (noun)	čĩbo
1.84	ashes	krẽbo
1.841	embers	tãpã
1.851	burn (vb trans)	kaipa
1.852	burn (vb intrans)	ẽdɨ
1.86	light, kindle, ignite	medɨ
1.861	extinguish	buwẽ
1.87	match (noun)	pɨwɨ tata
1.88	firewood	čãkã
1.89	charcoal	tãpã
2.1	person, human being	ače
2.21	man (vs. woman)	kbaeʔe
2.22	woman	kuǰã
2.23	male	čueʔe
2.24	female	kuǰã
2.25	boy	krumi kbaeʔe
2.251	young man (adolescent)	kbuču
2.26	girl	krumi kuǰã
2.261	young woman (adolescent)	daregi
2.27	child	krumi
2.28	infant, baby	wa pougi
2.31	husband	ime
2.32	wife	breko
2.33	marry	breko rekowã
2.34	marriage, wedding	--
2.341	divorce	breko itɨpɨre
2.35	father	apã
2.36	mother	ẽgi
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	raɨ
2.42	daughter	raǰɨ
2.43	offspring (son or daughter)	mebɨ
2.44	brother	pawe kbaeʔe
2.444	older brother	pawe kbaeʔe kiɨpurãgi
2.445	younger brother	pawe kbaeʔe tɨwɨpurãgi
2.45	sister	pawe kuǰa
2.454	older sister	rɨ purãgi
2.455	younger sister	pawe kuǰa tɨwɨpurãgi
2.456	sibling	pawe
2.458	twins	opo mirõgi
2.46	grandfather	ǰamogi
2.461	old man	čuegi
2.47	grandmother	ǰarɨpurãgi
2.471	old woman	waĩmi
2.48	grandson	kmino kbaeʔe
2.49	granddaughter	kmino kuǰa
2.51	uncle	tɨtɨ
2.511	mother's brother	ẽgi pawe kbaeʔe
2.512	father's brother	apã pawe kbaeʔe
2.52	aunt	eiʔi
2.521	mother's sister	ẽgi pawe kuǰa
2.522	father's sister	apã pawe kuǰa
2.53	nephew	tɨtɨ; mebɨ
2.54	niece	tɨtɨ; mebɨ
2.55	cousin	pawe
2.56	ancestors	ǰamo pɨwe
2.57	descendants	kmino-rã
2.61	father-in-law (of a man)	ǰɨwẽ
2.611	father-in-law (of a woman)	katɨ
2.62	mother-in-law (of a man)	katɨ
2.621	mother-in-law (of a woman)	katɨ
2.63	son-in-law (of a man)	ǰɨwẽ
2.631	son-in-law (of a woman)	katɨ
2.64	daughter-in-law (of a man)	katɨ
2.641	daughter-in-law (of a woman)	katɨ
2.71	stepfather	apã ǰope
2.72	stepmother	ẽgi ǰope
2.73	stepson	ray ǰope
2.74	stepdaughter	raǰɨ ǰope
2.75	orphan	čirãwe
2.76	widow	prowe
2.77	widower	imewe
2.81	relatives, kinsmen	irõdɨ
2.82	family	
2.91	I	čo
2.92	you (singular)	ǰe
2.93	he/she/it	go
2.94	we	--
2.941	we (inclusive)	naǰe
2.942	we (exclusive)	ore
2.95	you (plural)	pẽ-ǰe
2.96	they	go
3.11	animal	waeʔe
3.12	male (adj)	čueʔe
3.13	female (adj)	kuǰa
3.15	livestock	mɨba
3.16	pasture	ǰõ
3.18	herdsman	mɨba wãroãdɨgi
3.19	stable, stall	wae ikẽ ẽdatɨ
3.2	cattle (bovine)	ačĩpurã
3.21	bull	ačĩpurã čueʔe
3.22	ox	ačĩpurã čueʔe
3.23	cow	ačĩpurã
3.24	calf	ačĩpurã mebɨ
3.25	sheep	wačupurã
3.26	ram	wačupurã čueʔe
3.28	ewe	wačupurã kuǰã
3.29	lamb	wačupurã mebɨ
3.32	boar	čačupurã čueʔe
3.34	sow	čačupurã kuǰã
3.35	pig	čačupurã
3.36	goat	bečepe
3.37	he-goat	bečepe čueʔe
3.38	kid	bečepe mebɨ
3.41	horse (equine)	baepurã
3.42	stallion	baepurã čueʔe
3.44	mare	baepurã kuǰã
3.45	foal, colt	baepurã mebɨ
3.46	ass, donkey	baepurã iro
3.47	mule	baepurã iro
3.5	fowl	uru
3.52	cock, rooster	uru-purã čueʔe
3.54	hen	uru-purã
3.55	chicken	uru-purã
3.56	goose	
3.57	duck	čĩbe
3.58	nest	aitɨ
3.581	bird	kuɨra
3.582	seagull	--
3.583	heron	doko
3.584	eagle	baewɨra
3.585	hawk	tõrã
3.586	vulture	briku
3.591	bat	bupi
3.592	parrot	gẽro
3.593	crow	
3.594	dove	buaruku
3.596	owl	kramona
3.61	dog	baegi
3.614	rabbit	ata
3.62	cat	kɨčirõ
3.622	opossum	kune
3.63	mouse, rat	buǰa
3.65	fish	pira
3.652	fin (dorsal)	
3.653	fishscale	pira pire
3.654	gill	
3.655	shell	ǰape
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	baetapa
3.72	lion	buapirã
3.73	bear	čerɨpurã
3.74	fox	menebo
3.75	deer	waču
3.76	monkey	kwaʔa
3.77	elephant	--
3.78	camel	--
3.81	insect	biwi
3.811	louse	kɨ
3.812	nit (louse egg)	kɨ piaʔa
3.813	flea	kɨwo
3.814	centipede	
3.815	scorpion	
3.816	cockroach	
3.817	ant	tabiu
3.818	spider	nadu
3.819	spider web	
3.82	bee	mɨga
3.821	beeswax	gãčĩ
3.822	beehive	mɨga aitɨ
3.823	wasp	kuẽʔẽ
3.83	fly	beru
3.831	sandfly (midge), gnat	biwi
3.832	mosquito	čĩko
3.84	worm	
3.85	snake	mebo
3.91	firefly	ãwã
3.92	butterfly	pana
3.93	grasshopper	bekɨ
3.94	snail	tɨta
3.95	frog	ǰɨʔɨ
3.96	lizard	čeǰu
3.97	crocodile, alligator	ǰape
3.98	turtle	krẽbe
4.11	body	eče
4.12	skin, hide	pire
4.13	flesh	oʔo
4.14	hair (head)	aʔa; tõ aʔa
4.142	beard	buta
4.144	body hair	eče aʔa
4.145	pubic hair	ta aʔa
4.146	dandruff	
4.15	blood	bu-ɨʔɨ
4.151	vein, artery	ga-ɨǰɨ
4.16	bone	ikã
4.162	rib	rukã
4.17	horn	ačĩ
4.18	tail	buaʔa
4.19	back	pɨče
4.191	spine	pɨče ikã
4.2	head	tõʔõ
4.201	side of head, temple	tõʔõ ẽbe
4.202	skull	tõ gape
4.203	brain	tõʔõ
4.204	face	čãʔã
