entry_id	trans_english	Cayuvava_Phonemic
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	bikidi
3.665	freshwater eel	
3.71	wolf	daβo
3.72	lion	dapo ~ tapo
3.73	bear	
3.74	fox	'bææha
3.75	deer	dara ~ dæ'ræ; dɔ
3.76	monkey	'ǰuǰu; 'mahãne
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	
3.812	nit (louse egg)	'tokoke
3.813	flea	'kočepa
3.814	centipede	
3.815	scorpion	riči'bikidi
3.816	cockroach	
3.817	ant	čo'tota; βɔ
3.818	spider	
3.819	spider web	
3.82	bee	kɨnæræ; maβe
3.821	beeswax	
3.822	beehive	
3.823	wasp	miɲo
3.83	fly	
3.831	sandfly (midge), gnat	βæræ; mækõ
3.832	mosquito	'dɨβɨha; na'nɨču
3.84	worm	
3.85	snake	čɔčɔ
3.91	firefly	naũɲũ
3.92	butterfly	
3.93	grasshopper	
3.94	snail	
3.95	frog	bočo
3.96	lizard	βa'rakaka
3.97	crocodile, alligator	'ɲatæ ~ nat
3.98	turtle	bada; [ta'taruga]
4.11	body	-uaβ; od-uaβ-a
4.12	skin, hide	iše ~ iš-
4.13	flesh	in-; ine
4.14	hair (head)	a-'tɨɨte; tɨ̃tẽ
4.142	beard	ra-pɔtɔ
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	hɔrɔ; ra-hɔrɔ
4.15	blood	tɨrɨ; tɨrɨ-βa
4.151	vein, artery	
4.16	bone	rakie
4.162	rib	taraka
4.17	horn	ra
4.18	tail	eɲe
4.19	back	tɔkɔ; siire ~ siiri ~ sĩĩre; siki
4.191	spine	
4.2	head	bãrãkama ~ ma'rakame
4.201	side of head, temple	
4.202	skull	
4.203	brain	a'tɨ̃ɨ̃tã aβa'rakame
4.204	face	ra-ona
4.205	forehead	ričokoe ~ ričokoho
4.207	jaw	
4.208	cheek	buǰu; ri-buǰu
4.209	chin	ri-pɨβi; pɨβɨ
4.21	eye	-ǰɔkɔ; ǰokore
4.212	eyebrow	
4.213	eyelid	
4.214	eyelash	
4.215	blink	ebe; rebe...čɔ
4.22	ear	hiǰike; biǰike
4.221	earlobe	
4.222	earwax	
4.23	nose	bã'reohe ~ βareõhẽ
4.231	nostril	
4.232	mucus (nasal)	
4.24	mouth	ča; 'a-ča-e; upæ
4.241	beak	
4.25	lip	
4.26	tongue	'iiɲi ~ iɲe ~ eɲe
4.27	tooth	dai; isi
4.271	gums	
4.272	molartooth	
4.28	neck	piæɲi; a-'boro-re ~ a-'βoro-ri
4.281	nape of neck	a-piæɲi; piæɲæ ~ piene
4.29	throat	mɨmɨčɨ
4.3	shoulder	ritɔkɔ; sĩire ~ siire
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	ɲaβe ~ ɲaβ-
4.312	armpit	
4.32	elbow	'daroto; rotæ
4.321	wrist	
4.33	hand	ru; 'da-ru; -pa-ru
4.331	palm of hand	
4.34	finger	ki-ru
4.342	thumb	
4.344	fingernail	
4.345	claw	'daki-ru
4.35	leg	'daǰɨ
4.351	thigh	pɔčɔ
4.352	calf of leg	
4.36	knee	'awɔ̃se
4.37	foot	he; a-hæ-i; ta-he
4.371	ankle	
4.372	heel	
4.374	footprint	
4.38	toe	
4.392	wing	ɲe'ritæpæ
4.393	feather	pɔtæ
4.4	chest	
4.41	breast (of woman)	mame
4.412	nipple, teat	
4.42	udder	
4.43	navel	čõẽ ~ čõ- ~ čõhe
4.44	heart	'mãkãhæ; rakahẽ
4.441	lung	
4.45	liver	čaβe
4.451	kidney	mame
4.452	spleen	
4.46	stomach	βeβe; rakabe ~ rakaβe
4.461	intestines, guts	-bɨβɨ; ræ'ræhæ; kone
4.462	waist	bisi; ri-siki
4.463	hip	sidi
4.464	buttocks	ine-kare
4.47	womb	
4.49	testicle	'βarie
4.492	penis	k-uaβe
4.51	breathe, breath	hã-kãkãhe; kakahe; kãka
4.52	yawn, gape	haapa
4.521	hiccough	
4.53	cough	βa-ǰɔǰɔ-hɔ; ǰoǰo; ǰɔ
4.54	sneeze	
4.55	perspire	daporo
4.56	spit	-βæčɔčɔ ~ βæčɔ-
4.57	vomit	uataka
4.58	bite	tapa; kãhã-ri
4.59	lick	
4.591	dribble	
4.61	sleep	biti
4.612	snore	hõrõčõ
4.62	dream	bete; beβeta
4.63	wake up	puri
4.64	break wind	
4.65	urinate	hoče; pate
4.66	defecate	da-piši ~ ra-pihi; pi
4.67	have sexual intercourse	
4.68	shiver	kɨrɨ
4.69	bathe	komo; kɔ-mɔro
4.71	beget (of father)	
4.72	born (to be)	bi; pãpã
4.73	pregnant	meǰoma'maa ki'rihoǰo
4.732	conceive	
4.74	live, living, life	porohi
4.75	die, dead	ua; adu'a-riče; yarua
4.751	drowned	hɨrɨ
4.76	kill	rɨrɨ; [β]u'ari
4.77	corpse	ǰuǰa
4.78	bury (the dead)	βariri
4.79	grave, tomb	i'pãteo
4.81	strong, mighty, powerful	siǰiǰi; šupuru; takakaæ
4.82	weak	
4.83	well, health	pairaha
4.84	sick, sickness	beine ~ βe'inæ
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	'ra-dɔhɔ; sa'ǰahae
4.852	bruise	
4.853	swelling	ruhũ
4.854	itch	
4.855	blister	
4.856	boil (noun)	očoe
4.857	pus	
4.858	scar	
4.86	cure, heal	mæãrĩrĩ; reɲe
4.87	physician	
4.88	medicine, drug	ka-'meãrã
4.89	poison	iβino; u'βera
4.91	tired, weary	ǰɨkɨrɨ
4.912	rest	
4.92	lazy	ra'naũrũ; naɨrɨ
4.93	bald	
4.94	lame	
4.95	deaf	
4.96	mute	
4.97	blind	wuwuti
4.98	intoxicated	
4.99	naked, bare	
5.11	eat	βuru; ni ~ ɲi
5.12	food	'βiβere; mũkũrũ; ra-βururu
5.121	cooked	
5.122	raw	
5.123	ripe	βoho; ratɨ; rišæræ
5.124	green, unripe	
5.125	rotten	čuhu ~ čuuha; hɨ
5.13	drink	a-ǰoko
5.14	hunger	o'rehaæ; ɔræ; 'rɔɔre
5.141	famine	
5.15	thirst	rarehe
5.16	suck	kɨmɨ; kɨmɨ-ru
5.18	chew	ri-ta-tapa; ta-tapa
5.181	swallow	ko'kokoro
5.19	choke	hɨrɨ
5.21	cook	čuǰu; opa
5.22	boil (vb)	bɔbɔbɔ; bobobo; dada
5.23	roast, fry	biitæ; -čɨrɨrɨ ~ čururu
5.24	bake	pæ̃
5.25	oven	
5.26	pot, cooking vessel	boko; taču; ra'dikæræ
5.27	kettle	
5.28	pan	koβoβo
5.31	dish	ræ'æ-ræhæ
5.32	plate	tuǰa
5.33	bowl	
5.34	pitcher, jug	čeboka; ču'runo; kokopi
5.35	cup, drinking vessel	
5.36	saucer	'pæræβæ
5.37	spoon	ra'haapa ~ la'haapa
5.38	knife	dɨβɨrɨ; ra'dɨβɨrɨ
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	[de'hayuno]; payo
5.43	lunch	pɨǰɨrɨ'eama
5.44	dinner	
5.45	supper	
5.46	peel	
5.47	sieve, strain	βo
5.48	scrape	'βæβæræ; βo'rohi; tæko
5.49	stir, mix	ra-kɨβɨ
5.51	bread	[pãa]; na[pæpæ]; [or'neao]
5.53	dough	[masa]
5.54	knead	
5.55	meal, flour	bɔre; napo
5.56	crush, grind	ǰɨ; sobækæ
5.57	mill	
5.58	mortar	kɨrɨpɨ
5.59	pestle	
5.61	meat	-iine ~ ine; kaine
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	'dædæpæ; 'doapa
5.71	fruit	
5.712	bunch	
5.75	fig	
5.76	grape	
5.77	nut	'pɨpɨku
5.78	olive	
5.79	oil	rabi
5.791	grease, fat	ču'pahiha
5.81	salt	čopara; tææ ~ tæræ
5.82	pepper	
5.821	chili pepper	dubu; kadabu; ɲa'daβɨdɨ
5.84	honey	βæ; tõha ~ tõhã
5.85	sugar	toha
5.86	milk (noun)	βemame ~ bemame
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	βarabo; horoko
5.91	mead	
5.92	wine	
5.93	beer	βa'riede; pure
5.94	fermented drink	'βeiki; βe'ikire; napu
5.97	egg	rɔmi-he; rɔmi-hæ
5.971	egg yolk	
6.11	put on (clothes)	bɔ̃kɔ̃ ~ βoko
6.12	clothing, clothes	oǰa; ɔǰa; yoǰa ~ kioǰa; 'rãβɔ̃kɔ̃
6.13	tailor	
6.21	cloth	
6.22	wool	
6.23	linen, flax	
6.24	cotton	ǰuhuru ~ ǰu'ǰurue ~ uhuru
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	
6.31	spin	ča-kɨrɨ; ra-kɨrɨ
6.32	spindle	i-ra-'kɨrɨe
6.33	weave	
6.34	loom	
6.35	sew	poroama
6.36	needle	sopiri
6.37	awl	
6.38	thread	
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	ča'leeko
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	uera ~ wera
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	hebe; ra'hebee
6.57	belt, girdle	bo'toroa; rabi'tɨrɨe
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	
6.76	bead	nãβõkũ
6.77	earring	naoho
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	
6.92	brush	
6.921	braid	'paiče
6.93	razor	
6.94	ointment	
6.95	soap	[haβono]
6.96	mirror	
7.11	dwell, live	
7.12	house	ɲika; ɲama
7.13	hut	
7.131	garden-house	ɲika'čebaka
7.14	tent	
7.15	yard, court	iputi
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	bãrã'čaɲika ~ βara'čaɲika
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	rada'roeke
7.27	wall	rapɨ'pɨɲika
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	si'karera
7.42	bed	'raɲuka; [kɔ̃čɔ]
7.421	pillow	
7.422	blanket	pe'resara; rahahae
7.43	chair	
7.44	table	
7.45	lamp, torch	
7.46	candle	
7.47	shelf	
7.48	trough	raβeda; opače
7.51	roof	raɲukũ
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	baka; riβɔkɔæ
8.13	garden	
8.15	cultivate, till	
8.16	fence	
8.17	ditch	ibu
8.21	plow	-huru
8.212	furrow	
8.22	dig	uru
8.23	spade	
8.24	shovel	daku
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	'βarie
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	čotoro; kisi; kisi-ɲama
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	šiki; hiiki ~ hiki
8.48	rice	ra'ɨtæræ
8.51	grass	rišɨkɨ ~ irihɨhɨ
8.52	hay	rišɨkɨ ~ irihɨhɨ; rišoko
8.53	plant (noun)	
8.531	plant (vb)	βo; to; kuæræ'ičæ̃põ
8.54	root	
8.55	branch	ru
8.56	leaf	ene
8.57	flower	čɔæ ~ čɔe
8.6	tree	nare ~ naræ ~ nãræ̃
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	daβuruǰu
8.68	tobacco	upe ~ upæ
8.69	smoke (tobacco)	hũpũupe
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	'čæræræ
8.75	bark	iše ~ iš- ~ ihe-
8.76	sap	
8.81	palm tree	kɨtɨ; βare; 'sosiki
8.82	coconut	
8.83	citrus fruit	[narasa]; [rimo]
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	kɨri
8.912	yam	
8.92	tapioca, manioc, cassava	da'duhu-ǰe
8.93	gourd	bæhæ ~ βæhæ; kimi
8.931	pumpkin, squash	
8.94	bamboo	rãtũtũ
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	sere'enãre
9.11	do, make	tɨ-dɨkɨ
9.12	work	hæ̃ræ
9.14	bend	ɲɔ̃no
9.15	fold	
9.16	tie, bind	bɨtɨ; roro
9.161	untie	
9.18	chain	
9.19	rope, cord	ǰikiβa; ɲohe
9.192	knot (noun)	
9.21	strike (hit, beat)	βaheda; čɔte; popo
9.211	pound with fist	
9.22	cut	sɨkɨrɨ; sɨsɨkɨ; kɔæræ
9.221	cut down	puku
9.222	chop, hew	čaha; sɨsɨkɨ; adakæčæræ
9.223	stab	βɔrɔ
9.23	knife	
9.24	scissors, shears	
9.25	ax	daka
9.251	adze	
9.26	break	kaha; tičɔ
9.261	broken	
9.27	split	
9.28	tear	
9.29	flay, skin	
9.31	rub, wipe	bɨrɨsɨ ~ βɨrɨsɨ
9.32	stretch	βoro; hɨpɨrɨ
9.33	pull	βɔdɔ; hupuru; ɨpɨrɨ
9.34	spread out	hupu
9.341	hang up	roto
9.342	press	pɔ̃tɨki; tirɨi
9.343	squeeze, wring	pɨtɨkɨri; ra'dɔadɔ
9.35	pour	
9.36	wash	tutuhu
9.37	sweep	tiβo
9.38	broom	
9.422	tool	pɔpɔ
9.43	carpenter	
9.44	build	dɨkɨ-dɨkɨ...ama
9.46	bore	
9.461	hollow out	čõkõ
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	čæ̃kæ
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	[oro]
9.65	silver	[plata], [plomo]
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	poone; pɔne
9.74	glass	
9.75	weave, plait	tiki
9.76	basket	pæče; tapuru
9.77	mat	raǰɨha; yaraβɔ
9.771	rug	
9.78	netbag	[su'rumae] ~ [suluma]
9.79	fan (noun)	
9.791	fan (vb)	beǰere
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	koho ~ kɔhɔ
10.11	move	ǰe; koro; mara
10.12	turn over	
10.13	turn around	bečerere; poro...ama
10.14	wind, wrap	
10.15	roll	
10.16	drop (vb)	
10.17	twist	čakɨnɨ
10.21	rise	rɨ; rɨhɨ; rɨrɨ-hɨa; tækæ
10.22	raise, lift	tækæræ; todo
